"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716374,"2023-09-30",0,"2023-10-01T01:37:34.719Z","2023-10-01T01:37:42.673Z",TRUE,"pitch","8970a4c6-fff4-4c7f-ab98-2fa5d161ff83",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.34,1.68,NA,145.31,171.25,"ground_ball","medium","5",109.86,179.36,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Trayce Thompson grounds out, third baseman Matthew Batten to first baseman Ji Man Choi.",0,6,1,74,"bottom",9,"2023-10-01T01:37:10.670Z","2023-10-01T01:37:42.673Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,572204,"Trayce Thompson","/api/v1/people/572204","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.6,90,4,0.92,0.3826,6.8949,33.9941,-20.1593,-9.4677,5.7938,-0.7426,2.5013,6.4057,-143.3307,-6.9021,-1.7795,50.0064,6.2053,-19.6478,39.6,6,24,2056,212,71.4,-47,3,NA,NA,NA,TRUE,-19.1,9.2,15.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716374,"2023-09-30",0,"2023-10-01T01:36:57.119Z","2023-10-01T01:37:08.521Z",TRUE,"pitch","8fbba35c-af7e-4099-a240-bdaa15d50ee1",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.17,1.44,NA,117.93,170.33,"fly_ball","medium","7",57.41,130.8,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Carlos Perez flies out to left fielder Jurickson Profar.",0,6,1,73,"bottom",9,"2023-10-01T01:36:43.459Z","2023-10-01T01:37:08.521Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,656024,"Carlos Pérez","/api/v1/people/656024","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.4,75.3,5,2,0.4584,6.5858,25.4506,-28.9626,7.3605,2.228,-0.0244,2.5352,3.1576,-119.9656,-2.1901,-2.3181,50.0034,6.068,10.6177,20.4,8.4,24,2540,64,83.6,51,241,NA,NA,NA,TRUE,-36.8,3.7,-14.2,NA,NA,NA,NA,NA,TRUE,FALSE,657757,"Gavin Sheets","/api/v1/people/657757",683734,"Andrew Vaughn","/api/v1/people/683734",NA,NA,NA
716374,"2023-09-30",3,"2023-10-01T01:36:17.928Z","2023-10-01T01:36:34.969Z",TRUE,"pitch","6c007bf2-3ffb-4b31-9180-a1f1bc2aac58",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,1,1,NA,NA,3.43,1.67,NA,110.18,163.6,"line_drive","medium","7",93.77,87.7,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Gavin Sheets singles on a line drive to left fielder Jurickson Profar. Andrew Vaughn to 2nd.",0,6,1,72,"bottom",9,"2023-10-01T01:34:56.884Z","2023-10-01T01:36:34.969Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.3,90.4,5,0.92,0.3825,6.6414,31.1234,-21.6497,-9.2794,5.0651,0.1789,2.7844,9.0059,-142.8661,-5.5714,-1.7997,50.0071,6.1094,-19.2985,37.2,6,24,2142,215,84,16,233,NA,NA,NA,FALSE,-20,8.3,15.1,NA,NA,NA,NA,NA,FALSE,FALSE,657757,"Gavin Sheets","/api/v1/people/657757",683734,"Andrew Vaughn","/api/v1/people/683734",NA,NA,NA
716374,"2023-09-30",2,"2023-10-01T01:35:55.264Z","2023-10-01T01:35:59.711Z",TRUE,"pitch","6a130f8c-4e16-4088-8bf9-2ed957dbc761",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.4103,1.5916,NA,91.19,162.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Gavin Sheets singles on a line drive to left fielder Jurickson Profar. Andrew Vaughn to 2nd.",0,6,1,72,"bottom",9,"2023-10-01T01:34:56.884Z","2023-10-01T01:36:34.969Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98,90,6,0.88,0.3841,6.7213,31.1929,-22.2933,-8.3913,4.793,0.677,2.8409,9.9277,-142.3229,-5.3048,-1.7582,50.0015,6.1313,-17.2961,32.4,6,24,2202,202,NA,NA,NA,NA,NA,NA,FALSE,-20.6,7.8,13.3,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716374,"2023-09-30",1,"2023-10-01T01:35:27.608Z","2023-10-01T01:35:30.737Z",TRUE,"pitch","73e7ed47-8f78-42a7-a523-c0451f28496f",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,1,1,NA,NA,3.4062,1.6308,NA,175.68,232.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Gavin Sheets singles on a line drive to left fielder Jurickson Profar. Andrew Vaughn to 2nd.",0,6,1,72,"bottom",9,"2023-10-01T01:34:56.884Z","2023-10-01T01:36:34.969Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.1,81.9,13,0.83,0.424,6.7074,27.9933,-25.164,-9.9127,4.1535,-1.5395,0.2217,4.349,-129.3838,-9.7916,-1.9578,50.006,5.9966,-16.7425,30,7.2,24,1462,220,NA,NA,NA,NA,NA,NA,FALSE,-29.3,5.4,16.9,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716374,"2023-09-30",0,"2023-10-01T01:35:05.585Z","2023-10-01T01:35:09.215Z",TRUE,"pitch","e42eae1b-2291-46d0-94a6-09c7e72f38a2",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3846,1.6308,NA,91.15,190.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Gavin Sheets singles on a line drive to left fielder Jurickson Profar. Andrew Vaughn to 2nd.",0,6,1,72,"bottom",9,"2023-10-01T01:34:56.884Z","2023-10-01T01:36:34.969Z",TRUE,FALSE,FALSE,FALSE,33,2,1,1,657757,"Gavin Sheets","/api/v1/people/657757","L","Left",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_LHB","RISP",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.8,74.7,9,2,0.4628,6.5031,25.8929,-30.3637,7.3887,1.2757,0.6781,1.7818,4.6928,-119.0066,-3.4244,-2.2886,50,6.0317,10.4427,20.4,9.6,24,2568,46,NA,NA,NA,NA,NA,NA,FALSE,-39.7,1.7,-14.6,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716374,"2023-09-30",0,"2023-10-01T01:34:30.596Z","2023-10-01T01:34:42.458Z",TRUE,"pitch","b6613b2c-4c73-4bbc-b88d-3d6bedf8822c",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,1,NA,NA,3.35,1.59,NA,138.4,164.08,"ground_ball","medium","9",156.27,102.04,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Andrew Vaughn singles on a ground ball to right fielder Jose Azocar.",0,6,1,71,"bottom",9,"2023-10-01T01:34:08.291Z","2023-10-01T01:34:42.458Z",TRUE,FALSE,FALSE,FALSE,33,0,0,1,683734,"Andrew Vaughn","/api/v1/people/683734","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.2,89.8,4,0.84,0.3837,6.7076,32.6603,-17.6313,-8.1013,7.0425,-0.5614,2.7665,6.6904,-142.7372,-6.3813,-1.8824,50.0033,6.1403,-16.7278,38.4,4.8,24,2072,211,99.4,1,57,NA,NA,NA,FALSE,-16.8,11.6,13.3,NA,NA,NA,NA,NA,FALSE,FALSE,683734,"Andrew Vaughn","/api/v1/people/683734",NA,NA,NA,NA,NA,NA
716374,"2023-09-30",4,"2023-10-01T01:33:53.733Z","2023-10-01T01:34:02.312Z",TRUE,"pitch","db69db6d-a54f-43e7-9bcf-6e606ae6578b",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.39,1.63,NA,136.45,196.05,"ground_ball","medium","6",104.79,159.03,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Eloy Jimenez grounds out, shortstop Xander Bogaerts to first baseman Ji Man Choi.",0,6,1,70,"bottom",9,"2023-10-01T01:33:13.221Z","2023-10-01T01:34:02.312Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,650391,"Eloy Jiménez","/api/v1/people/650391","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.6,89.9,7,0.94,0.3853,6.777,30.7631,-19.128,-9.3485,6.3646,-0.5103,1.5825,7.1742,-141.8522,-9.1179,-1.8506,50.0003,6.0447,-19.1546,39.6,6,24,2216,210,NA,-57,3,NA,NA,NA,TRUE,-18.7,10,15.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716374,"2023-09-30",3,"2023-10-01T01:33:30.669Z","2023-10-01T01:33:37.253Z",TRUE,"pitch","7100c3b9-c9fa-4611-8b95-c438144e5bff",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.4708,1.5908,NA,91.96,244.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Eloy Jimenez grounds out, shortstop Xander Bogaerts to first baseman Ji Man Choi.",0,6,1,70,"bottom",9,"2023-10-01T01:33:13.221Z","2023-10-01T01:34:02.312Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,650391,"Eloy Jiménez","/api/v1/people/650391","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",88.5,81.9,14,0.9,0.4263,6.6285,25.696,-25.8448,-4.7467,3.7823,0.6568,-0.2291,7.5632,-128.3005,-10.6169,-1.7079,50.0017,5.965,-7.9404,13.2,7.2,24,1262,213,NA,NA,NA,NA,NA,NA,FALSE,-30.4,4.7,7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716374,"2023-09-30",2,"2023-10-01T01:33:15.501Z","2023-10-01T01:33:18.835Z",TRUE,"pitch","131fa022-6b40-42c9-9e73-61cd3c272464",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.3846,1.5908,NA,109.53,185.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Eloy Jimenez grounds out, shortstop Xander Bogaerts to first baseman Ji Man Choi.",0,6,1,70,"bottom",9,"2023-10-01T01:33:13.221Z","2023-10-01T01:34:02.312Z",TRUE,FALSE,FALSE,TRUE,0,1,1,1,650391,"Eloy Jiménez","/api/v1/people/650391","R","Right",472610,"Luis García","/api/v1/people/472610","R","Right","vs_RHP","vs_RHB","Empty",NA,"Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox","San Diego Padres",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81,74.1,8,2,0.4667,6.5107,25.0239,-33.4423,7.6782,-0.913,0.1959,1.974,3.3479,-117.9324,-2.2812,-2.245,50.0029,6.0759,10.6797,18,10.8,24,2612,67,NA,NA,NA,NA,NA,NA,FALSE,-44,-1.9,-14.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
