"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716378,"2023-09-30",5,"2023-10-01T01:47:39.482Z","2023-10-01T01:47:45.385Z",TRUE,"pitch","4b2239c7-d960-442a-9c58-f7e54093d8cc",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,2,NA,NA,3.18,1.49,NA,108.96,164.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Endy Rodriguez strikes out swinging.",0,7,3,84,"bottom",9,"2023-10-01T01:45:44.169Z","2023-10-01T01:47:45.385Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,682848,"Endy Rodríguez","/api/v1/people/682848","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,89.9,2,0.9,0.3845,6.4664,29.088,-13.2907,2.2796,9.1618,0.2109,2.7512,-6.2983,-141.8664,-3.9247,2.1527,50.0012,4.9856,4.6985,13.2,2.4,24,2680,151,NA,NA,NA,NA,NA,NA,TRUE,-12.5,16.1,-3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",4,"2023-10-01T01:47:14.054Z","2023-10-01T01:47:17.839Z",TRUE,"pitch","2fce34d4-a3a4-4618-adde-bd44c5977989",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.18,1.49,NA,132.1,195.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Endy Rodriguez strikes out swinging.",0,7,3,84,"bottom",9,"2023-10-01T01:45:44.169Z","2023-10-01T01:47:45.385Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,682848,"Endy Rodríguez","/api/v1/people/682848","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.6,82.8,7,0.9,0.4214,6.4297,22.6098,-31.8977,-3.1439,0.1611,-0.396,1.5914,-5.6444,-129.1329,-2.4956,2.2123,50.0038,4.9834,-5.3985,10.8,7.2,24,2575,260,NA,NA,NA,NA,NA,NA,FALSE,-34.3,0,6.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",3,"2023-10-01T01:46:58.939Z","2023-10-01T01:47:01.939Z",TRUE,"pitch","b502996b-0d3f-480b-8e1c-ff135acbff66",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,2,NA,NA,3.223,1.5512,NA,49.97,163.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Endy Rodriguez strikes out swinging.",0,7,3,84,"bottom",9,"2023-10-01T01:45:44.169Z","2023-10-01T01:47:45.385Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,682848,"Endy Rodríguez","/api/v1/people/682848","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.7,90.1,12,0.9,0.3831,6.1995,29.6135,-12.2534,2.1925,9.5984,1.7584,2.8024,-2.1695,-142.4395,-4.0209,2.2414,50.0047,4.9947,4.5514,18,2.4,24,2456,141,NA,NA,NA,NA,NA,NA,FALSE,-11.4,16.9,-3.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",2,"2023-10-01T01:46:34.451Z","2023-10-01T01:46:37.451Z",TRUE,"pitch","e2989608-7803-48e6-b21b-a7cb5fef8e92",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,2,NA,NA,3.18,1.49,NA,121.18,182.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Endy Rodriguez strikes out swinging.",0,7,3,84,"bottom",9,"2023-10-01T01:45:44.169Z","2023-10-01T01:47:45.385Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,682848,"Endy Rodríguez","/api/v1/people/682848","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.3,92.6,5,0.9,0.3739,6.4188,30.5994,-12.8291,4.4581,8.8766,-0.1096,2.0814,-7.9158,-145.8567,-6.1357,2.0461,50.0022,4.9683,9.7157,30,3.6,24,2493,144,NA,NA,NA,NA,NA,NA,FALSE,-11.8,15.1,-6.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",1,"2023-10-01T01:46:17.432Z","2023-10-01T01:46:21.615Z",TRUE,"pitch","efcf7c97-566c-4913-9f22-8f57ec691e8c",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.1712,1.5252,NA,113.33,207.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Endy Rodriguez strikes out swinging.",0,7,3,84,"bottom",9,"2023-10-01T01:45:44.169Z","2023-10-01T01:47:45.385Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,682848,"Endy Rodríguez","/api/v1/people/682848","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.8,85,14,0.89,0.411,6.5704,23.0344,-31.2389,-3.2751,0.5154,0.0963,1.1625,-4.7897,-132.284,-3.7015,2.3423,50.0011,4.8219,-5.9166,12,7.2,24,2690,247,NA,NA,NA,NA,NA,NA,FALSE,-32.2,0.5,6.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",0,"2023-10-01T01:45:59.511Z","2023-10-01T01:46:03.658Z",TRUE,"pitch","c3f029f7-3f1e-4a91-b744-beebb399ae9b",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2748,1.5512,NA,144.7,219.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Endy Rodriguez strikes out swinging.",0,7,3,84,"bottom",9,"2023-10-01T01:45:44.169Z","2023-10-01T01:47:45.385Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,682848,"Endy Rodríguez","/api/v1/people/682848","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.2,84.8,13,0.88,0.411,6.5907,26.0924,-31.5555,-3.3819,0.3425,-0.7266,0.7072,-6.3983,-132.8203,-4.8557,2.1447,50.0038,4.8304,-6.0938,12,7.2,24,2837,258,NA,NA,NA,NA,NA,NA,FALSE,-32.8,-0.1,7.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",2,"2023-10-01T01:45:29.058Z","2023-10-01T01:45:35.118Z",TRUE,"pitch","8a47f69f-edd5-45bf-b101-f99bb3258714",3,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,1,NA,NA,3.31,1.62,NA,153.12,222.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Henry Davis strikes out swinging.",0,7,3,83,"bottom",9,"2023-10-01T01:44:40.771Z","2023-10-01T01:45:35.118Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.2,84.9,13,0.85,0.4109,6.3434,25.6731,-30.1769,-3.4264,1.1085,-0.9475,0.5879,-7.0398,-132.7766,-5.3883,2.1728,50.0049,4.8121,-6.1804,13.2,7.2,24,2716,252,NA,NA,NA,NA,NA,NA,TRUE,-31.4,1.1,7.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",1,"2023-10-01T01:45:11.723Z","2023-10-01T01:45:14.723Z",TRUE,"pitch","18f8d5f1-7dd2-4023-ac4c-eee1419eb618",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,1,NA,NA,3.31,1.62,NA,143.43,207.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Henry Davis strikes out swinging.",0,7,3,83,"bottom",9,"2023-10-01T01:44:40.771Z","2023-10-01T01:45:35.118Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.3,83.4,13,0.9,0.4188,6.7396,23.4118,-31.2629,-4.089,0.5197,-0.6935,1.1597,-5.9945,-130.0387,-3.7204,2.1594,50.0001,4.9423,-7.1055,14.4,7.2,24,2653,265,NA,NA,NA,NA,NA,NA,FALSE,-33.5,0.5,8.5,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",0,"2023-10-01T01:44:57.393Z","2023-10-01T01:45:00.780Z",TRUE,"pitch","74fa2314-1752-4854-b960-f5caba6d00cd",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.31,1.62,NA,125.42,190.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Henry Davis strikes out swinging.",0,7,3,83,"bottom",9,"2023-10-01T01:44:40.771Z","2023-10-01T01:45:35.118Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,680779,"Henry Davis","/api/v1/people/680779","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.3,84.4,8,0.89,0.4134,6.2922,23.3715,-31.0428,-3.7172,0.6321,-0.2209,1.7796,-5.2136,-131.6178,-2.4811,2.2555,50.002,4.9938,-6.6334,13.2,7.2,24,2689,271,NA,NA,NA,NA,NA,NA,FALSE,-32.2,0.8,7.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716378,"2023-09-30",4,"2023-10-01T01:44:23.989Z","2023-10-01T01:44:32.823Z",TRUE,"pitch","0c4921fa-f75e-4b66-a35e-dd5c1ca62645",3,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,0,NA,NA,3.23,1.54,NA,178.45,184.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Strikeout","strikeout","Miguel Andujar strikes out swinging.",0,7,3,82,"bottom",9,"2023-10-01T01:43:40.949Z","2023-10-01T01:44:32.823Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,609280,"Miguel Andujar","/api/v1/people/609280","R","Right",656945,"Tanner Scott","/api/v1/people/656945","L","Left","vs_LHP","vs_RHB","Empty",NA,"Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates","Miami Marlins",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",92.3,86,13,0.82,0.4054,6.3729,25.4401,-29.7255,-4.2265,1.3218,-1.6121,2.0104,-8.2848,-134.4043,-2.6416,2.0433,50.0034,5.0879,-7.8372,16.8,7.2,24,2744,228,NA,NA,NA,NA,NA,NA,TRUE,-29.6,2,9.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
