"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716502,"2023-09-20",4,"2023-09-21T02:00:25.831Z","2023-09-21T02:00:30.792Z",TRUE,"pitch","327b6ac3-acdc-4a7a-bfe5-edc05cf4410d",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,2,NA,NA,3.2,1.45,NA,145.81,206.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Oswald Peraza strikes out swinging.",0,6,1,76,"bottom",9,"2023-09-21T01:58:56.931Z","2023-09-21T02:00:30.792Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,672724,"Oswald Peraza","/api/v1/people/672724","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.5,78.5,13,0.91,0.444,6.8447,22.8425,-32.8641,-7.7389,-0.4429,-0.7559,1.1842,3.0847,-123.0376,-4.8484,-1.0155,50.0053,5.9439,-11.9484,19.2,9.6,24,1004,224,NA,NA,NA,NA,NA,NA,TRUE,-39.7,-1.7,13.3,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716502,"2023-09-20",3,"2023-09-21T02:00:07.265Z","2023-09-21T02:00:11.756Z",TRUE,"pitch","53579181-0f02-4732-b3c7-44c73997e640",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.1475,1.4499,NA,83.02,203.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Oswald Peraza strikes out swinging.",0,6,1,76,"bottom",9,"2023-09-21T01:58:56.931Z","2023-09-21T02:00:30.792Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,672724,"Oswald Peraza","/api/v1/people/672724","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,86.5,14,0.9,0.4017,6.6678,25.9028,-10.5825,-4.9555,11.4311,0.8914,1.3126,5.6422,-135.6604,-10.7895,-0.5583,50.0051,6.0484,-9.3631,33.6,3.6,24,2128,209,NA,NA,NA,NA,NA,NA,FALSE,-12.2,19,7.9,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716502,"2023-09-20",2,"2023-09-21T01:59:48.146Z","2023-09-21T01:59:52.452Z",TRUE,"pitch","80059289-8360-47d6-9554-8e92100b9aec",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.2,1.45,NA,116.37,139.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Oswald Peraza strikes out swinging.",0,6,1,76,"bottom",9,"2023-09-21T01:58:56.931Z","2023-09-21T02:00:30.792Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,672724,"Oswald Peraza","/api/v1/people/672724","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.4,79.6,12,0.89,0.4365,6.416,20.3292,-21.2955,0.5893,6.7895,0.0166,3.6831,2.8505,-124.5269,-1.4825,-1.2102,50.0006,6.0142,0.9434,3.6,6,24,2130,116,NA,NA,NA,NA,NA,NA,FALSE,-24.5,12.2,-1.6,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716502,"2023-09-20",0,"2023-09-21T01:59:21.173Z","2023-09-21T01:59:26.236Z",TRUE,"pitch","1b602b4f-8483-4622-afee-6de40cf4dcaa",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.2,1.45,NA,92.11,123.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Oswald Peraza strikes out swinging.",0,6,1,76,"bottom",9,"2023-09-21T01:58:56.931Z","2023-09-21T02:00:30.792Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,672724,"Oswald Peraza","/api/v1/people/672724","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,79.9,11,0.9,0.4331,6.9219,23.2208,-17.4465,1.1627,9.0675,-0.484,3.3353,1.3597,-126.0039,-3.1599,-1.1796,50.001,5.9985,1.8876,7.2,4.8,24,2084,146,NA,NA,NA,NA,NA,NA,FALSE,-20.2,16.1,-2.4,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716502,"2023-09-20",1,"2023-09-21T01:59:35.194Z","2023-09-21T01:59:48.146Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",6,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,672724,"/api/v1/people/672724",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Oswald Peraza strikes out swinging.",0,6,1,76,"bottom",9,"2023-09-21T01:58:56.931Z","2023-09-21T02:00:30.792Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,672724,"Oswald Peraza","/api/v1/people/672724","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716502,"2023-09-20",2,"2023-09-21T01:58:47.255Z","2023-09-21T01:58:57.965Z",TRUE,"pitch","ae490724-3966-4f45-a20b-9bea9ad39201",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,1,2,NA,NA,3.27,1.55,NA,147.37,177.37,"line_drive","medium","7",49.63,118.64,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Single","single","Oswaldo Cabrera singles on a line drive to left fielder Daulton Varsho.",0,6,1,75,"bottom",9,"2023-09-21T01:57:52.008Z","2023-09-21T01:58:57.965Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,665828,"Oswaldo Cabrera","/api/v1/people/665828","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.5,85.1,4,0.9,0.4062,6.8595,27.6419,-14.3707,-6.4043,9.6529,-0.7966,2.2746,2.5533,-134.5631,-7.4314,-0.9227,50.0036,6.0789,-11.8117,36,4.8,24,2077,211,82.4,18,232,NA,NA,NA,FALSE,-15.6,16.2,11.2,NA,NA,NA,FALSE,FALSE,665828,"Oswaldo Cabrera","/api/v1/people/665828",NA,NA,NA,NA,NA,NA
716502,"2023-09-20",1,"2023-09-21T01:58:32.041Z","2023-09-21T01:58:36.048Z",TRUE,"pitch","f739183e-4d2f-474e-a389-cacfcad4695a",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.1913,1.5499,NA,172.32,180.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Single","single","Oswaldo Cabrera singles on a line drive to left fielder Daulton Varsho.",0,6,1,75,"bottom",9,"2023-09-21T01:57:52.008Z","2023-09-21T01:58:57.965Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,665828,"Oswaldo Cabrera","/api/v1/people/665828","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.8,79.1,13,0.85,0.4407,6.833,21.6329,-31.3289,-4.1384,0.5379,-1.4512,2.1535,0.6479,-123.6656,-3.068,-1.1763,50.0033,6.0032,-6.4936,10.8,8.4,24,1118,237,NA,NA,NA,NA,NA,NA,FALSE,-37,0.6,7.4,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716502,"2023-09-20",0,"2023-09-21T01:58:16.582Z","2023-09-21T01:58:20.562Z",TRUE,"pitch","f1c29b0f-0c9d-46bb-87db-521834d1ff89",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.1651,1.4978,NA,120.58,161.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Single","single","Oswaldo Cabrera singles on a line drive to left fielder Daulton Varsho.",0,6,1,75,"bottom",9,"2023-09-21T01:57:52.008Z","2023-09-21T01:58:57.965Z",TRUE,FALSE,FALSE,FALSE,33,1,1,2,665828,"Oswaldo Cabrera","/api/v1/people/665828","L","Left",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",84.3,78.5,2,0.84,0.4433,6.9137,21.0731,-29.8816,-2.661,1.4827,-0.0939,2.8614,3.4514,-122.8926,-1.8536,-1.1615,50.0061,6.1292,-4.1296,7.2,8.4,24,1218,235,NA,NA,NA,NA,NA,NA,FALSE,-35.4,2.5,4.2,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716502,"2023-09-20",3,"2023-09-21T01:57:37.067Z","2023-09-21T01:57:46.124Z",TRUE,"pitch","d986b962-ebe3-42dd-ade6-82939a01e000",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.22,1.5,NA,126.77,149.82,"popup","medium","2",149.63,209.65,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Pop Out","field_out","Anthony Volpe pops out to catcher Alejandro Kirk in foul territory.",0,6,1,74,"bottom",9,"2023-09-21T01:56:24.343Z","2023-09-21T01:57:46.124Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",83.6,77.4,2,0.88,0.4479,6.9071,21.8382,-28.2732,-3.1605,2.5707,-0.2563,3.2949,2.9235,-121.852,-1.1273,-1.0556,50.0025,6.1855,-4.7972,8.4,7.2,24,1016,232,75.7,81,49,NA,NA,NA,TRUE,-34.1,4.7,5.2,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716502,"2023-09-20",2,"2023-09-21T01:57:18.241Z","2023-09-21T01:57:22.143Z",TRUE,"pitch","d0e9413b-1506-41b1-bc67-fe7fb83e4b99",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,1,NA,NA,3.2197,1.552,NA,114.97,142.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Pop Out","field_out","Anthony Volpe pops out to catcher Alejandro Kirk in foul territory.",0,6,1,74,"bottom",9,"2023-09-21T01:56:24.343Z","2023-09-21T01:57:46.124Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,683011,"Anthony Volpe","/api/v1/people/683011","R","Right",657024,"Erik Swanson","/api/v1/people/657024","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Toronto Blue Jays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,84.9,12,0.89,0.4055,6.9715,29.3239,-15.5525,-5.7288,8.9938,0.0533,3.5618,3.9757,-135.0487,-4.1733,-0.6934,50.0012,6.2207,-10.5842,31.2,4.8,24,2070,211,NA,NA,NA,NA,NA,NA,FALSE,-16.2,15.6,9.5,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
