"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716512,"2023-09-20",4,"2023-09-20T04:31:59.818Z","2023-09-20T04:32:07.761Z",TRUE,"pitch","5efb4223-6434-43c5-b7b5-eac4dc19257d",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,2.96,1.38,NA,132.69,186.64,"ground_ball","medium","5",99.33,163.59,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Nick Allen grounds out, third baseman Eugenio Suarez to first baseman Ty France.",0,7,2,76,"bottom",9,"2023-09-20T04:30:11.416Z","2023-09-20T04:32:07.761Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,669397,"Nick Allen","/api/v1/people/669397","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",86.4,80,4,1,0.434,6.2469,23.7298,-31.3519,-6.188,0.5115,-0.4117,1.9312,5.4377,-125.8508,-3.2102,-1.7885,50.0048,5.7427,-10.0026,15.6,8.4,24,1428,217,95.2,-15,9,NA,NA,NA,TRUE,-35.9,0.5,10.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",3,"2023-09-20T04:31:33.630Z","2023-09-20T04:31:37.098Z",TRUE,"pitch","008635c4-e0e9-43ea-8378-75d553d9bc7e",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,2.96,1.38,NA,79.08,171.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Nick Allen grounds out, third baseman Eugenio Suarez to first baseman Ty France.",0,7,2,76,"bottom",9,"2023-09-20T04:30:11.416Z","2023-09-20T04:32:07.761Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,669397,"Nick Allen","/api/v1/people/669397","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.9,75.3,12,0.91,0.4572,6.0117,27.3798,-31.5175,10.1957,0.4592,0.9949,2.5022,3.1562,-120.6191,-1.5587,-1.6615,50.0057,5.9828,14.7573,25.2,9.6,24,2566,49,NA,NA,NA,NA,NA,NA,FALSE,-39.7,0.7,-19.3,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",2,"2023-09-20T04:31:12.167Z","2023-09-20T04:31:15.191Z",TRUE,"pitch","9784660a-f86a-42c1-80bf-0f77cfbfe7e8",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,2.96,1.38,NA,82.79,159.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Nick Allen grounds out, third baseman Eugenio Suarez to first baseman Ty France.",0,7,2,76,"bottom",9,"2023-09-20T04:30:11.416Z","2023-09-20T04:32:07.761Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,669397,"Nick Allen","/api/v1/people/669397","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.9,12,0.91,0.3963,5.9406,30.3233,-13.0165,-5.8525,9.9001,0.8974,2.9383,8.0456,-138.128,-5.5039,-1.2907,50.0036,5.8295,-11.327,33.6,3.6,24,1966,220,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16.9,9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",1,"2023-09-20T04:30:49.952Z","2023-09-20T04:30:52.952Z",TRUE,"pitch","66ea2862-6408-4b7a-835c-c237944e168d",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,2.96,1.38,NA,120.62,183.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Nick Allen grounds out, third baseman Eugenio Suarez to first baseman Ty France.",0,7,2,76,"bottom",9,"2023-09-20T04:30:11.416Z","2023-09-20T04:32:07.761Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,669397,"Nick Allen","/api/v1/people/669397","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.5,86.2,5,0.92,0.4015,6.0637,27.6632,-16.9162,-8.6105,8.0808,-0.095,2.03,6.6019,-136.0322,-6.6777,-1.4252,50.0068,5.674,-16.2669,39.6,4.8,24,2031,214,NA,NA,NA,NA,NA,NA,FALSE,-17.6,13.6,14.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",0,"2023-09-20T04:30:33.894Z","2023-09-20T04:30:37.996Z",TRUE,"pitch","70bfc599-68d4-422f-b266-bd15b1542b3b",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,2.9609,1.4064,NA,120.44,177.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Nick Allen grounds out, third baseman Eugenio Suarez to first baseman Ty France.",0,7,2,76,"bottom",9,"2023-09-20T04:30:11.416Z","2023-09-20T04:32:07.761Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,669397,"Nick Allen","/api/v1/people/669397","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",81.7,75.3,5,0.9,0.4607,5.9484,23.21,-31.1668,8.7055,0.7052,-0.0903,2.262,1.4581,-118.9771,-2.0825,-1.8423,50.0035,5.978,12.4583,21.6,9.6,24,2607,57,NA,NA,NA,NA,NA,NA,FALSE,-40,1.1,-16.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",0,"2023-09-20T04:30:00.304Z","2023-09-20T04:30:10.797Z",TRUE,"pitch","5be21152-5aac-4a55-9036-3cebee5891b9",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.39,1.54,NA,128.06,164.75,"fly_ball","medium","7",47.88,114.67,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Flyout","field_out","Tyler Soderstrom flies out to left fielder Jarred Kelenic.",0,7,2,75,"bottom",9,"2023-09-20T04:29:41.755Z","2023-09-20T04:30:10.797Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,691016,"Tyler Soderstrom","/api/v1/people/691016","L","Left",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.9,85,4,0.91,0.4028,6.1396,32.9585,-13.7329,-5.382,9.8714,-0.2901,2.7419,4.6491,-136.5218,-5.627,-1.3246,50.0032,5.7923,-10.0547,31.2,3.6,24,1982,217,93.7,48,285,NA,NA,NA,TRUE,-14.6,16.7,8.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",6,"2023-09-20T04:29:25.357Z","2023-09-20T04:29:34.046Z",TRUE,"pitch","a8586f83-4840-46d5-b50d-5e64586252fb",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3.2,1.44,NA,89.37,176.31,"popup","medium","4",140.77,152.79,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Pop Out","field_out","Shea Langeliers pops out to second baseman Dylan Moore.",0,7,2,74,"bottom",9,"2023-09-20T04:28:05.236Z","2023-09-20T04:29:34.046Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,669127,"Shea Langeliers","/api/v1/people/669127","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.7,73.6,6,0.91,0.4691,5.9703,25.3317,-33.1438,10.9031,-0.7035,0.7248,2.3136,2.695,-117.433,-1.377,-1.8579,50.0028,6.0331,15.0014,25.2,10.8,24,2637,48,67.5,62,129,NA,NA,NA,TRUE,-43.8,-1.3,-20.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",5,"2023-09-20T04:29:06.597Z","2023-09-20T04:29:09.597Z",TRUE,"pitch","cad5feb6-542f-48b7-9bcc-a04a5f1b6e74",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.3059,1.5331,NA,67.9,207.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Pop Out","field_out","Shea Langeliers pops out to second baseman Dylan Moore.",0,7,2,74,"bottom",9,"2023-09-20T04:28:05.236Z","2023-09-20T04:29:34.046Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,669127,"Shea Langeliers","/api/v1/people/669127","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",88.3,81.5,14,1,0.4263,6.1459,25.1816,-27.3954,-7.0027,2.8564,1.288,1.1514,8.9508,-128.2242,-6.0836,-1.3295,50.004,5.6774,-11.7242,19.2,7.2,24,1579,219,NA,NA,NA,NA,NA,NA,FALSE,-31.1,4.1,10.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",3,"2023-09-20T04:28:38.834Z","2023-09-20T04:28:42.633Z",TRUE,"pitch","f846fad9-08ff-4ee5-b7ea-908866af39a9",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.4015,1.4381,NA,147.68,172.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Pop Out","field_out","Shea Langeliers pops out to second baseman Dylan Moore.",0,7,2,74,"bottom",9,"2023-09-20T04:28:05.236Z","2023-09-20T04:29:34.046Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,669127,"Shea Langeliers","/api/v1/people/669127","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.8,85.3,4,0.92,0.4049,6.1329,28.5306,-20.5952,-9.375,6.247,-0.8049,2.4508,4.4572,-135.0939,-5.1115,-1.2552,50.006,5.8087,-17.3883,37.2,6,24,2006,210,NA,NA,NA,NA,NA,NA,FALSE,-21.2,10.4,16.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716512,"2023-09-20",2,"2023-09-20T04:28:23.093Z","2023-09-20T04:28:26.198Z",TRUE,"pitch","723985ea-1d6d-48b5-8905-4a0703ff4783",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.3378,1.4381,NA,103.43,161.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Pop Out","field_out","Shea Langeliers pops out to second baseman Dylan Moore.",0,7,2,74,"bottom",9,"2023-09-20T04:28:05.236Z","2023-09-20T04:29:34.046Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,669127,"Shea Langeliers","/api/v1/people/669127","R","Right",660825,"Eduard Bazardo","/api/v1/people/660825","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",79.9,73.4,3,0.91,0.4717,5.7942,22.9282,-31.9318,9.6807,0.1745,0.356,2.8714,2.3354,-116.3569,-0.3069,-1.9194,50.0011,6.0446,13.2002,22.8,10.8,24,2509,48,NA,NA,NA,NA,NA,NA,FALSE,-42.4,0.5,-18.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
