"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
716584,"2023-09-14",0,"2023-09-14T19:36:20.759Z","2023-09-14T19:36:28.921Z",TRUE,"pitch","81966a4d-5365-422c-addb-17063e3bd27b",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.32,1.58,NA,132.6,190.46,"ground_ball","medium","1",127.52,180.43,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Joey Votto grounds out, pitcher Jose Cisnero to first baseman Tyler Nevin.",0,2,8,71,"top",9,"2023-09-14T19:36:11.525Z","2023-09-14T19:36:28.921Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,458015,"Joey Votto","/api/v1/people/458015","L","Left",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",87.5,80.8,7,0.9,0.4294,6.2939,24.926,-37.4131,-7.3806,-3.1767,-0.4093,1.7897,7.3384,-127.3202,-0.7865,-2.3632,50.0024,5.0506,-12.1776,15.6,9.6,24,1238,257,96.9,-13,9,NA,NA,NA,TRUE,-41.3,-5.8,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",2,"2023-09-14T19:35:48.001Z","2023-09-14T19:35:55.557Z",TRUE,"pitch","86c158da-84ef-48e6-ab3d-23e6384d97f7",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,1,NA,NA,3.23,1.49,NA,123.79,167.64,"ground_ball","hard","6",113.6,147.96,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Jonathan India grounds out sharply, shortstop Javier Baez to first baseman Tyler Nevin.",0,2,8,70,"top",9,"2023-09-14T19:34:58.891Z","2023-09-14T19:35:55.557Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,87.4,5,0.9,0.3958,6.2589,27.5978,-16.2258,-7.3804,8.2028,-0.1782,2.6348,8.1916,-137.8171,-3.9813,-2.2153,50.0012,5.1781,-14.3466,37.2,4.8,24,2263,226,101.9,3,78,NA,NA,NA,TRUE,-16,14.3,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",1,"2023-09-14T19:35:31.377Z","2023-09-14T19:35:36.900Z",TRUE,"pitch","3f8cafc0-5909-4547-ab52-16ca8a44061d",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.301,1.5309,NA,151.5,164.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Jonathan India grounds out sharply, shortstop Javier Baez to first baseman Tyler Nevin.",0,2,8,70,"top",9,"2023-09-14T19:34:58.891Z","2023-09-14T19:35:55.557Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,87.7,11,0.8,0.3931,6.3438,29.9871,-17.0276,-8.4267,7.6952,-0.905,2.7666,6.4811,-139.1164,-3.6922,-2.1652,50.0031,5.2335,-16.5865,40.8,4.8,24,2367,224,NA,NA,NA,NA,NA,NA,FALSE,-16.4,13.4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",0,"2023-09-14T19:35:15.985Z","2023-09-14T19:35:23.067Z",TRUE,"pitch","91046765-4028-41c3-b870-050fb5004c24",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2492,1.5051,NA,106.21,224.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Jonathan India grounds out sharply, shortstop Javier Baez to first baseman Tyler Nevin.",0,2,8,70,"top",9,"2023-09-14T19:34:58.891Z","2023-09-14T19:35:55.557Z",TRUE,FALSE,FALSE,TRUE,0,2,0,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.9,80.5,14,2,0.4351,6.3735,21.511,-30.7593,1.937,0.875,0.2832,0.5458,6.1548,-125.1245,-5.3288,-2.4445,50.0002,5.1767,3.1186,7.2,8.4,24,2565,61,NA,NA,NA,NA,NA,NA,FALSE,-35.8,0.7,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",2,"2023-09-14T19:34:31.116Z","2023-09-14T19:34:56.193Z",TRUE,"pitch","fade93f1-7058-42fb-92d8-c5d25afcf655",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,1,1,NA,NA,3.08,1.43,NA,105.44,180.17,"fly_ball","medium","9",223.52,67.83,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Home Run","home_run","TJ Friedl homers (14) on a fly ball to right field.",1,2,8,69,"top",9,"2023-09-14T19:33:51.851Z","2023-09-14T19:34:56.193Z",TRUE,TRUE,FALSE,FALSE,38,0,1,1,670770,"TJ Friedl","/api/v1/people/670770","L","Left",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.5,79.3,6,2,0.4385,6.1025,22.6909,-31.6138,1.719,0.3514,0.3033,2.1708,6.3645,-124.4591,-1.3662,-2.5001,50.0022,5.3217,2.7212,7.2,8.4,24,2495,85,101.4,27,402,NA,NA,NA,FALSE,-36.5,0.6,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",0,"2023-09-14T19:34:08.358Z","2023-09-14T19:34:14.613Z",TRUE,"pitch","6c38f6d2-f874-47f2-9759-7592122361cd",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.08,1.43,NA,138.07,169.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Home Run","home_run","TJ Friedl homers (14) on a fly ball to right field.",1,2,8,69,"top",9,"2023-09-14T19:33:51.851Z","2023-09-14T19:34:56.193Z",TRUE,TRUE,FALSE,FALSE,38,0,1,1,670770,"TJ Friedl","/api/v1/people/670770","L","Left",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,87.1,4,2,0.3956,6.4923,29.9325,-16.1684,-8.9611,8.2423,-0.5529,2.556,7.7925,-138.2748,-4.0142,-2.239,50.0062,5.1067,-17.4102,43.2,4.8,24,2499,226,NA,NA,NA,NA,NA,NA,FALSE,-16,14.3,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",1,"2023-09-14T19:34:19.139Z","2023-09-14T19:34:31.116Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",1,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,1,670770,"/api/v1/people/670770",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"69","atBat","Home Run","home_run","TJ Friedl homers (14) on a fly ball to right field.",1,2,8,69,"top",9,"2023-09-14T19:33:51.851Z","2023-09-14T19:34:56.193Z",TRUE,TRUE,FALSE,FALSE,38,0,1,1,670770,"TJ Friedl","/api/v1/people/670770","L","Left",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",7,"2023-09-14T19:33:40.485Z","2023-09-14T19:33:49.407Z",TRUE,"pitch","b870fd10-dc18-4a4c-94c1-1b5f15188cfa",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,0,NA,NA,3.27,1.55,NA,149.32,138.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Spencer Steer strikes out swinging.",0,1,8,68,"top",9,"2023-09-14T19:31:26.166Z","2023-09-14T19:33:49.407Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,668715,"Spencer Steer","/api/v1/people/668715","R","Right",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,86.2,11,0.91,0.3964,6.0584,33.9678,-15.0458,-7.6698,8.8799,-0.8478,3.7225,6.8312,-138.7069,-1.5576,-2.3584,50.0002,5.3054,-14.791,40.8,4.8,24,2488,222,NA,NA,NA,NA,NA,NA,TRUE,-14.4,15.8,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",6,"2023-09-14T19:33:23.035Z","2023-09-14T19:33:27.625Z",TRUE,"pitch","a704d013-7b51-4234-82a1-70dea7fd76cd",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,0,NA,NA,3.27,1.55,NA,140.03,149.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Spencer Steer strikes out swinging.",0,1,8,68,"top",9,"2023-09-14T19:31:26.166Z","2023-09-14T19:33:49.407Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,668715,"Spencer Steer","/api/v1/people/668715","R","Right",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,85.2,1,0.91,0.4003,6.3796,35.1422,-13.7789,-8.0401,9.7387,-0.6043,3.3201,7.6328,-137.6736,-2.561,-2.3899,50.0025,5.214,-15.1864,42,4.8,24,2360,227,NA,NA,NA,NA,NA,NA,FALSE,-13.8,17.2,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716584,"2023-09-14",5,"2023-09-14T19:33:07.338Z","2023-09-14T19:33:13.369Z",TRUE,"pitch","a9c077b3-2e63-458c-98d5-30d0a1bbc0c2",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,0,NA,NA,3.1973,1.4275,NA,143.38,148.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Spencer Steer strikes out swinging.",0,1,8,68,"top",9,"2023-09-14T19:31:26.166Z","2023-09-14T19:33:49.407Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,668715,"Spencer Steer","/api/v1/people/668715","R","Right",542585,"José Cisnero","/api/v1/people/542585","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Detroit Tigers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.2,78.1,11,2,0.4418,6.0467,24.8949,-31.6652,2.0679,0.3268,-0.692,3.3562,4.0657,-124.0058,1.4239,-2.6216,50.0025,5.417,3.2186,7.2,8.4,24,2384,72,NA,NA,NA,NA,NA,NA,FALSE,-36.5,1.2,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
