"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716585,"2023-09-14",2,"2023-09-14T20:43:08.621Z","2023-09-14T20:43:15.831Z",TRUE,"pitch","a3f50e53-b36b-46b0-8217-891a5ce33e2e",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.26,1.49,NA,125.95,153.73,"ground_ball","medium","4",141.49,162.81,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Xavier Edwards grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",0,2,4,65,"top",9,"2023-09-14T20:42:33.111Z","2023-09-14T20:43:15.831Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,669364,"Xavier Edwards","/api/v1/people/669364","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.3,82.9,2,0.7,0.416,7.3483,26.3736,-15.4861,-4.8412,9.4922,-0.2347,3.1501,6.3667,-131.3866,-2.5642,-2.0541,50.0026,5.2819,-8.5116,24,3.6,24,2416,215,85.5,-25,9,NA,NA,NA,TRUE,-16.6,16.9,7.4,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",0,"2023-09-14T20:42:40.214Z","2023-09-14T20:42:44.692Z",TRUE,"pitch","a30d3a40-9a29-4040-b8ad-c08415bfde0a",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.209,1.4825,NA,143.82,199.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Xavier Edwards grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",0,2,4,65,"top",9,"2023-09-14T20:42:33.111Z","2023-09-14T20:43:15.831Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,669364,"Xavier Edwards","/api/v1/people/669364","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81.7,74.5,7,0.91,0.4629,6.9807,24.7936,-34.2245,-14.0077,-1.4485,-0.7036,1.4616,7.2749,-118.7708,-1.184,-2.0019,50.0025,5.106,-19.8196,27.6,10.8,24,2703,276,NA,NA,NA,NA,NA,NA,FALSE,-44,-2.6,23.4,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",1,"2023-09-14T20:42:53.009Z","2023-09-14T20:43:08.621Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,669364,"/api/v1/people/669364",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Xavier Edwards grounds out, second baseman Brice Turang to first baseman Rowdy Tellez.",0,2,4,65,"top",9,"2023-09-14T20:42:33.111Z","2023-09-14T20:43:15.831Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,669364,"Xavier Edwards","/api/v1/people/669364","L","Left",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_LHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",6,"2023-09-14T20:42:02.243Z","2023-09-14T20:42:09.238Z",TRUE,"pitch","9b1a7ed9-25a2-4295-b0be-a43ec4704ad1",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.36,1.58,NA,165.48,204.46,"line_drive","medium","7",61.87,104.29,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Garrett Hampson lines out to left fielder Tyrone Taylor.",0,2,4,64,"top",9,"2023-09-14T20:40:00.347Z","2023-09-14T20:42:09.238Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",82.1,75,13,0.91,0.4604,7.0459,25.2677,-36.301,-12.4932,-2.8846,-1.2718,1.2712,5.7444,-119.4446,-1.0543,-2.0984,50.0045,5.0133,-17.8633,25.2,12,24,2858,285,90.1,22,285,NA,NA,NA,TRUE,-46.1,-5.2,21,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",5,"2023-09-14T20:41:38.339Z","2023-09-14T20:41:41.718Z",TRUE,"pitch","12d8105b-673a-4d89-9c4c-0473f97c1389",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,3.36,1.58,NA,148.28,194.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Garrett Hampson lines out to left fielder Tyrone Taylor.",0,2,4,64,"top",9,"2023-09-14T20:40:00.347Z","2023-09-14T20:42:09.238Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83.1,75.8,7,0.91,0.455,7.117,25.4605,-32.9711,-12.073,-0.5479,-0.8207,1.6329,6.9624,-120.7952,-1.2715,-2.1849,50.001,5.0882,-17.6828,26.4,10.8,24,2660,286,NA,NA,NA,NA,NA,NA,FALSE,-41,-1.1,20,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",4,"2023-09-14T20:41:19.532Z","2023-09-14T20:41:24.304Z",TRUE,"pitch","5292d99d-b63b-4983-96ed-dcd3acf268f8",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.2005,1.5591,NA,96.91,202.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Garrett Hampson lines out to left fielder Tyrone Taylor.",0,2,4,64,"top",9,"2023-09-14T20:40:00.347Z","2023-09-14T20:42:09.238Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.7,77.5,14,0.9,0.4462,7.2385,25.1384,-31.6783,-12.0018,0.3238,0.5271,1.3601,9.7426,-122.9243,-2.3683,-1.935,50.0013,5.0344,-18.3032,27.6,9.6,24,2607,276,NA,NA,NA,NA,NA,NA,FALSE,-38.2,0.2,19.3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",2,"2023-09-14T20:40:41.194Z","2023-09-14T20:40:44.694Z",TRUE,"pitch","d94234b6-89f8-48df-998d-2113027fe78e",3,"Foul Bunt",NA,NA,NA,NA,FALSE,"L","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"L","Foul Bunt",1,2,1,NA,NA,3.36,1.58,NA,125.35,148.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Garrett Hampson lines out to left fielder Tyrone Taylor.",0,2,4,64,"top",9,"2023-09-14T20:40:00.347Z","2023-09-14T20:42:09.238Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.9,85.1,2,0.89,0.4025,7.561,32.097,-15.6801,-10.2042,8.8086,-0.2189,3.3488,8.0697,-136.4748,-2.3701,-1.8992,50.0038,5.3179,-19.1085,46.8,4.8,24,2408,227,NA,NA,NA,NA,NA,NA,FALSE,-15.7,15.6,16.6,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",1,"2023-09-14T20:40:22.892Z","2023-09-14T20:40:27.747Z",TRUE,"pitch","580481e1-c897-4e60-b0d9-bc766cda84a1",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3211,1.4831,NA,117.15,141.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Garrett Hampson lines out to left fielder Tyrone Taylor.",0,2,4,64,"top",9,"2023-09-14T20:40:00.347Z","2023-09-14T20:42:09.238Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.7,84.9,11,0.88,0.4034,7.4501,31.9625,-17.1006,-9.2255,8.0878,-0.004,3.5897,8.2709,-136.1551,-1.3061,-1.8935,50.001,5.2677,-17.191,40.8,4.8,24,2385,226,NA,NA,NA,NA,NA,NA,FALSE,-16.9,14.5,14.8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",0,"2023-09-14T20:40:07.826Z","2023-09-14T20:40:11.801Z",TRUE,"pitch","fd50162d-23bc-4425-a399-0e5ca7372825",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.2085,1.5112,NA,138.71,183.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Garrett Hampson lines out to left fielder Tyrone Taylor.",0,2,4,64,"top",9,"2023-09-14T20:40:00.347Z","2023-09-14T20:42:09.238Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",81.7,74.1,4,0.91,0.464,6.9573,25.3311,-33.9448,-12.5233,-1.2574,-0.5696,2.0591,7.4703,-118.6224,0.144,-2.1527,50.0029,5.1244,-17.6249,25.2,10.8,24,2723,282,NA,NA,NA,NA,NA,NA,FALSE,-43.4,-1.9,20.5,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716585,"2023-09-14",3,"2023-09-14T20:40:54.338Z","2023-09-14T20:41:19.532Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,1,641658,"/api/v1/people/641658",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Garrett Hampson lines out to left fielder Tyrone Taylor.",0,2,4,64,"top",9,"2023-09-14T20:40:00.347Z","2023-09-14T20:42:09.238Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,641658,"Garrett Hampson","/api/v1/people/641658","R","Right",642207,"Devin Williams","/api/v1/people/642207","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
