"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716599,"2023-09-13",5,"2023-09-13T21:53:59.732Z","2023-09-13T21:54:03.450Z",TRUE,"pitch","bcf24642-dc75-42f3-8823-b322a95b285e",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.09,1.42,NA,140.21,180.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Seiya Suzuki strikes out swinging.",0,3,7,79,"top",9,"2023-09-13T21:52:17.911Z","2023-09-13T21:54:03.450Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,673548,"Seiya Suzuki","/api/v1/people/673548","R","Right",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,90.7,4,0.94,0.3837,5.5445,26.3294,-14.5118,-1.1562,8.5197,-0.6089,2.1599,0.5848,-141.6851,-8.7355,-0.6655,50.0059,6.17,-2.3979,8.4,3.6,24,2355,208,NA,NA,NA,NA,NA,NA,TRUE,-14.2,14.3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716599,"2023-09-13",4,"2023-09-13T21:53:35.372Z","2023-09-13T21:53:39.429Z",TRUE,"pitch","63ff2671-8ccd-4604-b606-b95761511a84",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.1458,1.4895,NA,134.49,182.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Seiya Suzuki strikes out swinging.",0,3,7,79,"top",9,"2023-09-13T21:52:17.911Z","2023-09-13T21:54:03.450Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,673548,"Seiya Suzuki","/api/v1/people/673548","R","Right",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.5,84.9,4,0.91,0.4115,5.5099,22.188,-26.2057,0.0445,3.3112,-0.4588,2.0754,1.1619,-131.9899,-5.8845,-0.9065,50.0061,6.2077,0.0801,0,6,24,2597,181,NA,NA,NA,NA,NA,NA,FALSE,-27.5,5.2,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716599,"2023-09-13",3,"2023-09-13T21:53:13.497Z","2023-09-13T21:53:16.939Z",TRUE,"pitch","90d36871-7015-41d3-bd13-957bef713bc0",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,1,2,NA,NA,3.09,1.42,NA,137.04,195.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Seiya Suzuki strikes out swinging.",0,3,7,79,"top",9,"2023-09-13T21:52:17.911Z","2023-09-13T21:54:03.450Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,673548,"Seiya Suzuki","/api/v1/people/673548","R","Right",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.9,85.8,7,0.88,0.4065,5.6562,24.3989,-25.4978,-1.3855,3.6195,-0.5258,1.5925,1.4323,-133.8905,-7.375,-0.8835,50.0045,6.1634,-2.5577,4.8,6,24,2436,200,NA,NA,NA,NA,NA,NA,FALSE,-26.5,5.4,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716599,"2023-09-13",2,"2023-09-13T21:52:51.004Z","2023-09-13T21:52:54.718Z",TRUE,"pitch","03924ce7-b4a5-43ac-b1e5-3edeeacace0f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.3284,1.5618,NA,58.65,169.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Seiya Suzuki strikes out swinging.",0,3,7,79,"top",9,"2023-09-13T21:52:17.911Z","2023-09-13T21:54:03.450Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,673548,"Seiya Suzuki","/api/v1/people/673548","R","Right",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",92.3,85.9,12,0.87,0.4054,5.4774,24.9243,-27.2476,-3.3771,2.6556,1.5308,2.558,6.8467,-134.3406,-4.9925,-0.5947,50.0046,6.3412,-6.2688,10.8,6,24,2509,191,NA,NA,NA,NA,NA,NA,FALSE,-27.6,4.1,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716599,"2023-09-13",0,"2023-09-13T21:52:32.015Z","2023-09-13T21:52:36.752Z",TRUE,"pitch","3af31916-bb7a-4f29-b292-85de79e1a42a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2059,1.5491,NA,142.69,214.97,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Seiya Suzuki strikes out swinging.",0,3,7,79,"top",9,"2023-09-13T21:52:17.911Z","2023-09-13T21:54:03.450Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,673548,"Seiya Suzuki","/api/v1/people/673548","R","Right",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,90.8,13,0.94,0.3845,5.6431,25.9388,-15.2305,-2.3977,8.2059,-0.674,0.8819,1.2607,-141.3224,-11.7367,-0.8095,50.0022,6.0146,-4.9504,15.6,3.6,24,2295,209,NA,NA,NA,NA,NA,NA,FALSE,-15.4,13.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716599,"2023-09-13",1,"2023-09-13T21:52:45.310Z","2023-09-13T21:52:51.004Z",FALSE,"action",NA,NA,"Nico Hoerner advances to 2nd on defensive indifference.","Defensive Indiff",3,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,663538,"/api/v1/people/663538",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3af31916-bb7a-4f29-b292-85de79e1a42a","defensive_indiff",NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Seiya Suzuki strikes out swinging.",0,3,7,79,"top",9,"2023-09-13T21:52:17.911Z","2023-09-13T21:54:03.450Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,673548,"Seiya Suzuki","/api/v1/people/673548","R","Right",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_RHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716599,"2023-09-13",1,"2023-09-13T21:51:51.272Z","2023-09-13T21:52:00.105Z",TRUE,"pitch","2dcf8db9-f3c9-423e-b367-80bc451bfc8e",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.45,1.6,NA,140.03,188.69,"fly_ball","medium","9",191.15,85.66,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Flyout","field_out","Dansby Swanson flies out to right fielder Sean Bouchard.",0,3,7,78,"top",9,"2023-09-13T21:51:25.167Z","2023-09-13T21:52:00.105Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,621020,"Dansby Swanson","/api/v1/people/621020","R","Right",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",92,85.5,7,0.9,0.407,5.4844,26.1732,-28.8911,-2.0957,1.7894,-0.6042,1.8551,1.6649,-134.0542,-5.9001,-0.9578,50.0066,6.1201,-3.8546,7.2,7.2,24,2595,180,92.1,40,324,NA,NA,NA,TRUE,-29.6,2.3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,663538,"Nico Hoerner","/api/v1/people/663538",NA,NA,NA
716599,"2023-09-13",0,"2023-09-13T21:51:32.172Z","2023-09-13T21:51:35.801Z",TRUE,"pitch","0cbe3326-2cf7-461d-a776-258534112dce",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.6024,1.7267,NA,109.37,189.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Flyout","field_out","Dansby Swanson flies out to right fielder Sean Bouchard.",0,3,7,78,"top",9,"2023-09-13T21:51:25.167Z","2023-09-13T21:52:00.105Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,621020,"Dansby Swanson","/api/v1/people/621020","R","Right",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.8,85.2,8,0.9,0.4081,5.5221,26.285,-28.8534,-2.3111,1.8157,0.2001,1.807,3.667,-133.7261,-6.1735,-0.8827,50.0017,6.19,-4.2251,7.2,7.2,24,2520,191,NA,NA,NA,NA,NA,NA,FALSE,-29.9,2.3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716599,"2023-09-13",4,"2023-09-13T21:50:55.738Z","2023-09-13T21:51:06.059Z",TRUE,"pitch","0af6ee82-6883-4551-8dee-efa54714a9ec",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.74,1.76,NA,126.09,164.88,"fly_ball","medium","7",48.95,117.34,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Cody Bellinger flies out to left fielder Nolan Jones.",0,3,7,77,"top",9,"2023-09-13T21:49:00.630Z","2023-09-13T21:51:06.059Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,641355,"Cody Bellinger","/api/v1/people/641355","L","Left",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.9,85.2,5,0.84,0.4071,5.57,25.974,-24.0556,-1.8205,4.4151,-0.2385,2.7372,1.5953,-133.9812,-5.0304,-0.6019,50.002,6.3341,-3.346,7.2,6,24,2625,179,83.8,48,279,NA,NA,NA,TRUE,-24.7,7.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,663538,"Nico Hoerner","/api/v1/people/663538",NA,NA,NA
716599,"2023-09-13",3,"2023-09-13T21:50:23.733Z","2023-09-13T21:50:28.749Z",TRUE,"pitch","0bf975e5-4562-4ff6-b8dc-0d6ff034b653",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,0,NA,NA,3.972,1.7828,NA,98.4,221.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Cody Bellinger flies out to left fielder Nolan Jones.",0,3,7,77,"top",9,"2023-09-13T21:49:00.630Z","2023-09-13T21:51:06.059Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,641355,"Cody Bellinger","/api/v1/people/641355","L","Left",641755,"Tyler Kinley","/api/v1/people/641755","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs",1,"Major League Baseball",NA,NA,104,"National League","Chicago Cubs","Colorado Rockies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.9,84.8,14,0.9,0.4121,5.5889,24.4959,-25.251,-1.5154,3.8578,0.4879,0.655,3.4188,-132.2074,-9.4509,-0.6172,50.0044,6.0874,-2.7207,4.8,6,24,2570,183,NA,NA,NA,NA,NA,NA,FALSE,-27.4,5.4,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
