"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
716617,"2023-09-12",6,"2023-09-13T02:03:15.299Z","2023-09-13T02:03:19.875Z",TRUE,"pitch","10ec9134-1df7-47f1-b902-d8b456e07076",6,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",3,3,2,NA,NA,3.21,1.53,NA,117.17,130.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Kerry Carpenter strikes out on a foul tip.",0,6,5,84,"bottom",10,"2023-09-13T02:01:12.992Z","2023-09-13T02:03:19.875Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.7,11,0.92,0.3968,5.9891,30.2854,-18.1581,-7.6922,7.258,-0.0045,3.9932,5.3593,-137.9792,-1.1966,-0.9712,50.0023,5.6543,-14.8529,37.2,4.8,24,2277,229,NA,NA,NA,NA,NA,NA,TRUE,-17.3,13.1,12.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716617,"2023-09-12",4,"2023-09-13T02:02:39.827Z","2023-09-13T02:02:49.321Z",TRUE,"pitch","7582e7fe-df34-404f-bb0e-d95ff7a5f3a5",5,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,2,2,NA,NA,3.1295,1.5677,NA,63.3,238.26,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Kerry Carpenter strikes out on a foul tip.",0,6,5,84,"bottom",10,"2023-09-13T02:01:12.992Z","2023-09-13T02:03:19.875Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.5,78.1,14,0.89,0.446,5.9766,24.466,-29.0722,1.8388,2.0336,1.4088,0.0194,5.7935,-122.8443,-6.7198,-1.2197,50.0046,5.2635,2.809,7.2,8.4,24,2751,354,NA,NA,NA,NA,NA,NA,FALSE,-36.1,2.3,-4.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716617,"2023-09-12",3,"2023-09-13T02:02:19.802Z","2023-09-13T02:02:24.436Z",TRUE,"pitch","01d09d20-15d2-4a83-9ae4-a8c11ccbd5fc",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,2,NA,NA,3.21,1.53,NA,106.88,155.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Kerry Carpenter strikes out on a foul tip.",0,6,5,84,"bottom",10,"2023-09-13T02:01:12.992Z","2023-09-13T02:03:19.875Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.3,2,0.92,0.3989,5.8997,29.8843,-14.871,-7.6261,9.0554,0.2656,3.0998,6.3022,-137.2322,-3.9249,-1.0679,50.0024,5.5592,-14.5704,39.6,4.8,24,2314,226,NA,NA,NA,NA,NA,NA,FALSE,-14.9,15.7,12.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716617,"2023-09-12",2,"2023-09-13T02:01:54.536Z","2023-09-13T02:01:57.890Z",TRUE,"pitch","89a9041d-4e68-4454-baa6-b06fa22bcb6d",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,2,NA,NA,3.21,1.53,NA,143.39,197.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Kerry Carpenter strikes out on a foul tip.",0,6,5,84,"bottom",10,"2023-09-13T02:01:12.992Z","2023-09-13T02:03:19.875Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.8,5,0.92,0.397,6.1557,30.2617,-13.9408,-7.1453,9.4532,0.1645,2.5394,5.8157,-137.9049,-5.5314,-1.0419,50.0045,5.5095,-13.7835,39.6,3.6,24,2276,229,NA,NA,NA,NA,NA,NA,FALSE,-14.3,16.2,11.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716617,"2023-09-12",1,"2023-09-13T02:01:30.992Z","2023-09-13T02:01:38.535Z",TRUE,"pitch","8408d4fb-6755-4ce6-9d11-d4b5a1d06063",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.2997,1.5938,NA,102.51,198.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Kerry Carpenter strikes out on a foul tip.",0,6,5,84,"bottom",10,"2023-09-13T02:01:12.992Z","2023-09-13T02:03:19.875Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.5,82.8,13,0.85,0.4194,6.1041,25.8734,-30.8141,-9.7286,0.7859,-0.4242,1.0071,5.5422,-130.304,-5.2058,-1.3083,50.0033,5.3428,-16.8281,26.4,8.4,24,1581,240,NA,NA,NA,NA,NA,NA,FALSE,-33.5,0.5,16.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716617,"2023-09-12",0,"2023-09-13T02:01:12.992Z","2023-09-13T02:01:18.559Z",TRUE,"pitch","25f16f31-2ce4-47b5-9877-e3f5aefeae06",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2212,1.5938,NA,49.39,190.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Kerry Carpenter strikes out on a foul tip.",0,6,5,84,"bottom",10,"2023-09-13T02:01:12.992Z","2023-09-13T02:03:19.875Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,87.3,12,0.92,0.396,6.095,28.0176,-17.7853,-6.7602,7.41,1.0261,2.6003,7.7302,-137.8272,-4.7445,-0.9245,50.0012,5.5295,-13.1241,31.2,4.8,24,2177,230,NA,NA,NA,NA,NA,NA,FALSE,-17.5,12.7,10.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716617,"2023-09-12",5,"2023-09-13T02:03:00.970Z","2023-09-13T02:03:15.299Z",FALSE,"action",NA,NA,"Akil Baddoo steals (12) 2nd base.","Stolen Base 2B",6,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,3,2,2,668731,"/api/v1/people/668731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7582e7fe-df34-404f-bb0e-d95ff7a5f3a5","stolen_base_2b",NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Kerry Carpenter strikes out on a foul tip.",0,6,5,84,"bottom",10,"2023-09-13T02:01:12.992Z","2023-09-13T02:03:19.875Z",TRUE,FALSE,FALSE,TRUE,14,3,3,3,681481,"Kerry Carpenter","/api/v1/people/681481","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716617,"2023-09-12",6,"2023-09-13T02:00:32.717Z","2023-09-13T02:00:39.507Z",TRUE,"pitch","1cae1920-cc82-4a14-97a7-521dc867dd3d",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,1,NA,NA,3.46,1.64,NA,121.07,218.29,"ground_ball","medium","4",145.8,153.97,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Fielders Choice Out","fielders_choice_out","Akil Baddoo reaches on a fielder's choice out, second baseman Jonathan India to catcher Tyler Stephenson. Andy Ibanez out at home.",0,6,5,83,"bottom",10,"2023-09-13T01:58:14.244Z","2023-09-13T02:00:39.507Z",TRUE,FALSE,FALSE,TRUE,8,3,2,2,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.9,82.1,7,0.9,0.4226,5.9518,25.736,-31.7639,-10.1755,0.2382,-0.6924,1.5363,5.0235,-129.3737,-3.8545,-1.3322,50.0001,5.4667,-17.3319,26.4,8.4,24,1906,252,94.1,-20,4,NA,NA,NA,TRUE,-34.7,-0.1,17.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,668731,"Akil Baddoo","/api/v1/people/668731",NA,NA,NA,NA,NA,NA
716617,"2023-09-12",5,"2023-09-13T02:00:14.421Z","2023-09-13T02:00:18.256Z",TRUE,"pitch","8279d12b-7b0e-416d-94f9-f4caaf5cc199",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,1,NA,NA,3.46,1.64,NA,107.23,211.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Fielders Choice Out","fielders_choice_out","Akil Baddoo reaches on a fielder's choice out, second baseman Jonathan India to catcher Tyler Stephenson. Andy Ibanez out at home.",0,6,5,83,"bottom",10,"2023-09-13T01:58:14.244Z","2023-09-13T02:00:39.507Z",TRUE,FALSE,FALSE,TRUE,8,3,2,2,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.1,82.9,14,0.91,0.4202,6.188,23.7485,-30.7662,-8.2236,0.8168,0.38,1.4913,6.8843,-129.7055,-4.0598,-1.223,50.0034,5.3884,-14.1988,22.8,8.4,24,1463,250,NA,NA,NA,NA,NA,NA,FALSE,-33.2,0.8,13.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716617,"2023-09-12",4,"2023-09-13T01:59:56.204Z","2023-09-13T02:00:01.829Z",TRUE,"pitch","30e9bca7-3e50-4711-9571-47ad6c591a43",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.5878,1.6979,NA,61.83,188.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Fielders Choice Out","fielders_choice_out","Akil Baddoo reaches on a fielder's choice out, second baseman Jonathan India to catcher Tyler Stephenson. Andy Ibanez out at home.",0,6,5,83,"bottom",10,"2023-09-13T01:58:14.244Z","2023-09-13T02:00:39.507Z",TRUE,FALSE,FALSE,TRUE,8,3,2,2,668731,"Akil Baddoo","/api/v1/people/668731","L","Left",571656,"Buck Farmer","/api/v1/people/571656","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86.6,14,0.92,0.399,6.2098,29.2288,-15.8168,-7.9327,8.5608,1.7737,1.7773,10.2453,-137.0918,-6.8534,-0.9746,50.0022,5.3818,-15.1567,37.2,4.8,24,2208,230,NA,NA,NA,NA,NA,NA,FALSE,-16.4,14.3,12.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
