"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716689,"2023-09-06",4,"2023-09-07T02:13:49.576Z","2023-09-07T02:13:54.651Z",TRUE,"pitch","1e049a25-66c1-465e-a5b8-7093aff411cc",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,2,NA,NA,3.5268,1.6174,NA,76.66,186.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,11,6,83,"bottom",9,"2023-09-07T02:12:19.291Z","2023-09-07T02:13:54.651Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663586,"Austin Riley","/api/v1/people/663586","R","Right",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.5,83.9,14,0.89,0.4121,6.6169,28.0984,-16.3059,-6.4329,8.8654,1.0582,1.9208,6.8949,-132.8473,-8.0603,-0.7333,50.0025,6.1764,-11.5139,28.8,4.8,24,2222,206,NA,NA,NA,NA,NA,NA,TRUE,-18.2,14.5,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",3,"2023-09-07T02:13:31.934Z","2023-09-07T02:13:35.641Z",TRUE,"pitch","7e9ab4fe-cb3a-4be2-ba80-d6231b0b774a",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4594,1.6409,NA,108.76,149.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,11,6,83,"bottom",9,"2023-09-07T02:12:19.291Z","2023-09-07T02:13:54.651Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663586,"Austin Riley","/api/v1/people/663586","R","Right",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.8,74.8,14,0.89,0.463,6.4297,25.839,-30.9471,7.293,0.8671,1.8726,1.6511,4.4472,-118.9569,-4.2772,-0.9777,50.0032,6.3225,10.302,19.2,9.6,24,2331,47,NA,NA,NA,NA,NA,NA,FALSE,-40.7,0.7,-14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",2,"2023-09-07T02:13:11.851Z","2023-09-07T02:13:16.015Z",TRUE,"pitch","387f7160-e369-44a5-ab26-aacf6d2aaa4b",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.5132,1.6863,NA,27.66,232.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,11,6,83,"bottom",9,"2023-09-07T02:12:19.291Z","2023-09-07T02:13:54.651Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663586,"Austin Riley","/api/v1/people/663586","R","Right",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.8,75.6,14,0.87,0.462,6.5092,24.1773,-30.7278,6.5191,1.0126,2.3438,0.2249,5.6855,-118.8475,-7.3986,-0.9319,50.0005,6.1931,9.2612,18,9.6,24,2310,50,NA,NA,NA,NA,NA,NA,FALSE,-41,0.2,-13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",1,"2023-09-07T02:12:53.680Z","2023-09-07T02:12:59.653Z",TRUE,"pitch","11c486d1-61d0-47a5-b8c2-d6ce632544a6",2,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,2,2,NA,NA,3.46,1.64,NA,165.98,196.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,11,6,83,"bottom",9,"2023-09-07T02:12:19.291Z","2023-09-07T02:13:54.651Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663586,"Austin Riley","/api/v1/people/663586","R","Right",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",86.5,80.5,13,0.97,0.433,6.3291,23.3584,-28.3649,-5.8664,2.342,-1.2851,1.5821,0.7211,-126.0521,-6.2824,-0.8105,50.0006,6.3691,-9.5278,18,7.2,24,1333,215,NA,NA,NA,NA,NA,NA,FALSE,-33,3.1,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",0,"2023-09-07T02:12:40.714Z","2023-09-07T02:12:44.865Z",TRUE,"pitch","84566454-b7a8-41ca-b8e2-c9e1bc7cc09f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4594,1.5728,NA,137.59,169.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Austin Riley called out on strikes.",0,11,6,83,"bottom",9,"2023-09-07T02:12:19.291Z","2023-09-07T02:13:54.651Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,663586,"Austin Riley","/api/v1/people/663586","R","Right",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",89.9,82.1,4,2,0.4195,6.5904,28.87,-21.9983,-7.7429,5.9027,-0.5402,2.5706,3.4627,-130.8063,-5.4414,-0.8787,50.0054,6.3385,-13.3528,28.8,6,24,2169,201,NA,NA,NA,NA,NA,NA,FALSE,-24.4,9.6,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",3,"2023-09-07T02:12:00.131Z","2023-09-07T02:12:09.097Z",TRUE,"pitch","aed48271-b3b7-40d8-b715-411895cf92de",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.23,1.61,NA,144.02,200.48,"ground_ball","medium","3",141.6,183.37,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Grounded Into DP","grounded_into_double_play","Ozzie Albies grounds into a double play, first baseman Paul Goldschmidt to shortstop Masyn Winn to first baseman Paul Goldschmidt. Ronald Acuna Jr. out at 2nd. Ozzie Albies out at 1st.",0,11,6,82,"bottom",9,"2023-09-07T02:11:19.458Z","2023-09-07T02:12:09.097Z",TRUE,FALSE,FALSE,TRUE,24,1,1,2,645277,"Ozzie Albies","/api/v1/people/645277","L","Left",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.6,79.4,13,0.96,0.4384,6.4806,23.7558,-27.9677,-4.4112,2.6523,-0.7089,1.4187,2.3231,-124.6728,-6.2788,-1.077,50.0003,6.2615,-6.9818,13.2,7.2,24,1484,214,71.2,-7,12,NA,NA,NA,TRUE,-33.5,3.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",2,"2023-09-07T02:11:37.495Z","2023-09-07T02:11:42.437Z",TRUE,"pitch","a8fd131a-6381-4488-92c0-cfa2b69674c1",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,0,NA,NA,3.23,1.61,NA,100.57,165.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Grounded Into DP","grounded_into_double_play","Ozzie Albies grounds into a double play, first baseman Paul Goldschmidt to shortstop Masyn Winn to first baseman Paul Goldschmidt. Ronald Acuna Jr. out at 2nd. Ozzie Albies out at 1st.",0,11,6,82,"bottom",9,"2023-09-07T02:11:19.458Z","2023-09-07T02:12:09.097Z",TRUE,FALSE,FALSE,TRUE,24,1,1,2,645277,"Ozzie Albies","/api/v1/people/645277","L","Left",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",89.5,82.2,6,2,0.4201,6.6409,26.8095,-21.3474,-6.6379,6.2875,0.4311,2.7177,5.656,-130.271,-5.0015,-0.9034,50.0047,6.2716,-11.435,25.2,6,24,2068,205,NA,NA,NA,NA,NA,NA,FALSE,-23.5,10.6,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",1,"2023-09-07T02:11:21.686Z","2023-09-07T02:11:26.887Z",TRUE,"pitch","94c54e55-1a8f-4548-b58d-f590217e2017",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.2294,1.6182,NA,78.84,177.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Grounded Into DP","grounded_into_double_play","Ozzie Albies grounds into a double play, first baseman Paul Goldschmidt to shortstop Masyn Winn to first baseman Paul Goldschmidt. Ronald Acuna Jr. out at 2nd. Ozzie Albies out at 1st.",0,11,6,82,"bottom",9,"2023-09-07T02:11:19.458Z","2023-09-07T02:12:09.097Z",TRUE,FALSE,FALSE,TRUE,24,1,1,2,645277,"Ozzie Albies","/api/v1/people/645277","L","Left",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.3,84,14,2,0.4121,6.5319,27.1729,-19.2666,-6.6603,7.2061,1.001,2.2698,7.0893,-132.6836,-6.6415,-0.8344,50.0017,6.1991,-11.9291,27.6,4.8,24,2104,207,NA,NA,NA,NA,NA,NA,FALSE,-20.9,11.9,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",0,"2023-09-07T02:11:02.897Z","2023-09-07T02:11:21.686Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",11,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"82","atBat","Grounded Into DP","grounded_into_double_play","Ozzie Albies grounds into a double play, first baseman Paul Goldschmidt to shortstop Masyn Winn to first baseman Paul Goldschmidt. Ronald Acuna Jr. out at 2nd. Ozzie Albies out at 1st.",0,11,6,82,"bottom",9,"2023-09-07T02:11:19.458Z","2023-09-07T02:12:09.097Z",TRUE,FALSE,FALSE,TRUE,24,1,1,2,645277,"Ozzie Albies","/api/v1/people/645277","L","Left",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716689,"2023-09-06",4,"2023-09-07T02:10:26.643Z","2023-09-07T02:10:35.954Z",TRUE,"pitch","875473a0-4803-4d70-b633-d725c8a55fcd",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,1,0,NA,NA,3.45,1.57,NA,103.99,198.95,"ground_ball","medium","8",129.45,92.29,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Single","single","Ronald Acuna Jr. singles on a ground ball to center fielder Tommy Edman.",0,11,6,81,"bottom",9,"2023-09-07T02:09:32.746Z","2023-09-07T02:10:35.954Z",TRUE,FALSE,FALSE,FALSE,33,2,1,0,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",572403,"Drew VerHagen","/api/v1/people/572403","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","St. Louis Cardinals",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",84.2,78.2,9,0.66,0.4461,6.4995,23.2325,-33.5859,2.2388,-0.9267,0.3412,1.4753,2.81,-122.5838,-4.9869,-1.1088,50.0008,6.389,3.4214,6,9.6,24,2276,90,111,4,104,NA,NA,NA,FALSE,-40.9,-2.5,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,660670,"Ronald Acuña Jr.","/api/v1/people/660670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
