"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
716725,"2023-09-03",4,"2023-09-03T22:43:37.041Z","2023-09-03T22:43:40.747Z",TRUE,"pitch","a8e746b9-75c9-4136-b13e-3d5ef4444c3d",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.5,1.73,NA,74.28,194.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,3,68,"top",9,"2023-09-03T22:42:32.778Z","2023-09-03T22:43:40.747Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.9,83.8,14,0.91,0.4167,5.706,24.5346,-34.9105,1.8536,-1.562,1.1207,1.6323,5.5626,-130.8461,-4.719,-1.2634,50.0012,6.0404,3.2511,7.2,8.4,24,2613,100,NA,NA,NA,NA,NA,NA,TRUE,-37.1,-3.6,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",3,"2023-09-03T22:43:22.446Z","2023-09-03T22:43:25.983Z",TRUE,"pitch","f22e2fd7-2443-4014-b387-825e118fd1e4",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.4318,1.7065,NA,52.57,183.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,3,68,"top",9,"2023-09-03T22:42:32.778Z","2023-09-03T22:43:40.747Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.3,85,14,0.9,0.4104,5.7465,25.5227,-30.5106,3.7728,0.9164,1.6904,2.0395,6.5202,-132.9024,-4.6855,-1.2743,50.0008,6.0129,6.8213,14.4,7.2,24,2506,100,NA,NA,NA,NA,NA,NA,FALSE,-31.6,1,-8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",2,"2023-09-03T22:42:57.542Z","2023-09-03T22:43:04.651Z",TRUE,"pitch","cd5e1323-239e-4fd0-8300-ddb7a113cd71",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.5,1.73,NA,113.6,168.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,3,68,"top",9,"2023-09-03T22:42:32.778Z","2023-09-03T22:43:40.747Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.5,84.7,5,0.9,0.4122,5.5525,23.0676,-32.1644,3.1038,0.008,0.0891,2.5882,2.9476,-131.9332,-3.2469,-1.4384,50.0054,6.1589,5.5759,10.8,7.2,24,2514,117,NA,NA,NA,NA,NA,NA,FALSE,-33.2,-0.4,-6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",0,"2023-09-03T22:42:43.284Z","2023-09-03T22:42:50.689Z",TRUE,"pitch","f6f6dc99-c9d3-4ed2-b26b-fee3a0c82c8f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3984,1.7897,NA,116.04,146.32,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,3,68,"top",9,"2023-09-03T22:42:32.778Z","2023-09-03T22:43:40.747Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.1,92.3,2,0.91,0.3766,5.6367,27.7054,-24.6446,-8.8057,3.5024,0.0252,3.4245,6.8525,-144.3966,-3.7538,-1.2125,50.0064,6.2243,-18.9484,34.8,6,24,2032,227,NA,NA,NA,NA,NA,NA,FALSE,-21.5,5.9,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",1,"2023-09-03T22:42:56.196Z","2023-09-03T22:42:57.542Z",FALSE,"action",NA,NA,"Matt Olson advances to 2nd on defensive indifference.","Defensive Indiff",1,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,2,621566,"/api/v1/people/621566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f6f6dc99-c9d3-4ed2-b26b-fee3a0c82c8f","defensive_indiff",NA,NA,NA,NA,NA,NA,"68","atBat","Strikeout","strikeout","Marcell Ozuna strikes out swinging.",0,1,3,68,"top",9,"2023-09-03T22:42:32.778Z","2023-09-03T22:43:40.747Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,542303,"Marcell Ozuna","/api/v1/people/542303","R","Right",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",5,"2023-09-03T22:42:03.053Z","2023-09-03T22:42:13.922Z",TRUE,"pitch","4b30e40c-4efa-48e6-b77c-d4b8477479b5",6,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,2,NA,NA,3.46,1.73,NA,97.8,178.2,"line_drive","medium","7",86.87,75.57,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Matt Olson singles on a line drive to left fielder Chris Taylor.",0,1,3,67,"top",9,"2023-09-03T22:40:48.729Z","2023-09-03T22:42:13.922Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,621566,"Matt Olson","/api/v1/people/621566","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.9,92.1,9,2,0.378,5.5354,27.5192,-17.9844,-3.976,6.6443,0.5037,2.2437,5.8536,-143.8806,-7.9351,-1.0232,50.0066,6.1136,-8.4951,20.4,3.6,24,2094,228,88.4,22,291,NA,NA,NA,FALSE,-16.7,10.9,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,621566,"Matt Olson","/api/v1/people/621566",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",4,"2023-09-03T22:41:46.682Z","2023-09-03T22:41:50.002Z",TRUE,"pitch","9aafc6fa-980d-4d04-8df1-9f11c56ee211",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.46,1.73,NA,110.1,126.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Matt Olson singles on a line drive to left fielder Chris Taylor.",0,1,3,67,"top",9,"2023-09-03T22:40:48.729Z","2023-09-03T22:42:13.922Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,621566,"Matt Olson","/api/v1/people/621566","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.3,91.7,12,2,0.3771,5.7975,30.2621,-19.333,-3.4564,5.999,0.1811,4.1765,5.4144,-144.6256,-2.4906,-1.2568,50.0071,6.22,-7.4043,18,3.6,24,2011,224,NA,NA,NA,NA,NA,NA,FALSE,-16.8,10.6,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",3,"2023-09-03T22:41:30.063Z","2023-09-03T22:41:33.295Z",TRUE,"pitch","31c91236-61da-4c7f-a3b7-96eaa1f92571",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.46,1.73,NA,128.23,151.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Matt Olson singles on a line drive to left fielder Chris Taylor.",0,1,3,67,"top",9,"2023-09-03T22:40:48.729Z","2023-09-03T22:42:13.922Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,621566,"Matt Olson","/api/v1/people/621566","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",93.1,86.5,1,0.81,0.4013,5.6678,25.4428,-23.923,-0.4589,4.3588,-0.2947,3.2194,3.1902,-135.7027,-3.1107,-1.4183,50.0044,6.0189,-0.8693,1.2,4.8,24,2082,215,NA,NA,NA,NA,NA,NA,FALSE,-23.5,7.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",2,"2023-09-03T22:41:12.996Z","2023-09-03T22:41:16.361Z",TRUE,"pitch","d1748458-0ad0-49af-9a3d-3d6b75683cd5",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.5822,1.7398,NA,124.33,116.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Matt Olson singles on a line drive to left fielder Chris Taylor.",0,1,3,67,"top",9,"2023-09-03T22:40:48.729Z","2023-09-03T22:42:13.922Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,621566,"Matt Olson","/api/v1/people/621566","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.7,87.1,11,0.91,0.3959,5.572,28.95,-19.8906,-1.0703,6.3269,-0.1922,4.5148,3.5831,-138.0199,-1.1284,-1.3647,50.0021,6.2606,-2.0784,3.6,4.8,24,2196,214,NA,NA,NA,NA,NA,NA,FALSE,-18.8,11.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716725,"2023-09-03",1,"2023-09-03T22:41:01.291Z","2023-09-03T22:41:04.513Z",TRUE,"pitch","8ecda4f0-99a1-4031-883f-19352581656a",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5822,1.7398,NA,163.13,135.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Single","single","Matt Olson singles on a line drive to left fielder Chris Taylor.",0,1,3,67,"top",9,"2023-09-03T22:40:48.729Z","2023-09-03T22:42:13.922Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,621566,"Matt Olson","/api/v1/people/621566","L","Left",660813,"Brusdar Graterol","/api/v1/people/660813","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Los Angeles Dodgers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,88.4,11,2,0.3893,5.4871,31.7209,-19.2904,-4.4062,6.4261,-1.2101,3.8217,1.8991,-140.6743,-2.8693,-1.3212,50.0061,6.1045,-8.8381,22.8,4.8,24,2040,214,NA,NA,NA,NA,NA,NA,FALSE,-18,11.3,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
