"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","base","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
716822,"2023-08-27",6,"2023-08-27T21:17:36.994Z","2023-08-27T21:17:41.703Z",TRUE,"pitch","6c2f926a-2331-4ad2-b9c1-14a492c5e0e8",5,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",1,3,2,NA,NA,3.54,1.62,NA,126.74,114.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Xander Bogaerts strikes out on a foul tip.",0,6,10,83,"top",9,"2023-08-27T21:15:43.066Z","2023-08-27T21:17:41.703Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,593428,"Xander Bogaerts","/api/v1/people/593428","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.7,91.1,3,0.9,0.3757,6.5977,38.0261,-7.6782,-4.0036,11.4052,0.7549,3.11,5.0039,-146.4124,-7.6196,-0.4649,50.0055,6.2219,-8.6007,37.2,2.4,24,2747,203,NA,NA,NA,NA,NA,NA,TRUE,-8.2,19.1,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716822,"2023-08-27",4,"2023-08-27T21:16:55.107Z","2023-08-27T21:16:58.740Z",TRUE,"pitch","90a6879f-0100-4dfa-806e-c4093b9ba46c",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.54,1.62,NA,85.97,116.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Xander Bogaerts strikes out on a foul tip.",0,6,10,83,"top",9,"2023-08-27T21:15:43.066Z","2023-08-27T21:17:41.703Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,593428,"Xander Bogaerts","/api/v1/people/593428","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.3,88.8,11,0.9,0.3848,6.7718,36.9159,-6.4915,-4.1526,12.5566,-1.2597,3.9,-0.4832,-143.0298,-5.4961,-0.5492,50.0054,6.2685,-8.4949,48,2.4,24,2583,200,NA,NA,NA,NA,NA,NA,FALSE,-7,21.6,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716822,"2023-08-27",3,"2023-08-27T21:16:30.234Z","2023-08-27T21:16:34.890Z",TRUE,"pitch","2796c04d-49e4-47db-8019-242dd72330f4",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.54,1.62,NA,135.5,178.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Xander Bogaerts strikes out on a foul tip.",0,6,10,83,"top",9,"2023-08-27T21:15:43.066Z","2023-08-27T21:17:41.703Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,593428,"Xander Bogaerts","/api/v1/people/593428","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.7,91.4,3,0.9,0.375,6.6894,36.7217,-7.4418,-4.8569,11.4636,0.3253,3.6592,4.3599,-146.4473,-5.9818,-0.5566,50.0048,6.1816,-10.4811,46.8,2.4,24,2664,201,NA,NA,NA,NA,NA,NA,FALSE,-7.6,19.7,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716822,"2023-08-27",2,"2023-08-27T21:16:08.956Z","2023-08-27T21:16:14.054Z",TRUE,"pitch","35917517-3e9b-4349-8c1f-f3eb9f19cf27",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.54,1.62,NA,81.15,154.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Xander Bogaerts strikes out on a foul tip.",0,6,10,83,"top",9,"2023-08-27T21:15:43.066Z","2023-08-27T21:17:41.703Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,593428,"Xander Bogaerts","/api/v1/people/593428","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.8,91.6,6,0.9,0.3767,6.7309,32.3218,-7.1369,-4.3974,11.6802,0.5727,2.6455,4.922,-145.1182,-8.6515,-0.5699,50.0065,6.092,-9.4293,43.2,2.4,24,2554,198,NA,NA,NA,NA,NA,NA,FALSE,-7.7,19.7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716822,"2023-08-27",0,"2023-08-27T21:15:43.066Z","2023-08-27T21:15:48.584Z",TRUE,"pitch","d4744e52-e0f2-481c-91c5-7fca98442161",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5322,1.557,NA,133.75,83.41,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Xander Bogaerts strikes out on a foul tip.",0,6,10,83,"top",9,"2023-08-27T21:15:43.066Z","2023-08-27T21:17:41.703Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,593428,"Xander Bogaerts","/api/v1/people/593428","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.2,91.6,14,0.9,0.3766,6.6567,34.2462,-6.9226,-3.515,11.7899,0.7258,1.434,5.118,-145.4586,-12.0425,-0.6002,50.0036,6.0483,-7.5294,33.6,2.4,24,2674,199,NA,NA,NA,NA,NA,NA,FALSE,-8.3,19.1,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716822,"2023-08-27",1,"2023-08-27T21:32:28.947Z","2023-08-27T21:32:29.947Z",FALSE,"action",NA,NA,"Juan Soto advances to 2nd on defensive indifference.","Defensive Indiff",6,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,665742,"/api/v1/people/665742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d4744e52-e0f2-481c-91c5-7fca98442161","defensive_indiff",NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Xander Bogaerts strikes out on a foul tip.",0,6,10,83,"top",9,"2023-08-27T21:15:43.066Z","2023-08-27T21:17:41.703Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,593428,"Xander Bogaerts","/api/v1/people/593428","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716822,"2023-08-27",5,"2023-08-27T21:33:18.476Z","2023-08-27T21:33:19.476Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",6,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,593428,"/api/v1/people/593428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"83","atBat","Strikeout","strikeout","Xander Bogaerts strikes out on a foul tip.",0,6,10,83,"top",9,"2023-08-27T21:15:43.066Z","2023-08-27T21:17:41.703Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,593428,"Xander Bogaerts","/api/v1/people/593428","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716822,"2023-08-27",1,"2023-08-27T21:15:07.633Z","2023-08-27T21:15:19.492Z",TRUE,"pitch","cf77aae5-d08c-4148-a3c1-52ce0c51684d",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.71,1.7,NA,153.04,168.26,"line_drive","medium","8",158.27,60.75,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Lineout","field_out","Manny Machado lines out to center fielder Joey Wiemer.",0,6,10,82,"top",9,"2023-08-27T21:14:42.401Z","2023-08-27T21:15:19.492Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,592518,"Manny Machado","/api/v1/people/592518","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.1,91.5,13,0.9,0.3763,6.8307,34.1286,-8.083,-3.6062,11.2245,-0.9456,2.6118,0.4747,-145.5569,-8.795,-0.6423,50.0009,6.1617,-7.7375,37.2,2.4,24,2642,195,99,22,353,NA,NA,NA,TRUE,-8.5,18.7,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,665742,"Juan Soto","/api/v1/people/665742",NA,NA,NA,NA,NA,NA
716822,"2023-08-27",0,"2023-08-27T21:14:50.276Z","2023-08-27T21:14:54.802Z",TRUE,"pitch","64e577cf-c3a2-4a0f-a69f-5af9411a7030",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.71,1.7,NA,83.07,193.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Lineout","field_out","Manny Machado lines out to center fielder Joey Wiemer.",0,6,10,82,"top",9,"2023-08-27T21:14:42.401Z","2023-08-27T21:15:19.492Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,592518,"Manny Machado","/api/v1/people/592518","R","Right",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.7,80.4,14,2,0.4307,6.5666,28.591,-38.5457,0.1088,-3.8983,0.8902,1.6741,3.6795,-127.6212,-3.7823,-0.5902,50.0033,6.2414,0.1777,1.2,9.6,24,2886,31,NA,NA,NA,NA,NA,NA,FALSE,-43.6,-7.7,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,665742,"Juan Soto","/api/v1/people/665742",NA,NA,NA,NA,NA,NA
716822,"2023-08-27",3,"2023-08-27T21:14:05.271Z","2023-08-27T21:14:19.948Z",TRUE,"pitch","17a58eac-8221-4d10-9787-23b9740d5c82",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,1,NA,NA,3.05,1.49,NA,80.66,180.71,"ground_ball","medium","9",169.38,131.44,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Single","single","Juan Soto singles on a ground ball to right fielder Sal Frelick.",0,6,10,81,"top",9,"2023-08-27T21:12:58.832Z","2023-08-27T21:14:19.948Z",TRUE,FALSE,FALSE,FALSE,33,1,2,1,665742,"Juan Soto","/api/v1/people/665742","L","Left",656730,"Trevor Megill","/api/v1/people/656730","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Milwaukee Brewers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.9,90.7,14,0.9,0.3786,6.8147,36.5913,-8.5969,-3.081,11.1443,0.9534,2.1507,5.1079,-145.1403,-9.7729,-0.4358,50.0055,6.1006,-6.52,25.2,2.4,24,2606,196,105.3,-8,17,NA,NA,NA,FALSE,-9.5,18.2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,665742,"Juan Soto","/api/v1/people/665742",NA,NA,NA,NA,NA,NA
