"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
716872,"2023-08-24",4,"2023-08-24T20:03:43.975Z","2023-08-24T20:03:53.475Z",TRUE,"pitch","96eac77e-eacb-4735-b421-ada777e43de7",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.05,1.43,NA,109.86,159.62,"fly_ball","medium","8",93.88,45.82,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Harrison Bader flies out to center fielder Alex Call.",0,6,5,81,"bottom",9,"2023-08-24T20:02:47.594Z","2023-08-24T20:03:53.475Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,664056,"Harrison Bader","/api/v1/people/664056","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.7,81.5,2,2,0.4262,6.6511,22.9751,-24.3917,0.7318,4.6418,0.1873,2.932,4.7566,-127.8393,-2.0813,-1.7822,50.0063,5.6452,1.2275,4.8,6,24,2048,187,96.8,29,388,NA,NA,NA,TRUE,-26.9,8.3,-2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716872,"2023-08-24",3,"2023-08-24T20:03:07.812Z","2023-08-24T20:03:11.881Z",TRUE,"pitch","55281f88-5cf6-43f3-b4ee-cbc1c12412f3",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.05,1.43,NA,102.32,168.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Harrison Bader flies out to center fielder Alex Call.",0,6,5,81,"bottom",9,"2023-08-24T20:02:47.594Z","2023-08-24T20:03:53.475Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,664056,"Harrison Bader","/api/v1/people/664056","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,87.8,3,0.87,0.392,6.8555,32.0954,-18.897,-6.4107,6.7178,0.3852,2.5888,6.1344,-139.816,-5.0121,-1.0064,50.0017,5.6482,-12.6672,30,4.8,24,1757,219,NA,NA,NA,NA,NA,NA,FALSE,-18.4,11.3,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716872,"2023-08-24",2,"2023-08-24T20:02:49.978Z","2023-08-24T20:02:54.003Z",TRUE,"pitch","b426fc22-15bc-4fac-abf9-1eb9b1f94f32",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.0974,1.495,NA,81.76,191.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Harrison Bader flies out to center fielder Alex Call.",0,6,5,81,"bottom",9,"2023-08-24T20:02:47.594Z","2023-08-24T20:03:53.475Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,664056,"Harrison Bader","/api/v1/people/664056","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,87.8,14,0.87,0.3932,6.7361,30.4338,-15.1777,-6.9555,8.6403,0.9246,1.7573,7.7345,-139.1664,-7.6882,-0.9834,50.0014,5.5555,-13.6797,36,4.8,24,1826,222,NA,NA,NA,NA,NA,NA,FALSE,-15.6,14.3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716872,"2023-08-24",0,"2023-08-24T20:02:04.928Z","2023-08-24T20:02:09.514Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Oswaldo Cabrera replaces Giancarlo Stanton.","Offensive Substitution",6,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,665828,"/api/v1/people/665828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","401","81","atBat","Flyout","field_out","Harrison Bader flies out to center fielder Alex Call.",0,6,5,81,"bottom",9,"2023-08-24T20:02:47.594Z","2023-08-24T20:03:53.475Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,664056,"Harrison Bader","/api/v1/people/664056","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,519317,"/api/v1/people/519317",1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716872,"2023-08-24",1,"2023-08-24T20:02:09.514Z","2023-08-24T20:02:49.978Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",6,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"81","atBat","Flyout","field_out","Harrison Bader flies out to center fielder Alex Call.",0,6,5,81,"bottom",9,"2023-08-24T20:02:47.594Z","2023-08-24T20:03:53.475Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,664056,"Harrison Bader","/api/v1/people/664056","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716872,"2023-08-24",8,"2023-08-24T20:01:36.069Z","2023-08-24T20:01:44.195Z",TRUE,"pitch","d49fb19f-0552-4d86-bfc3-a58b06d6de78",8,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",3,2,2,NA,NA,3.55,1.7,NA,138.6,153.73,"ground_ball","medium","7",74.49,106.62,NA,NA,TRUE,NA,NA,NA,NA,NA,"80","atBat","Single","single","Giancarlo Stanton singles on a ground ball to left fielder Blake Rutherford. Oswald Peraza scores. Gleyber Torres to 2nd.",1,6,5,80,"bottom",9,"2023-08-24T19:58:51.847Z","2023-08-24T20:01:44.195Z",TRUE,TRUE,FALSE,FALSE,33,3,2,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,88,1,0.79,0.3928,6.6885,28.3155,-16.8591,-3.9277,7.7593,-0.5666,3.1499,2.8965,-138.9284,-3.9375,-1.1074,50.0014,5.6914,-7.7513,21.6,3.6,24,1631,218,118.6,2,103,NA,NA,NA,FALSE,-16.2,13.6,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,519317,"Giancarlo Stanton","/api/v1/people/519317",NA,NA,NA,650402,"Gleyber Torres","/api/v1/people/650402",NA,NA,NA,NA
716872,"2023-08-24",7,"2023-08-24T20:01:09.861Z","2023-08-24T20:01:16.249Z",TRUE,"pitch","584093d5-f407-4461-8d60-302f6e11aef0",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.55,1.7,NA,131.73,204.21,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"80","atBat","Single","single","Giancarlo Stanton singles on a ground ball to left fielder Blake Rutherford. Oswald Peraza scores. Gleyber Torres to 2nd.",1,6,5,80,"bottom",9,"2023-08-24T19:58:51.847Z","2023-08-24T20:01:44.195Z",TRUE,TRUE,FALSE,FALSE,33,3,2,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",88.9,82.5,13,0.9,0.4216,6.9021,24.7223,-30.4858,-5.6018,0.9865,-0.3865,1.2802,5.0703,-129.4587,-4.9135,-1.634,50.0034,5.5115,-9.5954,15.6,7.2,24,1117,227,NA,NA,NA,NA,NA,NA,FALSE,-33.4,1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716872,"2023-08-24",6,"2023-08-24T20:00:47.622Z","2023-08-24T20:00:53.692Z",TRUE,"pitch","10709f6e-faa3-4f6e-8577-6583f8d9bf15",6,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,2,2,NA,NA,3.8054,1.756,NA,103.12,222.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Single","single","Giancarlo Stanton singles on a ground ball to left fielder Blake Rutherford. Oswald Peraza scores. Gleyber Torres to 2nd.",1,6,5,80,"bottom",9,"2023-08-24T19:58:51.847Z","2023-08-24T20:01:44.195Z",TRUE,TRUE,FALSE,FALSE,33,3,2,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",87.7,80.7,14,0.9,0.4298,7.181,26.9031,-33.7497,-4.6905,-0.9562,0.364,0.6019,6.5853,-127.5619,-5.4102,-1.6449,50.0055,5.4197,-7.7108,10.8,8.4,24,973,248,NA,NA,NA,NA,NA,NA,FALSE,-38.4,-2.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716872,"2023-08-24",5,"2023-08-24T20:00:20.101Z","2023-08-24T20:00:26.449Z",TRUE,"pitch","6b3a74b4-ef44-4a38-a41a-23b515f43c47",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.8575,1.8601,NA,101.29,193.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Single","single","Giancarlo Stanton singles on a ground ball to left fielder Blake Rutherford. Oswald Peraza scores. Gleyber Torres to 2nd.",1,6,5,80,"bottom",9,"2023-08-24T19:58:51.847Z","2023-08-24T20:01:44.195Z",TRUE,TRUE,FALSE,FALSE,33,3,2,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",88.9,81.7,14,0.9,0.4239,6.8889,27.12,-32.3532,-5.8107,-0.1058,0.4122,1.6599,7.0404,-129.2485,-3.5684,-1.593,50.0024,5.5448,-9.8238,14.4,8.4,24,1250,236,NA,NA,NA,NA,NA,NA,FALSE,-35.5,-0.8,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716872,"2023-08-24",4,"2023-08-24T20:00:01.283Z","2023-08-24T20:00:07.041Z",TRUE,"pitch","72ed959b-9ccc-418d-b7e9-2baa2b983e7f",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.8091,1.7858,NA,163.32,134.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Single","single","Giancarlo Stanton singles on a ground ball to left fielder Blake Rutherford. Oswald Peraza scores. Gleyber Torres to 2nd.",1,6,5,80,"bottom",9,"2023-08-24T19:58:51.847Z","2023-08-24T20:01:44.195Z",TRUE,TRUE,FALSE,FALSE,33,3,2,2,519317,"Giancarlo Stanton","/api/v1/people/519317","R","Right",640448,"Kyle Finnegan","/api/v1/people/640448","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","New York Yankees","Washington Nationals",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",88.2,81.1,11,0.9,0.4257,6.7071,25.6899,-31.821,-5.0102,0.2087,-1.2153,3.8521,3.4466,-128.4891,1.5928,-1.9206,50.0016,5.6902,-8.4081,14.4,8.4,24,1151,237,NA,NA,NA,NA,NA,NA,FALSE,-34.1,1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
