"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
716954,"2023-08-18",5,"2023-08-19T01:20:13.725Z","2023-08-19T01:20:38.581Z",TRUE,"pitch","f0103629-6475-4df2-a9d5-a8e35f0d07a7",5,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",2,2,1,NA,NA,3.29,1.51,NA,115.49,183.38,"fly_ball","medium","7",25.64,65.25,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Home Run","home_run","Christian Encarnacion-Strand homers (4) on a fly ball to left field.",1,0,1,65,"bottom",9,"2023-08-19T01:18:15.359Z","2023-08-19T01:20:38.581Z",TRUE,TRUE,FALSE,FALSE,65,2,2,1,687952,"Christian Encarnacion-Strand","/api/v1/people/687952","R","Right",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.7,79.8,8,0.9,0.4366,6.2946,22.4611,-30.7844,7.0246,0.8738,0.0396,2.052,2.4217,-124.9019,-3.1837,-1.8526,50.0061,5.8447,11.2275,20.4,8.4,24,2466,43,103.7,35,411,NA,NA,NA,FALSE,-35.6,1.2,-13.3,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",4,"2023-08-19T01:19:56.194Z","2023-08-19T01:19:59.431Z",TRUE,"pitch","d437b342-6423-426c-a101-154acddca69f",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.1865,1.5213,NA,59.56,148.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Home Run","home_run","Christian Encarnacion-Strand homers (4) on a fly ball to left field.",1,0,1,65,"bottom",9,"2023-08-19T01:18:15.359Z","2023-08-19T01:20:38.581Z",TRUE,TRUE,FALSE,FALSE,65,2,2,1,687952,"Christian Encarnacion-Strand","/api/v1/people/687952","R","Right",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,90.7,12,0.71,0.3822,6.5124,28.9638,-16.9961,-5.3934,7.2759,1.507,3.3365,10.1835,-142.6418,-4.8017,-1.3886,50.0068,6.0936,-11.2575,27.6,3.6,24,2229,221,NA,NA,NA,NA,NA,NA,FALSE,-15.7,12.5,8,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",2,"2023-08-19T01:18:54.869Z","2023-08-19T01:18:58.318Z",TRUE,"pitch","b0836cba-f429-4266-8eca-d969fae656fd",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,1,NA,NA,3.2388,1.4948,NA,112.78,182.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Home Run","home_run","Christian Encarnacion-Strand homers (4) on a fly ball to left field.",1,0,1,65,"bottom",9,"2023-08-19T01:18:15.359Z","2023-08-19T01:20:38.581Z",TRUE,TRUE,FALSE,FALSE,65,2,2,1,687952,"Christian Encarnacion-Strand","/api/v1/people/687952","R","Right",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.2,92.6,5,0.9,0.3744,6.4437,30.8066,-24.2571,-9.6932,3.6445,0.1107,2.083,8.7874,-145.7154,-6.4324,-1.6689,50.0062,5.7621,-21.0724,37.2,6,24,1988,223,NA,NA,NA,NA,NA,NA,FALSE,-21.5,5.6,16.1,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",1,"2023-08-19T01:18:36.358Z","2023-08-19T01:18:40.638Z",TRUE,"pitch","300132e2-e249-47cf-bf43-6a0594790659",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.2145,1.4964,NA,111.86,201.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Home Run","home_run","Christian Encarnacion-Strand homers (4) on a fly ball to left field.",1,0,1,65,"bottom",9,"2023-08-19T01:18:15.359Z","2023-08-19T01:20:38.581Z",TRUE,TRUE,FALSE,FALSE,65,2,2,1,687952,"Christian Encarnacion-Strand","/api/v1/people/687952","R","Right",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.8,76.9,8,0.91,0.4536,6.4057,22.8625,-34.9513,7.3114,-1.8849,0.135,1.3869,2.5669,-120.6208,-3.524,-1.8919,50.0009,5.94,10.7998,18,10.8,24,2504,46,NA,NA,NA,NA,NA,NA,FALSE,-43.7,-4,-13.8,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",0,"2023-08-19T01:18:21.023Z","2023-08-19T01:18:24.394Z",TRUE,"pitch","d6bb3b52-2789-44da-96a2-29dfc7c6e35b",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3171,1.5478,NA,108.33,166.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Home Run","home_run","Christian Encarnacion-Strand homers (4) on a fly ball to left field.",1,0,1,65,"bottom",9,"2023-08-19T01:18:15.359Z","2023-08-19T01:20:38.581Z",TRUE,TRUE,FALSE,FALSE,65,2,2,1,687952,"Christian Encarnacion-Strand","/api/v1/people/687952","R","Right",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.2,77.1,5,0.91,0.4508,6.2285,22.4238,-33.983,6.8965,-1.2048,0.2275,2.6783,3.2439,-121.25,-0.7743,-2.0215,50.0055,5.9522,10.3284,18,9.6,24,2442,51,NA,NA,NA,NA,NA,NA,FALSE,-41.4,-2.2,-13.2,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",3,"2023-08-19T01:19:36.999Z","2023-08-19T01:19:56.194Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"65","atBat","Home Run","home_run","Christian Encarnacion-Strand homers (4) on a fly ball to left field.",1,0,1,65,"bottom",9,"2023-08-19T01:18:15.359Z","2023-08-19T01:20:38.581Z",TRUE,TRUE,FALSE,FALSE,65,2,2,1,687952,"Christian Encarnacion-Strand","/api/v1/people/687952","R","Right",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",2,"2023-08-19T01:17:44.086Z","2023-08-19T01:17:50.525Z",TRUE,"pitch","c3e03e61-ffe8-43cd-8097-ca0f191d7c30",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.41,1.6,NA,107.71,184.05,"line_drive","medium","9",197.16,82.05,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Joey Votto lines out to right fielder Cavan Biggio.",0,0,0,64,"bottom",9,"2023-08-19T01:17:22.480Z","2023-08-19T01:17:50.525Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,458015,"Joey Votto","/api/v1/people/458015","L","Left",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.5,75.7,8,0.91,0.4603,6.2067,21.7778,-34.8138,7.8246,-1.8375,0.2437,2.0269,2.9551,-118.7782,-1.5203,-2.0316,50.0048,5.8277,11.231,18,10.8,24,2441,55,99.7,20,339,NA,NA,NA,TRUE,-44.3,-3.5,-14.9,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",1,"2023-08-19T01:17:24.888Z","2023-08-19T01:17:27.888Z",TRUE,"pitch","6b1ec1d3-3162-40c8-8485-d376c3ccba90",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,3.41,1.6,NA,125.92,159.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Lineout","field_out","Joey Votto lines out to right fielder Cavan Biggio.",0,0,0,64,"bottom",9,"2023-08-19T01:17:22.480Z","2023-08-19T01:17:50.525Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,458015,"Joey Votto","/api/v1/people/458015","L","Left",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.2,90.5,2,0.9,0.3822,6.3472,30.649,-21.6263,-8.7878,5.0637,-0.2341,2.9489,7.6322,-142.9185,-4.7313,-1.7877,50.006,5.9707,-18.3177,36,6,24,2080,224,NA,NA,NA,NA,NA,NA,FALSE,-19.8,8.4,14.5,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",0,"2023-08-19T01:16:33.814Z","2023-08-19T01:17:24.888Z",FALSE,"action",NA,NA,"Pitching Change: Jordan Hicks replaces Erik Swanson.","Pitching Substitution",0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,663855,"/api/v1/people/663855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"64","atBat","Lineout","field_out","Joey Votto lines out to right fielder Cavan Biggio.",0,0,0,64,"bottom",9,"2023-08-19T01:17:22.480Z","2023-08-19T01:17:50.525Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,458015,"Joey Votto","/api/v1/people/458015","L","Left",663855,"Jordan Hicks","/api/v1/people/663855","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
716954,"2023-08-18",6,"2023-08-19T01:14:25.441Z","2023-08-19T01:14:34.381Z",TRUE,"pitch","f3fbaca1-1ac1-40c0-bbec-dfa68b1fd1d2",6,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,2.99,1.42,NA,112.29,183.85,"fly_ball","medium","8",129.32,109.19,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Flyout","field_out","Alejandro Kirk flies out to center fielder TJ Friedl.",0,0,0,63,"top",9,"2023-08-19T01:12:38.777Z","2023-08-19T01:14:34.381Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,672386,"Alejandro Kirk","/api/v1/people/672386","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Cincinnati Reds",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,86.8,5,0.9,0.3974,7.4827,29.1895,-16.6337,-6.1793,8.0691,0.1235,2.0345,8.5578,-137.5906,-3.4305,-2.2176,50.006,4.4179,-11.9064,30,4.8,24,2742,231,92.7,54,228,NA,NA,NA,TRUE,-16.3,14.2,9.5,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
