"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y"
717059,"2023-08-09",9,"2023-08-10T01:33:43.049Z","2023-08-10T01:33:49.001Z",TRUE,"pitch","a5771233-0f0c-448e-b376-f022e658d021",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.51,1.63,NA,94.98,173.06,"ground_ball","medium","4",140.6,152.93,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",96.1,88.6,6,0.91,0.391,6.8824,29.1445,-10.7999,-0.6045,10.7326,0.5777,2.4341,7.8051,-139.6712,-7.8706,-2.165,50.0007,5.9848,-1.2051,1.2,2.4,24,2702,197,96.6,-8,16,NA,NA,NA,TRUE,-11.4,18.1,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",8,"2023-08-10T01:33:23.549Z","2023-08-10T01:33:28.301Z",TRUE,"pitch","3c4140b1-ecf5-44c2-9f03-4209eedc156f",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.5077,1.6075,NA,180.97,152.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.8,77.6,11,0.9,0.4473,6.5568,22.4906,-33.8993,2.9744,-1.1388,-1.6783,3.2059,1.0878,-122.1244,-0.3272,-2.515,50.0004,6.2405,4.5227,8.4,9.6,24,2409,77,NA,NA,NA,NA,NA,NA,FALSE,-40.6,-1.9,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",7,"2023-08-10T01:32:57.635Z","2023-08-10T01:33:01.981Z",TRUE,"pitch","3b5a4674-060c-435c-b53d-8f273bbcfa3b",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.51,1.63,NA,92.34,180.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",95.9,87.8,9,0.86,0.3932,6.5645,30.6043,-10.2806,-2.9216,11.133,0.6471,2.1428,8.6716,-139.1834,-8.4424,-2.1262,50,5.8921,-5.7452,18,2.4,24,2728,198,NA,NA,NA,NA,NA,NA,FALSE,-11.3,18.6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",5,"2023-08-10T01:32:24.285Z","2023-08-10T01:32:28.717Z",TRUE,"pitch","f6b9b421-462b-485d-97ab-ee0b354f00de",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.51,1.63,NA,102.04,144.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.8,87,3,0.9,0.3967,6.6059,29.3727,-11.5095,-1.0209,10.6975,0.3925,3.4838,7.8369,-137.8218,-4.7884,-2.35,50.0066,6.0151,-1.9723,1.2,2.4,24,2636,196,NA,NA,NA,NA,NA,NA,FALSE,-11.8,18.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",4,"2023-08-10T01:32:06.627Z","2023-08-10T01:32:10.132Z",TRUE,"pitch","b1762679-7b6b-4aa5-bd9e-14101c30d873",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.4629,1.5779,NA,64.37,161.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",95.6,87.4,12,0.91,0.3947,6.673,31.3827,-14.0182,-0.5003,9.312,1.3806,2.8774,9.827,-138.8217,-5.9132,-2.1417,50.0035,5.9701,-0.9774,4.8,3.6,24,2634,195,NA,NA,NA,NA,NA,NA,FALSE,-14.3,15.7,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",2,"2023-08-10T01:30:20.735Z","2023-08-10T01:30:28.890Z",TRUE,"pitch","aee2c906-41d6-430f-ac0d-e3f9cf692653",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.4015,1.5164,NA,124.08,153.84,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94,86,2,0.9,0.4007,6.729,29.9992,-15.2686,-0.5763,8.936,-0.1859,3.1459,6.7048,-136.665,-4.8249,-2.5958,50.0059,5.9823,-1.0905,1.2,3.6,24,2635,192,NA,NA,NA,NA,NA,NA,FALSE,-15.6,15.4,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",1,"2023-08-10T01:29:57.820Z","2023-08-10T01:30:02.271Z",TRUE,"pitch","f21725b2-d5ca-4924-9155-a82fed0cdf38",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.5054,1.6645,NA,156.84,179.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",94.5,86.4,13,0.9,0.3988,6.7105,30.5823,-12.9274,-0.4035,10.0759,-1.0452,2.1782,4.7788,-137.3782,-7.6143,-2.7554,50.0067,5.8658,-0.7719,1.2,3.6,24,2637,201,NA,NA,NA,NA,NA,NA,FALSE,-13.9,16.8,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",0,"2023-08-10T01:29:25.651Z","2023-08-10T01:29:57.820Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Dairon Blanco replaces Edward Olivares.","Offensive Substitution",3,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,680118,"/api/v1/people/680118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","702","64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,658668,"/api/v1/people/658668",1,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",3,"2023-08-10T01:30:38.339Z","2023-08-10T01:32:06.627Z",FALSE,"action",NA,NA,"Royals challenged (tag play), call on the field was upheld: Dairon Blanco caught stealing 2nd base, catcher Reese McGuire to second baseman Luis Urias.","Caught Stealing 2B",3,4,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,1,1,2,680118,"/api/v1/people/680118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aee2c906-41d6-430f-ac0d-e3f9cf692653","caught_stealing_2b",NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,FALSE,"MA",118,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717059,"2023-08-09",6,"2023-08-10T01:32:39.865Z","2023-08-10T01:32:57.635Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",3,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,622110,"/api/v1/people/622110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"64","atBat","Groundout","field_out","Matt Duffy grounds out, second baseman Luis Urias to first baseman Triston Casas.",0,3,4,64,"top",9,"2023-08-10T01:29:55.460Z","2023-08-10T01:33:49.001Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,622110,"Matt Duffy","/api/v1/people/622110","R","Right",445276,"Kenley Jansen","/api/v1/people/445276","R","Right","vs_RHP","vs_RHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Kansas City Royals","Boston Red Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
