"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","isBaseRunningPlay","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717151,"2023-08-03",6,"2023-08-03T21:51:21.536Z","2023-08-03T21:51:31.547Z",TRUE,"pitch","7a796afa-bd4d-47e6-a51f-608245abbe0e",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,1,2,NA,NA,3.27,1.54,NA,110.77,182.73,"fly_ball","medium","7",83.12,78.29,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Jace Peterson flies out to left fielder AJ Pollock.",0,0,1,60,"top",9,"2023-08-03T21:49:30.593Z","2023-08-03T21:51:31.547Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98,90.3,8,0.91,0.3832,6.8412,30.5233,-27.5399,-6.7353,2.2351,0.1634,2.0761,7.2402,-142.5573,-4.0593,-1.5253,50.0024,5.242,-13.9643,24,6,24,2289,231,95.2,42,319,NA,NA,NA,TRUE,-24.8,3.5,10.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717151,"2023-08-03",5,"2023-08-03T21:51:02.859Z","2023-08-03T21:51:08.259Z",TRUE,"pitch","73d803f5-d35c-41ba-87ad-ea09fd427cb9",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,2,NA,NA,3.2049,1.5367,NA,155.99,162.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Jace Peterson flies out to left fielder AJ Pollock.",0,0,1,60,"top",9,"2023-08-03T21:49:30.593Z","2023-08-03T21:51:31.547Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.5,92.2,11,0.91,0.3757,6.6908,29.4616,-27.5954,-5.9612,2.1216,-1.0228,2.8429,3.8465,-144.9967,-2.3304,-1.5826,50.003,5.3168,-12.8708,22.8,6,24,2331,228,NA,NA,NA,NA,NA,NA,FALSE,-23.6,3.6,10.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717151,"2023-08-03",4,"2023-08-03T21:50:15.641Z","2023-08-03T21:50:21.484Z",TRUE,"pitch","6e2f57d5-c80e-47cc-b5ee-118a38fe80e2",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,2,NA,NA,3.27,1.54,NA,133.32,184.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Jace Peterson flies out to left fielder AJ Pollock.",0,0,1,60,"top",9,"2023-08-03T21:49:30.593Z","2023-08-03T21:51:31.547Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.7,91.4,7,0.91,0.3795,6.8108,29.6302,-30.7123,-8.0367,0.6914,-0.4283,2.0078,6.484,-143.7086,-3.5472,-1.6564,50.0051,5.1415,-17.0103,26.4,7.2,24,2153,231,NA,NA,NA,NA,NA,NA,FALSE,-27,0.7,13.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717151,"2023-08-03",3,"2023-08-03T21:49:49.026Z","2023-08-03T21:49:54.057Z",TRUE,"pitch","ad2b4869-c935-482e-a497-066f1162f915",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,0,2,NA,NA,3.2354,1.5367,NA,89.11,230.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Jace Peterson flies out to left fielder AJ Pollock.",0,0,1,60,"top",9,"2023-08-03T21:49:30.593Z","2023-08-03T21:51:31.547Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.9,92,14,0.91,0.3791,6.9777,28.719,-26.626,-8.3176,2.6188,0.7317,0.293,9.0316,-143.6668,-8.9241,-1.3502,50.0052,5.0557,-17.644,30,6,24,2381,225,NA,NA,NA,NA,NA,NA,FALSE,-24.5,3.4,13.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717151,"2023-08-03",2,"2023-08-03T21:49:32.784Z","2023-08-03T21:49:37.051Z",TRUE,"pitch","db684c44-06eb-4d2d-b2d0-e843b11dcb70",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2354,1.5367,NA,156.76,178.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Jace Peterson flies out to left fielder AJ Pollock.",0,0,1,60,"top",9,"2023-08-03T21:49:30.593Z","2023-08-03T21:51:31.547Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.1,91.2,13,0.91,0.379,6.6997,31.8399,-27.7206,-8.7569,2.101,-1.0431,2.2185,5.1923,-144.2359,-3.6502,-1.7238,50.0029,5.1993,-18.5509,31.2,6,24,2223,231,NA,NA,NA,NA,NA,NA,FALSE,-24.5,3.2,14.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717151,"2023-08-03",0,"2023-08-03T21:48:13.757Z","2023-08-03T21:48:35.231Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"60","atBat","Flyout","field_out","Jace Peterson flies out to left fielder AJ Pollock.",0,0,1,60,"top",9,"2023-08-03T21:49:30.593Z","2023-08-03T21:51:31.547Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717151,"2023-08-03",1,"2023-08-03T21:48:35.231Z","2023-08-03T21:49:32.784Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Jace Peterson replaces Nick Ahmed.","Offensive Substitution",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,607054,"/api/v1/people/607054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","60","atBat","Flyout","field_out","Jace Peterson flies out to left fielder AJ Pollock.",0,0,1,60,"top",9,"2023-08-03T21:49:30.593Z","2023-08-03T21:51:31.547Z",TRUE,FALSE,FALSE,TRUE,0,3,1,3,607054,"Jace Peterson","/api/v1/people/607054","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,605113,"/api/v1/people/605113",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717151,"2023-08-03",1,"2023-08-03T21:47:37.917Z","2023-08-03T21:47:47.450Z",TRUE,"pitch","08d30989-4270-42c1-b1b3-a37ee5d0eb77",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.34,1.55,NA,106.74,205.42,"ground_ball","medium","3",156.48,170.28,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Forceout","force_out","Geraldo Perdomo grounds into a force out, first baseman LaMonte Wade Jr. to shortstop Casey Schmitt. Christian Walker to 3rd. Lourdes Gurriel Jr. out at 2nd. Geraldo Perdomo to 1st.",0,0,1,59,"top",9,"2023-08-03T21:47:01.977Z","2023-08-03T21:47:47.450Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",99.8,91.5,14,0.9,0.3772,6.6679,33.3144,-14.5306,-5.6091,8.2601,0.2692,1.2357,6.7726,-145.0812,-8.5974,-1.3645,50.0008,5.1189,-11.9795,32.4,3.6,24,2398,230,88.9,-21,5,NA,NA,NA,TRUE,-14,13.4,8.9,NA,NA,NA,NA,NA,TRUE,TRUE,672695,"Geraldo Perdomo","/api/v1/people/672695",NA,NA,NA,572233,"Christian Walker","/api/v1/people/572233"
717151,"2023-08-03",0,"2023-08-03T21:47:20.149Z","2023-08-03T21:47:24.234Z",TRUE,"pitch","f4a67ceb-adb4-404e-a1f8-9715ca78b348",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.34,1.55,NA,134.68,167.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Forceout","force_out","Geraldo Perdomo grounds into a force out, first baseman LaMonte Wade Jr. to shortstop Casey Schmitt. Christian Walker to 3rd. Lourdes Gurriel Jr. out at 2nd. Geraldo Perdomo to 1st.",0,0,1,59,"top",9,"2023-08-03T21:47:01.977Z","2023-08-03T21:47:47.450Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,672695,"Geraldo Perdomo","/api/v1/people/672695","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",100.1,91.3,4,0.92,0.3762,6.6275,34.9166,-15.1365,-6.055,7.9425,-0.4638,2.6439,5.524,-145.7075,-4.8506,-1.5995,50.0049,5.2479,-12.9933,36,3.6,24,2476,230,NA,NA,NA,NA,NA,NA,FALSE,-13.8,13.6,9.8,NA,NA,NA,NA,NA,TRUE,TRUE,672695,"Geraldo Perdomo","/api/v1/people/672695",NA,NA,NA,NA,NA,NA
717151,"2023-08-03",0,"2023-08-03T21:46:43.924Z","2023-08-03T21:46:54.446Z",TRUE,"pitch","1338df1c-53de-4af0-a44b-8134dce04eaf",1,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",0,0,1,NA,NA,3.57,1.67,NA,135.07,164.42,"line_drive","medium","7",65.18,98.57,NA,NA,NA,NA,NA,NA,NA,NA,"58","atBat","Single","single","Lourdes Gurriel Jr. singles on a line drive to left fielder AJ Pollock. Christian Walker to 2nd.",0,0,1,58,"top",9,"2023-08-03T21:46:17.987Z","2023-08-03T21:46:54.446Z",TRUE,FALSE,FALSE,FALSE,33,0,0,1,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","San Francisco Giants","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.6,89.7,4,0.91,0.3848,6.4479,31.1852,-34.2157,-7.2554,-0.9916,-0.4742,2.7542,5.7481,-142.1028,-0.6123,-1.5759,50.006,5.1378,-14.9084,21.6,7.2,24,2353,233,97.8,13,244,NA,NA,NA,FALSE,-30.4,-1.7,12,NA,NA,NA,NA,NA,FALSE,TRUE,666971,"Lourdes Gurriel Jr.","/api/v1/people/666971",572233,"Christian Walker","/api/v1/people/572233",NA,NA,NA
