"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717165,"2023-08-02",4,"2023-08-02T19:00:09.629Z","2023-08-02T19:00:18.595Z",TRUE,"pitch","bd55b65e-1726-4622-b138-b40ba907bbce",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.17,1.49,NA,124.46,214.51,"ground_ball","medium","6",116.02,150.06,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Luis Rengifo grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,5,12,78,"top",9,"2023-08-02T18:58:18.086Z","2023-08-02T19:00:18.595Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.5,75.1,13,0.91,0.4654,6.8516,20.5276,-33.4584,9.0164,-0.9134,-0.1957,0.899,2.1127,-117.3342,-2.6293,-2.2778,50.0036,5.1274,12.6725,20.4,10.8,24,2716,54,99.9,-28,2,NA,NA,NA,TRUE,-43.8,-2,-16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717165,"2023-08-02",2,"2023-08-02T18:59:05.735Z","2023-08-02T18:59:08.841Z",TRUE,"pitch","a4a619e2-7881-4e3d-8cb3-a82e4133f353",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.17,1.49,NA,111.69,203.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Luis Rengifo grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,5,12,78,"top",9,"2023-08-02T18:58:18.086Z","2023-08-02T19:00:18.595Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.4,75.7,14,0.89,0.4604,6.8122,21.1572,-31.9445,5.4731,0.1634,0.1393,1.2907,3.9682,-118.647,-1.9819,-2.2619,50.0045,5.0279,7.8606,14.4,9.6,24,2655,53,NA,NA,NA,NA,NA,NA,FALSE,-40.8,0.1,-10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717165,"2023-08-02",1,"2023-08-02T18:58:46.342Z","2023-08-02T18:58:51.293Z",TRUE,"pitch","e267a818-30a3-4a97-8ee7-eef5ad4a2519",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.0781,1.4432,NA,56.58,196.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Luis Rengifo grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,5,12,78,"top",9,"2023-08-02T18:58:18.086Z","2023-08-02T19:00:18.595Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.3,75.1,14,0.91,0.463,6.8102,22.7824,-32.9563,7.2867,-0.5553,1.5851,1.5631,6.4239,-118.3414,-1.0793,-2.1119,50.0008,5.0464,10.323,19.2,9.6,24,2700,44,NA,NA,NA,NA,NA,NA,FALSE,-42.4,-1,-14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717165,"2023-08-02",0,"2023-08-02T18:58:29.465Z","2023-08-02T18:58:33.404Z",TRUE,"pitch","cab5d3fc-48a8-4fea-a4d0-a11edeea749f",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.1551,1.5213,NA,112.25,149.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Luis Rengifo grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,5,12,78,"top",9,"2023-08-02T18:58:18.086Z","2023-08-02T19:00:18.595Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",91,84,12,0.9,0.4119,6.7993,25.654,-24.5621,-1.6661,4.2375,0.1247,3.2939,6.2356,-132.4791,-1.0943,-2.0328,50.0005,5.4912,-2.9918,4.8,6,24,2525,209,NA,NA,NA,NA,NA,NA,FALSE,-25.1,7.7,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717165,"2023-08-02",3,"2023-08-02T18:59:44.174Z","2023-08-02T19:00:09.629Z",FALSE,"action",NA,NA,"Injury Delay.","Game Advisory",5,12,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,650859,"/api/v1/people/650859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"game_advisory",NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Luis Rengifo grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,5,12,78,"top",9,"2023-08-02T18:58:18.086Z","2023-08-02T19:00:18.595Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,650859,"Luis Rengifo","/api/v1/people/650859","L","Left",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717165,"2023-08-02",1,"2023-08-02T18:57:53.296Z","2023-08-02T18:58:05.453Z",TRUE,"pitch","84401be4-ba08-4038-bbc9-ecfc40a32f9e",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.467,1.589,NA,108.95,185.25,"ground_ball","medium","6",110.45,147.52,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Jordyn Adams grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,5,12,77,"top",9,"2023-08-02T18:57:31.964Z","2023-08-02T18:58:05.453Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,677941,"Jordyn Adams","/api/v1/people/677941","R","Right",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.2,74.4,8,0.89,0.4646,6.9904,24.1068,-32.5093,5.6482,-0.2366,0.2111,1.9827,3.9211,-118.2305,-0.6133,-2.2071,50.0044,5.2484,7.9366,14.4,9.6,24,2686,37,98.3,-1,38,NA,NA,NA,TRUE,-42,-0.2,-11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,687263,"Zach Neto","/api/v1/people/687263"
717165,"2023-08-02",0,"2023-08-02T18:57:38.121Z","2023-08-02T18:57:42.806Z",TRUE,"pitch","fc604fc1-1dd8-4aba-b74b-f450b1cf44c3",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.467,1.589,NA,138.35,151.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Groundout","field_out","Jordyn Adams grounds out, shortstop Orlando Arcia to first baseman Matt Olson.",0,5,12,77,"top",9,"2023-08-02T18:57:31.964Z","2023-08-02T18:58:05.453Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,677941,"Jordyn Adams","/api/v1/people/677941","R","Right",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.8,83.8,1,0.89,0.4124,6.8194,25.7998,-19.3813,-1.4187,7.1466,-0.5602,3.2497,4.3111,-132.3534,-2.1886,-2.0193,50.0047,5.4926,-2.5406,4.8,4.8,24,2535,210,NA,NA,NA,NA,NA,NA,FALSE,-20,12.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717165,"2023-08-02",0,"2023-08-02T18:57:08.937Z","2023-08-02T18:57:18.312Z",TRUE,"pitch","eeea96c4-7ccd-43cf-bcac-a5a9de0bc0e6",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.77,1.8,NA,120.05,188.47,"line_drive","medium","7",65.49,94.79,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Lineout","field_out","Chad Wallach lines out to left fielder Eddie Rosario.",0,5,12,76,"top",9,"2023-08-02T18:57:00.999Z","2023-08-02T18:57:18.312Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,595453,"Chad Wallach","/api/v1/people/595453","R","Right",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.1,73.9,8,0.91,0.4697,6.9069,22.318,-32.3098,11.0452,-0.1023,-0.0799,1.8632,1.9936,-116.7011,-0.4682,-2.3802,50.0003,5.1144,15.2053,25.2,10.8,24,2776,54,97.1,16,300,NA,NA,NA,TRUE,-42.6,0,-20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,687263,"Zach Neto","/api/v1/people/687263"
717165,"2023-08-02",7,"2023-08-02T18:56:29.365Z","2023-08-02T18:56:42.586Z",TRUE,"pitch","f2974c14-9632-4bc4-820e-e91305e52210",6,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",3,2,0,NA,NA,3.51,1.65,NA,101.27,160.63,"line_drive","hard",NA,99.56,47.94,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Zach Neto hits a ground-rule double (14) on a line drive to left-center field. Eduardo Escobar scores.",1,5,12,75,"top",9,"2023-08-02T18:54:49.509Z","2023-08-02T18:56:42.586Z",TRUE,TRUE,FALSE,FALSE,34,3,2,0,687263,"Zach Neto","/api/v1/people/687263","R","Right",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.5,82.6,6,0.91,0.4189,6.7371,25.5626,-24.9848,-0.1243,4.1459,0.4128,2.8946,6.1146,-130.3821,-1.8343,-1.9395,50.002,5.4792,-0.2156,2.4,6,24,2447,211,103.8,21,380,NA,NA,NA,FALSE,-26.5,7.3,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,687263,"Zach Neto","/api/v1/people/687263"
717165,"2023-08-02",5,"2023-08-02T18:56:00.419Z","2023-08-02T18:56:03.558Z",TRUE,"pitch","44911ba4-3ba5-4c76-9111-ad7a090df2e1",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,0,NA,NA,3.51,1.65,NA,119.25,172.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Double","double","Zach Neto hits a ground-rule double (14) on a line drive to left-center field. Eduardo Escobar scores.",1,5,12,75,"top",9,"2023-08-02T18:54:49.509Z","2023-08-02T18:56:42.586Z",TRUE,TRUE,FALSE,FALSE,34,3,2,0,687263,"Zach Neto","/api/v1/people/687263","R","Right",543521,"Collin McHugh","/api/v1/people/543521","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Los Angeles Angels","Atlanta Braves",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",90.3,84,5,0.93,0.4137,6.7022,23.6941,-20.1084,0.0634,6.7722,-0.059,2.4591,5.0803,-131.5829,-4.1406,-2.01,50.0045,5.5128,0.112,2.4,4.8,24,2521,209,NA,NA,NA,NA,NA,NA,FALSE,-21.4,11.8,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
