"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717245,"2023-07-26",3,"2023-07-27T00:28:18.691Z","2023-07-27T00:28:24.206Z",TRUE,"pitch","86673fc8-30ba-467a-9258-499c030cef6d",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.39,1.64,NA,70.94,166.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jorge Mateo strikes out swinging.",0,4,6,69,"top",9,"2023-07-27T00:27:18.467Z","2023-07-27T00:28:24.206Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,622761,"Jorge Mateo","/api/v1/people/622761","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.2,89.9,12,0.9,0.3831,6.4969,32.7646,-21.6763,10.4976,5.0728,1.2085,2.6946,-5.0433,-142.924,-4.3403,1.6314,50.0044,5.5932,21.732,42,6,24,2380,132,NA,NA,NA,NA,NA,NA,TRUE,-19.8,8.5,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",2,"2023-07-27T00:28:02.636Z","2023-07-27T00:28:06.833Z",TRUE,"pitch","465fe166-debc-498f-a0df-f58a1081ea61",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.3902,1.6642,NA,152.23,208.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jorge Mateo strikes out swinging.",0,4,6,69,"top",9,"2023-07-27T00:27:18.467Z","2023-07-27T00:28:24.206Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,622761,"Jorge Mateo","/api/v1/people/622761","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.9,84,13,0.9,0.4136,6.6092,26.7651,-27.7952,0.965,2.462,-0.9241,1.1363,-6.1764,-132.1697,-6.3139,1.3123,50.0033,5.583,1.7171,1.2,7.2,24,2639,205,NA,NA,NA,NA,NA,NA,FALSE,-29.6,3.4,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",1,"2023-07-27T00:27:44.698Z","2023-07-27T00:27:48.240Z",TRUE,"pitch","ea1a3e35-5646-4f64-a758-8c7c8c75c9f8",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.39,1.64,NA,113.46,165.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jorge Mateo strikes out swinging.",0,4,6,69,"top",9,"2023-07-27T00:27:18.467Z","2023-07-27T00:28:24.206Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,622761,"Jorge Mateo","/api/v1/people/622761","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.9,89.3,5,0.89,0.3853,6.54,33.4953,-22.7254,10.6186,4.6165,0.0928,2.7064,-7.6944,-142.318,-4.0647,1.4557,50.0009,5.5974,21.7205,39.6,6,24,2432,139,NA,NA,NA,NA,NA,NA,FALSE,-21,7.7,-17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",0,"2023-07-27T00:27:29.208Z","2023-07-27T00:27:33.515Z",TRUE,"pitch","d2b2b09c-1d20-4868-92e7-275805b3efec",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3902,1.6882,NA,132.59,150.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jorge Mateo strikes out swinging.",0,4,6,69,"top",9,"2023-07-27T00:27:18.467Z","2023-07-27T00:28:24.206Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,622761,"Jorge Mateo","/api/v1/people/622761","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.1,90.3,1,0.9,0.3807,6.754,34.049,-20.8505,10.3387,5.4034,-0.409,3.2796,-8.9722,-143.9934,-3.2786,1.4071,50.0022,5.726,21.6671,42,6,24,2373,135,NA,NA,NA,NA,NA,NA,FALSE,-18.7,9.2,-16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",3,"2023-07-27T00:26:53.270Z","2023-07-27T00:26:59.714Z",TRUE,"pitch","ce3b89a8-425d-48e1-ad7e-a7953d211d71",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.36,1.56,NA,135.52,166.73,"fly_ball","medium","9",195.11,106.63,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","James McCann flies out to right fielder Brandon Marsh.",0,4,6,68,"top",9,"2023-07-27T00:25:57.981Z","2023-07-27T00:26:59.714Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,543510,"James McCann","/api/v1/people/543510","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.6,90.1,4,0.92,0.3822,6.5573,32.9124,-17.121,9.954,7.2351,-0.4858,2.6686,-9.0572,-143.2705,-5.2951,1.4223,50.0022,5.6098,20.7056,45.6,4.8,24,2491,132,84,30,287,NA,NA,NA,TRUE,-16,12.2,-16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",2,"2023-07-27T00:26:35.558Z","2023-07-27T00:26:39.137Z",TRUE,"pitch","b2472286-8fca-42c9-8dc1-9948f6165c0e",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.3602,1.544,NA,107.04,127.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","James McCann flies out to right fielder Brandon Marsh.",0,4,6,68,"top",9,"2023-07-27T00:25:57.981Z","2023-07-27T00:26:59.714Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,543510,"James McCann","/api/v1/people/543510","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.9,89.5,12,0.9,0.3843,6.5129,32.1551,-22.1289,9.9882,4.8824,0.2612,4.1097,-7.556,-142.4235,-0.8355,1.6485,50.0049,5.804,20.5592,40.8,6,24,2399,140,NA,NA,NA,NA,NA,NA,FALSE,-19.7,8.9,-16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",1,"2023-07-27T00:26:20.138Z","2023-07-27T00:26:23.961Z",TRUE,"pitch","14f37811-9dbe-4290-8632-ac2018238311",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3602,1.568,NA,178.38,208.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","James McCann flies out to right fielder Brandon Marsh.",0,4,6,68,"top",9,"2023-07-27T00:25:57.981Z","2023-07-27T00:26:59.714Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,543510,"James McCann","/api/v1/people/543510","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.6,82,13,0.9,0.4244,6.7051,25.4257,-29.0609,0.0842,1.8446,-1.6103,1.1395,-7.582,-128.7933,-5.8109,1.3543,50.0052,5.6578,0.1438,2.4,7.2,24,2621,257,NA,NA,NA,NA,NA,NA,FALSE,-32.5,2.3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",0,"2023-07-27T00:26:05.127Z","2023-07-27T00:26:09.252Z",TRUE,"pitch","121d8933-88bf-4fa2-b304-ed1e0e0d90ea",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.2874,1.5921,NA,139.93,192.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Flyout","field_out","James McCann flies out to right fielder Brandon Marsh.",0,4,6,68,"top",9,"2023-07-27T00:25:57.981Z","2023-07-27T00:26:59.714Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,543510,"James McCann","/api/v1/people/543510","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.5,81.9,7,0.9,0.4241,6.4405,25.0959,-27.4052,-0.7691,2.818,-0.6017,1.7109,-5.0334,-128.8373,-5.0544,1.4719,50.0047,5.7992,-1.3001,4.8,7.2,24,2488,165,NA,NA,NA,NA,NA,NA,FALSE,-30.5,4.2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",1,"2023-07-27T00:25:29.396Z","2023-07-27T00:25:37.520Z",TRUE,"pitch","86330dc5-e871-4859-ae72-7475701b2bea",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.12,1.48,NA,118.76,170.73,"ground_ball","medium","5",89.64,154.96,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Groundout","field_out","Ramon Urias grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",0,4,6,67,"top",9,"2023-07-27T00:25:27.082Z","2023-07-27T00:25:37.520Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,602104,"Ramón Urías","/api/v1/people/602104","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.9,81.5,5,0.9,0.4236,6.5408,27.5129,-28.0755,0.9563,2.4218,-0.0463,2.5202,-4.4378,-129.4135,-3.2675,1.568,50.0042,5.9545,1.6198,1.2,7.2,24,2418,151,77.3,7,93,NA,NA,NA,TRUE,-30.7,3.8,-0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717245,"2023-07-26",0,"2023-07-27T00:23:50.406Z","2023-07-27T00:25:29.396Z",FALSE,"action",NA,NA,"Pitching Change: Gregory Soto replaces Craig Kimbrel.","Pitching Substitution",4,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,642397,"/api/v1/people/642397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"67","atBat","Groundout","field_out","Ramon Urias grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",0,4,6,67,"top",9,"2023-07-27T00:25:27.082Z","2023-07-27T00:25:37.520Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,602104,"Ramón Urías","/api/v1/people/602104","R","Right",642397,"Gregory Soto","/api/v1/people/642397","L","Left","vs_LHP","vs_RHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
