"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717291,"2023-07-23",6,"2023-07-23T20:29:32.084Z","2023-07-23T20:29:38.301Z",TRUE,"pitch","326d3218-d172-48ab-8b75-ac0ef413c2f2",5,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,2,NA,NA,3.39,1.51,NA,124.21,234.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Wander Franco strikes out swinging.",0,5,3,75,"bottom",9,"2023-07-23T20:27:40.687Z","2023-07-23T20:29:38.301Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677551,"Wander Franco","/api/v1/people/677551","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.5,82.2,13,0.9,0.4223,6.8623,28.4026,-22.0573,-5.4421,5.9449,-0.189,0.1594,1.9091,-129.9155,-11.5543,-0.2284,50.0005,6.356,-9.258,20.4,6,24,665,228,NA,NA,NA,NA,NA,NA,TRUE,-26.2,8.3,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717291,"2023-07-23",5,"2023-07-23T20:28:57.514Z","2023-07-23T20:29:01.554Z",TRUE,"pitch","2e7b89b0-b752-4627-a021-649c11ed2487",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.39,1.51,NA,105.6,170.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Wander Franco strikes out swinging.",0,5,3,75,"bottom",9,"2023-07-23T20:27:40.687Z","2023-07-23T20:29:38.301Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677551,"Wander Franco","/api/v1/people/677551","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",101.4,92.2,6,2,0.3726,6.7498,36.3344,-1.6354,-2.7976,13.9693,0.299,2.5459,0.7804,-147.2327,-11.3516,0.3933,50.0048,6.5556,-6.1167,52.8,1.2,24,2549,182,NA,NA,NA,NA,NA,NA,FALSE,-3.7,23.2,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717291,"2023-07-23",4,"2023-07-23T20:28:30.657Z","2023-07-23T20:28:33.657Z",TRUE,"pitch","17dc6656-f5e0-42aa-ab3c-d965ebec14e7",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.39,1.51,NA,138.47,138.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Wander Franco strikes out swinging.",0,5,3,75,"bottom",9,"2023-07-23T20:27:40.687Z","2023-07-23T20:29:38.301Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677551,"Wander Franco","/api/v1/people/677551","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.6,90.6,11,2,0.3787,6.8595,35.1039,-4.0891,-3.5773,13.2697,-0.5632,3.7074,-1.0649,-144.8516,-7.9848,0.2744,50.0059,6.7555,-7.5718,52.8,2.4,24,2420,186,NA,NA,NA,NA,NA,NA,FALSE,-5.2,22.6,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717291,"2023-07-23",3,"2023-07-23T20:28:06.435Z","2023-07-23T20:28:09.435Z",TRUE,"pitch","14ea2848-ce7c-496e-90ba-fac220fee0d0",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2831,1.558,NA,152.36,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Wander Franco strikes out swinging.",0,5,3,75,"bottom",9,"2023-07-23T20:27:40.687Z","2023-07-23T20:29:38.301Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677551,"Wander Franco","/api/v1/people/677551","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",101.2,91.8,11,2,0.373,6.8181,37.0914,-3.399,-3.2915,13.1999,-0.9276,4.2547,-1.9052,-147.2039,-6.6182,0.157,50.0049,6.7408,-7.1772,56.4,1.2,24,2476,187,NA,NA,NA,NA,NA,NA,FALSE,-4.2,22.7,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717291,"2023-07-23",2,"2023-07-23T20:27:43.085Z","2023-07-23T20:27:46.085Z",TRUE,"pitch","037d0e0c-3552-4e48-99a4-ed6a46c7d7d6",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.39,1.51,NA,127.52,180.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Wander Franco strikes out swinging.",0,5,3,75,"bottom",9,"2023-07-23T20:27:40.687Z","2023-07-23T20:29:38.301Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677551,"Wander Franco","/api/v1/people/677551","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.4,91.6,5,2,0.3759,6.6033,34.8776,-1.8088,-2.4501,14.1263,-0.276,2.1649,-0.7487,-145.817,-12.2667,0.3024,50.0007,6.5386,-5.2654,49.2,1.2,24,2553,184,NA,NA,NA,NA,NA,NA,FALSE,-4,23.3,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717291,"2023-07-23",0,"2023-07-23T20:26:42.092Z","2023-07-23T20:26:46.787Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Vidal Brujan replaces Yandy Diaz.","Offensive Substitution",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,660644,"/api/v1/people/660644",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","101","75","atBat","Strikeout","strikeout","Wander Franco strikes out swinging.",0,5,3,75,"bottom",9,"2023-07-23T20:27:40.687Z","2023-07-23T20:29:38.301Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677551,"Wander Franco","/api/v1/people/677551","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,650490,"/api/v1/people/650490",NA,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717291,"2023-07-23",1,"2023-07-23T20:26:46.787Z","2023-07-23T20:27:43.085Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Wander Franco strikes out swinging.",0,5,3,75,"bottom",9,"2023-07-23T20:27:40.687Z","2023-07-23T20:29:38.301Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677551,"Wander Franco","/api/v1/people/677551","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717291,"2023-07-23",1,"2023-07-23T20:26:01.862Z","2023-07-23T20:26:12.175Z",TRUE,"pitch","e517b7d2-cdfa-4e69-a439-5bfbcfc34983",2,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,0,2,NA,NA,3.48,1.71,NA,125.03,190.15,"ground_ball","medium","9",190.79,113.49,NA,NA,TRUE,NA,NA,NA,NA,NA,"74","atBat","Single","single","Yandy Diaz singles on a ground ball to right fielder Colton Cowser. Manuel Margot to 3rd.",0,5,3,74,"bottom",9,"2023-07-23T20:25:31.289Z","2023-07-23T20:26:12.175Z",TRUE,FALSE,FALSE,FALSE,33,1,0,2,650490,"Yandy Díaz","/api/v1/people/650490","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.8,91.1,8,2,0.3784,6.6825,34.0965,-4.3052,-4.8007,13.1389,-0.2107,1.8011,0.6798,-144.7841,-12.8133,0.1749,50.0016,6.5493,-10.1817,54,2.4,24,2392,188,99.4,0,43,NA,NA,NA,FALSE,-6.2,21.4,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,650490,"Yandy Díaz","/api/v1/people/650490",NA,NA,NA,622534,"Manuel Margot","/api/v1/people/622534",NA,NA,NA,NA
717291,"2023-07-23",0,"2023-07-23T20:25:39.694Z","2023-07-23T20:25:42.694Z",TRUE,"pitch","40be92c4-5f18-4110-86a4-420066c832af",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.48,1.6205,NA,57.18,135.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Single","single","Yandy Diaz singles on a ground ball to right fielder Colton Cowser. Manuel Margot to 3rd.",0,5,3,74,"bottom",9,"2023-07-23T20:25:31.289Z","2023-07-23T20:26:12.175Z",TRUE,FALSE,FALSE,FALSE,33,1,0,2,650490,"Yandy Díaz","/api/v1/people/650490","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.5,82.1,12,0.91,0.423,6.8085,24.5451,-32.4196,3.543,-0.1433,1.5693,3.8175,3.7842,-129.0365,-1.0144,-0.3717,50.0047,6.6933,6.0285,12,8.4,24,2412,110,NA,NA,NA,NA,NA,NA,FALSE,-34.8,-0.2,-7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,650490,"Yandy Díaz","/api/v1/people/650490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717291,"2023-07-23",4,"2023-07-23T20:25:07.888Z","2023-07-23T20:25:11.346Z",TRUE,"pitch","c8c84640-6a38-413c-bf63-45bf85cdfbad",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.77,1.84,NA,149.45,201.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Strikeout","strikeout","Josh Lowe strikes out swinging.",0,5,3,73,"bottom",9,"2023-07-23T20:23:54.367Z","2023-07-23T20:25:11.346Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,666139,"Josh Lowe","/api/v1/people/666139","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Baltimore Orioles",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89,81.5,13,0.9,0.4246,6.5287,29.0238,-27.5165,-3.6588,2.7708,-0.8513,1.3697,-0.14,-129.3954,-7.8215,-0.3215,50.0049,6.5645,-6.155,12,7.2,24,546,244,NA,NA,NA,NA,NA,NA,TRUE,-31.4,3.4,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,622534,"Manuel Margot","/api/v1/people/622534",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
