"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717367,"2023-07-18",2,"2023-07-18T02:14:07.021Z","2023-07-18T02:14:11.299Z",TRUE,"pitch","1e73d620-ccde-477e-846e-600f9db53241",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.4409,1.58,NA,45.58,215.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Wild Pitch","wild_pitch","Wild pitch by pitcher Pete Fairbanks. Josh H. Smith scores.",0,2,3,66,"bottom",9,"2023-07-18T02:13:06.855Z","2023-07-18T02:14:11.299Z",TRUE,TRUE,FALSE,FALSE,37,2,1,2,641598,"Mitch Garver","/api/v1/people/641598","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.4,92.2,14,0.92,0.3758,6.9879,32.7337,-5.8589,0.4028,12.2182,1.8736,0.8773,4.9317,-145.5054,-14.8123,0.1075,50.0034,6.3784,0.8666,12,1.2,24,2438,188,NA,NA,NA,NA,NA,NA,FALSE,-7.8,19.4,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717367,"2023-07-18",1,"2023-07-18T02:13:43.527Z","2023-07-18T02:13:47.151Z",TRUE,"pitch","94798947-b4ad-4247-acc9-0bd261206b4d",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.43,1.58,NA,134.94,187.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Wild Pitch","wild_pitch","Wild pitch by pitcher Pete Fairbanks. Josh H. Smith scores.",0,2,3,66,"bottom",9,"2023-07-18T02:13:06.855Z","2023-07-18T02:14:11.299Z",TRUE,TRUE,FALSE,FALSE,37,2,1,2,641598,"Mitch Garver","/api/v1/people/641598","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.6,81,7,0.9,0.4296,6.8954,26.4846,-40.0707,1.1493,-4.7931,-0.4707,1.9136,-1.0531,-127.5561,-4.3812,-0.2016,50.006,6.8164,1.8924,2.4,9.6,24,2635,49,NA,NA,NA,NA,NA,NA,FALSE,-45.1,-9.5,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717367,"2023-07-18",0,"2023-07-18T02:13:24.700Z","2023-07-18T02:13:28.466Z",TRUE,"pitch","5f9d8a77-96fe-4695-89c0-8315e4d443b2",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4843,1.6886,NA,134.1,198.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Wild Pitch","wild_pitch","Wild pitch by pitcher Pete Fairbanks. Josh H. Smith scores.",0,2,3,66,"bottom",9,"2023-07-18T02:13:06.855Z","2023-07-18T02:14:11.299Z",TRUE,TRUE,FALSE,FALSE,37,2,1,2,641598,"Mitch Garver","/api/v1/people/641598","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88,81.4,13,0.89,0.4276,6.8422,26.7052,-37.7727,1.2869,-3.3721,-0.4485,1.4845,-1.2067,-128.1291,-5.982,-0.1384,50.0011,6.804,2.1375,2.4,9.6,24,2546,44,NA,NA,NA,NA,NA,NA,FALSE,-42.5,-7.2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717367,"2023-07-18",0,"2023-07-18T02:12:47.151Z","2023-07-18T02:12:54.385Z",TRUE,"pitch","85b70a61-55c7-4f61-8b1e-217336b10126",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.51,1.63,NA,105.68,194.95,"ground_ball","medium","4",143.65,153.14,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Nathaniel Lowe grounds out, second baseman Taylor Walls to first baseman Yandy Diaz. Josh H. Smith to 3rd.",0,2,2,65,"bottom",9,"2023-07-18T02:12:22.481Z","2023-07-18T02:12:54.385Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,663993,"Nathaniel Lowe","/api/v1/people/663993","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.2,91.7,9,0.91,0.3766,7.0452,34.0451,-8.6721,-0.2607,10.9694,0.2971,1.6235,1.4176,-145.4339,-12.4415,-0.1628,50.005,6.4827,-0.5589,1.2,2.4,24,2475,194,109.4,-20,5,NA,NA,NA,TRUE,-9.8,17.6,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,669701,"Josh Smith","/api/v1/people/669701"
717367,"2023-07-18",7,"2023-07-18T02:12:17.284Z","2023-07-18T02:12:20.994Z",TRUE,"pitch","e255eb34-86ee-470b-b828-20dc07829830",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,3,0,NA,NA,3.219,1.6292,NA,134.03,190.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Adolis Garcia called out on strikes.",0,2,2,64,"bottom",9,"2023-07-18T02:10:13.086Z","2023-07-18T02:12:20.994Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,666969,"Adolis García","/api/v1/people/666969","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.5,91.8,7,0.92,0.3755,6.9227,34.6674,-8.5941,-0.2048,10.9454,-0.4468,1.7816,-0.3555,-145.9282,-11.7883,-0.2967,50.0056,6.3938,-0.4413,2.4,2.4,24,2409,189,NA,NA,NA,NA,NA,NA,TRUE,-9.6,17.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,669701,"Josh Smith","/api/v1/people/669701",NA,NA,NA
717367,"2023-07-18",6,"2023-07-18T02:11:55.589Z","2023-07-18T02:12:00.196Z",TRUE,"pitch","8456173f-eb0f-43b1-8c23-364973f88f8d",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,0,NA,NA,3.219,1.586,NA,149.22,186.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Adolis Garcia called out on strikes.",0,2,2,64,"bottom",9,"2023-07-18T02:10:13.086Z","2023-07-18T02:12:20.994Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,666969,"Adolis García","/api/v1/people/666969","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.9,91.2,13,0.92,0.3778,6.7324,34.4819,-8.0561,-0.4383,11.3349,-0.8453,1.9511,-1.4081,-145.0659,-11.5984,-0.2964,50.0003,6.4956,-0.9322,7.2,2.4,24,2389,188,NA,NA,NA,NA,NA,NA,FALSE,-9.2,18.4,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717367,"2023-07-18",5,"2023-07-18T02:11:34.355Z","2023-07-18T02:11:37.441Z",TRUE,"pitch","74cfe338-4771-4130-ad33-9b32cac1c1b5",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,0,NA,NA,3.37,1.64,NA,88.56,205.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Adolis Garcia called out on strikes.",0,2,2,64,"bottom",9,"2023-07-18T02:10:13.086Z","2023-07-18T02:12:20.994Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,666969,"Adolis García","/api/v1/people/666969","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,82.4,14,0.88,0.4236,6.8822,26.1033,-36.8868,1.7462,-2.7815,0.7462,1.2149,1.3641,-129.1364,-6.8073,-0.0152,50.0023,6.7117,2.9583,4.8,9.6,24,2510,45,NA,NA,NA,NA,NA,NA,FALSE,-40.9,-6.2,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717367,"2023-07-18",4,"2023-07-18T02:11:10.781Z","2023-07-18T02:11:13.950Z",TRUE,"pitch","56b809a4-e096-4296-bc73-d66a88e8d97a",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,1,0,NA,NA,3.1813,1.5968,NA,92.52,231.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Adolis Garcia called out on strikes.",0,2,2,64,"bottom",9,"2023-07-18T02:10:13.086Z","2023-07-18T02:12:20.994Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,666969,"Adolis García","/api/v1/people/666969","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.3,91.3,14,0.92,0.3781,6.8395,35.9696,-6.2493,1.7415,12.2167,0.6422,0.2631,1.8976,-145.2061,-16.4101,-0.2475,50.0024,6.3846,3.6958,21.6,2.4,24,2504,187,NA,NA,NA,NA,NA,NA,FALSE,-8.8,18.8,-3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717367,"2023-07-18",2,"2023-07-18T02:10:33.561Z","2023-07-18T02:10:36.561Z",TRUE,"pitch","be85c06b-9a1e-4b22-92d4-f58fb2440ef2",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,0,NA,NA,3.37,1.64,NA,119.66,196.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Adolis Garcia called out on strikes.",0,2,2,64,"bottom",9,"2023-07-18T02:10:13.086Z","2023-07-18T02:12:20.994Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,666969,"Adolis García","/api/v1/people/666969","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.4,82.1,8,0.88,0.4246,6.8522,25.3099,-33.9638,3.1218,-1.0654,-0.0698,1.5681,-0.6251,-128.7076,-6.5374,-0.2302,50.0011,6.753,5.2661,8.4,8.4,24,2513,54,NA,NA,NA,NA,NA,NA,FALSE,-37.9,-3.1,-5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717367,"2023-07-18",1,"2023-07-18T02:10:15.308Z","2023-07-18T02:10:18.308Z",TRUE,"pitch","da762d38-e160-4fe8-8d2b-0f8231214707",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.3916,1.7264,NA,87.31,206.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Adolis Garcia called out on strikes.",0,2,2,64,"bottom",9,"2023-07-18T02:10:13.086Z","2023-07-18T02:12:20.994Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,666969,"Adolis García","/api/v1/people/666969","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","RISP",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.1,81.7,14,0.89,0.4269,6.754,25.9645,-35.7655,2.7808,-2.1503,0.779,1.2127,1.4402,-128.1909,-6.874,-0.1511,50.0053,6.7138,4.6385,7.2,9.6,24,2561,51,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-5.2,-5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
