"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717387,"2023-07-16",4,"2023-07-17T00:01:10.985Z","2023-07-17T00:01:20.998Z",TRUE,"pitch","eb054850-bfe4-4b94-9550-f73e2680625c",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,1,NA,NA,3.19,1.54,NA,119.26,172.81,"line_drive","medium","7",70.28,90.41,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Sac Fly","sac_fly","Kyle Schwarber out on a sacrifice fly to left fielder Juan Soto. Edmundo Sosa scores.",1,6,7,91,"bottom",12,"2023-07-17T00:00:14.202Z","2023-07-17T00:01:20.998Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,656941,"Kyle Schwarber","/api/v1/people/656941","L","Left",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.4,75.4,5,0.91,0.4579,7.0954,22.6357,-30.2408,1.2558,1.3312,-0.0594,2.4433,-9.2448,-119.5391,4.1074,3.6916,50.0012,3.4149,1.8222,0,8.4,24,2031,121,90.2,21,304,NA,NA,NA,TRUE,-36.7,3.7,-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717387,"2023-07-16",3,"2023-07-17T00:00:49.450Z","2023-07-17T00:00:53.214Z",TRUE,"pitch","da5bcf22-8a8c-4d4a-a369-7817d5ef6fa6",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.19,1.54,NA,117.14,165.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Sac Fly","sac_fly","Kyle Schwarber out on a sacrifice fly to left fielder Juan Soto. Edmundo Sosa scores.",1,6,7,91,"bottom",12,"2023-07-17T00:00:14.202Z","2023-07-17T00:01:20.998Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,656941,"Kyle Schwarber","/api/v1/people/656941","L","Left",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",88.7,80.7,2,0.91,0.4262,6.9441,26.3649,-29.8617,10.9889,1.3826,-0.0037,2.7229,-12.6787,-128.4561,4.1709,3.5659,50.0031,3.3985,18.3838,28.8,8.4,24,2088,87,NA,NA,NA,NA,NA,NA,FALSE,-31.3,3.8,-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717387,"2023-07-16",2,"2023-07-17T00:00:33.041Z","2023-07-17T00:00:36.897Z",TRUE,"pitch","3beb26ae-127b-40ed-b891-a900acb77411",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,3.19,1.54,NA,110.11,200.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Sac Fly","sac_fly","Kyle Schwarber out on a sacrifice fly to left fielder Juan Soto. Edmundo Sosa scores.",1,6,7,91,"bottom",12,"2023-07-17T00:00:14.202Z","2023-07-17T00:01:20.998Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,656941,"Kyle Schwarber","/api/v1/people/656941","L","Left",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",80.7,73.9,14,0.91,0.4673,7.1389,22.3204,-30.1851,1.8976,1.4342,0.1807,1.4078,-8.6393,-117.2417,2.0936,3.6681,50.0054,3.3217,2.6404,2.4,8.4,24,2041,126,NA,NA,NA,NA,NA,NA,FALSE,-38.8,3.5,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717387,"2023-07-16",1,"2023-07-17T00:00:16.573Z","2023-07-17T00:00:21.078Z",TRUE,"pitch","5c595543-5a3f-46c0-8410-732485c0a311",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1905,1.5922,NA,149.02,208.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91","atBat","Sac Fly","sac_fly","Kyle Schwarber out on a sacrifice fly to left fielder Juan Soto. Edmundo Sosa scores.",1,6,7,91,"bottom",12,"2023-07-17T00:00:14.202Z","2023-07-17T00:01:20.998Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,656941,"Kyle Schwarber","/api/v1/people/656941","L","Left",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",89.2,81.6,13,0.91,0.4242,7.0538,26.0199,-36.1196,11.5391,-2.3308,-0.84,1.1123,-15.5964,-128.9656,1.6553,3.7779,50.0063,3.2416,19.5048,25.2,9.6,24,2218,91,NA,NA,NA,NA,NA,NA,FALSE,-38.3,-3.6,-17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717387,"2023-07-16",0,"2023-07-16T23:59:10.021Z","2023-07-17T00:00:16.573Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"91","atBat","Sac Fly","sac_fly","Kyle Schwarber out on a sacrifice fly to left fielder Juan Soto. Edmundo Sosa scores.",1,6,7,91,"bottom",12,"2023-07-17T00:00:14.202Z","2023-07-17T00:01:20.998Z",TRUE,TRUE,FALSE,TRUE,0,1,2,2,656941,"Kyle Schwarber","/api/v1/people/656941","L","Left",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717387,"2023-07-16",5,"2023-07-16T23:58:28.785Z","2023-07-16T23:58:37.764Z",TRUE,"pitch","da576aa1-79ba-4667-bb7f-7e6b17d36fc5",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,0,NA,NA,3.319,1.513,NA,101.27,165.09,"bunt_grounder","medium","5",131.58,193.67,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Sac Bunt","sac_bunt","Johan Rojas out on a sacrifice bunt, third baseman Manny Machado to second baseman Ha-Seong Kim. Edmundo Sosa to 3rd.",0,6,6,90,"bottom",12,"2023-07-16T23:57:43.111Z","2023-07-16T23:58:37.764Z",TRUE,FALSE,FALSE,TRUE,4,1,0,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89.5,81.7,6,0.86,0.4217,6.9724,26.607,-32.36,10.789,-0.1123,0.4126,2.7293,-11.9159,-129.7754,4.3079,3.6572,50.0001,3.5098,18.4409,26.4,8.4,24,2060,95,29.8,-21,7,NA,NA,NA,TRUE,-33.2,1.1,-16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,624641,"Edmundo Sosa","/api/v1/people/624641",NA,NA,NA
717387,"2023-07-16",4,"2023-07-16T23:58:05.116Z","2023-07-16T23:58:11.293Z",TRUE,"pitch","8d5a8b5d-d4e9-4290-bad0-1ab1fa14e611",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,2.856,1.4238,NA,62.28,153.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90","atBat","Sac Bunt","sac_bunt","Johan Rojas out on a sacrifice bunt, third baseman Manny Machado to second baseman Ha-Seong Kim. Edmundo Sosa to 3rd.",0,6,6,90,"bottom",12,"2023-07-16T23:57:43.111Z","2023-07-16T23:58:37.764Z",TRUE,FALSE,FALSE,TRUE,4,1,0,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",89.8,82.2,12,0.9,0.4193,6.7925,25.9912,-30.9957,9.8555,0.6784,1.4357,3.149,-9.7226,-130.3543,5.0793,3.9235,50.0009,3.5092,17.0531,26.4,8.4,24,2069,89,NA,NA,NA,NA,NA,NA,FALSE,-31.3,2.6,-15.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717387,"2023-07-16",0,"2023-07-16T23:57:20.122Z","2023-07-16T23:57:20.174Z",FALSE,"action",NA,NA,"Matthew Batten remains in the game as the designated hitter.","Defensive Switch",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,676946,"/api/v1/people/676946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"10","Designated Hitter","Hitter","DH","701","90","atBat","Sac Bunt","sac_bunt","Johan Rojas out on a sacrifice bunt, third baseman Manny Machado to second baseman Ha-Seong Kim. Edmundo Sosa to 3rd.",0,6,6,90,"bottom",12,"2023-07-16T23:57:43.111Z","2023-07-16T23:58:37.764Z",TRUE,FALSE,FALSE,TRUE,4,1,0,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,572761,"/api/v1/people/572761",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717387,"2023-07-16",1,"2023-07-16T23:57:20.174Z","2023-07-16T23:57:35.061Z",FALSE,"action",NA,NA,"Rougned Odor remains in the game as the first baseman.","Defensive Switch",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,596059,"/api/v1/people/596059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"3","First Base","Infielder","1B","801","90","atBat","Sac Bunt","sac_bunt","Johan Rojas out on a sacrifice bunt, third baseman Manny Machado to second baseman Ha-Seong Kim. Edmundo Sosa to 3rd.",0,6,6,90,"bottom",12,"2023-07-16T23:57:43.111Z","2023-07-16T23:58:37.764Z",TRUE,FALSE,FALSE,TRUE,4,1,0,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,641525,"/api/v1/people/641525",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717387,"2023-07-16",2,"2023-07-16T23:57:35.061Z","2023-07-16T23:57:43.111Z",FALSE,"action",NA,NA,"Edmundo Sosa starts inning at 2nd base.","Runner Placed On Base",6,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,624641,"/api/v1/people/624641",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"runner_placed",NA,NA,NA,NA,NA,NA,"90","atBat","Sac Bunt","sac_bunt","Johan Rojas out on a sacrifice bunt, third baseman Manny Machado to second baseman Ha-Seong Kim. Edmundo Sosa to 3rd.",0,6,6,90,"bottom",12,"2023-07-16T23:57:43.111Z","2023-07-16T23:58:37.764Z",TRUE,FALSE,FALSE,TRUE,4,1,0,1,679032,"Johan Rojas","/api/v1/people/679032","R","Right",657612,"Tim Hill","/api/v1/people/657612","L","Left","vs_LHP","vs_RHB","RISP",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
