"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717395,"2023-07-15",2,"2023-07-16T02:01:37.112Z","2023-07-16T02:01:44.874Z",TRUE,"pitch","4830bcd7-25a4-4c92-bc27-3af8ebda23a2",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.48,1.71,NA,149.56,181.27,"ground_ball","medium","6",119.94,150.86,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Grounded Into DP","grounded_into_double_play","Sean Murphy grounds into a double play, shortstop Tim Anderson to first baseman Andrew Vaughn. Matt Olson out at 2nd. Sean Murphy out at 1st.",0,6,5,77,"bottom",9,"2023-07-16T02:00:40.646Z","2023-07-16T02:01:44.874Z",TRUE,FALSE,FALSE,TRUE,24,1,1,3,669221,"Sean Murphy","/api/v1/people/669221","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.5,88.9,13,0.89,0.3891,6.3777,30.0302,-21.074,-8.7195,5.5268,-0.8543,2.1299,3.7438,-140.4365,-6.0396,-1.0672,50.0065,5.6671,-17.5241,37.2,6,24,2219,219,68.2,7,78,NA,NA,NA,TRUE,-20.2,9,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717395,"2023-07-15",1,"2023-07-16T02:01:18.948Z","2023-07-16T02:01:23.576Z",TRUE,"pitch","c92ab45b-447b-474a-b66d-392fe09d5af7",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.5155,1.7089,NA,163.68,164.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Grounded Into DP","grounded_into_double_play","Sean Murphy grounds into a double play, shortstop Tim Anderson to first baseman Andrew Vaughn. Matt Olson out at 2nd. Sean Murphy out at 1st.",0,6,5,77,"bottom",9,"2023-07-16T02:00:40.646Z","2023-07-16T02:01:44.874Z",TRUE,FALSE,FALSE,TRUE,24,1,1,3,669221,"Sean Murphy","/api/v1/people/669221","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.1,88.5,11,0.86,0.3903,6.3284,29.8536,-21.6988,-8.0076,5.2452,-1.2246,2.7642,2.6283,-140.007,-4.3956,-1.1318,50.0038,5.7639,-15.9916,34.8,6,24,2231,223,NA,NA,NA,NA,NA,NA,FALSE,-20.5,8.9,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717395,"2023-07-15",0,"2023-07-16T02:01:01.957Z","2023-07-16T02:01:06.779Z",TRUE,"pitch","189193d2-5c19-42ac-8ec8-bc03378641d5",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3796,1.5987,NA,119.69,150.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Grounded Into DP","grounded_into_double_play","Sean Murphy grounds into a double play, shortstop Tim Anderson to first baseman Andrew Vaughn. Matt Olson out at 2nd. Sean Murphy out at 1st.",0,6,5,77,"bottom",9,"2023-07-16T02:00:40.646Z","2023-07-16T02:01:44.874Z",TRUE,FALSE,FALSE,TRUE,24,1,1,3,669221,"Sean Murphy","/api/v1/people/669221","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.3,88.6,2,0.9,0.3897,6.4855,29.897,-22.8881,-8.8549,4.6345,-0.0705,3.258,5.6702,-140.237,-2.8223,-0.9618,50.0041,5.7603,-17.7463,34.8,6,24,2195,219,NA,NA,NA,NA,NA,NA,FALSE,-21.2,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717395,"2023-07-15",2,"2023-07-16T02:00:05.029Z","2023-07-16T02:00:17.325Z",TRUE,"pitch","72e71b01-9924-4561-9867-06a344bf982c",3,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,0,1,NA,NA,3.49,1.73,NA,121.99,208.23,"line_drive","medium","7",71.7,99.1,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Single","single","Matt Olson singles on a line drive to left fielder Andrew Benintendi. Ozzie Albies to 3rd.",0,6,5,76,"bottom",9,"2023-07-16T01:59:00.605Z","2023-07-16T02:00:17.325Z",TRUE,FALSE,FALSE,FALSE,33,2,0,1,621566,"Matt Olson","/api/v1/people/621566","L","Left",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.2,83.1,13,0.9,0.4195,6.4823,23.5799,-27.9099,-6.3792,2.4633,-0.131,1.1315,4.7767,-129.8791,-6.0311,-1.1522,50.0059,5.568,-11.0555,19.2,7.2,24,1814,229,98.1,15,284,NA,NA,NA,FALSE,-30.5,3.5,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,621566,"Matt Olson","/api/v1/people/621566",645277,"Ozzie Albies","/api/v1/people/645277",NA,NA,NA
717395,"2023-07-15",1,"2023-07-16T01:59:43.608Z","2023-07-16T01:59:47.262Z",TRUE,"pitch","2be8105b-1132-4e13-9d60-95adf24186dc",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.5155,1.5987,NA,141.08,127.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Single","single","Matt Olson singles on a line drive to left fielder Andrew Benintendi. Ozzie Albies to 3rd.",0,6,5,76,"bottom",9,"2023-07-16T01:59:00.605Z","2023-07-16T02:00:17.325Z",TRUE,FALSE,FALSE,FALSE,33,2,0,1,621566,"Matt Olson","/api/v1/people/621566","L","Left",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,88.4,11,0.96,0.3901,6.2723,28.8498,-14.5596,-3.1405,8.7999,-0.6317,4.1102,2.4312,-139.9312,-1.8128,-1.0998,50.0013,5.7107,-6.2849,21.6,3.6,24,2321,223,NA,NA,NA,NA,NA,NA,FALSE,-13.6,15.8,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717395,"2023-07-15",0,"2023-07-16T01:59:23.099Z","2023-07-16T01:59:26.394Z",TRUE,"pitch","53dc2996-0e6b-4758-9bd0-cb05329ba95b",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5155,1.7289,NA,172.47,165.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Single","single","Matt Olson singles on a line drive to left fielder Andrew Benintendi. Ozzie Albies to 3rd.",0,6,5,76,"bottom",9,"2023-07-16T01:59:00.605Z","2023-07-16T02:00:17.325Z",TRUE,FALSE,FALSE,FALSE,33,2,0,1,621566,"Matt Olson","/api/v1/people/621566","L","Left",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96,89,11,0.88,0.3897,6.3468,27.6283,-23.917,-8.0021,4.1138,-1.4553,2.6964,2.1725,-139.8635,-3.9136,-1.1958,50.004,5.6575,-16.0643,32.4,6,24,2208,222,NA,NA,NA,NA,NA,NA,FALSE,-22.3,7,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717395,"2023-07-15",4,"2023-07-16T01:58:33.314Z","2023-07-16T01:58:38.539Z",TRUE,"pitch","d1a8af66-daa1-4aba-a15a-87692a14f9cb",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,0,NA,NA,3.5,1.67,NA,83.58,231.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Austin Riley strikes out swinging.",0,6,5,75,"bottom",9,"2023-07-16T01:57:00.658Z","2023-07-16T01:58:38.539Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.3,81.2,14,0.91,0.4298,6.3694,24.1641,-28.8443,1.9816,2.0211,0.8768,0.2866,4.1448,-127.0657,-7.4551,-1.0281,50.0037,5.5265,3.2647,7.2,7.2,24,2525,152,NA,NA,NA,NA,NA,NA,TRUE,-33.4,2.3,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,645277,"Ozzie Albies","/api/v1/people/645277"
717395,"2023-07-15",3,"2023-07-16T01:58:15.156Z","2023-07-16T01:58:18.272Z",TRUE,"pitch","6c95c28e-6489-4abd-95c6-98e185665e02",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,0,NA,NA,3.5,1.67,NA,109.55,142.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Austin Riley strikes out swinging.",0,6,5,75,"bottom",9,"2023-07-16T01:57:00.658Z","2023-07-16T01:58:38.539Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,89.5,2,0.87,0.3838,6.2665,33.1463,-14.633,-6.5249,8.5043,0.1953,3.5537,5.5312,-142.774,-3.7072,-0.9202,50.0021,5.791,-13.4582,38.4,3.6,24,2436,218,NA,NA,NA,NA,NA,NA,FALSE,-13.6,14.8,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717395,"2023-07-15",1,"2023-07-16T01:57:37.333Z","2023-07-16T01:57:46.440Z",TRUE,"pitch","fb838d30-3496-4400-9b74-59c74a598d01",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.5381,1.576,NA,74.56,213.53,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Austin Riley strikes out swinging.",0,6,5,75,"bottom",9,"2023-07-16T01:57:00.658Z","2023-07-16T01:58:38.539Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.3,89.4,14,0.92,0.3874,6.7119,31.1377,-19.2827,-10.5183,6.3633,1.1134,0.9353,9.1758,-141.1929,-9.3948,-0.8066,50.0048,5.5388,-21.311,42,6,24,2264,226,NA,NA,NA,NA,NA,NA,FALSE,-19.2,9.7,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717395,"2023-07-15",0,"2023-07-16T01:57:19.124Z","2023-07-16T01:57:22.665Z",TRUE,"pitch","5640ec84-601c-49f2-adba-f389a1737451",1,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,1,0,NA,NA,3.5,1.67,NA,131.99,197.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Austin Riley strikes out swinging.",0,6,5,75,"bottom",9,"2023-07-16T01:57:00.658Z","2023-07-16T01:58:38.539Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,663586,"Austin Riley","/api/v1/people/663586","R","Right",608665,"Kendall Graveman","/api/v1/people/608665","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Atlanta Braves","Chicago White Sox",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.4,89.5,13,0.92,0.3863,6.4269,31.8703,-21.9259,-9.5288,5.0304,-0.3932,1.5244,5.1074,-141.6957,-7.5983,-0.9794,50.0034,5.6379,-19.4087,38.4,6,24,2216,223,NA,NA,NA,NA,NA,NA,FALSE,-21,7.8,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
