"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717406,"2023-07-15",5,"2023-07-15T04:54:20.187Z","2023-07-15T04:54:28.449Z",TRUE,"pitch","65899a2c-8974-4802-870c-54776c2926ac",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,2,NA,NA,3.3582,1.4594,NA,130.42,162.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Julio Rodriguez called out on strikes.",0,5,4,74,"bottom",9,"2023-07-15T04:53:01.386Z","2023-07-15T04:54:28.449Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88,80.4,1,2,0.4287,6.4904,27.8162,-33.6121,-1.5767,-0.8692,-0.352,2.8213,5.0303,-128.0277,-0.686,-2.1422,50.0037,5.7362,-2.6029,2.4,8.4,24,2275,36,NA,NA,NA,NA,NA,NA,TRUE,-37,-1.4,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",3,"2023-07-15T04:53:38.898Z","2023-07-15T04:53:42.964Z",TRUE,"pitch","f5e591c1-5549-4bbd-97f1-a59bbbbc7a0c",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,2,NA,NA,3.3827,1.3976,NA,96.57,243.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Julio Rodriguez called out on strikes.",0,5,4,74,"bottom",9,"2023-07-15T04:53:01.386Z","2023-07-15T04:54:28.449Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.1,81.1,14,2,0.4292,6.7202,27.7983,-34.99,-1.1053,-1.714,0.5359,-0.1616,7.1208,-127.912,-7.2105,-2.1471,50.0011,5.4573,-1.8227,1.2,8.4,24,2307,9,NA,NA,NA,NA,NA,NA,FALSE,-40.2,-4.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",2,"2023-07-15T04:53:18.661Z","2023-07-15T04:53:23.400Z",TRUE,"pitch","793a6fcb-eb27-4dab-80f2-5fb3196eef00",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.22,1.46,NA,95.84,217.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Julio Rodriguez called out on strikes.",0,5,4,74,"bottom",9,"2023-07-15T04:53:01.386Z","2023-07-15T04:54:28.449Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.6,80.6,14,2,0.4306,6.4481,27.258,-34.6896,-0.7296,-1.5344,0.5552,0.7825,6.9362,-127.4088,-5.1968,-2.1129,50.0052,5.6041,-1.1951,0,8.4,24,2341,24,NA,NA,NA,NA,NA,NA,FALSE,-39.6,-3.8,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",1,"2023-07-15T04:53:03.726Z","2023-07-15T04:53:08.970Z",TRUE,"pitch","d628ca59-d6ee-4b51-bca8-e883a739e2e5",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4805,1.5193,NA,92.54,192.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Julio Rodriguez called out on strikes.",0,5,4,74,"bottom",9,"2023-07-15T04:53:01.386Z","2023-07-15T04:54:28.449Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.7,87,9,0.9,0.3958,7.1814,33.2792,-27.4664,-9.4861,2.4327,0.6416,1.7041,10.7388,-138.7869,-5.2432,-2.0595,50.0032,5.4648,-18.3646,28.8,7.2,24,2360,230,NA,NA,NA,NA,NA,NA,FALSE,-26.9,3.4,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",0,"2023-07-15T04:52:08.186Z","2023-07-15T04:53:03.726Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Julio Rodriguez called out on strikes.",0,5,4,74,"bottom",9,"2023-07-15T04:53:01.386Z","2023-07-15T04:54:28.449Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",4,"2023-07-15T04:54:05.926Z","2023-07-15T04:54:20.187Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",5,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,677594,"/api/v1/people/677594",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Julio Rodriguez called out on strikes.",0,5,4,74,"bottom",9,"2023-07-15T04:53:01.386Z","2023-07-15T04:54:28.449Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,677594,"Julio Rodríguez","/api/v1/people/677594","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",4,"2023-07-15T04:51:52.048Z","2023-07-15T04:51:57.886Z",TRUE,"pitch","bee63aea-cfb4-452c-a028-749c705cf582",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,2,NA,NA,3.4561,1.5794,NA,159.81,156.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Walk","walk","J.P. Crawford walks. Dylan Moore to 2nd.",0,5,4,73,"bottom",9,"2023-07-15T04:50:29.016Z","2023-07-15T04:51:57.886Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.7,80,11,2,0.4329,6.5256,24.6991,-35.7958,-0.2487,-2.2303,-1.1231,3.0494,3.2385,-126.3109,0.2911,-2.3872,50.0038,5.8009,-0.4038,0,8.4,24,2344,31,NA,NA,NA,NA,NA,NA,FALSE,-40,-3.7,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,641487,"J.P. Crawford","/api/v1/people/641487",664238,"Dylan Moore","/api/v1/people/664238",NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",3,"2023-07-15T04:51:35.741Z","2023-07-15T04:51:40.404Z",TRUE,"pitch","b49e3a93-87cb-4c06-8240-e5d8eec9e407",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,2,NA,NA,3.505,1.5437,NA,142.96,176.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Walk","walk","J.P. Crawford walks. Dylan Moore to 2nd.",0,5,4,73,"bottom",9,"2023-07-15T04:50:29.016Z","2023-07-15T04:51:57.886Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,87.1,4,0.91,0.3963,6.3109,30.3919,-25.9717,-8.2431,3.203,-0.6811,2.3131,7.379,-138.1447,-4.1909,-2.3141,50.0026,5.593,-15.9538,27.6,6,24,2406,225,NA,NA,NA,NA,NA,NA,FALSE,-25.2,5.2,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",2,"2023-07-15T04:51:16.874Z","2023-07-15T04:51:20.123Z",TRUE,"pitch","73030807-79f5-4f26-9c22-63fb93d37cd4",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,2,NA,NA,3.4561,1.6411,NA,179.52,155.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Walk","walk","J.P. Crawford walks. Dylan Moore to 2nd.",0,5,4,73,"bottom",9,"2023-07-15T04:50:29.016Z","2023-07-15T04:51:57.886Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.4,80.6,11,2,0.4294,6.24,25.0991,-35.7111,-0.1324,-2.1394,-1.6402,3.0879,2.161,-127.3536,0.2934,-2.481,50.0062,5.7859,-0.2186,0,8.4,24,2221,22,NA,NA,NA,NA,NA,NA,FALSE,-39.2,-3.6,-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717406,"2023-07-15",1,"2023-07-15T04:50:55.454Z","2023-07-15T04:50:58.674Z",TRUE,"pitch","581e73b1-47e2-4ea6-abee-b3ad792b0e68",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,0,2,NA,NA,3.4071,1.6167,NA,86.91,232.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Walk","walk","J.P. Crawford walks. Dylan Moore to 2nd.",0,5,4,73,"bottom",9,"2023-07-15T04:50:29.016Z","2023-07-15T04:51:57.886Z",TRUE,FALSE,FALSE,FALSE,0,4,1,2,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.2,81.2,14,2,0.4286,6.5354,27.5697,-36.0856,-2.2935,-2.3635,0.7895,0.2377,8.4221,-128.0316,-5.8972,-2.2514,50.0043,5.4103,-3.79,3.6,9.6,24,2321,29,NA,NA,NA,NA,NA,NA,FALSE,-40.9,-5.5,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
