"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
717423,"2023-07-09",3,"2023-07-09T22:53:56.570Z","2023-07-09T22:54:04.587Z",TRUE,"pitch","51b55b72-d0e3-4242-a450-9c30bc423942",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.64,1.7,NA,125.83,205.52,"ground_ball","medium","6",121.78,146.75,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Brett Baty grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",0,2,6,70,"top",9,"2023-07-09T22:53:36.941Z","2023-07-09T22:54:04.587Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,683146,"Brett Baty","/api/v1/people/683146","L","Left",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.5,83.6,13,0.92,0.4103,5.7993,33.5494,-31.3488,9.8059,0.4577,-0.2316,1.2317,-9.1967,-134.3318,-3.3604,1.9898,50.0009,4.767,17.6254,25.2,8.4,24,2189,127,73.4,-14,5,NA,NA,NA,TRUE,-32.3,0.2,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",2,"2023-07-09T22:53:39.140Z","2023-07-09T22:53:42.468Z",TRUE,"pitch","9c4d7395-a86e-4220-b913-3bdb47e99ab6",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.64,1.7,NA,139.19,177.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Brett Baty grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",0,2,6,70,"top",9,"2023-07-09T22:53:36.941Z","2023-07-09T22:54:04.587Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,683146,"Brett Baty","/api/v1/people/683146","L","Left",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92,84.6,7,2,0.4085,5.9185,27.0575,-21.1891,4.5288,6.0224,-0.5821,2.2737,-9.0572,-133.7492,-2.3327,2.2496,50.0016,4.666,8.2597,16.8,4.8,24,2224,117,NA,NA,NA,NA,NA,NA,FALSE,-21.6,10.7,-6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",0,"2023-07-09T22:51:34.024Z","2023-07-09T22:52:31.973Z",FALSE,"action",NA,NA,"Injury Delay.","Game Advisory",2,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,683146,"/api/v1/people/683146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"game_advisory",NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Brett Baty grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",0,2,6,70,"top",9,"2023-07-09T22:53:36.941Z","2023-07-09T22:54:04.587Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,683146,"Brett Baty","/api/v1/people/683146","L","Left",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",1,"2023-07-09T22:52:31.973Z","2023-07-09T22:53:39.140Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",2,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Brett Baty grounds out, shortstop Xander Bogaerts to first baseman Jake Cronenworth.",0,2,6,70,"top",9,"2023-07-09T22:53:36.941Z","2023-07-09T22:54:04.587Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,683146,"Brett Baty","/api/v1/people/683146","L","Left",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_LHB","Empty",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",5,"2023-07-09T22:51:08.596Z","2023-07-09T22:51:13.830Z",TRUE,"pitch","caa8f3a8-1d28-4615-83f6-1a2f293f2a16",5,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",2,2,2,NA,NA,3.27,1.57,NA,232.69,192.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Hit By Pitch","hit_by_pitch","Francisco Alvarez hit by pitch.",0,2,6,69,"top",9,"2023-07-09T22:49:40.283Z","2023-07-09T22:51:13.830Z",TRUE,FALSE,FALSE,FALSE,11,2,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_RHB","Men_On",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",77,69.2,13,2,0.4972,5.996,26.5118,-30.1412,-12.9295,1.6674,-3.035,1.7091,-8.3303,-111.6402,0.4698,2.4699,50.0029,4.6866,-15.7593,30,12,24,2805,284,NA,NA,NA,NA,NA,NA,FALSE,-44.2,3.6,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,682626,"Francisco Alvarez","/api/v1/people/682626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",3,"2023-07-09T22:50:39.272Z","2023-07-09T22:50:45.088Z",TRUE,"pitch","f4bf7d56-0c73-4352-b1b1-30cf0d60d850",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.27,1.57,NA,126.04,170.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Hit By Pitch","hit_by_pitch","Francisco Alvarez hit by pitch.",0,2,6,69,"top",9,"2023-07-09T22:49:40.283Z","2023-07-09T22:51:13.830Z",TRUE,FALSE,FALSE,FALSE,11,2,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_RHB","Men_On",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",77.7,70.7,5,2,0.4873,5.8517,23.1145,-29.6347,-9.9353,1.9948,-0.2372,2.5368,-3.3967,-112.9774,1.5997,2.5823,50.0054,4.8271,-12.6754,24,10.8,24,2715,285,NA,NA,NA,NA,NA,NA,FALSE,-41.4,4.4,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",2,"2023-07-09T22:50:19.846Z","2023-07-09T22:50:25.009Z",TRUE,"pitch","8e4306c2-ef03-490a-bf70-4e2fa8fdca60",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.27,1.57,NA,133.79,172.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Hit By Pitch","hit_by_pitch","Francisco Alvarez hit by pitch.",0,2,6,69,"top",9,"2023-07-09T22:49:40.283Z","2023-07-09T22:51:13.830Z",TRUE,FALSE,FALSE,FALSE,11,2,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_RHB","Men_On",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.4,87.1,4,2,0.3974,6.1648,27.4695,-18.5476,3.8703,7.0678,-0.4404,2.458,-8.2745,-137.2826,-3.057,2.0961,50.0035,4.833,7.4634,16.8,4.8,24,2261,122,NA,NA,NA,NA,NA,NA,FALSE,-18.1,12.5,-5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",1,"2023-07-09T22:50:02.659Z","2023-07-09T22:50:06.681Z",TRUE,"pitch","73a50d8e-03ce-4e91-bee9-80b1cbcd2db2",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2626,1.606,NA,70.98,169.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Hit By Pitch","hit_by_pitch","Francisco Alvarez hit by pitch.",0,2,6,69,"top",9,"2023-07-09T22:49:40.283Z","2023-07-09T22:51:13.830Z",TRUE,FALSE,FALSE,FALSE,11,2,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_RHB","Men_On",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",76,68.9,12,2,0.4983,5.8857,22.8323,-30.0823,-13.8281,1.7155,1.2073,2.5751,0.2525,-110.6305,2.1122,2.8822,50.0028,4.7991,-16.8509,30,10.8,24,2720,285,NA,NA,NA,NA,NA,NA,FALSE,-43.8,4.1,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",0,"2023-07-09T22:49:46.996Z","2023-07-09T22:49:51.301Z",TRUE,"pitch","742cadf0-55d8-49d4-a9f1-9a52bd088db8",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3768,1.629,NA,97.92,152.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Hit By Pitch","hit_by_pitch","Francisco Alvarez hit by pitch.",0,2,6,69,"top",9,"2023-07-09T22:49:40.283Z","2023-07-09T22:51:13.830Z",TRUE,FALSE,FALSE,FALSE,11,2,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_RHB","Men_On",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",76.3,69.9,3,2,0.4942,5.7729,20.6618,-31.1258,-12.1166,0.8402,0.5006,3.1914,-1.4842,-111.0085,3.4942,2.7518,50.001,4.8459,-15.0544,26.4,10.8,24,2695,282,NA,NA,NA,NA,NA,NA,FALSE,-44.4,2.8,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717423,"2023-07-09",4,"2023-07-09T22:50:55.104Z","2023-07-09T22:51:08.596Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",2,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,682626,"/api/v1/people/682626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"69","atBat","Hit By Pitch","hit_by_pitch","Francisco Alvarez hit by pitch.",0,2,6,69,"top",9,"2023-07-09T22:49:40.283Z","2023-07-09T22:51:13.830Z",TRUE,FALSE,FALSE,FALSE,11,2,2,2,682626,"Francisco Alvarez","/api/v1/people/682626","R","Right",676680,"Tom Cosgrove","/api/v1/people/676680","L","Left","vs_LHP","vs_RHB","Men_On",NA,"San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","New York Mets",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","San Diego Padres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
