"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717448,"2023-07-08",2,"2023-07-08T04:31:00.371Z","2023-07-08T04:31:09.796Z",TRUE,"pitch","c712e86d-2ba2-4f40-bba3-720d03507f3c",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.55,1.71,NA,114.66,151.2,"popup","medium","3",142.84,183.41,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","J.D. Davis pops out to first baseman C. J. Cron.",0,5,2,66,"bottom",9,"2023-07-08T04:30:02.824Z","2023-07-08T04:31:09.796Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,605204,"J.D. Davis","/api/v1/people/605204","R","Right",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies","true",NA,"rgba(50, 50, 50, 1.0)","SV","Slurve",83,76.9,2,2,0.4515,5.9641,21.8951,-30.3936,5.7568,1.191,0.0613,3.2438,1.7531,-120.9575,-0.7297,-1.4193,50.0022,6.1965,8.5946,15.6,8.4,24,2498,79,81.3,76,69,NA,NA,NA,TRUE,-37.1,2.3,-10.8,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",1,"2023-07-08T04:30:41.832Z","2023-07-08T04:30:46.162Z",TRUE,"pitch","e75b4d78-104b-42a5-8a33-b70cac38b593",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,2,NA,NA,3.6338,1.7102,NA,137.74,157.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","J.D. Davis pops out to first baseman C. J. Cron.",0,5,2,66,"bottom",9,"2023-07-08T04:30:02.824Z","2023-07-08T04:31:09.796Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,605204,"J.D. Davis","/api/v1/people/605204","R","Right",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,85.5,4,0.85,0.4032,6.1667,29.0105,-27.1476,-3.6669,2.6862,-0.5441,2.9948,4.4259,-135.7102,-1.0327,-1.7178,50.0012,5.2669,-6.8564,12,6,24,2391,213,NA,NA,NA,NA,NA,NA,FALSE,-26.5,4.8,5.8,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",0,"2023-07-08T04:30:23.170Z","2023-07-08T04:30:26.999Z",TRUE,"pitch","8a5d9ce3-097a-48b3-aa83-4eac12a6cbf5",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.55,1.71,NA,121.55,143.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Pop Out","field_out","J.D. Davis pops out to first baseman C. J. Cron.",0,5,2,66,"bottom",9,"2023-07-08T04:30:02.824Z","2023-07-08T04:31:09.796Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,605204,"J.D. Davis","/api/v1/people/605204","R","Right",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,88.6,2,0.93,0.3911,6.1177,26.9352,-25.3587,-4.206,3.4215,-0.1193,3.543,5.8569,-139.2692,-0.6352,-1.6888,50.0058,5.4295,-8.3864,15.6,4.8,24,2470,215,NA,NA,NA,NA,NA,NA,FALSE,-23.3,6.2,6.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",0,"2023-07-08T04:29:49.971Z","2023-07-08T04:29:57.351Z",TRUE,"pitch","99dca9f7-320e-43df-92aa-88e1b40d1f24",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,1,NA,NA,3.19,1.57,NA,131.54,172.7,"line_drive","medium","7",48.63,107.22,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Lineout","field_out","LaMonte Wade Jr. lines out to left fielder Nolan Jones.",0,5,2,65,"bottom",9,"2023-07-08T04:29:32.719Z","2023-07-08T04:29:57.351Z",TRUE,FALSE,FALSE,TRUE,0,0,0,2,664774,"LaMonte Wade Jr.","/api/v1/people/664774","L","Left",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.1,87.8,4,0.9,0.3944,6.0535,28.8102,-23.4486,-5.8263,4.4586,-0.3815,2.4475,4.7526,-138.4912,-5.074,-1.3567,50.0008,5.8565,-11.3991,22.8,6,24,2465,202,95.9,21,298,NA,NA,NA,TRUE,-22.8,7.3,9.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",4,"2023-07-08T04:29:10.767Z","2023-07-08T04:29:18.500Z",TRUE,"pitch","db6a67a2-dca0-4314-a953-d59ca2f93aff",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,0,NA,NA,3.18,1.56,NA,139.52,160.67,"popup","medium","4",118.57,111.33,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Pop Out","field_out","Wilmer Flores pops out to second baseman Harold Castro.",0,5,2,64,"bottom",9,"2023-07-08T04:28:14.224Z","2023-07-08T04:29:18.500Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,527038,"Wilmer Flores","/api/v1/people/527038","R","Right",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.2,87.3,1,0.57,0.3969,5.955,26.7264,-20.7569,-4.4168,5.903,-0.5909,2.8931,3.4557,-137.3151,-4.6121,-1.2838,50.0033,5.9827,-8.5438,20.4,4.8,24,2423,201,69.6,38,224,NA,NA,NA,TRUE,-20.4,10.1,7.4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",3,"2023-07-08T04:28:52.211Z","2023-07-08T04:28:56.734Z",TRUE,"pitch","4b273f1b-7207-4911-b55a-19d4673c27fc",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.2974,1.6199,NA,120.13,199.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Pop Out","field_out","Wilmer Flores pops out to second baseman Harold Castro.",0,5,2,64,"bottom",9,"2023-07-08T04:28:14.224Z","2023-07-08T04:29:18.500Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,527038,"Wilmer Flores","/api/v1/people/527038","R","Right",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,87.5,13,0.74,0.3979,6.0778,26.0874,-22.6098,-4.5361,4.964,-0.0822,1.4729,5.0261,-136.8948,-7.4976,-1.34,50.0013,5.7598,-8.7348,18,4.8,24,2514,206,NA,NA,NA,NA,NA,NA,FALSE,-22.7,7.8,7.3,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",2,"2023-07-08T04:28:34.166Z","2023-07-08T04:28:38.556Z",TRUE,"pitch","f545bb44-7549-4918-b033-0ae4471b13cf",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,0,NA,NA,3.2669,1.5554,NA,100.35,178.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Pop Out","field_out","Wilmer Flores pops out to second baseman Harold Castro.",0,5,2,64,"bottom",9,"2023-07-08T04:28:14.224Z","2023-07-08T04:29:18.500Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,527038,"Wilmer Flores","/api/v1/people/527038","R","Right",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,86,6,0.76,0.4036,5.9312,26.2018,-20.5199,-4.5386,6.2293,0.4369,2.2388,5.9928,-135.0948,-6.0628,-1.2085,50.0009,5.9296,-8.4873,19.2,4.8,24,2436,201,NA,NA,NA,NA,NA,NA,FALSE,-21.1,10.3,7.1,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",1,"2023-07-08T04:28:16.368Z","2023-07-08T04:28:22.944Z",TRUE,"pitch","39e05694-ffda-41e8-a10b-608fbd8fdcc7",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.6032,1.6801,NA,171.03,163.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Pop Out","field_out","Wilmer Flores pops out to second baseman Harold Castro.",0,5,2,64,"bottom",9,"2023-07-08T04:28:14.224Z","2023-07-08T04:29:18.500Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,527038,"Wilmer Flores","/api/v1/people/527038","R","Right",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.4,85.1,11,0.9,0.4039,5.9548,31.3273,-21.5101,-9.0589,5.7324,-1.4174,2.8031,3.3136,-135.8905,-4.4707,-1.4797,50.0008,5.9746,-16.8456,36,6,24,2421,210,NA,NA,NA,NA,NA,NA,FALSE,-22,9.6,15.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",0,"2023-07-08T04:26:54.545Z","2023-07-08T04:28:16.368Z",FALSE,"action",NA,NA,"Pitching Change: Daniel Bard replaces Justin Lawrence.","Pitching Substitution",5,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,453268,"/api/v1/people/453268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"64","atBat","Pop Out","field_out","Wilmer Flores pops out to second baseman Harold Castro.",0,5,2,64,"bottom",9,"2023-07-08T04:28:14.224Z","2023-07-08T04:29:18.500Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,527038,"Wilmer Flores","/api/v1/people/527038","R","Right",453268,"Daniel Bard","/api/v1/people/453268","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","San Francisco Giants","Colorado Rockies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717448,"2023-07-08",3,"2023-07-08T04:25:15.115Z","2023-07-08T04:25:22.615Z",TRUE,"pitch","1a8147e1-5b32-4ba5-9213-973519df0e4d",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,2,NA,NA,3.6645,1.7403,NA,113.59,148.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Brenton Doyle called out on strikes.",0,5,2,63,"top",9,"2023-07-08T04:24:05.682Z","2023-07-08T04:25:22.615Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,686668,"Brenton Doyle","/api/v1/people/686668","R","Right",661440,"Mauricio Llovera","/api/v1/people/661440","R","Right","vs_RHP","vs_RHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies","San Francisco Giants","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.2,87.3,2,0.9,0.3951,6.4785,29.4642,-27.5901,-8.9779,2.3547,0.0896,3.3352,9.2165,-138.3777,-0.5356,-2.11,50.005,5.3718,-17.4986,28.8,7.2,24,2880,269,NA,NA,NA,NA,NA,NA,TRUE,-25.8,4.3,14.4,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
