"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717467,"2023-07-07",1,"2023-07-07T02:40:10.806Z","2023-07-07T02:40:19.454Z",TRUE,"pitch","8172d944-800f-4271-872a-e7e19fd86831",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.66,1.77,NA,106.46,194.04,"fly_ball","medium","7",93.65,102.63,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Jeremy Pena flies out to left fielder Jarred Kelenic.",0,5,1,69,"bottom",9,"2023-07-07T02:39:45.965Z","2023-07-07T02:40:19.454Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.7,74.3,9,2,0.4632,5.6744,26.0777,-27.559,10.9151,3.2721,0.2765,1.657,2.7671,-118.9483,-1.6174,-2.324,50.0034,4.8812,15.4013,30,9.6,24,2626,72,76.8,42,256,NA,NA,NA,TRUE,-35.6,5.8,-20.4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",0,"2023-07-07T02:39:56.027Z","2023-07-07T02:40:00.604Z",TRUE,"pitch","92f873b1-a9d6-4445-b52f-43b0ab153170",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3544,1.6464,NA,152.92,169.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Flyout","field_out","Jeremy Pena flies out to left fielder Jarred Kelenic.",0,5,1,69,"bottom",9,"2023-07-07T02:39:45.965Z","2023-07-07T02:40:19.454Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,665161,"Jeremy Peña","/api/v1/people/665161","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,86.1,11,0.92,0.3982,6.0286,33.7617,-35.0608,-10.6831,-1.5109,-0.9422,2.582,6.7312,-138.1126,0.069,-2.0363,50.0023,4.9352,-20.4222,28.8,8.4,24,2040,251,NA,NA,NA,NA,NA,NA,FALSE,-33.1,-2.5,17.8,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",1,"2023-07-07T02:39:07.471Z","2023-07-07T02:39:16.078Z",TRUE,"pitch","7b798364-bc9c-4ce1-b740-809176794a79",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.29,1.56,NA,148.3,184.59,"ground_ball","medium","6",96.39,150.11,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Chas McCormick grounds out, shortstop J. P. Crawford to first baseman Ty France.",0,5,1,68,"bottom",9,"2023-07-07T02:38:39.109Z","2023-07-07T02:39:16.078Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,676801,"Chas McCormick","/api/v1/people/676801","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95,86.3,7,0.92,0.3979,5.891,33.5341,-32.1076,-11.0017,0.0313,-0.8212,2.007,7.1502,-138.1547,-1.8475,-2.0264,50.0008,4.8626,-21.0607,31.2,8.4,24,2093,254,99.9,1,56,NA,NA,NA,TRUE,-30.7,-0.1,18.2,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",0,"2023-07-07T02:38:45.626Z","2023-07-07T02:38:49.263Z",TRUE,"pitch","c5a9660b-6ee2-4289-9bea-5ebd579ab551",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2413,1.5593,NA,205.05,154.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","atBat","Groundout","field_out","Chas McCormick grounds out, shortstop J. P. Crawford to first baseman Ty France.",0,5,1,68,"bottom",9,"2023-07-07T02:38:39.109Z","2023-07-07T02:39:16.078Z",TRUE,FALSE,FALSE,TRUE,0,1,0,2,676801,"Chas McCormick","/api/v1/people/676801","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",82.3,75.6,11,2,0.4562,5.7493,22.6692,-28.15,6.9997,2.7525,-2.3099,3.105,-1.475,-119.9488,1.4771,-2.5973,50.0009,4.9867,10.2232,19.2,8.4,24,2734,81,NA,NA,NA,NA,NA,NA,FALSE,-34.6,5.6,-12.4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",5,"2023-07-07T02:38:09.813Z","2023-07-07T02:38:22.813Z",TRUE,"pitch","8d6e51c9-7bb9-45c2-be7d-2003934dba96",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,0,NA,NA,3.21,1.52,NA,100.66,148.92,"fly_ball","medium","9",191.21,71.51,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Yainer Diaz flies out to right fielder Teoscar Hernandez.",0,5,1,67,"bottom",9,"2023-07-07T02:37:20.996Z","2023-07-07T02:38:22.813Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",92.5,84.6,3,0.88,0.4071,5.9398,28.9241,-23.2413,-3.3439,4.8732,0.4286,3.328,7.9723,-134.4944,-0.4168,-2.1384,50.0047,5.132,-6.133,10.8,4.8,24,2310,228,100,37,355,NA,NA,NA,TRUE,-23,9,4.3,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",4,"2023-07-07T02:37:55.099Z","2023-07-07T02:38:00.487Z",TRUE,"pitch","5ded97ba-bce2-4ff7-809a-deb04d23bcdf",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,0,NA,NA,3.0722,1.5192,NA,107.01,161.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Yainer Diaz flies out to right fielder Teoscar Hernandez.",0,5,1,67,"bottom",9,"2023-07-07T02:37:20.996Z","2023-07-07T02:38:22.813Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.6,86,2,0.91,0.3994,5.9922,31.8933,-30.2937,-11.3904,0.9905,0.262,2.8741,9.9318,-137.3907,-0.2152,-1.929,50.0038,5.0212,-21.6655,32.4,7.2,24,2210,251,NA,NA,NA,NA,NA,NA,FALSE,-28.8,1.9,18.4,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",3,"2023-07-07T02:37:38.746Z","2023-07-07T02:37:43.288Z",TRUE,"pitch","cdeae753-e297-425a-80ae-452ebed4278e",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,0,NA,NA,3.0439,1.4472,NA,170.91,152.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Yainer Diaz flies out to right fielder Teoscar Hernandez.",0,5,1,67,"bottom",9,"2023-07-07T02:37:20.996Z","2023-07-07T02:38:22.813Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.8,85.1,11,0.89,0.4027,6.0025,32.183,-29.6628,-10.5882,1.3469,-1.4144,3.1982,5.6671,-136.4221,0.6564,-2.1515,50.0062,5.0115,-19.8069,32.4,7.2,24,2190,251,NA,NA,NA,NA,NA,NA,FALSE,-28.4,2.8,17.9,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",2,"2023-07-07T02:37:23.258Z","2023-07-07T02:37:27.966Z",TRUE,"pitch","225cedee-dcb5-4820-910f-3f448b85c51a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.1286,1.5192,NA,170.07,139.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67","atBat","Flyout","field_out","Yainer Diaz flies out to right fielder Teoscar Hernandez.",0,5,1,67,"bottom",9,"2023-07-07T02:37:20.996Z","2023-07-07T02:38:22.813Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.4,86,11,0.9,0.3993,6.0807,31.4784,-29.294,-9.872,1.513,-1.3924,3.6848,5.8069,-137.3755,1.7782,-2.2551,50.0041,5.0255,-18.8003,31.2,7.2,24,2201,248,NA,NA,NA,NA,NA,NA,FALSE,-27.5,3.4,16.6,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",0,"2023-07-07T02:36:43.497Z","2023-07-07T02:36:43.532Z",FALSE,"action",NA,NA,"Tom Murphy remains in the game as the designated hitter.","Defensive Switch",5,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,608596,"/api/v1/people/608596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"10","Designated Hitter","Hitter","DH","801","67","atBat","Flyout","field_out","Yainer Diaz flies out to right fielder Teoscar Hernandez.",0,5,1,67,"bottom",9,"2023-07-07T02:37:20.996Z","2023-07-07T02:38:22.813Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,645801,"/api/v1/people/645801",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717467,"2023-07-07",1,"2023-07-07T02:36:43.532Z","2023-07-07T02:37:23.258Z",FALSE,"action",NA,NA,"Pitching Change: Justin Topa replaces Andres Munoz.","Pitching Substitution",5,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,623437,"/api/v1/people/623437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"67","atBat","Flyout","field_out","Yainer Diaz flies out to right fielder Teoscar Hernandez.",0,5,1,67,"bottom",9,"2023-07-07T02:37:20.996Z","2023-07-07T02:38:22.813Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,673237,"Yainer Diaz","/api/v1/people/673237","R","Right",623437,"Justin Topa","/api/v1/people/623437","R","Right","vs_RHP","vs_RHB","Empty",NA,"Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
