"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","base","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717544,"2023-07-02",4,"2023-07-02T03:53:42.699Z","2023-07-02T03:53:47.986Z",TRUE,"pitch","6bf2bbe8-fd19-4c14-b888-0de4c5db2fb0",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.52,1.65,NA,109.43,195.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ryan McMahon strikes out swinging.",0,4,2,79,"bottom",10,"2023-07-02T03:52:11.938Z","2023-07-02T03:53:47.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,641857,"Ryan McMahon","/api/v1/people/641857","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.3,80.6,8,2,0.431,6.9047,25.5205,-34.3155,-1.0895,-1.305,0.1986,1.613,6.8461,-127.002,-2.814,-2.3882,50.0061,5.4593,-1.7849,1.2,8.4,24,2210,42,NA,NA,NA,NA,NA,NA,TRUE,-38.6,-2.8,0.5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717544,"2023-07-02",3,"2023-07-02T03:53:20.254Z","2023-07-02T03:53:26.036Z",TRUE,"pitch","8e01fe4d-1dab-4822-af76-9494d0469a1a",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.52,1.65,NA,121.45,200.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ryan McMahon strikes out swinging.",0,4,2,79,"bottom",10,"2023-07-02T03:52:11.938Z","2023-07-02T03:53:47.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,641857,"Ryan McMahon","/api/v1/people/641857","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.3,81.8,13,2,0.4253,6.2636,25.3331,-33.7099,-1.167,-0.9151,-0.1167,1.4257,6.1477,-128.5357,-3.7201,-2.3823,50.0013,5.4947,-1.9633,1.2,8.4,24,2313,47,NA,NA,NA,NA,NA,NA,FALSE,-37.2,-2.3,0.8,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717544,"2023-07-02",2,"2023-07-02T03:52:55.597Z","2023-07-02T03:52:59.270Z",TRUE,"pitch","57fd8fc3-7c77-417c-9a9b-8dbea6b2af47",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.52,1.65,NA,130.41,156.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ryan McMahon strikes out swinging.",0,4,2,79,"bottom",10,"2023-07-02T03:52:11.938Z","2023-07-02T03:53:47.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,641857,"Ryan McMahon","/api/v1/people/641857","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89,83.3,1,2,0.4189,6.4863,21.231,-29.99,-6.8886,1.253,-0.3518,3.0536,6.7993,-129.6174,-1.3038,-2.0855,50.0023,5.8053,-11.992,20.4,7.2,24,1545,244,NA,NA,NA,NA,NA,NA,FALSE,-31.7,2.3,11.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717544,"2023-07-02",1,"2023-07-02T03:52:36.004Z","2023-07-02T03:52:39.888Z",TRUE,"pitch","46e36063-371b-44ac-92ed-e00c03921c8f",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5902,1.6408,NA,155.78,194.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ryan McMahon strikes out swinging.",0,4,2,79,"bottom",10,"2023-07-02T03:52:11.938Z","2023-07-02T03:53:47.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,641857,"Ryan McMahon","/api/v1/people/641857","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.1,80.6,13,2,0.4308,6.7106,24.9294,-36.6711,-1.2154,-2.7457,-1.0174,1.6352,4.217,-126.9172,-2.2564,-2.5394,50.002,5.4443,-1.9915,2.4,9.6,24,2156,41,NA,NA,NA,NA,NA,NA,FALSE,-41,-5.3,1.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717544,"2023-07-02",0,"2023-07-02T03:52:19.122Z","2023-07-02T03:52:22.768Z",TRUE,"pitch","907cdd9a-6e98-4e8b-a683-35e1c23b68cb",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5902,1.6408,NA,130.92,160.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Ryan McMahon strikes out swinging.",0,4,2,79,"bottom",10,"2023-07-02T03:52:11.938Z","2023-07-02T03:53:47.986Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,641857,"Ryan McMahon","/api/v1/people/641857","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","Empty",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88,81.1,4,2,0.4269,6.364,25.225,-33.8114,-0.7317,-0.9787,-0.3651,2.8873,5.2076,-128.0745,-0.4242,-2.3254,50.0036,5.6881,-1.2216,0,8.4,24,2157,33,NA,NA,NA,NA,NA,NA,FALSE,-36.8,-1.7,0.2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717544,"2023-07-02",3,"2023-07-02T03:51:37.930Z","2023-07-02T03:51:49.484Z",TRUE,"pitch","625995e5-0f2b-4311-a010-0c182f62aaba",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",1,2,2,NA,NA,3.26,1.68,NA,157.96,160.6,"line_drive","medium","7",77.58,119.35,NA,NA,TRUE,NA,NA,NA,NA,NA,"78","atBat","Single","single","Kris Bryant singles on a line drive to left fielder Zach McKinstry. Coco Montes scores. Jurickson Profar to 3rd.",1,4,2,78,"bottom",10,"2023-07-02T03:49:56.108Z","2023-07-02T03:51:49.484Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,592178,"Kris Bryant","/api/v1/people/592178","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.3,80.5,11,2,0.4301,6.6079,24.9537,-34.8344,-0.615,-1.6202,-1.0745,2.8954,2.9135,-127.1267,-0.6874,-2.1532,50.0012,5.9235,-1.0114,1.2,8.4,24,2230,46,68.5,25,171,NA,NA,NA,FALSE,-38.5,-2.9,0.5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,592178,"Kris Bryant","/api/v1/people/592178",595777,"Jurickson Profar","/api/v1/people/595777",NA,NA,NA
717544,"2023-07-02",2,"2023-07-02T03:51:10.522Z","2023-07-02T03:51:16.589Z",TRUE,"pitch","02330a4b-8889-4c04-988d-ce3129bf27b6",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.26,1.68,NA,123.6,204.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Kris Bryant singles on a line drive to left fielder Zach McKinstry. Coco Montes scores. Jurickson Profar to 3rd.",1,4,2,78,"bottom",10,"2023-07-02T03:49:56.108Z","2023-07-02T03:51:49.484Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,592178,"Kris Bryant","/api/v1/people/592178","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.9,81.7,13,2,0.4267,6.7752,24.13,-33.6958,-2.5598,-0.9124,-0.1731,1.2644,6.0166,-127.9212,-4.58,-2.2135,50.0021,5.693,-4.2821,6,8.4,24,2103,26,NA,NA,NA,NA,NA,NA,FALSE,-37.6,-2.4,3.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717544,"2023-07-02",1,"2023-07-02T03:50:35.017Z","2023-07-02T03:50:39.601Z",TRUE,"pitch","d32360cf-473b-400b-81dc-ba0df9f72698",2,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,1,2,NA,NA,3.1666,1.6592,NA,79.64,227.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Kris Bryant singles on a line drive to left fielder Zach McKinstry. Coco Montes scores. Jurickson Profar to 3rd.",1,4,2,78,"bottom",10,"2023-07-02T03:49:56.108Z","2023-07-02T03:51:49.484Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,592178,"Kris Bryant","/api/v1/people/592178","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",88.2,82.1,14,2,0.4259,6.6188,24.3924,-32.1383,-2.1613,0.0262,0.98,0.406,8.6635,-128.2006,-6.8159,-2.15,50.0055,5.5806,-3.6283,3.6,8.4,24,2231,26,NA,NA,NA,NA,NA,NA,FALSE,-36.2,-1.2,2.2,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717544,"2023-07-02",0,"2023-07-02T03:50:12.422Z","2023-07-02T03:50:17.679Z",TRUE,"pitch","264b9761-82ed-47e2-9a8a-dc3e115708c2",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.26,1.68,NA,122.56,156.07,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"78","atBat","Single","single","Kris Bryant singles on a line drive to left fielder Zach McKinstry. Coco Montes scores. Jurickson Profar to 3rd.",1,4,2,78,"bottom",10,"2023-07-02T03:49:56.108Z","2023-07-02T03:51:49.484Z",TRUE,TRUE,FALSE,FALSE,33,1,2,2,592178,"Kris Bryant","/api/v1/people/592178","R","Right",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_RHB","RISP",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.9,88.1,2,2,0.3939,6.2708,25.8769,-23.5247,-7.4616,4.4038,-0.1458,3.0633,8.1732,-138.1504,-2.8435,-2.1495,50.0063,5.6578,-14.6708,28.8,6,24,2155,220,NA,NA,NA,NA,NA,NA,FALSE,-22.3,7.7,12.1,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717544,"2023-07-02",8,"2023-07-02T03:49:37.196Z","2023-07-02T03:49:45.406Z",TRUE,"pitch","4968a26c-86b1-497d-a6d7-a488a720dcb9",7,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",4,2,2,NA,NA,3.3314,1.6008,NA,83.24,223.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Walk","walk","Jurickson Profar walks.",0,4,1,77,"bottom",10,"2023-07-02T03:47:19.179Z","2023-07-02T03:49:45.406Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,595777,"Jurickson Profar","/api/v1/people/595777","L","Left",656638,"Alex Lange","/api/v1/people/656638","R","Right","vs_RHP","vs_LHB","RISP",NA,"Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Colorado Rockies","Detroit Tigers",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",87.8,81.5,14,2,0.4285,6.5842,24.7759,-32.6668,-2.4397,-0.2978,0.8856,0.5736,8.2194,-127.5401,-6.4525,-2.0535,50.002,5.6936,-4.0433,4.8,8.4,24,2329,356,NA,NA,NA,NA,NA,NA,FALSE,-37.2,-1.8,2.6,NA,NA,NA,NA,NA,NA,FALSE,FALSE,595777,"Jurickson Profar","/api/v1/people/595777",663796,"Coco Montes","/api/v1/people/663796",NA,NA,NA
