"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717554,"2023-07-01",3,"2023-07-01T02:34:02.710Z","2023-07-01T02:34:11.516Z",TRUE,"pitch","327d09cb-e208-49ab-92c7-c068c2b43a25",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.47,1.66,NA,115.48,159.93,"fly_ball","medium","7",55.18,109.91,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Travis Jankowski flies out to left fielder Chas McCormick.",0,5,3,71,"bottom",9,"2023-07-01T02:32:39.035Z","2023-07-01T02:34:11.516Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.7,87.7,2,2,0.3927,6.3496,30.6541,-11.5836,-0.5222,10.446,0.0398,2.9203,0.7588,-139.3564,-5.2616,-0.1679,50.0034,5.5947,-1.0295,3.6,2.4,24,2606,193,86,44,283,NA,NA,NA,TRUE,-11.8,18,0.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",2,"2023-07-01T02:33:41.828Z","2023-07-01T02:33:48.679Z",TRUE,"pitch","33ba5c8b-1415-4c37-abb4-1c875fa30ddc",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.4696,1.824,NA,123.85,198.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Travis Jankowski flies out to left fielder Chas McCormick.",0,5,3,71,"bottom",9,"2023-07-01T02:32:39.035Z","2023-07-01T02:34:11.516Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.5,83.3,13,2,0.4179,6.2923,24.2518,-28.5795,2.5511,2.0628,-0.1798,1.4932,-0.7046,-130.4526,-5.2582,-0.2398,50.005,5.6569,4.452,8.4,7.2,24,2743,130,NA,NA,NA,NA,NA,NA,FALSE,-30.8,2.9,-4.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",1,"2023-07-01T02:33:22.018Z","2023-07-01T02:33:25.793Z",TRUE,"pitch","163e8a26-85d5-4054-8cb2-49274df3c29a",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.47,1.66,NA,113.51,190.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Travis Jankowski flies out to left fielder Chas McCormick.",0,5,3,71,"bottom",9,"2023-07-01T02:32:39.035Z","2023-07-01T02:34:11.516Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.8,82.8,8,2,0.4184,6.2268,26.9006,-29.7505,3.116,1.3941,0.0917,1.7841,-0.447,-130.7708,-4.4696,-0.1403,50.001,5.7403,5.4103,9.6,7.2,24,2699,128,NA,NA,NA,NA,NA,NA,FALSE,-32,1.8,-5.5,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",0,"2023-07-01T02:32:54.515Z","2023-07-01T02:32:58.968Z",TRUE,"pitch","adebd18e-9c66-4d9f-91bb-92b3cf2e61b1",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5339,1.6839,NA,88.52,195.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Travis Jankowski flies out to left fielder Chas McCormick.",0,5,3,71,"bottom",9,"2023-07-01T02:32:39.035Z","2023-07-01T02:34:11.516Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.1,75.1,9,2,0.461,6.1347,26.4934,-43.8502,8.8612,-8.2063,0.7473,1.6096,-0.043,-119.5452,-0.6644,-0.3823,50.0002,5.8827,12.6165,15.6,13.2,24,3159,28,NA,NA,NA,NA,NA,NA,FALSE,-55.7,-14.6,-16,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",2,"2023-07-01T02:32:19.944Z","2023-07-01T02:32:27.310Z",TRUE,"pitch","7e891a4a-af1d-4cf0-a0bc-83d559c7f505",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.37,1.61,NA,86.13,206.06,"line_drive","medium","9",158.09,100.24,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Ezequiel Duran lines out to right fielder Kyle Tucker.",0,5,3,70,"bottom",9,"2023-07-01T02:31:23.997Z","2023-07-01T02:32:27.310Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,677649,"Ezequiel Duran","/api/v1/people/677649","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.8,82.5,14,2,0.422,6.269,24.8307,-29.7973,3.0671,1.3933,0.8099,1.2119,1.4491,-129.3822,-5.6184,-0.1546,50.0064,5.6714,5.2449,9.6,7.2,24,2842,107,76.5,29,261,NA,NA,NA,TRUE,-32.8,1.6,-5.9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",1,"2023-07-01T02:31:59.134Z","2023-07-01T02:32:04.270Z",TRUE,"pitch","722d8f4c-7f84-406d-9f0d-33e95e5fff35",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3124,1.5453,NA,81.56,225.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Ezequiel Duran lines out to right fielder Kyle Tucker.",0,5,3,70,"bottom",9,"2023-07-01T02:31:23.997Z","2023-07-01T02:32:27.310Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,677649,"Ezequiel Duran","/api/v1/people/677649","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",83.5,76.7,14,2,0.4529,6.2519,26.7222,-41.5755,7.0035,-6.3646,0.9297,0.4966,0.8969,-121.5509,-3.6256,-0.3541,50.0044,5.6655,10.3432,14.4,12,24,3423,23,NA,NA,NA,NA,NA,NA,FALSE,-51.7,-12.1,-12.8,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",0,"2023-07-01T02:31:41.651Z","2023-07-01T02:31:45.926Z",TRUE,"pitch","e1144789-b16f-40b7-9769-a37fd34d0ccb",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3696,1.6289,NA,132.29,184.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Lineout","field_out","Ezequiel Duran lines out to right fielder Kyle Tucker.",0,5,3,70,"bottom",9,"2023-07-01T02:31:23.997Z","2023-07-01T02:32:27.310Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,677649,"Ezequiel Duran","/api/v1/people/677649","R","Right",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_RHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.8,88,7,2,0.3923,6.315,30.172,-10.6073,-2.0027,10.9132,-0.4012,2.0206,0.2141,-139.4108,-7.7986,-0.2185,50.0019,5.5473,-3.9575,18,2.4,24,2484,202,NA,NA,NA,NA,NA,NA,FALSE,-11.3,18.5,3.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",7,"2023-07-01T02:31:07.677Z","2023-07-01T02:31:13.197Z",TRUE,"pitch","06b26638-4b93-4621-9cd2-f4a12def0373",6,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,0,NA,NA,3.41,1.64,NA,98.56,215.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jonah Heim strikes out swinging.",0,5,3,69,"bottom",9,"2023-07-01T02:29:25.995Z","2023-07-01T02:31:13.197Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,641680,"Jonah Heim","/api/v1/people/641680","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.6,83.7,14,2,0.415,6.2487,27.3779,-29.0699,3.9653,1.7616,0.4837,0.8767,0.2607,-131.8628,-6.9238,-0.1318,50.0052,5.674,7.0014,13.2,7.2,24,2682,145,NA,NA,NA,NA,NA,NA,TRUE,-31.3,1.9,-7.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",5,"2023-07-01T02:30:40.050Z","2023-07-01T02:30:45.588Z",TRUE,"pitch","bbe48e1a-8134-4ede-b3f6-6277b99a3a3b",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,0,NA,NA,3.4096,1.7404,NA,89.64,184.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jonah Heim strikes out swinging.",0,5,3,69,"bottom",9,"2023-07-01T02:29:25.995Z","2023-07-01T02:31:13.197Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,641680,"Jonah Heim","/api/v1/people/641680","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.2,83.4,9,2,0.4158,6.0864,26.0631,-26.0099,2.2006,3.5013,0.7179,2.022,1.7086,-131.3789,-4.8118,-0.2252,50.0033,5.7945,3.8721,8.4,6,24,2622,172,NA,NA,NA,NA,NA,NA,FALSE,-27.8,5.5,-4.3,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717554,"2023-07-01",4,"2023-07-01T02:30:22.032Z","2023-07-01T02:30:26.645Z",TRUE,"pitch","ea2ef223-7004-4d15-89c5-57046ae50204",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,0,NA,NA,3.4791,1.6847,NA,170.66,175.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Jonah Heim strikes out swinging.",0,5,3,69,"bottom",9,"2023-07-01T02:29:25.995Z","2023-07-01T02:31:13.197Z",TRUE,FALSE,FALSE,TRUE,14,3,3,1,641680,"Jonah Heim","/api/v1/people/641680","L","Left",519151,"Ryan Pressly","/api/v1/people/519151","R","Right","vs_RHP","vs_LHB","Empty",NA,"Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Houston Astros",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94,86.2,13,2,0.4,6.2916,29.4572,-12.043,-2.3323,10.5939,-1.4077,2.3453,-1.8254,-136.8038,-6.5474,-0.4295,50.0018,5.5907,-4.4319,19.2,3.6,24,2497,199,NA,NA,NA,NA,NA,NA,FALSE,-12.8,18,4.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
