"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717602,"2023-06-27",5,"2023-06-27T04:22:08.585Z","2023-06-27T04:22:14.233Z",TRUE,"pitch","e76618f1-64d0-416b-bbab-40a0249da395",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,2,NA,NA,3.3763,1.6518,NA,159.98,193.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Jeimer Candelario called out on strikes.",0,4,8,79,"top",9,"2023-06-27T04:21:21.472Z","2023-06-27T04:22:14.233Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.5,79,13,0.89,0.4386,6.5551,23.3317,-22.3213,3.4826,6.2285,-1.1275,1.6856,5.0266,-124.5475,-2.2075,-3.6189,50.0054,4.4159,5.51,15.6,6,24,2520,95,NA,NA,NA,NA,NA,NA,TRUE,-26,11,-7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717602,"2023-06-27",4,"2023-06-27T04:21:50.924Z","2023-06-27T04:21:53.934Z",TRUE,"pitch","8feded8c-6563-461b-a579-2bcba70e856a",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.35,1.64,NA,154.94,173.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Jeimer Candelario called out on strikes.",0,4,8,79,"top",9,"2023-06-27T04:21:21.472Z","2023-06-27T04:22:14.233Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.8,79,13,0.89,0.4377,6.6151,24.0765,-21.5739,3.7585,6.6791,-0.9954,2.4071,5.4084,-124.9112,-0.8028,-3.6733,50.0046,4.499,5.9665,18,6,24,2465,105,NA,NA,NA,NA,NA,NA,FALSE,-24.8,12.1,-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717602,"2023-06-27",3,"2023-06-27T04:21:36.565Z","2023-06-27T04:21:39.894Z",TRUE,"pitch","6626362a-9c29-445e-813b-8a953056d8d4",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.2382,1.5834,NA,121.79,191.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Jeimer Candelario called out on strikes.",0,4,8,79,"top",9,"2023-06-27T04:21:21.472Z","2023-06-27T04:22:14.233Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.3,77.8,8,0.89,0.4456,6.3848,23.0505,-25.1842,3.499,4.5639,-0.1258,1.7403,7.2207,-122.6622,-1.4805,-3.5561,50.0044,4.4882,5.3592,14.4,7.2,24,2401,110,NA,NA,NA,NA,NA,NA,FALSE,-30.1,8.2,-7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717602,"2023-06-27",2,"2023-06-27T04:21:23.668Z","2023-06-27T04:21:27.238Z",TRUE,"pitch","47cd6bfc-9acd-475f-8306-944d4c37c071",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4048,1.6945,NA,176.11,147.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Jeimer Candelario called out on strikes.",0,4,8,79,"top",9,"2023-06-27T04:21:21.472Z","2023-06-27T04:22:14.233Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92,84.4,11,0.9,0.4083,6.4943,27.2579,-19.2213,-7.1554,7.0973,-1.5507,3.376,7.8743,-133.8511,0.7097,-3.5927,50.0053,4.4775,-13.0645,31.2,4.8,24,2447,232,NA,NA,NA,NA,NA,NA,FALSE,-19,13.2,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717602,"2023-06-27",0,"2023-06-27T04:18:31.525Z","2023-06-27T04:20:00.034Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",4,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Jeimer Candelario called out on strikes.",0,4,8,79,"top",9,"2023-06-27T04:21:21.472Z","2023-06-27T04:22:14.233Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717602,"2023-06-27",1,"2023-06-27T04:20:00.034Z","2023-06-27T04:21:23.668Z",FALSE,"action",NA,NA,"Pitching Change: Paul Sewald replaces Tayler Saucedo.","Pitching Substitution",4,8,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,623149,"/api/v1/people/623149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"79","atBat","Strikeout","strikeout","Jeimer Candelario called out on strikes.",0,4,8,79,"top",9,"2023-06-27T04:21:21.472Z","2023-06-27T04:22:14.233Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,600869,"Jeimer Candelario","/api/v1/people/600869","L","Left",623149,"Paul Sewald","/api/v1/people/623149","R","Right","vs_RHP","vs_LHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717602,"2023-06-27",6,"2023-06-27T04:18:11.709Z","2023-06-27T04:18:16.393Z",TRUE,"pitch","2c709050-f261-48ca-8f33-447e262a6696",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.5471,1.8045,NA,174.46,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Luis Garcia walks.",0,4,8,78,"top",9,"2023-06-27T04:16:10.241Z","2023-06-27T04:18:16.393Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,671277,"Luis García Jr.","/api/v1/people/671277","L","Left",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_LHB","Loaded",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.9,85.6,13,2,0.4044,7.4811,26.723,-16.2311,6.7449,8.5602,-1.5076,2.1398,-11.0342,-134.9598,-4.8632,1.7397,50.0044,5.0922,12.5652,31.2,4.8,24,2406,120,NA,NA,NA,NA,NA,NA,FALSE,-16.8,14.8,-10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,671277,"Luis García Jr.","/api/v1/people/671277",657041,"Lane Thomas","/api/v1/people/657041",642086,"Dominic Smith","/api/v1/people/642086"
717602,"2023-06-27",5,"2023-06-27T04:17:47.242Z","2023-06-27T04:17:50.406Z",TRUE,"pitch","c3b3d0dd-5609-4a89-842c-1099623732f2",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.52,1.75,NA,43.68,166.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Luis Garcia walks.",0,4,8,78,"top",9,"2023-06-27T04:16:10.241Z","2023-06-27T04:18:16.393Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,671277,"Luis García Jr.","/api/v1/people/671277","L","Left",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_LHB","Loaded",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.2,84.4,12,2,0.4084,6.6147,29.4512,-33.0156,10.9479,-0.465,1.9236,2.6791,-3.5649,-134.1875,-0.3942,1.8483,50.0012,5.1833,19.9317,30,8.4,24,2302,117,NA,NA,NA,NA,NA,NA,FALSE,-32.9,-0.7,-19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717602,"2023-06-27",4,"2023-06-27T04:17:28.763Z","2023-06-27T04:17:32.196Z",TRUE,"pitch","863e4c5e-aca7-4640-81bb-ebd6a8a613b9",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.4916,1.7767,NA,178.62,190.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Luis Garcia walks.",0,4,8,78,"top",9,"2023-06-27T04:16:10.241Z","2023-06-27T04:18:16.393Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,671277,"Luis García Jr.","/api/v1/people/671277","L","Left",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_LHB","Loaded",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.4,77.9,13,2,0.446,7.0728,24.0328,-32.9091,-4.4374,-0.4809,-1.6165,1.8012,-6.6891,-122.7661,-1.2875,1.7187,50.0021,5.1304,-6.7811,13.2,9.6,24,2362,278,NA,NA,NA,NA,NA,NA,FALSE,-39.4,-1,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717602,"2023-06-27",3,"2023-06-27T04:17:08.266Z","2023-06-27T04:17:11.699Z",TRUE,"pitch","fbb62608-2047-410f-9d4e-cd01f4cae470",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.5471,1.7767,NA,165.18,190.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Luis Garcia walks.",0,4,8,78,"top",9,"2023-06-27T04:16:10.241Z","2023-06-27T04:18:16.393Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,671277,"Luis García Jr.","/api/v1/people/671277","L","Left",642048,"Tayler Saucedo","/api/v1/people/642048","L","Left","vs_LHP","vs_LHB","Loaded",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Washington Nationals",1,"Major League Baseball",NA,NA,104,"National League","Washington Nationals","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.1,77.6,13,2,0.4474,7.2088,24.0416,-33.3855,-3.8169,-0.8022,-1.2639,1.7903,-6.2203,-122.4081,-1.2054,1.8053,50.0009,5.1462,-5.7924,12,9.6,24,2278,270,NA,NA,NA,NA,NA,NA,FALSE,-40.1,-1.4,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
