"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","base","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717805,"2023-06-11",5,"2023-06-11T20:44:14.045Z","2023-06-11T20:44:17.647Z",TRUE,"pitch","e866f7d1-1532-4e65-bbd8-96ea16ef4ab7",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,2,NA,NA,3.635,1.6507,NA,104.82,133.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Trevor Larnach called out on strikes.",0,6,7,79,"top",9,"2023-06-11T20:42:14.906Z","2023-06-11T20:44:17.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,663616,"Trevor Larnach","/api/v1/people/663616","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.3,89.7,7,0.88,0.3838,7.7952,33.2417,-9.8758,-3.1086,10.815,-0.3641,1.9807,6.7512,-142.7762,-8.6866,-2.3568,50.0068,5.6866,-6.412,22.8,2.4,24,2215,204,NA,NA,NA,NA,NA,NA,TRUE,-10.4,18,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717805,"2023-06-11",4,"2023-06-11T20:43:47.857Z","2023-06-11T20:43:52.290Z",TRUE,"pitch","4db5135a-d894-467a-8435-d47d028bcd10",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,2,NA,NA,3.583,1.7786,NA,87.49,236.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Trevor Larnach called out on strikes.",0,6,7,79,"top",9,"2023-06-11T20:42:14.906Z","2023-06-11T20:44:17.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,663616,"Trevor Larnach","/api/v1/people/663616","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.3,82.3,14,0.89,0.4233,7.9932,28.8189,-34.9857,2.0248,-1.6648,0.7742,0.0762,6.7877,-129.7305,-7.8514,-2.146,50.0005,5.8318,3.4266,7.2,8.4,24,2277,60,NA,NA,NA,NA,NA,NA,FALSE,-39.2,-4.7,-5.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717805,"2023-06-11",3,"2023-06-11T20:43:22.600Z","2023-06-11T20:43:26.136Z",TRUE,"pitch","7a5f91b9-481e-4a52-b561-a8d3057c4765",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.64,1.78,NA,146.58,145.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Trevor Larnach called out on strikes.",0,6,7,79,"top",9,"2023-06-11T20:42:14.906Z","2023-06-11T20:44:17.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,663616,"Trevor Larnach","/api/v1/people/663616","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.2,89.6,1,0.88,0.3815,7.5841,37.0868,-11.8933,-3.2021,9.7402,-0.7761,3.4504,5.5192,-144.1966,-4.5624,-2.309,50.0014,5.8016,-6.667,21.6,2.4,24,2306,200,NA,NA,NA,NA,NA,NA,FALSE,-11.4,16.8,4.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717805,"2023-06-11",1,"2023-06-11T20:42:42.318Z","2023-06-11T20:42:45.541Z",TRUE,"pitch","3b5490e2-ec2f-440e-b59e-b509609998e5",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.64,1.78,NA,126.23,137.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Trevor Larnach called out on strikes.",0,6,7,79,"top",9,"2023-06-11T20:42:14.906Z","2023-06-11T20:44:17.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,663616,"Trevor Larnach","/api/v1/people/663616","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.3,88.3,2,0.88,0.3882,7.4709,34.4034,-12.4895,-1.8799,9.7775,-0.242,3.738,6.6288,-141.4873,-3.4405,-2.3782,50.0011,5.7784,-3.7846,9.6,2.4,24,2247,197,NA,NA,NA,NA,NA,NA,FALSE,-12,17.2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717805,"2023-06-11",0,"2023-06-11T20:42:22.922Z","2023-06-11T20:42:26.374Z",TRUE,"pitch","5ef66133-fd60-4b40-beb7-8c728ebaff1a",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.583,1.7544,NA,146.11,180.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Trevor Larnach called out on strikes.",0,6,7,79,"top",9,"2023-06-11T20:42:14.906Z","2023-06-11T20:44:17.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,663616,"Trevor Larnach","/api/v1/people/663616","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,88.6,7,0.88,0.3875,7.5952,34.5675,-13.3035,-4.7735,9.3416,-0.7637,2.1754,6.8748,-141.7372,-7.1922,-2.6086,50.0005,5.608,-9.6413,27.6,3.6,24,2263,205,NA,NA,NA,NA,NA,NA,FALSE,-13.6,15.5,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717805,"2023-06-11",2,"2023-06-11T20:43:02.129Z","2023-06-11T20:43:07.129Z",FALSE,"stepoff","15d382e9-08a5-4e96-9249-96c5c772cecb",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Trevor Larnach called out on strikes.",0,6,7,79,"top",9,"2023-06-11T20:42:14.906Z","2023-06-11T20:44:17.647Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,663616,"Trevor Larnach","/api/v1/people/663616","L","Left",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_LHB","Empty",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717805,"2023-06-11",6,"2023-06-11T20:41:46.798Z","2023-06-11T20:41:56.755Z",TRUE,"pitch","c4e76fe9-ca44-475e-a49f-09ef2795b30a",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.55,1.7,NA,90.16,183.43,"ground_ball","medium","6",116.04,139.82,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Carlos Correa grounds out, shortstop Bo Bichette to first baseman Cavan Biggio. Willi Castro to 3rd.",0,6,7,78,"top",9,"2023-06-11T20:37:58.088Z","2023-06-11T20:41:56.755Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,621043,"Carlos Correa","/api/v1/people/621043","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.6,79.6,9,0.9,0.4328,7.4651,30.0576,-33.1482,2.3859,-0.5994,0.7041,2.0502,6.3454,-127.3488,-3.1799,-2.1462,50.0045,5.981,3.8567,8.4,8.4,24,2185,53,74.7,-7,16,NA,NA,NA,TRUE,-37.8,-1.7,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,650489,"Willi Castro","/api/v1/people/650489"
717805,"2023-06-11",4,"2023-06-11T20:41:07.210Z","2023-06-11T20:41:10.433Z",TRUE,"pitch","bdcaaedd-e774-4d0e-a239-a403309b0707",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,1,NA,NA,3.55,1.7,NA,115.8,214.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Carlos Correa grounds out, shortstop Bo Bichette to first baseman Cavan Biggio. Willi Castro to 3rd.",0,6,7,78,"top",9,"2023-06-11T20:37:58.088Z","2023-06-11T20:41:56.755Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,621043,"Carlos Correa","/api/v1/people/621043","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.6,80.3,14,0.9,0.4314,7.7252,28.2945,-33.6505,2.523,-0.9049,0.0315,0.9139,5.3767,-127.3845,-5.3949,-2.4418,50.0051,5.7471,4.1093,8.4,8.4,24,2293,51,NA,NA,NA,NA,NA,NA,FALSE,-38.6,-2.8,-5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717805,"2023-06-11",3,"2023-06-11T20:40:48.544Z","2023-06-11T20:40:51.973Z",TRUE,"pitch","e7835d74-04aa-4be4-bc54-ad457c7a4b9a",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,1,NA,NA,3.4791,1.6507,NA,113.57,169.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Carlos Correa grounds out, shortstop Bo Bichette to first baseman Cavan Biggio. Willi Castro to 3rd.",0,6,7,78,"top",9,"2023-06-11T20:37:58.088Z","2023-06-11T20:41:56.755Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,621043,"Carlos Correa","/api/v1/people/621043","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.5,88.4,5,0.88,0.388,7.8057,34.9273,-10.2847,-3.715,10.8667,0.0899,2.5675,8.5771,-141.6365,-6.696,-2.5067,50.0039,5.6333,-7.4849,24,2.4,24,2299,207,NA,NA,NA,NA,NA,NA,FALSE,-10.8,18.4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717805,"2023-06-11",1,"2023-06-11T20:38:31.066Z","2023-06-11T20:38:36.621Z",TRUE,"pitch","3f93fc1b-5ae1-42ef-997d-57f81bc1ae5c",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.4531,1.6986,NA,145.19,142.75,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Carlos Correa grounds out, shortstop Bo Bichette to first baseman Cavan Biggio. Willi Castro to 3rd.",0,6,7,78,"top",9,"2023-06-11T20:37:58.088Z","2023-06-11T20:41:56.755Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,621043,"Carlos Correa","/api/v1/people/621043","R","Right",605447,"Jordan Romano","/api/v1/people/605447","R","Right","vs_RHP","vs_RHB","RISP",NA,"Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Toronto Blue Jays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,79,1,0.9,0.4366,7.3102,25.4283,-29.7812,3.0047,1.5027,-0.7395,3.5565,4.6989,-125.4772,0.956,-3.027,50.0049,5.5975,4.7895,10.8,7.2,24,2220,98,NA,NA,NA,NA,NA,NA,FALSE,-33.6,3.2,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
