"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
717851,"2023-06-07",1,"2023-06-08T02:12:51.003Z","2023-06-08T02:12:58.297Z",TRUE,"pitch","e25a5cf9-9ba0-481b-9c8e-125dc0afc4b5",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.58,1.7,NA,99.75,189.64,"ground_ball","medium","1",124.73,185.2,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Aaron Hicks grounds out, pitcher Bennett Sousa to first baseman Rowdy Tellez.",0,2,10,74,"top",9,"2023-06-08T02:12:27.490Z","2023-06-08T02:12:58.297Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,543305,"Aaron Hicks","/api/v1/people/543305","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.7,86.2,9,2,0.4012,6.4153,28.7569,-15.6797,6.4989,8.7327,0.4525,1.82,-4.1697,-136.2831,-8.6317,1.1546,50.0045,6.1019,12.278,33.6,4.8,24,2070,160,71.8,-54,2,NA,NA,NA,TRUE,-16.8,14.3,-10.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717851,"2023-06-07",0,"2023-06-08T02:12:29.856Z","2023-06-08T02:12:33.107Z",TRUE,"pitch","0d0c35d9-1316-4de1-b55a-a616c5098770",1,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,0,2,NA,NA,3.3356,1.6084,NA,110.29,236.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Groundout","field_out","Aaron Hicks grounds out, pitcher Bennett Sousa to first baseman Rowdy Tellez.",0,2,10,74,"top",9,"2023-06-08T02:12:27.490Z","2023-06-08T02:12:58.297Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,543305,"Aaron Hicks","/api/v1/people/543305","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","Empty",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.7,86.5,14,2,0.4022,6.3965,27.8677,-15.5798,7.6559,8.8188,0.176,0.0815,-5.2177,-135.8498,-12.8694,1.1202,50.0059,5.944,14.4096,36,4.8,24,2096,152,NA,NA,NA,NA,NA,NA,FALSE,-17.6,13.6,-12.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717851,"2023-06-07",4,"2023-06-08T02:11:54.229Z","2023-06-08T02:12:02.342Z",TRUE,"pitch","52616fb3-2436-493c-a86d-c640c6f89c44",4,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,2,0,NA,NA,3.4,1.59,NA,90.9,179.72,"ground_ball","medium","6",111.53,149.58,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Ryan McKenna grounds into a double play, shortstop Willy Adames to second baseman Andruw Monasterio to first baseman Rowdy Tellez. Ramon Urias scores. Adley Rutschman to 3rd. Austin Hays out at 2nd. Ryan McKenna out at 1st.",0,2,10,73,"top",9,"2023-06-08T02:10:47.527Z","2023-06-08T02:12:02.342Z",TRUE,TRUE,FALSE,TRUE,24,0,2,2,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.3,86,6,2,0.4025,6.3853,28.2199,-18.1138,5.7901,7.4914,0.6846,2.1874,-3.2571,-135.7935,-7.189,1.1438,50.0062,6.1176,10.8746,27.6,4.8,24,2158,160,79.2,-20,7,NA,NA,NA,TRUE,-19,12.4,-9.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,668939,"Adley Rutschman","/api/v1/people/668939",NA,NA,NA,NA
717851,"2023-06-07",3,"2023-06-08T02:11:31.876Z","2023-06-08T02:11:36.249Z",TRUE,"pitch","46a6181f-79e7-4e33-9809-52a88549fe11",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.4,1.59,NA,108.37,153.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Ryan McKenna grounds into a double play, shortstop Willy Adames to second baseman Andruw Monasterio to first baseman Rowdy Tellez. Ramon Urias scores. Adley Rutschman to 3rd. Austin Hays out at 2nd. Ryan McKenna out at 1st.",0,2,10,73,"top",9,"2023-06-08T02:10:47.527Z","2023-06-08T02:12:02.342Z",TRUE,TRUE,FALSE,TRUE,24,0,2,2,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86,79.3,2,0.9,0.4367,6.3235,24.3774,-28.9282,-0.1833,2.0318,0.2263,3.1472,-2.2526,-125.232,-2.2095,1.1597,50.0001,6.3982,-0.2918,1.2,7.2,24,2096,221,NA,NA,NA,NA,NA,NA,FALSE,-33.4,3.5,0.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717851,"2023-06-07",2,"2023-06-08T02:11:08.516Z","2023-06-08T02:11:12.471Z",TRUE,"pitch","d3fbb95d-416a-412e-b05b-a06d0d905e3a",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.4,1.59,NA,95.8,175.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Ryan McKenna grounds into a double play, shortstop Willy Adames to second baseman Andruw Monasterio to first baseman Rowdy Tellez. Ramon Urias scores. Adley Rutschman to 3rd. Austin Hays out at 2nd. Ryan McKenna out at 1st.",0,2,10,73,"top",9,"2023-06-08T02:10:47.527Z","2023-06-08T02:12:02.342Z",TRUE,TRUE,FALSE,TRUE,24,0,2,2,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.6,86.1,6,2,0.4017,6.2913,28.8366,-18.2806,6.8479,7.3701,0.5561,2.345,-4.1273,-136.1627,-7.1132,1.1989,50.0014,6.2479,12.9061,31.2,4.8,24,2193,156,NA,NA,NA,NA,NA,NA,FALSE,-19.1,12.1,-11.5,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717851,"2023-06-07",1,"2023-06-08T02:10:49.812Z","2023-06-08T02:10:56.470Z",TRUE,"pitch","db2efbe3-cd49-43b3-8791-6d4a449c25fc",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,0,NA,NA,3.4,1.59,NA,100.17,200.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Ryan McKenna grounds into a double play, shortstop Willy Adames to second baseman Andruw Monasterio to first baseman Rowdy Tellez. Ramon Urias scores. Adley Rutschman to 3rd. Austin Hays out at 2nd. Ryan McKenna out at 1st.",0,2,10,73,"top",9,"2023-06-08T02:10:47.527Z","2023-06-08T02:12:02.342Z",TRUE,TRUE,FALSE,TRUE,24,0,2,2,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.4,86,14,2,0.4027,6.3972,28.6778,-18.1424,7.1491,7.4871,0.4416,1.4111,-4.5054,-135.8067,-9.1561,1.1899,50.0064,6.0789,13.4078,32.4,4.8,24,2034,157,NA,NA,NA,NA,NA,NA,FALSE,-19.4,11.9,-12,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717851,"2023-06-07",0,"2023-06-08T02:09:59.160Z","2023-06-08T02:10:49.812Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",1,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"73","atBat","Grounded Into DP","grounded_into_double_play","Ryan McKenna grounds into a double play, shortstop Willy Adames to second baseman Andruw Monasterio to first baseman Rowdy Tellez. Ramon Urias scores. Adley Rutschman to 3rd. Austin Hays out at 2nd. Ryan McKenna out at 1st.",0,2,10,73,"top",9,"2023-06-08T02:10:47.527Z","2023-06-08T02:12:02.342Z",TRUE,TRUE,FALSE,TRUE,24,0,2,2,663630,"Ryan McKenna","/api/v1/people/663630","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","RISP",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717851,"2023-06-07",6,"2023-06-08T02:09:24.486Z","2023-06-08T02:09:37.359Z",TRUE,"pitch","8049e0c7-6e2d-4d8f-bdb2-42dd5d9a2450",7,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",3,2,0,NA,NA,3.13,1.46,NA,121.06,169.15,"line_drive","medium","8",107.97,93.61,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Austin Hays singles on a line drive to center fielder Joey Wiemer. Jorge Mateo scores. Ramon Urias to 3rd. Adley Rutschman to 2nd.",1,1,10,72,"top",9,"2023-06-08T02:07:04.175Z","2023-06-08T02:09:37.359Z",TRUE,TRUE,FALSE,FALSE,33,3,2,0,669720,"Austin Hays","/api/v1/people/669720","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","Loaded",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,86.8,5,0.9,0.3964,6.4217,31.2245,-8.807,2.1364,12.0884,-0.1065,2.579,-4.1456,-138.2439,-7.9871,1.1358,50.0008,6.0991,4.1294,16.8,2.4,24,2158,140,106.3,7,158,NA,NA,NA,FALSE,-10,20.4,-3,NA,NA,NA,NA,NA,FALSE,TRUE,669720,"Austin Hays","/api/v1/people/669720",668939,"Adley Rutschman","/api/v1/people/668939",602104,"Ramón Urías","/api/v1/people/602104",NA,NA,NA,NA
717851,"2023-06-07",5,"2023-06-08T02:08:57.167Z","2023-06-08T02:09:05.540Z",TRUE,"pitch","24e78cbe-ddea-4ceb-b155-02984b9d2612",6,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",3,2,0,NA,NA,3.1885,1.4542,NA,157.95,244.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Austin Hays singles on a line drive to center fielder Joey Wiemer. Jorge Mateo scores. Ramon Urias to 3rd. Adley Rutschman to 2nd.",1,1,10,72,"top",9,"2023-06-08T02:07:04.175Z","2023-06-08T02:09:37.359Z",TRUE,TRUE,FALSE,FALSE,33,3,2,0,669720,"Austin Hays","/api/v1/people/669720","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","Loaded",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.7,13,0.92,0.4318,6.5555,26.2095,-26.5065,-0.5055,3.4779,-1.0743,-0.2033,-4.7401,-126.8981,-10.3734,0.8843,50.0028,6.0527,-0.8229,3.6,7.2,24,2234,174,NA,NA,NA,NA,NA,NA,FALSE,-31.9,4.1,2,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717851,"2023-06-07",4,"2023-06-08T02:08:39.088Z","2023-06-08T02:08:43.448Z",TRUE,"pitch","8e28d69a-f90b-44c6-be93-4e97d440dab5",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.1885,1.4028,NA,79.61,129.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Single","single","Austin Hays singles on a line drive to center fielder Joey Wiemer. Jorge Mateo scores. Ramon Urias to 3rd. Adley Rutschman to 2nd.",1,1,10,72,"top",9,"2023-06-08T02:07:04.175Z","2023-06-08T02:09:37.359Z",TRUE,TRUE,FALSE,FALSE,33,3,2,0,669720,"Austin Hays","/api/v1/people/669720","R","Right",656986,"Bennett Sousa","/api/v1/people/656986","L","Left","vs_LHP","vs_RHB","Loaded",NA,"Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Milwaukee Brewers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.1,87,12,0.9,0.3954,6.2622,30.5461,-12.3571,2.2668,10.1905,0.981,4.0597,-1.5528,-138.4711,-3.7411,1.2542,50.0007,6.2533,4.4071,16.8,2.4,24,2060,155,NA,NA,NA,NA,NA,NA,FALSE,-12.2,17.9,-3.8,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
