"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
717892,"2023-06-04",3,"2023-06-04T23:25:21.497Z","2023-06-04T23:25:29.168Z",TRUE,"pitch","88116f49-c8a9-4215-bb10-2be703cb8b17",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,2,NA,NA,3.41,1.62,NA,140.2,178.73,"ground_ball","medium","5",97.54,162.54,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Austin Riley to first baseman Matt Olson.",0,8,5,82,"bottom",9,"2023-06-04T23:24:27.907Z","2023-06-04T23:25:29.168Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.3,82,4,2,0.4211,6.0795,27.1035,-29.5967,-8.5118,1.5072,-0.6087,2.2239,5.3509,-130.0291,-2.2346,-1.5866,50.0057,5.3388,-14.5871,24,8.4,24,1830,238,104.4,-3,30,NA,NA,NA,TRUE,-31.8,2.4,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717892,"2023-06-04",1,"2023-06-04T23:24:48.528Z","2023-06-04T23:24:51.528Z",TRUE,"pitch","8c4196d2-8388-4de2-a65f-5269d5a511a8",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.41,1.62,NA,125.25,165.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Austin Riley to first baseman Matt Olson.",0,8,5,82,"bottom",9,"2023-06-04T23:24:27.907Z","2023-06-04T23:25:29.168Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.8,81.3,5,2,0.4241,6.027,26.9553,-25.5028,-7.9561,3.9468,-0.2164,2.7133,6.4839,-129.1684,-1.7321,-1.7257,50.0001,5.3537,-13.4393,25.2,7.2,24,1840,243,NA,NA,NA,NA,NA,NA,FALSE,-27.7,7,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717892,"2023-06-04",0,"2023-06-04T23:24:31.601Z","2023-06-04T23:24:35.422Z",TRUE,"pitch","491e6abf-e0aa-46fd-997a-0ed06861578d",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4085,1.6073,NA,99.93,195.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Austin Riley to first baseman Matt Olson.",0,8,5,82,"bottom",9,"2023-06-04T23:24:27.907Z","2023-06-04T23:25:29.168Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.2,82.1,9,2,0.4218,6.2648,26.0525,-27.6025,-8.8823,2.6756,0.4478,1.6136,8.4909,-129.6405,-3.8869,-1.7093,50.0048,5.2295,-15.184,25.2,7.2,24,1818,241,NA,NA,NA,NA,NA,NA,FALSE,-30.1,4.2,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717892,"2023-06-04",2,"2023-06-04T23:24:57.951Z","2023-06-04T23:25:21.497Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",8,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,2,572233,"/api/v1/people/572233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Christian Walker grounds out, third baseman Austin Riley to first baseman Matt Olson.",0,8,5,82,"bottom",9,"2023-06-04T23:24:27.907Z","2023-06-04T23:25:29.168Z",TRUE,FALSE,FALSE,TRUE,0,0,2,3,572233,"Christian Walker","/api/v1/people/572233","R","Right",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_RHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717892,"2023-06-04",2,"2023-06-04T23:23:41.684Z","2023-06-04T23:23:49.228Z",TRUE,"pitch","b36ace1d-a871-4b95-83df-1421928b3eba",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,0,NA,NA,3.11,1.54,NA,116.19,190.89,"ground_ball","medium","3",149.07,169.66,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Grounded Into DP","grounded_into_double_play","Corbin Carroll grounds into a double play, first baseman Matt Olson to shortstop Orlando Arcia to pitcher Raisel Iglesias. Ketel Marte out at 2nd. Corbin Carroll out at 1st.",0,8,5,81,"bottom",9,"2023-06-04T23:23:06.246Z","2023-06-04T23:23:49.228Z",TRUE,FALSE,FALSE,TRUE,24,1,1,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.6,81.3,8,2,0.4251,5.9392,26.4504,-25.7485,-8.5845,3.8241,0.0211,1.7736,7.4061,-128.7916,-3.6231,-1.7748,50.0062,5.1874,-14.4414,26.4,7.2,24,1750,245,103.9,-11,11,NA,NA,NA,TRUE,-28.6,6.4,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717892,"2023-06-04",1,"2023-06-04T23:23:25.898Z","2023-06-04T23:23:29.151Z",TRUE,"pitch","1d18f3d7-c36b-4193-8193-3f8e64dfb10b",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.1947,1.5092,NA,177.63,164.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Grounded Into DP","grounded_into_double_play","Corbin Carroll grounds into a double play, first baseman Matt Olson to shortstop Orlando Arcia to pitcher Raisel Iglesias. Ketel Marte out at 2nd. Corbin Carroll out at 1st.",0,8,5,81,"bottom",9,"2023-06-04T23:23:06.246Z","2023-06-04T23:23:49.228Z",TRUE,FALSE,FALSE,TRUE,24,1,1,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,85.2,11,2,0.4027,6.0474,31.4728,-15.6404,-4.3822,8.8338,-1.5905,2.7491,2.1673,-136.3052,-3.7908,-1.8289,50.003,5.246,-8.2011,25.2,3.6,24,2191,227,NA,NA,NA,NA,NA,NA,FALSE,-16,15.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717892,"2023-06-04",0,"2023-06-04T23:23:10.123Z","2023-06-04T23:23:13.436Z",TRUE,"pitch","2dad3684-85d2-45ce-8e3b-c9c4fe73d63e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.1947,1.6073,NA,97.02,175.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Grounded Into DP","grounded_into_double_play","Corbin Carroll grounds into a double play, first baseman Matt Olson to shortstop Orlando Arcia to pitcher Raisel Iglesias. Ketel Marte out at 2nd. Corbin Carroll out at 1st.",0,8,5,81,"bottom",9,"2023-06-04T23:23:06.246Z","2023-06-04T23:23:49.228Z",TRUE,FALSE,FALSE,TRUE,24,1,1,2,682998,"Corbin Carroll","/api/v1/people/682998","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Empty",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",88.6,81.1,6,2,0.4255,6.1935,26.6909,-24.4272,-8.2803,4.6136,0.5241,2.346,8.5088,-128.7293,-2.6024,-1.7481,50.0013,5.2608,-13.898,26.4,7.2,24,1865,245,NA,NA,NA,NA,NA,NA,FALSE,-27,8,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717892,"2023-06-04",4,"2023-06-04T23:22:39.566Z","2023-06-04T23:22:45.549Z",TRUE,"pitch","9a5faa3b-34a4-4ef6-b734-1dcf2729cdd8",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,0,0,NA,NA,3.5785,1.64,NA,123.7,207.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Walk","walk","Ketel Marte walks.",0,8,5,80,"bottom",9,"2023-06-04T23:21:54.458Z","2023-06-04T23:22:45.549Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,606466,"Ketel Marte","/api/v1/people/606466","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,86.9,13,2,0.3991,5.7748,27.5318,-18.1242,-6.3038,7.3464,-0.1758,1.1505,6.5809,-136.7711,-7.4155,-1.7834,50.0036,5.12,-12.0555,28.8,4.8,24,2226,228,NA,NA,NA,NA,NA,NA,FALSE,-18.7,12.1,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,606466,"Ketel Marte","/api/v1/people/606466",NA,NA,NA,NA,NA,NA
717892,"2023-06-04",3,"2023-06-04T23:22:22.632Z","2023-06-04T23:22:26.450Z",TRUE,"pitch","9e554f1d-4381-427e-80c6-c8b3f873acf5",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,0,0,NA,NA,3.5785,1.7054,NA,170.53,172.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Walk","walk","Ketel Marte walks.",0,8,5,80,"bottom",9,"2023-06-04T23:21:54.458Z","2023-06-04T23:22:45.549Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,606466,"Ketel Marte","/api/v1/people/606466","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,86,13,2,0.4011,6.0512,28.6446,-19.226,-5.9761,6.8486,-1.4043,2.4498,3.3211,-136.3252,-4.0439,-1.8589,50.0041,5.2714,-11.3023,27.6,4.8,24,2281,220,NA,NA,NA,NA,NA,NA,FALSE,-19.2,11.8,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717892,"2023-06-04",2,"2023-06-04T23:22:08.811Z","2023-06-04T23:22:12.969Z",TRUE,"pitch","4cde9961-4304-47d7-8a40-17af1bdbcd59",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,0,NA,NA,3.7194,1.9329,NA,89.67,155.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Walk","walk","Ketel Marte walks.",0,8,5,80,"bottom",9,"2023-06-04T23:21:54.458Z","2023-06-04T23:22:45.549Z",TRUE,FALSE,FALSE,FALSE,0,4,0,0,606466,"Ketel Marte","/api/v1/people/606466","L","Left",628452,"Raisel Iglesias","/api/v1/people/628452","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Arizona Diamondbacks",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Arizona Diamondbacks","Atlanta Braves",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.7,6,2,0.3983,5.6768,28.7459,-19.4264,-4.4596,6.6465,0.7171,3.0821,8.1919,-137.2337,-2.5493,-1.7196,50.0041,5.3379,-8.5559,19.2,4.8,24,2231,225,NA,NA,NA,NA,NA,NA,FALSE,-18.8,11.8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
