"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
717897,"2023-06-04",2,"2023-06-04T19:59:06.423Z","2023-06-04T19:59:18.402Z",TRUE,"pitch","08d6cef5-ca4a-48ac-990d-f7759b16560c",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,0,2,NA,NA,3.2,1.55,NA,143.75,167.15,"fly_ball","medium","7",56.54,124.99,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Jake Fraley flies out to left fielder Christian Yelich.",0,5,1,66,"bottom",9,"2023-06-04T19:58:32.614Z","2023-06-04T19:59:18.402Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,641584,"Jake Fraley","/api/v1/people/641584","L","Left",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83.8,76.4,4,0.9,0.4507,6.4999,25.235,-35.737,-11.4606,-2.3834,-0.7017,2.6528,7.6204,-121.7999,1.8501,-2.3911,50.0036,4.9869,-17.1191,24,10.8,24,1740,278,87.3,51,253,NA,NA,NA,TRUE,-42.7,-3.6,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",1,"2023-06-04T19:58:49.660Z","2023-06-04T19:58:54.069Z",TRUE,"pitch","771c2c84-268b-4c31-aeaa-40b3c857f09b",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.1492,1.5513,NA,168.86,213.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Jake Fraley flies out to left fielder Christian Yelich.",0,5,1,66,"bottom",9,"2023-06-04T19:58:32.614Z","2023-06-04T19:59:18.402Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,641584,"Jake Fraley","/api/v1/people/641584","L","Left",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",84.4,77,13,0.9,0.448,6.6532,26.1538,-34.6684,-11.3132,-1.6501,-1.3605,0.9487,6.3324,-122.6428,-1.7703,-2.5173,50.0044,4.6602,-17.091,24,10.8,24,1751,280,NA,NA,NA,NA,NA,NA,FALSE,-41.9,-3.1,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",0,"2023-06-04T19:58:34.458Z","2023-06-04T19:58:38.623Z",TRUE,"pitch","bc0feee1-8e3d-4288-857b-f139b6173ff2",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2015,1.5513,NA,157.68,181.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","atBat","Flyout","field_out","Jake Fraley flies out to left fielder Christian Yelich.",0,5,1,66,"bottom",9,"2023-06-04T19:58:32.614Z","2023-06-04T19:59:18.402Z",TRUE,FALSE,FALSE,TRUE,0,2,0,3,641584,"Jake Fraley","/api/v1/people/641584","L","Left",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_LHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",81.8,74.3,13,2,0.4625,6.5812,25.6925,-27.4891,9.6425,3.3128,-1.0673,2.1203,1.0869,-119.042,-0.3552,-2.7826,50.0058,4.7886,13.657,26.4,8.4,24,3030,79,NA,NA,NA,NA,NA,NA,FALSE,-35.2,6.1,-17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",2,"2023-06-04T19:58:03.440Z","2023-06-04T19:58:10.979Z",TRUE,"pitch","5f7aee28-0b8e-42e3-a8f7-b6043ba843e7",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,1,NA,NA,3.07,1.45,NA,131.58,145.48,"line_drive","medium","8",126.06,80.29,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Lineout","field_out","Jonathan India lines out to center fielder Joey Wiemer.",0,5,1,65,"bottom",9,"2023-06-04T19:57:30.843Z","2023-06-04T19:58:10.979Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.7,83.6,11,0.92,0.4111,6.6045,29.2454,-25.649,-10.2267,3.6274,-0.3826,3.4556,7.5039,-133.362,-0.0067,-1.9071,50.0002,5.3115,-18.3796,33.6,7.2,24,2452,233,89,22,297,NA,NA,NA,TRUE,-25.8,6.8,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",1,"2023-06-04T19:57:48.664Z","2023-06-04T19:57:56.157Z",TRUE,"pitch","83e53e67-4131-4897-9283-756bbb2cd2af",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.1239,1.4513,NA,73.86,161.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Lineout","field_out","Jonathan India lines out to center fielder Joey Wiemer.",0,5,1,65,"bottom",9,"2023-06-04T19:57:30.843Z","2023-06-04T19:58:10.979Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,86.3,12,0.9,0.4015,6.5147,25.8367,-17.4771,-5.8677,7.7704,1.1316,2.8557,10.2213,-135.7166,-3.1099,-1.8973,50.002,5.2132,-11.098,26.4,4.8,24,2482,232,NA,NA,NA,NA,NA,NA,FALSE,-17.4,13.7,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",0,"2023-06-04T19:57:33.989Z","2023-06-04T19:57:38.450Z",TRUE,"pitch","6a3d190e-e6ec-4719-b3d2-2f9ce1b55a8e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.0977,1.4513,NA,91.63,166.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Lineout","field_out","Jonathan India lines out to center fielder Joey Wiemer.",0,5,1,65,"bottom",9,"2023-06-04T19:57:30.843Z","2023-06-04T19:58:10.979Z",TRUE,FALSE,FALSE,TRUE,0,1,1,2,663697,"Jonathan India","/api/v1/people/663697","R","Right",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,85.8,3,0.9,0.4033,6.4874,26.6644,-17.4824,-5.5715,7.8449,0.6657,2.6683,9.2601,-135.2925,-3.1832,-2.0615,50.0024,5.0698,-10.4347,25.2,4.8,24,2550,234,NA,NA,NA,NA,NA,NA,FALSE,-17.6,13.8,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",6,"2023-06-04T19:56:59.934Z","2023-06-04T19:57:07.913Z",TRUE,"pitch","9acc2fd1-fde5-48f6-82f9-22d246fcce11",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,0,NA,NA,3,1.32,NA,71.38,156.45,"fly_ball","medium","9",177.21,90.14,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Matt McLain flies out to right fielder Blake Perkins.",0,5,1,64,"bottom",9,"2023-06-04T19:55:34.361Z","2023-06-04T19:57:07.913Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,680574,"Matt McLain","/api/v1/people/680574","R","Right",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.6,84.1,12,0.89,0.4081,6.6393,30.6104,-14.797,-5.7827,9.5369,1.1969,3.0493,9.7287,-134.4935,-3.2185,-1.7247,50.0032,5.3182,-10.5381,28.8,3.6,24,2484,227,82.5,33,300,NA,NA,NA,TRUE,-15.5,16.7,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",5,"2023-06-04T19:56:30.603Z","2023-06-04T19:56:33.891Z",TRUE,"pitch","194f48e6-f5b5-46b6-af28-6ebf43a9eaa9",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,2.8966,1.3212,NA,184.45,146.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Matt McLain flies out to right fielder Blake Perkins.",0,5,1,64,"bottom",9,"2023-06-04T19:55:34.361Z","2023-06-04T19:57:07.913Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,680574,"Matt McLain","/api/v1/people/680574","R","Right",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.8,74.6,11,2,0.4639,6.5315,20.6386,-32.1019,8.3844,0.0492,-1.7694,3.4089,-0.1905,-117.7079,3.2297,-2.7784,50.0009,4.976,11.8596,20.4,9.6,24,2991,74,NA,NA,NA,NA,NA,NA,FALSE,-40.4,1.1,-15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",3,"2023-06-04T19:56:06.547Z","2023-06-04T19:56:10.112Z",TRUE,"pitch","77343f0d-51dd-4371-a55f-7639e9974916",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,0,NA,NA,3,1.32,NA,120.76,152.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Matt McLain flies out to right fielder Blake Perkins.",0,5,1,64,"bottom",9,"2023-06-04T19:55:34.361Z","2023-06-04T19:57:07.913Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,680574,"Matt McLain","/api/v1/people/680574","R","Right",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.7,85.3,11,0.93,0.4074,6.4642,23.3196,-25.4021,-8.7533,3.6855,-0.0985,3.2015,8.4607,-133.4353,-0.6276,-2.143,50.0063,5.238,-16.1042,30,6,24,2371,239,NA,NA,NA,NA,NA,NA,FALSE,-25.3,6.7,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717897,"2023-06-04",2,"2023-06-04T19:55:50.399Z","2023-06-04T19:55:55.262Z",TRUE,"pitch","fe266f21-946e-4ff6-b0bd-cd3ee3a0633c",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,2.9491,1.3212,NA,84.76,175.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Flyout","field_out","Matt McLain flies out to right fielder Blake Perkins.",0,5,1,64,"bottom",9,"2023-06-04T19:55:34.361Z","2023-06-04T19:57:07.913Z",TRUE,FALSE,FALSE,TRUE,0,2,2,1,680574,"Matt McLain","/api/v1/people/680574","R","Right",657265,"Peter Strzelecki","/api/v1/people/657265","R","Right","vs_RHP","vs_RHB","Empty",NA,"Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Cincinnati Reds","Milwaukee Brewers",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",80.6,73.6,12,2,0.4689,6.3252,24.2595,-31.4534,6.934,0.5242,0.8458,2.3387,5.6464,-117.271,0.9812,-2.5028,50.0032,4.8718,9.561,19.2,9.6,24,3045,76,NA,NA,NA,NA,NA,NA,FALSE,-40.9,1.6,-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
