"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
717969,"2023-05-30",4,"2023-05-30T04:32:23.052Z","2023-05-30T04:32:31.405Z",TRUE,"pitch","f2b0010b-c618-4996-a3d6-9182d7f60904",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.19,1.43,NA,122.9,193.59,"ground_ball","medium","4",120.08,154.12,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Groundout","field_out","Ty France grounds out, second baseman Gleyber Torres to first baseman DJ LeMahieu.",0,10,4,84,"bottom",9,"2023-05-30T04:31:16.665Z","2023-05-30T04:32:31.405Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664034,"Ty France","/api/v1/people/664034","R","Right",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.1,89.8,8,0.9,0.3841,6.6172,32.5625,-13.6913,-8.8099,8.9715,-0.1549,1.6736,6.063,-142.5603,-8.3028,-1.1639,50.0003,5.4866,-18.1433,46.8,4.8,24,2390,216,98.7,-21,5,NA,NA,NA,TRUE,-13.8,14.8,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",3,"2023-05-30T04:32:02.061Z","2023-05-30T04:32:05.777Z",TRUE,"pitch","ebf549e1-eb83-475c-be68-131cdf550417",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.19,1.43,NA,106.89,177.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Groundout","field_out","Ty France grounds out, second baseman Gleyber Torres to first baseman DJ LeMahieu.",0,10,4,84,"bottom",9,"2023-05-30T04:31:16.665Z","2023-05-30T04:32:31.405Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664034,"Ty France","/api/v1/people/664034","R","Right",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.3,90,5,0.91,0.3831,7.0568,32.481,-15.0724,-8.5015,8.2598,0.2652,2.269,7.1487,-142.886,-6.6984,-1.1628,50.0054,5.5884,-17.607,44.4,4.8,24,2314,216,NA,NA,NA,NA,NA,NA,FALSE,-14.5,13.8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",2,"2023-05-30T04:31:44.859Z","2023-05-30T04:31:50.262Z",TRUE,"pitch","82bcfad5-06ee-4ae1-a5d8-49bc8a2b00a4",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.19,1.43,NA,62.7,197.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Groundout","field_out","Ty France grounds out, second baseman Gleyber Torres to first baseman DJ LeMahieu.",0,10,4,84,"bottom",9,"2023-05-30T04:31:16.665Z","2023-05-30T04:32:31.405Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664034,"Ty France","/api/v1/people/664034","R","Right",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.4,81.7,14,0.9,0.4251,6.5643,25.3738,-26.3716,1.4634,3.4505,1.4244,1.5396,6.9837,-128.5851,-5.0898,-1.5113,50.0057,5.5779,2.4631,7.2,7.2,24,2194,182,NA,NA,NA,NA,NA,NA,FALSE,-29.5,5.4,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",0,"2023-05-30T04:31:28.902Z","2023-05-30T04:31:33.799Z",TRUE,"pitch","60d5d819-1016-4a3f-988f-db0d85eff81b",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2155,1.4954,NA,126.57,151.94,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"84","atBat","Groundout","field_out","Ty France grounds out, second baseman Gleyber Torres to first baseman DJ LeMahieu.",0,10,4,84,"bottom",9,"2023-05-30T04:31:16.665Z","2023-05-30T04:32:31.405Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664034,"Ty France","/api/v1/people/664034","R","Right",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96,87.9,2,0.9,0.3918,6.8888,30.9328,-16.8196,-8.1274,7.7551,-0.2511,3.2162,5.7966,-139.7157,-3.5979,-1.2947,50.0067,5.6234,-16.1013,39.6,4.8,24,2190,213,NA,NA,NA,NA,NA,NA,FALSE,-16.1,13.4,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",1,"2023-05-30T04:31:45.408Z","2023-05-30T04:31:46.408Z",FALSE,"action",NA,NA,"Taylor Trammell advances to 2nd on defensive indifference.","Defensive Indiff",10,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,666211,"/api/v1/people/666211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60d5d819-1016-4a3f-988f-db0d85eff81b","defensive_indiff",NA,NA,NA,NA,NA,NA,"84","atBat","Groundout","field_out","Ty France grounds out, second baseman Gleyber Torres to first baseman DJ LeMahieu.",0,10,4,84,"bottom",9,"2023-05-30T04:31:16.665Z","2023-05-30T04:32:31.405Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,664034,"Ty France","/api/v1/people/664034","R","Right",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",3,"2023-05-30T04:30:55.749Z","2023-05-30T04:31:05.285Z",TRUE,"pitch","7afe1684-baec-4944-a4e1-1e375fe16bf4",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.37,1.59,NA,101.65,181.02,"line_drive","medium","5",108.42,169.32,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Lineout","field_out","J.P. Crawford lines out to third baseman Oswaldo Cabrera.",0,10,4,83,"bottom",9,"2023-05-30T04:29:40.765Z","2023-05-30T04:31:05.285Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.2,89.1,9,0.9,0.3873,6.8963,31.1376,-16.1491,-8.4906,7.9023,0.4027,2.1393,7.2287,-141.2572,-6.7029,-1.082,50.0042,5.5749,-17.2192,42,4.8,24,2188,216,79.9,8,118,NA,NA,NA,TRUE,-15.8,13.2,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,666211,"Taylor Trammell","/api/v1/people/666211",NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",2,"2023-05-30T04:30:34.896Z","2023-05-30T04:30:37.960Z",TRUE,"pitch","9e8c2b1f-ef3b-42ec-9f66-41d1bf8a12d8",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,1,NA,NA,3.37,1.59,NA,123.96,200.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Lineout","field_out","J.P. Crawford lines out to third baseman Oswaldo Cabrera.",0,10,4,83,"bottom",9,"2023-05-30T04:29:40.765Z","2023-05-30T04:31:05.285Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89,81.9,13,0.9,0.4227,6.7642,25.9252,-20.8242,-10.6555,6.6703,-0.1825,1.4329,6.354,-129.3793,-6.2381,-1.2804,50.0061,5.4614,-18.1443,37.2,7.2,24,1957,240,NA,NA,NA,NA,NA,NA,FALSE,-23.5,10.9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",1,"2023-05-30T04:30:18.813Z","2023-05-30T04:30:24.174Z",TRUE,"pitch","29286a9d-9f63-4e0a-ac5e-50bf86041b4e",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.4261,1.6222,NA,173.47,157.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Lineout","field_out","J.P. Crawford lines out to third baseman Oswaldo Cabrera.",0,10,4,83,"bottom",9,"2023-05-30T04:29:40.765Z","2023-05-30T04:31:05.285Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.6,88.5,11,0.9,0.3892,6.6274,31.2643,-12.5905,-8.3026,9.7591,-1.4816,3.0063,2.8881,-140.6048,-4.9432,-1.4422,50.0003,5.6012,-16.6551,49.2,4.8,24,2165,218,NA,NA,NA,NA,NA,NA,FALSE,-12.4,16.9,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",0,"2023-05-30T04:29:58.738Z","2023-05-30T04:30:02.904Z",TRUE,"pitch","dbe2ec13-b554-4d62-aa8d-34dd3e207e6a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.4155,1.6796,NA,103.39,135.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Lineout","field_out","J.P. Crawford lines out to third baseman Oswaldo Cabrera.",0,10,4,83,"bottom",9,"2023-05-30T04:29:40.765Z","2023-05-30T04:31:05.285Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,641487,"J.P. Crawford","/api/v1/people/641487","L","Left",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.5,88.9,12,0.91,0.3865,6.9127,32.4556,-15.2719,-8.7112,8.3105,0.3571,3.835,7.9975,-141.7267,-2.4409,-1.3698,50.0025,5.683,-17.7175,45.6,4.8,24,2233,214,NA,NA,NA,NA,NA,NA,FALSE,-14.2,14.8,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
717969,"2023-05-30",5,"2023-05-30T04:29:29.386Z","2023-05-30T04:29:33.239Z",TRUE,"pitch","f90fe9b6-263d-4659-80a8-9ac5704ca344",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.01,1.35,NA,101.44,208.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Strikeout","strikeout","Jose Caballero strikes out swinging.",0,10,4,82,"bottom",9,"2023-05-30T04:27:26.272Z","2023-05-30T04:29:33.239Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,676609,"José Caballero","/api/v1/people/676609","R","Right",656061,"Albert Abreu","/api/v1/people/656061","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.3,81.7,14,0.9,0.4254,6.6082,25.3404,-26.4113,2.114,3.4289,0.4081,1.1053,4.3848,-128.497,-6.1761,-1.5916,50.0021,5.5778,3.5534,8.4,7.2,24,2294,184,NA,NA,NA,NA,NA,NA,TRUE,-29.9,5.2,-4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,666211,"Taylor Trammell","/api/v1/people/666211",NA,NA,NA,NA,NA,NA,NA
