"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
717992,"2023-05-28",1,"2023-05-29T02:02:51.497Z","2023-05-29T02:03:01.973Z",TRUE,"pitch","072c0c96-cab1-405f-a1c0-f3f8f2b66ae2",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.01,1.44,NA,120.16,168.93,"fly_ball","medium","7",51.55,85.41,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Brandon Marsh flies out to left fielder Kevin Pillar.",0,4,11,80,"top",9,"2023-05-29T02:02:26.225Z","2023-05-29T02:03:01.973Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.3,84.3,2,0.95,0.4083,6.6142,29.8451,-11.5834,-3.2254,11.3018,-0.083,2.587,2.6877,-134.3041,-7.2831,-0.6791,50.0032,6.163,-5.876,21.6,3.6,24,2233,199,97.3,38,336,NA,NA,NA,TRUE,-13.1,19.1,5.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717992,"2023-05-28",0,"2023-05-29T02:02:32.736Z","2023-05-29T02:02:37.561Z",TRUE,"pitch","2d060077-7bed-43a5-9bc1-fca59a70c620",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.0091,1.4164,NA,57.09,182.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Flyout","field_out","Brandon Marsh flies out to left fielder Kevin Pillar.",0,4,11,80,"top",9,"2023-05-29T02:02:26.225Z","2023-05-29T02:03:01.973Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,669016,"Brandon Marsh","/api/v1/people/669016","L","Left",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_LHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.4,84.6,14,0.9,0.408,6.5537,28.8207,-12.3111,-2.7354,10.8843,1.5718,2.0772,6.5547,-134.1961,-8.4653,-0.5463,50.0064,6.1482,-4.9939,14.4,3.6,24,2273,206,NA,NA,NA,NA,NA,NA,FALSE,-14,18.1,3.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717992,"2023-05-28",3,"2023-05-29T02:02:01.369Z","2023-05-29T02:02:08.364Z",TRUE,"pitch","6dd40af2-9fc1-4d7c-897e-d2538950925a",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.4,1.65,NA,113.65,213.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Kody Clemens strikes out swinging.",0,4,11,79,"top",9,"2023-05-29T02:00:41.892Z","2023-05-29T02:02:08.364Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,665019,"Kody Clemens","/api/v1/people/665019","L","Left",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",85.3,79.4,14,0.8,0.4396,6.5955,22.6809,-29.7886,-2.138,1.5153,0.0879,0.9453,2.5051,-124.1515,-6.7366,-0.6521,50.005,6.1436,-3.3694,6,8.4,24,698,244,NA,NA,NA,NA,NA,NA,TRUE,-35.8,1.6,3.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,592663,"J.T. Realmuto","/api/v1/people/592663",656941,"Kyle Schwarber","/api/v1/people/656941"
717992,"2023-05-28",2,"2023-05-29T02:01:36.127Z","2023-05-29T02:01:40.256Z",TRUE,"pitch","945ead9e-bfff-49b5-9f53-7d202ba74af7",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.4,1.65,NA,119.07,202.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Kody Clemens strikes out swinging.",0,4,11,79,"top",9,"2023-05-29T02:00:41.892Z","2023-05-29T02:02:08.364Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,665019,"Kody Clemens","/api/v1/people/665019","L","Left",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",77,70.8,13,0.9,0.4913,6.5712,22.7448,-41.8604,5.7027,-7.7223,-0.0543,1.3493,0.1333,-112.0596,-1.39,-0.854,50.0008,6.305,7.1558,9.6,14.4,24,2609,22,NA,NA,NA,NA,NA,NA,FALSE,-60.6,-14,-10.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717992,"2023-05-28",1,"2023-05-29T02:01:08.536Z","2023-05-29T02:01:12.831Z",TRUE,"pitch","1c0d05c7-a8b8-4b56-ae33-e17e184c1f25",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.4,1.65,NA,98.65,191.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Kody Clemens strikes out swinging.",0,4,11,79,"top",9,"2023-05-29T02:00:41.892Z","2023-05-29T02:02:08.364Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,665019,"Kody Clemens","/api/v1/people/665019","L","Left",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.4,85.8,9,0.95,0.4029,6.6237,28.695,-13.1297,-2.3379,10.166,0.4814,1.7438,4.2413,-135.7502,-9.1493,-0.7948,50.0008,6.0637,-4.3791,13.2,3.6,24,2259,201,NA,NA,NA,NA,NA,NA,FALSE,-14.6,16.7,3.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717992,"2023-05-28",0,"2023-05-29T02:00:52.101Z","2023-05-29T02:00:56.225Z",TRUE,"pitch","ece3a3c6-eeeb-4552-a48d-efb9b08ccdb1",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4672,1.6038,NA,138.13,164.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Kody Clemens strikes out swinging.",0,4,11,79,"top",9,"2023-05-29T02:00:41.892Z","2023-05-29T02:02:08.364Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,665019,"Kody Clemens","/api/v1/people/665019","L","Left",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_LHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,85.2,4,0.96,0.4044,6.3769,28.9731,-11.9001,-1.7488,10.9069,-0.5544,2.7648,1.1365,-135.3476,-6.9267,-0.7521,50.0064,6.1871,-3.2518,13.2,2.4,24,2167,200,NA,NA,NA,NA,NA,NA,FALSE,-13.1,18.5,2.9,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717992,"2023-05-28",3,"2023-05-29T02:00:09.215Z","2023-05-29T02:00:22.395Z",TRUE,"pitch","c8795a99-b83d-4a12-b321-539ffdafea85",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,1,NA,NA,3.54,1.66,NA,131.53,150.62,"ground_ball","hard","7",48.09,134.34,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","J.T. Realmuto doubles (14) on a sharp ground ball to left fielder Kevin Pillar. Kyle Schwarber to 3rd.",0,4,11,78,"top",9,"2023-05-29T01:59:11.618Z","2023-05-29T02:00:22.395Z",TRUE,FALSE,FALSE,FALSE,34,1,2,1,592663,"J.T. Realmuto","/api/v1/people/592663","R","Right",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",83.3,77,1,0.94,0.4499,6.4178,22.1381,-29.1823,-2.9533,1.9924,-0.3813,3.2653,1.5175,-121.4022,-1.2962,-0.6284,50.0054,6.3293,-4.4413,8.4,8.4,24,736,242,97.7,2,69,NA,NA,NA,FALSE,-35.5,3.6,5,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,592663,"J.T. Realmuto","/api/v1/people/592663",656941,"Kyle Schwarber","/api/v1/people/656941"
717992,"2023-05-28",2,"2023-05-29T01:59:50.386Z","2023-05-29T01:59:54.668Z",TRUE,"pitch","4620f7a5-5b99-494c-8858-c68426576e29",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,1,NA,NA,3.6072,1.6592,NA,132.06,174.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","J.T. Realmuto doubles (14) on a sharp ground ball to left fielder Kevin Pillar. Kyle Schwarber to 3rd.",0,4,11,78,"top",9,"2023-05-29T01:59:11.618Z","2023-05-29T02:00:22.395Z",TRUE,FALSE,FALSE,FALSE,34,1,2,1,592663,"J.T. Realmuto","/api/v1/people/592663","R","Right",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",84.7,78,4,0.86,0.444,6.6597,24.5855,-31.7365,-0.4265,0.2882,-0.3952,2.3713,0.924,-123.368,-2.9243,-0.7192,50.005,6.2476,-0.6573,1.2,8.4,24,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-37.9,0.1,0.6,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717992,"2023-05-28",1,"2023-05-29T01:59:29.537Z","2023-05-29T01:59:34.009Z",TRUE,"pitch","5f8caa82-81bb-42b2-8ee8-903f95ae81c5",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.54,1.66,NA,127.33,170.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","J.T. Realmuto doubles (14) on a sharp ground ball to left fielder Kevin Pillar. Kyle Schwarber to 3rd.",0,4,11,78,"top",9,"2023-05-29T01:59:11.618Z","2023-05-29T02:00:22.395Z",TRUE,FALSE,FALSE,FALSE,34,1,2,1,592663,"J.T. Realmuto","/api/v1/people/592663","R","Right",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.3,84.1,5,0.91,0.4111,6.5245,26.5196,-14.5713,-3.0937,9.7746,-0.271,2.5207,2.6323,-132.8653,-6.8527,-0.8691,50.0032,6.178,-5.5717,18,3.6,24,2051,203,NA,NA,NA,NA,NA,NA,FALSE,-16.1,16.6,5,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
717992,"2023-05-28",0,"2023-05-29T01:59:11.618Z","2023-05-29T01:59:16.014Z",TRUE,"pitch","3a182397-9ffc-46ad-848b-52cf6a50a4e6",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5846,1.6138,NA,74.5,220.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Double","double","J.T. Realmuto doubles (14) on a sharp ground ball to left fielder Kevin Pillar. Kyle Schwarber to 3rd.",0,4,11,78,"top",9,"2023-05-29T01:59:11.618Z","2023-05-29T02:00:22.395Z",TRUE,FALSE,FALSE,FALSE,34,1,2,1,592663,"J.T. Realmuto","/api/v1/people/592663","R","Right",605446,"Dereck Rodríguez","/api/v1/people/605446","R","Right","vs_RHP","vs_RHB","RISP",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies","Atlanta Braves","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",85.1,79.5,14,0.87,0.4403,6.5157,21.8118,-26.8649,1.4428,3.3786,1.1149,0.6638,4.088,-123.8127,-8.0265,-0.7368,50.0041,6.1557,2.2679,6,7.2,24,1970,180,NA,NA,NA,NA,NA,NA,FALSE,-32.8,4.7,-3.5,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
