"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718019,"2023-05-26",8,"2023-05-27T02:15:46.786Z","2023-05-27T02:15:53.583Z",TRUE,"pitch","a28148d9-2fe5-4697-9c1e-7ff67b203a6a",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.51,1.6,NA,146.69,174.12,"ground_ball","medium","5",100.36,166.82,NA,NA,TRUE,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.4,88,4,0.9,0.393,6.8549,27.8972,-16.7105,-8.1728,7.8415,-0.7788,2.3949,8.2992,-138.8088,-3.132,-2.73,50.0061,4.6353,-16.1257,39.6,4.8,24,2345,225,103.4,-4,28,NA,NA,NA,TRUE,-16,13.8,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",7,"2023-05-27T02:15:14.978Z","2023-05-27T02:15:20.862Z",TRUE,"pitch","67eeee52-7768-48cd-8211-c0a4bbc289a8",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.51,1.6,NA,121.23,165.86,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96,87.8,5,0.91,0.3921,7.0305,30.6691,-13.7834,-7.5324,9.3003,-0.111,2.7006,9.51,-139.5658,-2.6254,-2.58,50.0045,4.5584,-14.8987,42,3.6,24,2328,224,NA,NA,NA,NA,NA,NA,FALSE,-13.2,16.4,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",6,"2023-05-27T02:14:52.627Z","2023-05-27T02:14:58.875Z",TRUE,"pitch","9b0edf32-9aef-4786-ad75-bf4f4e32e5b4",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.5088,1.5532,NA,87.59,181.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",86.4,79.9,9,0.89,0.4352,6.8863,24.4467,-39.5697,3.6101,-4.6022,0.7716,2.1284,7.0931,-125.6388,1.0586,-2.5527,50.0049,4.9068,5.7969,9.6,9.6,24,2552,56,NA,NA,NA,NA,NA,NA,FALSE,-44.4,-7.9,-8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",4,"2023-05-27T02:14:12.316Z","2023-05-27T02:14:17.150Z",TRUE,"pitch","c99adbb4-884a-4376-bd8f-0367f1e6bb4d",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.51,1.6,NA,144.86,177.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95,86.3,4,0.9,0.3974,7.0143,31.9879,-14.7568,-8.0462,9.0636,-0.731,2.2731,7.7926,-138.0584,-3.4433,-2.5507,50.0047,4.5357,-15.4663,40.8,4.8,24,2213,227,NA,NA,NA,NA,NA,NA,FALSE,-14.6,15.8,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",3,"2023-05-27T02:13:48.355Z","2023-05-27T02:13:53.751Z",TRUE,"pitch","bdc24ab7-40d6-4ac7-b17d-41ec9079d8a1",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,2,NA,NA,3.51,1.6,NA,160.58,157.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.4,11,0.9,0.3938,6.8694,30.3498,-17.6728,-8.2985,7.3963,-1.1433,2.9923,7.067,-138.9451,-1.4236,-2.6382,50.0015,4.6824,-16.2681,39.6,4.8,24,2400,222,NA,NA,NA,NA,NA,NA,FALSE,-16.7,13.3,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",2,"2023-05-27T02:13:29.845Z","2023-05-27T02:13:34.290Z",TRUE,"pitch","dabb0cec-782a-48b8-a903-546df3038f47",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.4188,1.5766,NA,161.57,136.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,87.3,11,0.9,0.3935,6.8995,30.9946,-14.0341,-7.8895,9.2441,-1.1692,3.7738,6.8976,-139.1616,-0.2011,-2.6539,50.0069,4.776,-15.4902,44.4,3.6,24,2411,226,NA,NA,NA,NA,NA,NA,FALSE,-13,16.9,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",0,"2023-05-27T02:12:25.586Z","2023-05-27T02:12:29.981Z",TRUE,"pitch","f364d054-f80e-460b-a138-5e81234d11e9",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4641,1.5539,NA,77.09,200.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,88.9,14,0.91,0.3894,7.0013,28.9504,-15.1055,-9.5101,8.5007,1.0469,1.4196,13.2464,-140.1543,-5.9215,-2.4849,50.0018,4.5307,-19.0938,45.6,4.8,24,2435,229,NA,NA,NA,NA,NA,NA,FALSE,-14.9,14.4,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",1,"2023-05-27T02:12:36.293Z","2023-05-27T02:13:29.845Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",6,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",5,"2023-05-27T02:14:36.454Z","2023-05-27T02:14:52.627Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",6,4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,660670,"/api/v1/people/660670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"78","atBat","Groundout","field_out","Ronald Acuna Jr. grounds out, third baseman Josh Harrison to first baseman Alec Bohm.",0,6,4,78,"bottom",9,"2023-05-27T02:12:02.252Z","2023-05-27T02:15:53.583Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,660670,"Ronald Acuña Jr.","/api/v1/people/660670","R","Right",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_RHB","Empty",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718019,"2023-05-26",5,"2023-05-27T02:11:51.757Z","2023-05-27T02:11:56.443Z",TRUE,"pitch","6cbd5b41-1a2d-4942-bc0f-5aeec4ad56ea",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.3814,1.4431,NA,79.99,198.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Walk","walk","Michael Harris II walks.",0,6,4,77,"bottom",9,"2023-05-27T02:09:55.846Z","2023-05-27T02:11:56.443Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,671739,"Michael Harris II","/api/v1/people/671739","L","Left",518886,"Craig Kimbrel","/api/v1/people/518886","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Atlanta Braves",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Atlanta Braves","Philadelphia Phillies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,88.9,14,0.91,0.3896,7.0535,28.2179,-13.4354,-8.3471,9.3345,0.9709,1.4762,12.6237,-139.9974,-5.9198,-2.4886,50.0065,4.4794,-16.7636,44.4,3.6,24,2439,230,NA,NA,NA,NA,NA,NA,FALSE,-13.3,16,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,671739,"Michael Harris II","/api/v1/people/671739",NA,NA,NA,NA,NA,NA
