"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718077,"2023-05-22",3,"2023-05-23T01:12:42.663Z","2023-05-23T01:12:49.818Z",TRUE,"pitch","b7733ab8-7ab2-444f-8c26-9d815a50b7bb",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,2,NA,NA,3.68,1.71,NA,133.3,209.7,"ground_ball","soft","1",131.44,178.78,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Bo Bichette grounds out softly, pitcher Pete Fairbanks to first baseman Yandy Diaz.",0,4,6,70,"top",9,"2023-05-23T01:11:37.547Z","2023-05-23T01:12:49.818Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,666182,"Bo Bichette","/api/v1/people/666182","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.6,80.3,13,0.9,0.4344,7.0893,25.539,-34.928,0.301,-1.7097,-0.4277,1.0772,-0.945,-126.0857,-7.2536,-0.0872,50.0046,6.8087,0.4851,0,9.6,24,2482,37,36.6,-55,3,NA,NA,NA,TRUE,-40.9,-4.6,-0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718077,"2023-05-22",2,"2023-05-23T01:12:19.186Z","2023-05-23T01:12:22.186Z",TRUE,"pitch","846d3c2f-52ac-4014-b614-03dfa2bcfe04",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.68,1.71,NA,143,187.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Bo Bichette grounds out softly, pitcher Pete Fairbanks to first baseman Yandy Diaz.",0,4,6,70,"top",9,"2023-05-23T01:11:37.547Z","2023-05-23T01:12:49.818Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,666182,"Bo Bichette","/api/v1/people/666182","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,80.1,7,0.9,0.4332,6.7919,27.1751,-37.8645,1.4087,-3.5244,-0.682,1.9135,-1.5796,-126.7031,-4.7178,-0.2319,50.0005,6.8431,2.2781,2.4,9.6,24,2462,59,NA,NA,NA,NA,NA,NA,FALSE,-43.4,-7.2,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718077,"2023-05-22",1,"2023-05-23T01:12:02.054Z","2023-05-23T01:12:05.111Z",TRUE,"pitch","eba4639f-9422-496e-bb7f-2b3b21f01c78",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.4448,1.6586,NA,145.08,201.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Bo Bichette grounds out softly, pitcher Pete Fairbanks to first baseman Yandy Diaz.",0,4,6,70,"top",9,"2023-05-23T01:11:37.547Z","2023-05-23T01:12:49.818Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,666182,"Bo Bichette","/api/v1/people/666182","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.9,91.4,13,0.9,0.3777,6.9091,33.5196,-4.4584,-1.0181,13.0085,-0.7366,1.3922,-1.2179,-144.9639,-13.5332,-0.1789,50.0042,6.3909,-2.1695,18,1.2,24,2349,189,NA,NA,NA,NA,NA,NA,FALSE,-6.5,21.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718077,"2023-05-22",0,"2023-05-23T01:11:42.764Z","2023-05-23T01:11:45.764Z",TRUE,"pitch","beb5f8d6-444d-4e2f-9a46-e4ad1f793d8b",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.68,1.71,NA,91.21,196.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Bo Bichette grounds out softly, pitcher Pete Fairbanks to first baseman Yandy Diaz.",0,4,6,70,"top",9,"2023-05-23T01:11:37.547Z","2023-05-23T01:12:49.818Z",TRUE,FALSE,FALSE,TRUE,0,1,2,3,666182,"Bo Bichette","/api/v1/people/666182","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.2,89.8,14,0.89,0.3845,7.3575,33.2257,-9.8611,-1.4125,10.8655,0.6767,1.5639,3.3009,-142.5242,-11.9315,-0.3138,50.0071,6.4311,-2.902,9.6,2.4,24,2319,190,NA,NA,NA,NA,NA,NA,FALSE,-11.2,17.4,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718077,"2023-05-22",7,"2023-05-23T01:11:08.020Z","2023-05-23T01:11:15.795Z",TRUE,"pitch","68eeaad8-649e-4c8c-942f-3f3da3bfd15d",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.3834,1.4952,NA,112.74,210.95,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","George Springer walks. Whit Merrifield to 3rd. Cavan Biggio to 2nd.",0,4,6,69,"top",9,"2023-05-23T01:09:19.021Z","2023-05-23T01:11:15.795Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543807,"George Springer","/api/v1/people/543807","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,81.2,14,0.89,0.4296,7.0808,25.7402,-35.1729,2.6938,-1.8179,0.1117,1.0308,0.0027,-127.4083,-7.4764,-0.2395,50.0048,6.7766,4.4371,7.2,9.6,24,2616,74,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-4.7,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,624415,"Cavan Biggio","/api/v1/people/624415",543807,"George Springer","/api/v1/people/543807",593160,"Whit Merrifield","/api/v1/people/593160",NA,NA,NA,NA
718077,"2023-05-22",6,"2023-05-23T01:10:44.121Z","2023-05-23T01:10:47.121Z",TRUE,"pitch","c021e986-ed80-4d89-b7ce-ca3a2bbbf15f",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.4039,1.5156,NA,70.02,213.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","George Springer walks. Whit Merrifield to 3rd. Cavan Biggio to 2nd.",0,4,6,69,"top",9,"2023-05-23T01:09:19.021Z","2023-05-23T01:11:15.795Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543807,"George Springer","/api/v1/people/543807","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.8,90.2,14,0.9,0.383,6.6101,33.888,-7.1151,0.4883,12.1057,1.2326,0.923,3.4564,-143.1528,-14.1807,-0.0553,50.0052,6.3934,1.0097,9.6,2.4,24,2396,188,NA,NA,NA,NA,NA,NA,FALSE,-9.1,19.2,-1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718077,"2023-05-22",5,"2023-05-23T01:10:21.248Z","2023-05-23T01:10:24.654Z",TRUE,"pitch","2e6de38c-347f-432c-b82b-df5edf3cbfa5",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,2,2,NA,NA,3.4653,1.4952,NA,91.75,214.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","George Springer walks. Whit Merrifield to 3rd. Cavan Biggio to 2nd.",0,4,6,69,"top",9,"2023-05-23T01:09:19.021Z","2023-05-23T01:11:15.795Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543807,"George Springer","/api/v1/people/543807","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.9,81.2,14,0.89,0.429,7.0449,27.1776,-36.7659,1.5958,-2.7847,0.6623,0.8821,0.7391,-127.8467,-7.4628,0.1619,50.0025,6.7368,2.6326,3.6,9.6,24,2608,48,NA,NA,NA,NA,NA,NA,FALSE,-42,-6.5,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718077,"2023-05-22",4,"2023-05-23T01:09:58.842Z","2023-05-23T01:10:01.842Z",TRUE,"pitch","767da823-3c9b-42cb-9bc4-ace08e65bf60",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.5499,1.6382,NA,111.74,187.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","George Springer walks. Whit Merrifield to 3rd. Cavan Biggio to 2nd.",0,4,6,69,"top",9,"2023-05-23T01:09:19.021Z","2023-05-23T01:11:15.795Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543807,"George Springer","/api/v1/people/543807","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.6,8,0.9,0.431,7.3956,27.1421,-37.9992,1.2223,-3.568,0.1379,1.9164,0.5693,-127.2976,-4.7842,-0.2477,50.001,6.842,1.9973,3.6,9.6,24,2315,53,NA,NA,NA,NA,NA,NA,FALSE,-43.2,-7.3,-2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718077,"2023-05-22",3,"2023-05-23T01:09:39.139Z","2023-05-23T01:09:42.159Z",TRUE,"pitch","48939e96-7b01-4cc4-a753-e04882fc8f54",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.5499,1.5565,NA,98.18,188.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","George Springer walks. Whit Merrifield to 3rd. Cavan Biggio to 2nd.",0,4,6,69,"top",9,"2023-05-23T01:09:19.021Z","2023-05-23T01:11:15.795Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543807,"George Springer","/api/v1/people/543807","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,80.6,9,0.9,0.4309,5.8596,26.6913,-36.0861,2.8674,-2.3898,0.4936,1.8472,0.9022,-127.2369,-5.2324,-0.2383,50.0044,6.7977,4.6903,7.2,9.6,24,2490,62,NA,NA,NA,NA,NA,NA,FALSE,-41.2,-5.3,-5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718077,"2023-05-22",2,"2023-05-23T01:09:21.090Z","2023-05-23T01:09:24.172Z",TRUE,"pitch","8809617f-4cbc-4029-a537-a4a740ee91ed",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5499,1.5769,NA,159.36,200.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Walk","walk","George Springer walks. Whit Merrifield to 3rd. Cavan Biggio to 2nd.",0,4,6,69,"top",9,"2023-05-23T01:09:19.021Z","2023-05-23T01:11:15.795Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,543807,"George Springer","/api/v1/people/543807","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Loaded",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,80.2,13,0.9,0.4337,5.9821,26.6583,-34.6675,1.9892,-1.5446,-1.1114,1.4102,-1.9886,-126.473,-6.4343,-0.572,50.0023,6.7797,3.2108,4.8,9.6,24,2388,75,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-4.1,-3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
