"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718082,"2023-05-21",1,"2023-05-22T01:17:07.768Z","2023-05-22T01:17:16.187Z",TRUE,"pitch","3877adb1-0d25-4989-b5be-697be18edae3",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,1,NA,NA,3.3,1.54,NA,105.28,186.35,"ground_ball","medium","6",114.48,149.05,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Grounded Into DP","grounded_into_double_play","Jose Ramirez grounds into a double play, shortstop Francisco Lindor to second baseman Jeff McNeil to first baseman Pete Alonso. Amed Rosario out at 2nd. Jose Ramirez out at 1st.",0,1,2,60,"top",9,"2023-05-22T01:16:36.387Z","2023-05-22T01:17:16.187Z",TRUE,FALSE,FALSE,TRUE,24,1,0,3,608070,"José Ramírez","/api/v1/people/608070","R","Right",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",86.2,79.2,9,0.89,0.4369,6.164,25.7298,-27.0557,-2.0251,3.221,0.3076,1.9417,-5.4017,-125.4237,-3.349,2.7537,50.0055,5.5043,-3.2219,8.4,7.2,24,2580,232,94.5,-16,7,NA,NA,NA,TRUE,-31.6,5.3,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718082,"2023-05-21",0,"2023-05-22T01:16:54.205Z","2023-05-22T01:16:58.187Z",TRUE,"pitch","46ed51c7-ad41-4678-8db2-af337c22a8e2",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.377,1.5967,NA,135.6,143.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Grounded Into DP","grounded_into_double_play","Jose Ramirez grounds into a double play, shortstop Francisco Lindor to second baseman Jeff McNeil to first baseman Pete Alonso. Amed Rosario out at 2nd. Jose Ramirez out at 1st.",0,1,2,60,"top",9,"2023-05-22T01:16:36.387Z","2023-05-22T01:17:16.187Z",TRUE,FALSE,FALSE,TRUE,24,1,0,3,608070,"José Ramírez","/api/v1/people/608070","R","Right",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",88.6,81.1,11,0.9,0.4253,6.0112,27.0016,-23.2732,-1.5141,5.3037,-0.4879,3.5131,-7.5734,-128.8228,-0.7937,2.6881,50.0049,5.6258,-2.5429,9.6,6,24,2666,191,NA,NA,NA,NA,NA,NA,FALSE,-25.3,9.6,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718082,"2023-05-21",2,"2023-05-22T01:16:13.440Z","2023-05-22T01:16:20.974Z",TRUE,"pitch","2b5bcb0f-9825-4640-a62c-047f1463b85b",2,"Hit By Pitch",NA,NA,NA,NA,FALSE,"H","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"H","Hit By Pitch",2,0,1,NA,NA,3.13,1.5,NA,231.98,189.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Hit By Pitch","hit_by_pitch","Amed Rosario hit by pitch.",0,1,2,59,"top",9,"2023-05-22T01:15:59.664Z","2023-05-22T01:16:20.974Z",TRUE,FALSE,FALSE,FALSE,11,2,0,1,642708,"Amed Rosario","/api/v1/people/642708","R","Right",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets",NA,NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",89.3,82.5,13,0.64,0.4224,5.7645,25.5309,-24.1696,-0.3623,4.696,-3.0165,1.8374,-13.3035,-129.3914,-4.8092,2.2265,50.0058,5.5588,-0.6164,7.2,6,24,2755,141,NA,NA,NA,NA,NA,NA,FALSE,-26.9,7.6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,642708,"Amed Rosario","/api/v1/people/642708",NA,NA,NA,NA,NA,NA
718082,"2023-05-21",1,"2023-05-22T01:16:02.038Z","2023-05-22T01:16:05.570Z",TRUE,"pitch","de5ee671-64f4-4dd9-b3da-d146e5aabf13",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.1761,1.482,NA,123.19,207.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Hit By Pitch","hit_by_pitch","Amed Rosario hit by pitch.",0,1,2,59,"top",9,"2023-05-22T01:15:59.664Z","2023-05-22T01:16:20.974Z",TRUE,FALSE,FALSE,FALSE,11,2,0,1,642708,"Amed Rosario","/api/v1/people/642708","R","Right",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91,82.4,13,0.9,0.4175,6.1225,31.6487,-28.4642,10.6918,2.1356,-0.1624,1.1728,-10.4677,-131.8911,-5.4668,2.4952,50.003,5.4079,18.5779,28.8,8.4,24,2384,135,NA,NA,NA,NA,NA,NA,FALSE,-31,2.6,-16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718082,"2023-05-21",0,"2023-05-22T01:15:30.226Z","2023-05-22T01:16:02.038Z",FALSE,"action",NA,NA,"Injury Delay.","Game Advisory",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,642708,"/api/v1/people/642708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"game_advisory",NA,NA,NA,NA,NA,NA,"59","atBat","Hit By Pitch","hit_by_pitch","Amed Rosario hit by pitch.",0,1,2,59,"top",9,"2023-05-22T01:15:59.664Z","2023-05-22T01:16:20.974Z",TRUE,FALSE,FALSE,FALSE,11,2,0,1,642708,"Amed Rosario","/api/v1/people/642708","R","Right",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_RHB","Men_On",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718082,"2023-05-21",4,"2023-05-22T01:14:44.550Z","2023-05-22T01:14:52.052Z",TRUE,"pitch","5e3c9b6a-a060-41a3-be9e-4a948892111f",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.18,1.46,NA,120.04,174.4,"bunt_grounder","soft","1",135.17,184.59,NA,NA,NA,NA,NA,NA,NA,NA,"58","atBat","Bunt Groundout","field_out","Steven Kwan bunt grounds out softly, pitcher Brooks Raley to first baseman Pete Alonso.",0,1,2,58,"top",9,"2023-05-22T01:14:42.318Z","2023-05-22T01:14:52.052Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,680757,"Steven Kwan","/api/v1/people/680757","L","Left",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",90.4,81.6,5,0.91,0.4199,5.9063,31.3715,-27.4294,11.2835,2.7619,-0.0798,2.3844,-10.5464,-131.1348,-2.8739,2.5556,50.0008,5.5714,19.3728,31.2,7.2,24,2335,130,52.9,-44,4,NA,NA,NA,TRUE,-29.5,4.4,-17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718082,"2023-05-21",0,"2023-05-22T01:13:43.573Z","2023-05-22T01:13:43.624Z",FALSE,"action",NA,NA,"Defensive switch from right field to left field for Mark Canha.","Defensive Switch",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,592192,"/api/v1/people/592192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"7","Outfielder","Outfielder","LF","600","58","atBat","Bunt Groundout","field_out","Steven Kwan bunt grounds out softly, pitcher Brooks Raley to first baseman Pete Alonso.",0,1,2,58,"top",9,"2023-05-22T01:14:42.318Z","2023-05-22T01:14:52.052Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,680757,"Steven Kwan","/api/v1/people/680757","L","Left",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718082,"2023-05-21",1,"2023-05-22T01:13:43.624Z","2023-05-22T01:13:43.627Z",FALSE,"action",NA,NA,"Defensive Substitution: Gary Sanchez replaces left fielder Tommy Pham, batting 8th, playing catcher.","Defensive Sub",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,596142,"/api/v1/people/596142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_substitution",NA,"2","Catcher","Catcher","C","801","58","atBat","Bunt Groundout","field_out","Steven Kwan bunt grounds out softly, pitcher Brooks Raley to first baseman Pete Alonso.",0,1,2,58,"top",9,"2023-05-22T01:14:42.318Z","2023-05-22T01:14:52.052Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,680757,"Steven Kwan","/api/v1/people/680757","L","Left",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,502054,"/api/v1/people/502054",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718082,"2023-05-21",2,"2023-05-22T01:13:43.627Z","2023-05-22T01:13:43.630Z",FALSE,"action",NA,NA,"Starling Marte remains in the game as the right fielder.","Defensive Switch",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,516782,"/api/v1/people/516782",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"9","Outfielder","Outfielder","RF","901","58","atBat","Bunt Groundout","field_out","Steven Kwan bunt grounds out softly, pitcher Brooks Raley to first baseman Pete Alonso.",0,1,2,58,"top",9,"2023-05-22T01:14:42.318Z","2023-05-22T01:14:52.052Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,680757,"Steven Kwan","/api/v1/people/680757","L","Left",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,682626,"/api/v1/people/682626",NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718082,"2023-05-21",3,"2023-05-22T01:13:43.630Z","2023-05-22T01:14:44.550Z",FALSE,"action",NA,NA,"Pitching Change: Brooks Raley replaces Justin Verlander.","Pitching Substitution",1,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,548384,"/api/v1/people/548384",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"58","atBat","Bunt Groundout","field_out","Steven Kwan bunt grounds out softly, pitcher Brooks Raley to first baseman Pete Alonso.",0,1,2,58,"top",9,"2023-05-22T01:14:42.318Z","2023-05-22T01:14:52.052Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,680757,"Steven Kwan","/api/v1/people/680757","L","Left",548384,"Brooks Raley","/api/v1/people/548384","L","Left","vs_LHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","New York Mets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
