"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718117,"2023-05-19",2,"2023-05-20T00:47:25.758Z","2023-05-20T00:47:33.022Z",TRUE,"pitch","7e57a534-d413-4759-9693-51063bbe6aed",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,0,2,NA,NA,3.26,1.55,NA,179.34,147.58,"ground_ball","soft","1",123.8,189.44,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Tyrone Taylor grounds out softly, pitcher Pete Fairbanks to first baseman Isaac Paredes.",0,0,1,63,"top",9,"2023-05-20T00:46:50.375Z","2023-05-20T00:47:33.022Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,621438,"Tyrone Taylor","/api/v1/people/621438","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.6,80.8,11,0.9,0.429,6.4434,25.6606,-37.9124,2.3649,-3.476,-1.6355,3.3778,-4.2881,-127.5576,-1.4706,-0.2418,50.0015,6.9445,3.9063,4.8,9.6,24,2470,74,28.3,-64,2,NA,NA,NA,TRUE,-41.9,-6.4,-3.4,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",0,"2023-05-20T00:46:57.988Z","2023-05-20T00:47:07.977Z",TRUE,"pitch","af45ff11-a80f-4c4c-b1bd-30fd459f22df",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3593,1.5399,NA,22.22,209.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Tyrone Taylor grounds out softly, pitcher Pete Fairbanks to first baseman Isaac Paredes.",0,0,1,63,"top",9,"2023-05-20T00:46:50.375Z","2023-05-20T00:47:33.022Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,621438,"Tyrone Taylor","/api/v1/people/621438","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,89.5,14,0.88,0.3871,6.5085,31.7941,-9.1653,-0.1556,11.3423,2.4865,1.1017,6.9108,-141.4247,-13.3059,0.0329,50.0057,6.4519,-0.3163,6,2.4,24,2367,188,NA,NA,NA,NA,NA,NA,FALSE,-10.9,18,-1.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",1,"2023-05-20T00:47:13.024Z","2023-05-20T00:47:25.758Z",FALSE,"action",NA,NA,"Wild pitch by pitcher Pete Fairbanks. Brice Turang to 3rd.","Wild Pitch",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,0,2,668930,"/api/v1/people/668930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"af45ff11-a80f-4c4c-b1bd-30fd459f22df","wild_pitch",NA,NA,NA,NA,NA,NA,"63","atBat","Groundout","field_out","Tyrone Taylor grounds out softly, pitcher Pete Fairbanks to first baseman Isaac Paredes.",0,0,1,63,"top",9,"2023-05-20T00:46:50.375Z","2023-05-20T00:47:33.022Z",TRUE,FALSE,FALSE,TRUE,0,1,0,3,621438,"Tyrone Taylor","/api/v1/people/621438","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",4,"2023-05-20T00:46:22.587Z","2023-05-20T00:46:28.210Z",TRUE,"pitch","f0e503f2-06fa-4601-aecf-12bb24025f37",3,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,1,NA,NA,3.57,1.7,NA,75.97,214.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Rowdy Tellez strikes out swinging.",0,0,1,62,"top",9,"2023-05-20T00:45:31.937Z","2023-05-20T00:46:28.210Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.3,80,14,0.9,0.4364,7.1394,25.5296,-37.2333,1.0997,-3.1719,1.0763,0.9164,2.4717,-125.5441,-6.8591,-0.064,50.0015,6.7159,1.7544,3.6,9.6,24,2516,43,NA,NA,NA,NA,NA,NA,TRUE,-43.8,-7.1,-2.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,668930,"Brice Turang","/api/v1/people/668930",NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",3,"2023-05-20T00:46:00.483Z","2023-05-20T00:46:03.669Z",TRUE,"pitch","2790c6f4-d91e-4b88-8ac0-3bbaf999d878",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.57,1.7119,NA,132.62,184.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Rowdy Tellez strikes out swinging.",0,0,1,62,"top",9,"2023-05-20T00:45:31.937Z","2023-05-20T00:46:28.210Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,80.6,7,0.9,0.4326,7.0069,24.3139,-36.1401,3.1192,-2.4427,-0.4098,2.0007,-1.5064,-126.3298,-4.7526,-0.2129,50.0019,6.7927,5.071,7.2,9.6,24,2374,55,NA,NA,NA,NA,NA,NA,FALSE,-41.4,-5.3,-5.3,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",1,"2023-05-20T00:45:34.038Z","2023-05-20T00:45:39.581Z",TRUE,"pitch","80622718-1d03-480b-9669-7c20f725c4dd",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.6911,1.533,NA,131.05,177.69,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Rowdy Tellez strikes out swinging.",0,0,1,62,"top",9,"2023-05-20T00:45:31.937Z","2023-05-20T00:46:28.210Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,79.8,4,0.9,0.4357,6.9998,24.8883,-34.9385,1.9365,-1.7292,-0.3685,2.2626,-0.3589,-125.6095,-4.3038,-0.4756,50.0007,6.8317,3.1011,4.8,9.6,24,2414,57,NA,NA,NA,NA,NA,NA,FALSE,-40.4,-3.8,-3.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",0,"2023-05-20T00:45:14.187Z","2023-05-20T00:45:34.038Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Rowdy Tellez replaces Mike Brosseau.","Offensive Substitution",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,642133,"/api/v1/people/642133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","701","62","atBat","Strikeout","strikeout","Rowdy Tellez strikes out swinging.",0,0,1,62,"top",9,"2023-05-20T00:45:31.937Z","2023-05-20T00:46:28.210Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,670712,"/api/v1/people/670712",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",2,"2023-05-20T00:45:49.680Z","2023-05-20T00:46:00.483Z",FALSE,"action",NA,NA,"Brice Turang steals (7) 2nd base.","Stolen Base 2B",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,1,1,668930,"/api/v1/people/668930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80622718-1d03-480b-9669-7c20f725c4dd","stolen_base_2b",NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Rowdy Tellez strikes out swinging.",0,0,1,62,"top",9,"2023-05-20T00:45:31.937Z","2023-05-20T00:46:28.210Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,642133,"Rowdy Tellez","/api/v1/people/642133","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",1,"2023-05-20T00:44:43.561Z","2023-05-20T00:44:56.999Z",TRUE,"pitch","c33e8e43-b173-42ec-a826-0b59c64366d3",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.34,1.55,NA,116.71,198.91,"fly_ball","medium","8",164.79,81.84,NA,NA,NA,NA,NA,NA,NA,NA,"61","atBat","Flyout","field_out","Brian Anderson flies out to center fielder Jose Siri.",0,0,1,61,"top",9,"2023-05-20T00:44:41.276Z","2023-05-20T00:44:56.999Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,605119,"Brian Anderson","/api/v1/people/605119","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.2,89.1,8,0.9,0.3857,6.7427,35.5859,-6.4921,-0.5423,12.6011,0.0075,1.4766,1.2113,-142.5157,-12.6411,-0.3543,50.0008,6.4002,-1.1052,4.8,2.4,24,2454,193,90.3,40,308,NA,NA,NA,TRUE,-8.5,20.2,0.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,668930,"Brice Turang","/api/v1/people/668930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718117,"2023-05-19",0,"2023-05-20T00:44:31.561Z","2023-05-20T00:44:43.561Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-runner Brice Turang replaces Jesse Winker.","Offensive Substitution",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,668930,"/api/v1/people/668930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"12","Pinch Runner","Runner","PR","502","61","atBat","Flyout","field_out","Brian Anderson flies out to center fielder Jose Siri.",0,0,1,61,"top",9,"2023-05-20T00:44:41.276Z","2023-05-20T00:44:56.999Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,605119,"Brian Anderson","/api/v1/people/605119","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Milwaukee Brewers",1,"Major League Baseball",NA,NA,104,"National League","Milwaukee Brewers","Tampa Bay Rays",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,608385,"/api/v1/people/608385",1,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
