"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
718135,"2023-05-17",1,"2023-05-18T02:20:42.459Z","2023-05-18T02:21:11.530Z",TRUE,"pitch","a3faef88-b4a3-43f4-9562-6e31da456447",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,1,1,NA,NA,3.3,1.56,NA,102.67,158.75,"fly_ball","medium","78",57.73,44.57,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Home Run","home_run","Pete Alonso homers (15) on a fly ball to left center field. Brandon Nimmo scores. Jeff McNeil scores.",3,7,8,85,"bottom",10,"2023-05-18T02:19:56.352Z","2023-05-18T02:21:11.530Z",TRUE,TRUE,FALSE,FALSE,65,0,1,1,624413,"Pete Alonso","/api/v1/people/624413","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,88.6,3,0.91,0.3864,6.8343,35.9875,-8.2398,0.6364,11.7962,0.3759,2.9641,0.677,-142.3295,-8.7724,0.0513,50.0064,6.6272,1.2917,8.4,2.4,24,2280,187,112.3,35,416,NA,NA,NA,FALSE,-9.4,19.6,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718135,"2023-05-17",0,"2023-05-18T02:20:23.377Z","2023-05-18T02:20:27.518Z",TRUE,"pitch","2b3672c1-d2f1-4204-bd2c-89ee74ed079e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4461,1.6369,NA,104.12,162.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85","atBat","Home Run","home_run","Pete Alonso homers (15) on a fly ball to left center field. Brandon Nimmo scores. Jeff McNeil scores.",3,7,8,85,"bottom",10,"2023-05-18T02:19:56.352Z","2023-05-18T02:21:11.530Z",TRUE,TRUE,FALSE,FALSE,65,0,1,1,624413,"Pete Alonso","/api/v1/people/624413","R","Right",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.3,79.2,6,0.9,0.437,6.5279,27.1754,-38.4566,2.9769,-3.9567,0.3378,2.8412,0.0192,-125.6834,-2.5144,-0.0563,50.0029,6.9996,4.728,7.2,9.6,24,2439,50,NA,NA,NA,NA,NA,NA,FALSE,-44.4,-7.6,-5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718135,"2023-05-17",3,"2023-05-18T02:19:49.975Z","2023-05-18T02:19:58.473Z",TRUE,"pitch","909c3070-5039-43d1-8f3a-ea7508765918",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,3,0,NA,NA,3.28,1.54,NA,126.2,215.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,7,5,84,"bottom",10,"2023-05-18T02:17:45.642Z","2023-05-18T02:19:58.473Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,80.5,13,0.9,0.4341,6.6084,25.4473,-37.7086,4.7399,-3.4333,-0.2415,0.8512,-1.7181,-126.1351,-7.2028,-0.1676,50.0019,6.781,7.6438,10.8,9.6,24,2421,57,NA,NA,NA,NA,NA,NA,TRUE,-44,-7.6,-8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,643446,"Jeff McNeil","/api/v1/people/643446",NA,NA,NA,607043,"Brandon Nimmo","/api/v1/people/607043",NA,NA,NA,NA
718135,"2023-05-17",2,"2023-05-18T02:19:07.840Z","2023-05-18T02:19:16.233Z",TRUE,"pitch","2e866b3f-1107-45b5-a871-9d383e6fa38f",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.28,1.54,NA,58.17,161.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,7,5,84,"bottom",10,"2023-05-18T02:17:45.642Z","2023-05-18T02:19:58.473Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.8,89.5,12,0.9,0.3852,6.8718,32.1919,-9.45,0.6366,11.0954,1.5433,2.8676,4.2005,-142.1205,-8.9094,-0.0359,50.006,6.6413,1.3033,10.8,2.4,24,2377,180,NA,NA,NA,NA,NA,NA,FALSE,-10.2,18.5,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718135,"2023-05-17",1,"2023-05-18T02:18:42.179Z","2023-05-18T02:18:46.942Z",TRUE,"pitch","10e4132b-0386-4e2e-81c6-db56f75603a4",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,0,NA,NA,3.28,1.54,NA,96.6,180.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,7,5,84,"bottom",10,"2023-05-18T02:17:45.642Z","2023-05-18T02:19:58.473Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.3,81.3,6,0.9,0.4294,6.6315,24.216,-37.8707,0.9832,-3.4461,0.5352,2.1406,1.3921,-127.198,-4.2982,-0.1454,50.0064,6.8308,1.6235,2.4,9.6,24,2446,55,NA,NA,NA,NA,NA,NA,FALSE,-42.5,-7,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718135,"2023-05-17",0,"2023-05-18T02:18:17.628Z","2023-05-18T02:18:22.545Z",TRUE,"pitch","514a37e8-1627-42ef-a1a0-9e8dcca80786",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,0,NA,NA,3.28,1.54,NA,126.47,153.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84","atBat","Strikeout","strikeout","Francisco Lindor strikes out swinging.",0,7,5,84,"bottom",10,"2023-05-18T02:17:45.642Z","2023-05-18T02:19:58.473Z",TRUE,FALSE,FALSE,TRUE,14,0,3,1,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,80.3,2,0.9,0.4338,6.7138,22.5374,-33.2244,1.9705,-0.6441,-0.2485,3.1681,-0.785,-125.6764,-2.7322,-0.1903,50.0053,6.935,3.1914,4.8,8.4,24,2300,68,NA,NA,NA,NA,NA,NA,FALSE,-37.8,-1.6,-3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718135,"2023-05-17",7,"2023-05-18T02:17:30.237Z","2023-05-18T02:17:42.752Z",TRUE,"pitch","7ccfe5e3-cbeb-4afc-b67b-26045682ecc7",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,0,NA,NA,3.51,1.66,NA,85.18,154.97,"line_drive","medium","9",152.89,111.28,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Single","single","Jeff McNeil singles on a line drive to right fielder Josh Lowe. Brandon Nimmo to 3rd.",0,7,5,83,"bottom",10,"2023-05-18T02:16:00.855Z","2023-05-18T02:17:42.752Z",TRUE,FALSE,FALSE,FALSE,33,2,2,0,643446,"Jeff McNeil","/api/v1/people/643446","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.8,81.8,12,0.89,0.4259,6.7624,23.2925,-34.9403,3.4543,-1.6428,0.8347,3.1039,1.2796,-127.9963,-2.8113,-0.1189,50.0061,6.9184,5.8046,9.6,8.4,24,2472,72,67.7,22,199,NA,NA,NA,FALSE,-38.4,-3.4,-6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,643446,"Jeff McNeil","/api/v1/people/643446",NA,NA,NA,607043,"Brandon Nimmo","/api/v1/people/607043",NA,NA,NA,NA
718135,"2023-05-17",6,"2023-05-18T02:17:09.102Z","2023-05-18T02:17:13.046Z",TRUE,"pitch","6e44b2a0-6e6c-4de4-bee1-d35bc5155bee",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,0,NA,NA,3.51,1.66,NA,92.48,136.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Single","single","Jeff McNeil singles on a line drive to right fielder Josh Lowe. Brandon Nimmo to 3rd.",0,7,5,83,"bottom",10,"2023-05-18T02:16:00.855Z","2023-05-18T02:17:42.752Z",TRUE,FALSE,FALSE,FALSE,33,2,2,0,643446,"Jeff McNeil","/api/v1/people/643446","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.7,87.6,12,0.89,0.3908,6.7429,34.9487,-9.1668,-0.6788,11.5913,0.6432,3.7709,2.5623,-140.7052,-6.5672,-0.1951,50.0028,6.7443,-1.3479,3.6,2.4,24,2295,190,NA,NA,NA,NA,NA,NA,FALSE,-9.8,19.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718135,"2023-05-17",5,"2023-05-18T02:16:46.381Z","2023-05-18T02:16:51.556Z",TRUE,"pitch","5cb405f6-886f-4466-b459-19ada928bbba",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,1,0,NA,NA,3.6471,1.7229,NA,80.65,215.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Single","single","Jeff McNeil singles on a line drive to right fielder Josh Lowe. Brandon Nimmo to 3rd.",0,7,5,83,"bottom",10,"2023-05-18T02:16:00.855Z","2023-05-18T02:17:42.752Z",TRUE,FALSE,FALSE,FALSE,33,2,2,0,643446,"Jeff McNeil","/api/v1/people/643446","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.3,81.1,14,0.89,0.4309,6.8867,25.6643,-36.8051,-0.5124,-2.8276,0.9536,0.8799,2.1905,-127.0543,-7.4822,0.1474,50.0047,6.7825,-0.8394,1.2,9.6,24,2386,49,NA,NA,NA,NA,NA,NA,FALSE,-42.4,-6.6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718135,"2023-05-17",4,"2023-05-18T02:16:23.367Z","2023-05-18T02:16:29.251Z",TRUE,"pitch","7e831b9b-22f5-4a39-8b1d-fc5e0c7f7562",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,0,NA,NA,3.51,1.66,NA,114.49,180.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83","atBat","Single","single","Jeff McNeil singles on a line drive to right fielder Josh Lowe. Brandon Nimmo to 3rd.",0,7,5,83,"bottom",10,"2023-05-18T02:16:00.855Z","2023-05-18T02:17:42.752Z",TRUE,FALSE,FALSE,FALSE,33,2,2,0,643446,"Jeff McNeil","/api/v1/people/643446","L","Left",664126,"Pete Fairbanks","/api/v1/people/664126","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","New York Mets","Tampa Bay Rays",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.3,79.9,8,0.9,0.4352,6.5949,24.7595,-33.7917,2.6021,-1.0087,0.066,2.1575,-0.4827,-125.698,-4.9128,-0.078,50.0034,6.8718,4.1763,7.2,8.4,24,2284,70,NA,NA,NA,NA,NA,NA,FALSE,-39.2,-2.6,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
