"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718194,"2023-05-13",1,"2023-05-13T19:27:18.363Z","2023-05-13T19:27:25.978Z",TRUE,"pitch","f8a6f0ef-58f9-40a6-be76-82ebb4a974b9",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,2,NA,NA,3.49,1.64,NA,121.81,193.47,"ground_ball","medium","4",143.69,148.72,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Javier Baez grounds out, second baseman Kolten Wong to first baseman Ty France.",0,5,0,65,"bottom",9,"2023-05-13T19:26:50.722Z","2023-05-13T19:27:25.978Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,595879,"Javier Báez","/api/v1/people/595879","R","Right",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89,82.1,8,0.88,0.4221,6.3819,26.8513,-31.6028,7.0697,0.3331,-0.1262,1.6781,3.2047,-129.7103,-1.942,-2.2956,50.0009,4.8435,12.0581,21.6,8.4,24,2989,52,83.1,5,90,NA,NA,NA,TRUE,-34,0.4,-13.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",0,"2023-05-13T19:27:05.724Z","2023-05-13T19:27:09.050Z",TRUE,"pitch","eedf40aa-dc4b-43bc-b1fc-cbdc2c521df6",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.5001,1.6022,NA,127.88,191.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Javier Baez grounds out, second baseman Kolten Wong to first baseman Ty France.",0,5,0,65,"bottom",9,"2023-05-13T19:26:50.722Z","2023-05-13T19:27:25.978Z",TRUE,FALSE,FALSE,TRUE,0,0,1,3,595879,"Javier Báez","/api/v1/people/595879","R","Right",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.9,91,7,0.89,0.3818,6.5213,27.4347,-18.4867,-4.3074,6.5423,-0.2855,1.7602,7.0416,-142.5019,-5.4286,-2.2095,50.0035,4.8276,-9.0129,21.6,3.6,24,2238,232,NA,NA,NA,NA,NA,NA,FALSE,-17,11.2,6.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",3,"2023-05-13T19:26:39.399Z","2023-05-13T19:26:43.721Z",TRUE,"pitch","35aa65bd-5f8e-4108-a990-c910d3e5f757",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,1,NA,NA,3.61,1.69,NA,75.94,192.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Riley Greene strikes out swinging.",0,5,0,64,"bottom",9,"2023-05-13T19:25:30.784Z","2023-05-13T19:26:43.721Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,682985,"Riley Greene","/api/v1/people/682985","L","Left",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.8,84.2,14,0.86,0.4131,6.4181,26.411,-31.1863,5.1542,0.55,1.0772,1.721,6.4846,-132.2607,-2.8353,-2.0694,50.0007,5.0781,9.1897,18,7.2,24,2943,50,NA,NA,NA,NA,NA,NA,TRUE,-32.3,0.6,-10.7,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",2,"2023-05-13T19:26:25.940Z","2023-05-13T19:26:29.003Z",TRUE,"pitch","dd39da37-c963-4f21-a2ff-588b99d05432",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.61,1.69,NA,125.96,142.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Riley Greene strikes out swinging.",0,5,0,64,"bottom",9,"2023-05-13T19:25:30.784Z","2023-05-13T19:26:43.721Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,682985,"Riley Greene","/api/v1/people/682985","L","Left",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.8,83.2,2,0.9,0.4166,6.5461,24.6646,-28.134,5.6536,2.3045,-0.235,3.5538,3.3508,-130.9018,1.3888,-2.2616,50.0049,5.1053,9.9252,20.4,7.2,24,2770,65,NA,NA,NA,NA,NA,NA,FALSE,-28.8,4.7,-10.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",1,"2023-05-13T19:26:10.568Z","2023-05-13T19:26:14.316Z",TRUE,"pitch","d4737bfe-9568-499b-8ea1-35a9ae3dc4af",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.61,1.69,NA,135.36,154.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Riley Greene strikes out swinging.",0,5,0,64,"bottom",9,"2023-05-13T19:25:30.784Z","2023-05-13T19:26:43.721Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,682985,"Riley Greene","/api/v1/people/682985","L","Left",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.3,91.2,1,0.9,0.38,6.4513,27.6447,-19.5944,-6.4096,5.954,-0.4817,3.1209,7.4816,-143.1738,-1.8813,-2.2745,50,4.9904,-13.5373,31.2,4.8,24,2252,228,NA,NA,NA,NA,NA,NA,FALSE,-17.2,10.7,10.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",0,"2023-05-13T19:25:58.230Z","2023-05-13T19:26:01.263Z",TRUE,"pitch","5819903b-42e5-4bae-9f74-65b862088c00",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.3888,1.5785,NA,164.49,110.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Strikeout","strikeout","Riley Greene strikes out swinging.",0,5,0,64,"bottom",9,"2023-05-13T19:25:30.784Z","2023-05-13T19:26:43.721Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,682985,"Riley Greene","/api/v1/people/682985","L","Left",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,90.4,11,0.88,0.3832,6.3224,26.6356,-21.342,-5.1937,5.2145,-1.2459,4.7476,4.9454,-141.9016,3.0371,-2.3204,50.0066,5.0102,-10.7975,25.2,4.8,24,2102,232,NA,NA,NA,NA,NA,NA,FALSE,-18.2,10.2,8.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",5,"2023-05-13T19:25:14.871Z","2023-05-13T19:25:22.731Z",TRUE,"pitch","d8671350-00c3-443a-bf4a-15861be99c0c",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,0,NA,NA,3.17,1.48,NA,121.19,186.02,"line_drive","hard","8",127.41,62.35,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Zach McKinstry lines out sharply to center fielder Julio Rodriguez.",0,5,0,63,"bottom",9,"2023-05-13T19:24:35.702Z","2023-05-13T19:25:22.731Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.4,89.1,8,0.9,0.3869,6.6421,31.9348,-15.9434,-6.0086,7.9932,-0.1099,1.9541,8.0583,-141.5187,-5.4979,-2.212,50.0028,4.9412,-12.2021,31.2,3.6,24,2178,229,105.9,15,340,NA,NA,NA,TRUE,-15.4,13.6,9.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",4,"2023-05-13T19:25:01.654Z","2023-05-13T19:25:04.914Z",TRUE,"pitch","bc3e9a23-fb7a-46ab-91bf-3a958cdd1869",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,0,NA,NA,3.0917,1.4669,NA,146.55,127.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Zach McKinstry lines out sharply to center fielder Julio Rodriguez.",0,5,0,63,"bottom",9,"2023-05-13T19:24:35.702Z","2023-05-13T19:25:22.731Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.9,89,11,0.88,0.3871,6.4446,30.0011,-20.521,-4.8006,5.7412,-0.7753,4.122,5.8376,-141.1145,0.9422,-2.2403,50.0067,5.099,-9.7519,22.8,4.8,24,2112,225,NA,NA,NA,NA,NA,NA,FALSE,-18.1,10.8,7.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",3,"2023-05-13T19:24:49.581Z","2023-05-13T19:24:53.409Z",TRUE,"pitch","88133538-1b9f-4bb3-a2d7-6fbf8b636ed0",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,0,NA,NA,3.0283,1.4781,NA,101.84,145.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Zach McKinstry lines out sharply to center fielder Julio Rodriguez.",0,5,0,63,"bottom",9,"2023-05-13T19:24:35.702Z","2023-05-13T19:25:22.731Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",85.8,79,12,0.93,0.4381,6.5568,24.5169,-35.9292,6.1323,-2.3657,0.3976,3.4653,4.6798,-124.8811,2.7356,-2.2959,50.0058,5.3056,9.7139,16.8,9.6,24,2930,51,NA,NA,NA,NA,NA,NA,FALSE,-40.4,-3.5,-12.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718194,"2023-05-13",2,"2023-05-13T19:24:37.758Z","2023-05-13T19:24:41.340Z",TRUE,"pitch","2e604370-8b19-4036-851d-bee99bc1104e",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.3397,1.6019,NA,136.13,149.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Lineout","field_out","Zach McKinstry lines out sharply to center fielder Julio Rodriguez.",0,5,0,63,"bottom",9,"2023-05-13T19:24:35.702Z","2023-05-13T19:25:22.731Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,656716,"Zach McKinstry","/api/v1/people/656716","L","Left",666374,"Matt Brash","/api/v1/people/666374","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.1,88.5,1,0.88,0.39,6.5496,28.7063,-18.5145,-5.8707,6.8233,-0.5019,3.3168,7.2222,-139.9093,-1.4103,-2.3423,50.0008,5.0291,-11.7501,28.8,4.8,24,2274,228,NA,NA,NA,NA,NA,NA,FALSE,-17,12.4,9.4,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
