"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","base","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718211,"2023-05-12",8,"2023-05-13T02:04:06.756Z","2023-05-13T02:04:10.830Z",TRUE,"pitch","a52ce7df-67c8-4527-b8c6-aa73850b3f65",8,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.49,1.56,NA,88.28,202.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",91.2,84.7,14,0.9,0.4108,6.7484,26.4015,-32.4443,3.9445,-0.1532,0.7536,1.3378,1.5903,-132.9287,-5.4242,-0.3635,50,5.7381,7.1128,12,7.2,24,2523,130,NA,NA,NA,NA,NA,NA,TRUE,-33.7,-1.2,-7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",7,"2023-05-13T02:03:44.004Z","2023-05-13T02:03:48.475Z",TRUE,"pitch","4a80d3db-da1f-42cb-844d-ae562dba9a4b",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.49,1.56,NA,145.81,165.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.8,92.9,4,0.9,0.37,6.5605,35.7674,-6.8638,-0.8426,11.4071,-0.7559,2.6984,-1.4865,-148.1088,-7.8138,-0.1378,50.0032,5.7739,-1.8699,14.4,1.2,24,2694,197,NA,NA,NA,NA,NA,NA,FALSE,-7.2,19.3,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",6,"2023-05-13T02:03:20.311Z","2023-05-13T02:03:23.777Z",TRUE,"pitch","bd2abc48-e9ed-441a-8d12-6b9089a0f6dd",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.49,1.56,NA,118.88,138.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101,92.9,11,0.9,0.3713,6.3447,32.4706,-10.4068,-2.2391,9.8584,-0.0494,3.7185,1.4686,-147.1053,-4.4316,-0.2623,50.0009,5.8529,-4.9432,21.6,2.4,24,2716,191,NA,NA,NA,NA,NA,NA,FALSE,-9.4,17.3,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",5,"2023-05-13T02:02:57.729Z","2023-05-13T02:03:01.148Z",TRUE,"pitch","0514c3ea-a908-4ed7-87ef-347929423942",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.1705,1.3988,NA,113.84,223.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",84.4,79.1,14,0.9,0.4436,6.6204,22.4034,-43.5188,2.08,-7.3313,0.0829,0.5611,0.0426,-123.0694,-3.9613,-0.2052,50.0037,5.8449,3.2188,3.6,12,24,2665,28,NA,NA,NA,NA,NA,NA,FALSE,-52,-13.9,-3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",3,"2023-05-13T02:02:22.066Z","2023-05-13T02:02:26.481Z",TRUE,"pitch","404c104f-25a3-4a7a-a8b1-33bd279ee9f9",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.49,1.56,NA,102.45,152.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.9,93,3,0.9,0.3694,6.461,35.5207,-7.0075,-2.5554,11.305,0.3817,3.1895,2.9038,-148.279,-6.455,-0.2784,50.0052,5.8038,-5.69,30,2.4,24,2727,198,NA,NA,NA,NA,NA,NA,FALSE,-7,19.4,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",2,"2023-05-13T02:01:57.890Z","2023-05-13T02:02:01.703Z",TRUE,"pitch","191f2a28-4d37-4221-96db-9ffd8d3a35c2",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.49,1.56,NA,111.74,164.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",82.5,76.3,5,0.9,0.4551,6.3593,22.7799,-40.8158,2.215,-5.8877,0.1379,2.733,0.1667,-120.2545,0.7916,-0.2201,50.0028,6.0134,3.2517,4.8,10.8,24,2564,31,NA,NA,NA,NA,NA,NA,FALSE,-50.2,-10.2,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",1,"2023-05-13T02:01:39.912Z","2023-05-13T02:01:44.520Z",TRUE,"pitch","0669edc7-1dfd-4c9d-ae6e-f3ddc0b942c5",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.3865,1.4915,NA,154.57,155.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.4,92.3,11,0.9,0.3717,6.4429,36.3516,-10.6691,-2.1398,9.788,-0.9856,3.0704,-1.1239,-147.5638,-6.0945,-0.3214,50.0029,5.7963,-4.7006,22.8,2.4,24,2775,200,NA,NA,NA,NA,NA,NA,FALSE,-10.1,16.7,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",0,"2023-05-13T02:01:22.296Z","2023-05-13T02:01:28.447Z",TRUE,"pitch","a5c1d5f8-e5fe-42e7-a716-8f852080677a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.2325,1.4921,NA,162.23,175.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100,91.3,13,0.9,0.3769,6.4428,34.7574,-10.2695,-2.4591,10.2445,-1.1867,2.351,-1.4153,-145.4515,-7.9394,-0.374,50.0034,5.7421,-5.2586,25.2,2.4,24,2748,201,NA,NA,NA,NA,NA,NA,FALSE,-10.3,17.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",4,"2023-05-13T02:02:39.161Z","2023-05-13T02:02:57.729Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",8,6,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,657077,"/api/v1/people/657077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"76","atBat","Strikeout","strikeout","Alex Verdugo strikes out swinging.",0,8,6,76,"bottom",9,"2023-05-13T02:01:09.666Z","2023-05-13T02:04:10.830Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718211,"2023-05-12",7,"2023-05-13T02:00:52.452Z","2023-05-13T02:00:57.497Z",TRUE,"pitch","9575af64-0ad1-4b05-9a01-60a0206013ce",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,1,NA,NA,3.38,1.67,NA,88.04,184.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Reese McGuire strikes out swinging.",0,8,6,75,"bottom",9,"2023-05-13T01:58:42.672Z","2023-05-13T02:00:57.497Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,624512,"Reese McGuire","/api/v1/people/624512","L","Left",664854,"Ryan Helsley","/api/v1/people/664854","R","Right","vs_RHP","vs_LHB","Empty",NA,"Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","St. Louis Cardinals",1,"Major League Baseball",NA,NA,104,"National League","Boston Red Sox","St. Louis Cardinals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.6,83,9,0.91,0.4183,6.5512,25.8298,-31.1798,2.4973,0.5684,0.7597,1.9989,1.7559,-130.6116,-3.7496,-0.2441,50.0011,5.7813,4.3415,8.4,7.2,24,2548,165,NA,NA,NA,NA,NA,NA,TRUE,-33.4,0.5,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
