"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718216,"2023-05-11",5,"2023-05-11T19:44:23.358Z","2023-05-11T19:44:28.057Z",TRUE,"pitch","ae12b3c2-e9ba-4bf5-bc06-102c7ad84a39",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.51,1.63,NA,117.5,161.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,3,5,70,"top",9,"2023-05-11T19:43:35.882Z","2023-05-11T19:44:28.057Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,83,5,0.91,0.4205,5.995,21.9251,-31.7486,2.7519,0.2494,-0.0132,2.8561,5.104,-129.2896,-1.3532,-2.3554,50.006,5.779,4.7512,9.6,7.2,24,2368,46,NA,NA,NA,NA,NA,NA,TRUE,-33.7,0.4,-5.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",4,"2023-05-11T19:44:07.519Z","2023-05-11T19:44:11.770Z",TRUE,"pitch","a0001fc5-83fa-4502-989d-7d72d18ca668",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.5913,1.6232,NA,88.78,193.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,3,5,70,"top",9,"2023-05-11T19:43:35.882Z","2023-05-11T19:44:28.057Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,84.3,9,0.91,0.4163,6.0774,20.6638,-30.8486,2.4319,0.7553,0.7404,1.6778,6.6093,-130.2715,-4.3318,-2.1197,50.0058,5.6268,4.2893,9.6,7.2,24,2374,53,NA,NA,NA,NA,NA,NA,FALSE,-32.6,0.8,-5.5,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",3,"2023-05-11T19:43:52.343Z","2023-05-11T19:43:55.685Z",TRUE,"pitch","a69693d8-2a5b-467a-bf8a-e6598fb63422",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,2,NA,NA,3.51,1.63,NA,115.24,209.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,3,5,70,"top",9,"2023-05-11T19:43:35.882Z","2023-05-11T19:44:28.057Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.8,85.5,14,0.89,0.4127,6.0969,18.1649,-31.3006,0.4361,0.4813,0.0463,1.0691,6.0919,-130.9275,-5.8636,-2.3326,50.0001,5.5777,0.7832,2.4,7.2,24,2200,41,NA,NA,NA,NA,NA,NA,FALSE,-32.6,0.1,-1.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",2,"2023-05-11T19:43:37.922Z","2023-05-11T19:43:41.713Z",TRUE,"pitch","a56daf76-018b-4284-9fdb-4edebd6e22a1",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.6502,1.6525,NA,159.8,132.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,3,5,70,"top",9,"2023-05-11T19:43:35.882Z","2023-05-11T19:44:28.057Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.6,89.1,11,2,0.3877,6.4056,28.9746,-24.4914,-8.7558,3.7958,-1.123,3.9462,6.2522,-140.7351,-0.8268,-2.2246,50.0058,5.8158,-17.741,33.6,6,24,1796,230,NA,NA,NA,NA,NA,NA,FALSE,-22.1,7,14.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",0,"2023-05-11T19:42:51.051Z","2023-05-11T19:43:07.462Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Nelson Cruz replaces Austin Nola.","Offensive Substitution",3,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,443558,"/api/v1/people/443558",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","70","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,3,5,70,"top",9,"2023-05-11T19:43:35.882Z","2023-05-11T19:44:28.057Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,543592,"/api/v1/people/543592",NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",1,"2023-05-11T19:43:07.462Z","2023-05-11T19:43:37.922Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"70","atBat","Strikeout","strikeout","Nelson Cruz strikes out swinging.",0,3,5,70,"top",9,"2023-05-11T19:43:35.882Z","2023-05-11T19:44:28.057Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,443558,"Nelson Cruz","/api/v1/people/443558","R","Right",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_RHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",7,"2023-05-11T19:42:31.504Z","2023-05-11T19:42:35.352Z",TRUE,"pitch","c18c048d-e647-4c8d-b60a-90bffd842d95",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,3,1,NA,NA,3.1005,1.3525,NA,147.56,162.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Rougned Odor called out on strikes.",0,3,5,69,"top",9,"2023-05-11T19:39:40.136Z","2023-05-11T19:42:35.352Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596059,"Rougned Odor","/api/v1/people/596059","L","Left",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",84.8,78.8,1,0.9,0.4417,6.281,22.582,-42.4823,3.6927,-6.6016,-0.8018,2.8171,2.2859,-123.5954,0.9822,-2.2158,50.0054,5.9576,5.7636,8.4,10.8,24,2523,46,NA,NA,NA,NA,NA,NA,TRUE,-49.2,-11.5,-7.2,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",5,"2023-05-11T19:42:04.142Z","2023-05-11T19:42:07.587Z",TRUE,"pitch","791c587d-43bb-4d8b-b3f2-96ae5ec9bc37",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.1299,1.4109,NA,130.25,102.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Rougned Odor called out on strikes.",0,3,5,69,"top",9,"2023-05-11T19:39:40.136Z","2023-05-11T19:42:35.352Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596059,"Rougned Odor","/api/v1/people/596059","L","Left",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.2,89.5,11,0.89,0.3858,6.3113,28.9553,-24.3965,-8.326,3.8027,-0.3475,5.0456,7.621,-141.3985,1.9695,-1.9817,50.0067,5.8945,-17.0471,32.4,6,24,2030,227,NA,NA,NA,NA,NA,NA,FALSE,-21.2,7.4,13.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",3,"2023-05-11T19:40:49.903Z","2023-05-11T19:40:53.466Z",TRUE,"pitch","2bbe10be-3dc5-4532-a367-18459ab0ba54",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,1,NA,NA,2.99,1.33,NA,132.04,205.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Rougned Odor called out on strikes.",0,3,5,69,"top",9,"2023-05-11T19:39:40.136Z","2023-05-11T19:42:35.352Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596059,"Rougned Odor","/api/v1/people/596059","L","Left",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.1,81.9,7,0.91,0.4231,6.2399,27.4724,-30.4991,-10.2003,0.9862,-0.3947,1.2151,7.4131,-129.5458,-5.3767,-1.9704,50.0014,5.6533,-17.3076,26.4,8.4,24,1625,251,NA,NA,NA,NA,NA,NA,FALSE,-33.8,0.7,16.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718216,"2023-05-11",2,"2023-05-11T19:40:33.366Z","2023-05-11T19:40:36.677Z",TRUE,"pitch","3ba8b5d6-0995-4b47-b6e8-cd8a153b0971",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.1299,1.3525,NA,121.07,108.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Strikeout","strikeout","Rougned Odor called out on strikes.",0,3,5,69,"top",9,"2023-05-11T19:39:40.136Z","2023-05-11T19:42:35.352Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,596059,"Rougned Odor","/api/v1/people/596059","L","Left",605347,"Jorge López","/api/v1/people/605347","R","Right","vs_RHP","vs_LHB","Empty",NA,"Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","San Diego Padres",1,"Major League Baseball",NA,NA,104,"National League","San Diego Padres","Minnesota Twins",NA,NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",83.6,76.6,11,0.91,0.4511,5.9573,24.3476,-45.1956,5.632,-8.7206,-0.1069,4.812,3.1819,-121.5309,6.0131,-2.166,50.0055,6.2364,8.4054,12,12,24,2555,46,NA,NA,NA,NA,NA,NA,FALSE,-53.3,-14,-10.9,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
