"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
718276,"2023-05-07",2,"2023-05-07T20:46:57.784Z","2023-05-07T20:47:04.838Z",TRUE,"pitch","e9ea5ef1-c15e-4d81-b2ff-455ad8ed06b9",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.28,1.52,NA,63.36,157.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89","atBat","Strikeout","strikeout","Mark Canha strikes out swinging.",0,13,6,89,"bottom",9,"2023-05-07T20:45:47.075Z","2023-05-07T20:47:04.838Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,592192,"Mark Canha","/api/v1/people/592192","R","Right",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",87,80.3,12,0.9,0.4319,6.3714,24.0376,-25.3313,4.5816,4.1945,1.4071,3.0169,9.2261,-126.4716,1.7293,-2.873,50.0038,4.3458,7.4741,20.4,7.2,24,2876,80,NA,NA,NA,NA,NA,NA,TRUE,-27.7,8.3,-10.3,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",1,"2023-05-07T20:46:18.445Z","2023-05-07T20:46:24.361Z",TRUE,"pitch","0b425aa7-3320-4d17-855d-a259104c3124",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.28,1.52,NA,125.38,153.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89","atBat","Strikeout","strikeout","Mark Canha strikes out swinging.",0,13,6,89,"bottom",9,"2023-05-07T20:45:47.075Z","2023-05-07T20:47:04.838Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,592192,"Mark Canha","/api/v1/people/592192","R","Right",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.6,78.3,2,0.9,0.4426,6.0524,21.9876,-26.4297,5.9362,3.6981,-0.2198,3.1572,5.2647,-123.2277,2.7424,-3.1471,50.005,4.2476,9.23,21.6,7.2,24,2816,86,NA,NA,NA,NA,NA,NA,FALSE,-30.2,7.6,-11.9,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",0,"2023-05-07T20:46:04.411Z","2023-05-07T20:46:08.100Z",TRUE,"pitch","48c553a4-a07c-4c00-add7-0e74a3846aba",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2591,1.5077,NA,87.83,182.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89","atBat","Strikeout","strikeout","Mark Canha strikes out swinging.",0,13,6,89,"bottom",9,"2023-05-07T20:45:47.075Z","2023-05-07T20:47:04.838Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,592192,"Mark Canha","/api/v1/people/592192","R","Right",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.1,87.3,6,0.91,0.3964,6.1791,28.7973,-35.6014,-10.7019,-1.7736,0.7654,2.0841,13.1368,-137.8554,0.8615,-2.6568,50.0004,4.159,-20.7298,27.6,8.4,24,2210,258,NA,NA,NA,NA,NA,NA,FALSE,-33.1,-2.8,16.8,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",3,"2023-05-07T20:45:33.992Z","2023-05-07T20:45:43.427Z",TRUE,"pitch","7839d92b-791b-4d52-a035-9aa0a140d977",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.31,1.59,NA,128.54,176.55,"ground_ball","medium","6",112.18,161.07,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Groundout","field_out","Daniel Vogelbach grounds out, shortstop Ezequiel Tovar to first baseman C. J. Cron.",0,13,6,88,"bottom",9,"2023-05-07T20:44:33.068Z","2023-05-07T20:45:43.427Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.3,84.3,4,0.91,0.4087,6.1108,28.9101,-37.43,-11.3293,-2.8841,-0.3027,2.3047,10.2065,-134.0066,2.5972,-2.6885,50.0066,3.9964,-20.6133,26.4,9.6,24,2057,257,96.2,-3,27,NA,NA,NA,TRUE,-36.6,-4.4,18.4,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",2,"2023-05-07T20:45:19.473Z","2023-05-07T20:45:24.146Z",TRUE,"pitch","fedc2390-c776-4adc-89b9-e63dd0be4ad3",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.3452,1.5937,NA,75.1,198.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Groundout","field_out","Daniel Vogelbach grounds out, shortstop Ezequiel Tovar to first baseman C. J. Cron.",0,13,6,88,"bottom",9,"2023-05-07T20:44:33.068Z","2023-05-07T20:45:43.427Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.1,77.4,14,0.9,0.4505,6.0495,20.0198,-25.1629,1.1142,4.6631,1.0991,1.4956,9.1619,-120.8591,-0.6646,-2.8605,50.0011,3.9532,1.6736,7.2,7.2,24,2630,85,NA,NA,NA,NA,NA,NA,FALSE,-30.6,8.5,-3.8,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",1,"2023-05-07T20:45:05.859Z","2023-05-07T20:45:10.659Z",TRUE,"pitch","56838448-37a5-4d36-bb2a-647ac1faa52e",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.3452,1.565,NA,52.65,157.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Groundout","field_out","Daniel Vogelbach grounds out, shortstop Ezequiel Tovar to first baseman C. J. Cron.",0,13,6,88,"bottom",9,"2023-05-07T20:44:33.068Z","2023-05-07T20:45:43.427Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies","false",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.3,77.5,12,0.9,0.4472,6.006,23.4134,-24.5077,4.3551,5.0425,1.6881,3.0159,10.0257,-122.3419,2.7714,-3.0236,50.0039,3.9649,6.6211,19.2,7.2,24,2663,85,NA,NA,NA,NA,NA,NA,FALSE,-28.6,10.1,-10.2,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",0,"2023-05-07T20:44:53.646Z","2023-05-07T20:44:57.444Z",TRUE,"pitch","fe5065a4-a4fc-44ef-8c84-8350c576bd7d",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4026,1.6797,NA,138.9,166.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"88","atBat","Groundout","field_out","Daniel Vogelbach grounds out, shortstop Ezequiel Tovar to first baseman C. J. Cron.",0,13,6,88,"bottom",9,"2023-05-07T20:44:33.068Z","2023-05-07T20:45:43.427Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.5,85.3,4,0.9,0.4035,6.1844,30.0355,-36.0932,-10.7191,-2.0961,-0.5744,2.6602,8.8943,-135.817,2.4864,-2.5007,50.0059,4.2447,-20.0084,26.4,8.4,24,2183,257,NA,NA,NA,NA,NA,NA,FALSE,-34.4,-3,17.5,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",4,"2023-05-07T20:44:17.863Z","2023-05-07T20:44:27.283Z",TRUE,"pitch","5ac52204-4fce-4e69-ae32-5e97a1ea9265",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,0,NA,NA,3.66,1.69,NA,124.71,192.71,"ground_ball","medium","3",150.76,176.33,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Groundout","field_out","Brett Baty grounds out, first baseman C. J. Cron to pitcher Justin Lawrence.",0,13,6,87,"bottom",9,"2023-05-07T20:43:34.243Z","2023-05-07T20:44:27.283Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,683146,"Brett Baty","/api/v1/people/683146","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94,86,8,0.91,0.401,6.1734,29.7819,-34.7914,-11.3533,-1.3833,-0.2022,1.7063,10.5664,-136.5487,0.3895,-2.6451,50.0031,3.9534,-21.4614,28.8,8.4,24,2160,262,78.4,-25,4,NA,NA,NA,TRUE,-33.2,-2.2,18.4,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",3,"2023-05-07T20:44:04.331Z","2023-05-07T20:44:08.267Z",TRUE,"pitch","0aefa893-e70c-4107-83df-46221e6372df",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,0,NA,NA,3.6898,1.5937,NA,144.79,166.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Groundout","field_out","Brett Baty grounds out, first baseman C. J. Cron to pitcher Justin Lawrence.",0,13,6,87,"bottom",9,"2023-05-07T20:43:34.243Z","2023-05-07T20:44:27.283Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,683146,"Brett Baty","/api/v1/people/683146","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.2,85.9,4,0.91,0.4027,6.2273,26.8929,-36.2434,-10.7617,-2.1694,-0.729,2.6678,9.0025,-135.5233,2.8985,-2.6798,50.0008,4.0999,-20.2131,27.6,8.4,24,2118,259,NA,NA,NA,NA,NA,NA,FALSE,-34.4,-3.1,17.8,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718276,"2023-05-07",2,"2023-05-07T20:43:50.535Z","2023-05-07T20:43:55.190Z",TRUE,"pitch","ebd09500-72ed-4997-82a2-760831916d34",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,0,NA,NA,3.6323,1.651,NA,77.22,216.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87","atBat","Groundout","field_out","Brett Baty grounds out, first baseman C. J. Cron to pitcher Justin Lawrence.",0,13,6,87,"bottom",9,"2023-05-07T20:43:34.243Z","2023-05-07T20:44:27.283Z",TRUE,FALSE,FALSE,TRUE,0,2,1,1,683146,"Brett Baty","/api/v1/people/683146","L","Left",664875,"Justin Lawrence","/api/v1/people/664875","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Colorado Rockies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Colorado Rockies",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.2,85.8,14,0.91,0.4044,6.296,27.5984,-34.7097,-12.339,-1.3654,1.0436,0.8206,14.3255,-135.0893,-1.7601,-2.7084,50.0001,3.9053,-22.9536,30,8.4,24,2163,261,NA,NA,NA,NA,NA,NA,FALSE,-34.2,-2.6,19.6,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
