"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","base","details.disengagementNum","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718377,"2023-04-29",3,"2023-04-29T23:03:03.139Z","2023-04-29T23:03:10.888Z",TRUE,"pitch","158d5b42-debf-407c-9cfd-87cd728def91",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.49,1.69,NA,125.85,199.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Brent Rooker strikes out swinging.",0,3,2,75,"bottom",9,"2023-04-29T23:01:55.229Z","2023-04-29T23:03:10.888Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,667670,"Brent Rooker","/api/v1/people/667670","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,81.3,13,0.9,0.4289,7.742,21.8836,-31.2748,2.7192,0.5458,-0.2321,1.4616,4.1737,-126.8887,-1.7984,-2.2412,50.0051,4.6323,4.5089,9.6,7.2,24,2749,131,NA,NA,NA,NA,NA,NA,TRUE,-34.7,0.8,-5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",2,"2023-04-29T23:02:45.989Z","2023-04-29T23:02:50.096Z",TRUE,"pitch","858174a2-cb99-41ee-8cb8-64905e9ba0b5",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,2,NA,NA,3.49,1.69,NA,144.26,191.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Brent Rooker strikes out swinging.",0,3,2,75,"bottom",9,"2023-04-29T23:01:55.229Z","2023-04-29T23:03:10.888Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,667670,"Brent Rooker","/api/v1/people/667670","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.2,86.2,7,0.88,0.4017,7.7272,26.449,-18.8392,-5.2548,7.0616,-0.7151,1.7486,5.7631,-135.7479,-3.9339,-2.1712,50.0025,4.5084,-9.9225,24,4.8,24,2487,229,NA,NA,NA,NA,NA,NA,FALSE,-18.8,12.2,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",1,"2023-04-29T23:02:24.821Z","2023-04-29T23:02:28.838Z",TRUE,"pitch","93ec69dc-ac1a-4172-8476-91b8aa6a99b8",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.49,1.69,NA,144.3,171.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Brent Rooker strikes out swinging.",0,3,2,75,"bottom",9,"2023-04-29T23:01:55.229Z","2023-04-29T23:03:10.888Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,667670,"Brent Rooker","/api/v1/people/667670","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.2,86.4,4,0.9,0.3987,7.8343,29.2154,-16.1385,-5.1099,8.3828,-0.7162,2.4812,5.8502,-137.1727,-2.5227,-2.2087,50.0059,4.508,-9.7788,27.6,3.6,24,2548,217,NA,NA,NA,NA,NA,NA,FALSE,-15.8,14.9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",0,"2023-04-29T23:02:11.475Z","2023-04-29T23:02:19.821Z",TRUE,"pitch","92e360f8-494c-4d01-9b33-9d5ff8bbd32b",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.3394,1.4604,NA,66.57,166.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Brent Rooker strikes out swinging.",0,3,2,75,"bottom",9,"2023-04-29T23:01:55.229Z","2023-04-29T23:03:10.888Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,667670,"Brent Rooker","/api/v1/people/667670","R","Right",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_RHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,87,12,0.9,0.3973,7.8737,28.2728,-16.28,-4.4707,8.2408,1.323,2.6929,10.4173,-137.4672,-2.2149,-1.9217,50.003,4.6046,-8.6245,21.6,3.6,24,2605,234,NA,NA,NA,NA,NA,NA,FALSE,-15.7,14.6,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",7,"2023-04-29T23:01:36.749Z","2023-04-29T23:01:43.442Z",TRUE,"pitch","9e545b53-5080-4b21-bbfe-3056a3bfb553",7,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,3,1,NA,NA,3.37,1.65,NA,65.74,183.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,3,2,74,"bottom",9,"2023-04-29T22:59:25.471Z","2023-04-29T23:01:43.442Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.2,80,14,0.9,0.435,7.7152,23.0245,-31.7452,1.9258,0.2651,1.3447,2.0361,7.7263,-125.4467,-0.4456,-2.0129,50.0013,4.7819,3.0991,8.4,8.4,24,2665,119,NA,NA,NA,NA,NA,NA,TRUE,-35.9,0.6,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",6,"2023-04-29T23:01:12.244Z","2023-04-29T23:01:17.978Z",TRUE,"pitch","5aa2a562-f9f1-4432-a247-381c4f5ab915",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,1,NA,NA,3.37,1.65,NA,111.04,183.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,3,2,74,"bottom",9,"2023-04-29T22:59:25.471Z","2023-04-29T23:01:43.442Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.4,79.2,8,0.9,0.4383,7.7157,22.4606,-30.7133,2.3575,0.9226,0.1562,2.0417,4.7415,-124.449,-0.3317,-2.072,50.0034,4.6976,3.7374,8.4,8.4,24,2633,92,NA,NA,NA,NA,NA,NA,FALSE,-35.3,1.8,-5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",5,"2023-04-29T23:00:54.427Z","2023-04-29T23:00:59.109Z",TRUE,"pitch","802f7480-5b5f-4cad-bb0f-2312378e9d3f",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,1,NA,NA,3.2279,1.544,NA,174.63,164.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,3,2,74,"bottom",9,"2023-04-29T22:59:25.471Z","2023-04-29T23:01:43.442Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,80.8,11,0.89,0.4296,7.517,22.3289,-34.0364,5.2538,-1.1312,-1.5119,2.755,-0.0502,-126.7734,1.482,-2.1762,50.0009,4.8505,8.676,14.4,8.4,24,2778,130,NA,NA,NA,NA,NA,NA,FALSE,-37.2,-1.6,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",3,"2023-04-29T23:00:22.497Z","2023-04-29T23:00:27.214Z",TRUE,"pitch","1652284b-26bb-4b43-b322-d0fcc22f18b5",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,1,NA,NA,3.2001,1.5997,NA,134.31,186.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,3,2,74,"bottom",9,"2023-04-29T22:59:25.471Z","2023-04-29T23:01:43.442Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.5,79.3,7,0.88,0.4379,7.7492,22.9832,-33.6195,3.7411,-0.913,-0.4541,1.9226,3.2352,-124.6507,-0.2215,-2.2506,50.0015,4.7678,5.9376,10.8,8.4,24,2541,119,NA,NA,NA,NA,NA,NA,FALSE,-38.5,-1.4,-7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",2,"2023-04-29T23:00:08.566Z","2023-04-29T23:00:13.561Z",TRUE,"pitch","a82c86fd-7972-464f-8cec-3a2ae806a084",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.2558,1.5718,NA,167.17,164.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,3,2,74,"bottom",9,"2023-04-29T22:59:25.471Z","2023-04-29T23:01:43.442Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,81.3,11,0.9,0.4285,7.4557,20.8505,-30.9683,3.196,0.722,-1.3161,2.7527,1.0984,-126.8299,0.816,-2.1677,50.0005,4.8572,5.3145,9.6,7.2,24,2675,106,NA,NA,NA,NA,NA,NA,FALSE,-33.8,1.7,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718377,"2023-04-29",1,"2023-04-29T22:59:43.924Z","2023-04-29T22:59:47.888Z",TRUE,"pitch","0079d563-c1bb-4b22-aeec-ae5602d5cda1",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.37,1.65,NA,84.75,177.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Ryan Noda strikes out swinging.",0,3,2,74,"bottom",9,"2023-04-29T22:59:25.471Z","2023-04-29T23:01:43.442Z",TRUE,FALSE,FALSE,TRUE,14,3,3,2,676116,"Ryan Noda","/api/v1/people/676116","L","Left",664747,"Alexis Díaz","/api/v1/people/664747","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Cincinnati Reds",1,"Major League Baseball",NA,NA,104,"National League","Oakland Athletics","Cincinnati Reds",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.4,80,14,0.9,0.434,7.7737,23.1685,-31.8639,2.292,0.1931,0.846,2.2802,6.8703,-125.7246,0.205,-2.2092,50.0035,4.7632,3.7044,8.4,8.4,24,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,-35.8,0.6,-5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
