"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718477,"2023-04-22",0,"2023-04-22T22:58:07.541Z","2023-04-22T22:58:16.209Z",TRUE,"pitch","d3a01fd7-63b0-47b2-9a07-7819ebedd889",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,1,NA,NA,3.24,1.51,NA,111.88,179.44,"line_drive","medium","9",169.41,96.32,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Single","single","Randy Arozarena singles on a line drive to right fielder Adam Haseley. Vidal Brujan scores. Wander Franco to 2nd.",1,3,4,75,"bottom",10,"2023-04-22T22:58:04.094Z","2023-04-22T22:58:16.209Z",TRUE,TRUE,FALSE,FALSE,60,0,0,1,668227,"Randy Arozarena","/api/v1/people/668227","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90.6,83.2,5,2,0.4151,5.7186,28.1454,-24.7898,1.6205,4.1861,0.1344,2.1978,1.4709,-131.9722,-5.062,-0.6408,50.0019,5.9672,2.8572,7.2,6,24,2447,205,88.5,15,223,NA,NA,NA,FALSE,-26.5,6.7,-3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,668227,"Randy Arozarena","/api/v1/people/668227",NA,NA,NA,677551,"Wander Franco","/api/v1/people/677551"
718477,"2023-04-22",0,"2023-04-22T22:57:46.535Z","2023-04-22T22:57:46.590Z",FALSE,"no_pitch","07184776-0756-1003-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Intent Walk","intent_walk","Jimmy Lambert intentionally walks Wander Franco.",0,3,3,74,"bottom",10,"2023-04-22T22:57:42.309Z","2023-04-22T22:57:49.295Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,677551,"Wander Franco","/api/v1/people/677551","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718477,"2023-04-22",1,"2023-04-22T22:57:46.590Z","2023-04-22T22:57:46.592Z",FALSE,"no_pitch","07184776-0756-1013-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Intent Walk","intent_walk","Jimmy Lambert intentionally walks Wander Franco.",0,3,3,74,"bottom",10,"2023-04-22T22:57:42.309Z","2023-04-22T22:57:49.295Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,677551,"Wander Franco","/api/v1/people/677551","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718477,"2023-04-22",2,"2023-04-22T22:57:46.592Z","2023-04-22T22:57:47.592Z",FALSE,"no_pitch","07184776-0756-1023-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Intent Walk","intent_walk","Jimmy Lambert intentionally walks Wander Franco.",0,3,3,74,"bottom",10,"2023-04-22T22:57:42.309Z","2023-04-22T22:57:49.295Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,677551,"Wander Franco","/api/v1/people/677551","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718477,"2023-04-22",3,"2023-04-22T22:57:46.592Z","2023-04-22T22:57:49.295Z",FALSE,"no_pitch","07184776-0756-1033-000c-f08cd117d70a",0,"Automatic Ball - Intentional",NA,NA,NA,NA,FALSE,"VB",NA,FALSE,FALSE,TRUE,"VB","Automatic Ball - Intentional",4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Intent Walk","intent_walk","Jimmy Lambert intentionally walks Wander Franco.",0,3,3,74,"bottom",10,"2023-04-22T22:57:42.309Z","2023-04-22T22:57:49.295Z",TRUE,FALSE,FALSE,FALSE,0,4,0,1,677551,"Wander Franco","/api/v1/people/677551","L","Left",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_LHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox","true",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,677551,"Wander Franco","/api/v1/people/677551",NA,NA,NA,660644,"Vidal Bruján","/api/v1/people/660644"
718477,"2023-04-22",5,"2023-04-22T22:57:07.737Z","2023-04-22T22:57:17.557Z",TRUE,"pitch","a7594f1b-a9a8-4798-b582-2e6986d5b5d6",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,0,NA,NA,3.11,1.48,NA,106.5,169.4,"fly_ball","medium","7",88.49,113.92,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Isaac Paredes flies out to left fielder Andrew Benintendi.",0,3,3,73,"bottom",10,"2023-04-22T22:56:46.871Z","2023-04-22T22:57:17.557Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.2,80,5,0.8,0.4317,5.8642,26.6698,-29.2222,2.0191,1.8154,0.2754,2.5698,1.9672,-127.0112,-2.832,-0.7723,50.0051,6.0296,3.2905,7.2,7.2,24,2401,186,85.5,52,235,NA,NA,NA,TRUE,-33.1,2.9,-4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,660644,"Vidal Bruján","/api/v1/people/660644"
718477,"2023-04-22",4,"2023-04-22T22:56:49.094Z","2023-04-22T22:56:52.454Z",TRUE,"pitch","fffe71cf-8f71-422a-85cb-c9a8631c6494",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,0,NA,NA,3.1073,1.5752,NA,125.93,152.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Isaac Paredes flies out to left fielder Andrew Benintendi.",0,3,3,73,"bottom",10,"2023-04-22T22:56:46.871Z","2023-04-22T22:57:17.557Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,79.2,2,0.78,0.4338,5.6725,27.748,-28.3485,2.3339,2.3755,-0.2343,3.2038,0.9633,-126.6381,-1.3749,-0.9238,50.0032,6.0379,3.7614,8.4,7.2,24,2333,191,NA,NA,NA,NA,NA,NA,FALSE,-32.2,4.2,-4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718477,"2023-04-22",0,"2023-04-22T22:55:39.176Z","2023-04-22T22:55:39.216Z",FALSE,"action",NA,NA,"Oscar Colas remains in the game as the designated hitter.","Defensive Switch",3,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,693049,"/api/v1/people/693049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"defensive_switch",NA,"10","Designated Hitter","Hitter","DH","701","73","atBat","Flyout","field_out","Isaac Paredes flies out to left fielder Andrew Benintendi.",0,3,3,73,"bottom",10,"2023-04-22T22:56:46.871Z","2023-04-22T22:57:17.557Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,518735,"/api/v1/people/518735",NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718477,"2023-04-22",1,"2023-04-22T22:55:39.216Z","2023-04-22T22:56:00.986Z",FALSE,"action",NA,NA,"Pitching Change: Jimmy Lambert replaces Reynaldo Lopez.","Pitching Substitution",3,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,669424,"/api/v1/people/669424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"73","atBat","Flyout","field_out","Isaac Paredes flies out to left fielder Andrew Benintendi.",0,3,3,73,"bottom",10,"2023-04-22T22:56:46.871Z","2023-04-22T22:57:17.557Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718477,"2023-04-22",2,"2023-04-22T22:56:00.986Z","2023-04-22T22:56:15.432Z",FALSE,"action",NA,NA,"Francisco Mejia starts inning at 2nd base.","Runner Placed On Base",3,3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,642336,"/api/v1/people/642336",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"runner_placed",NA,NA,NA,NA,NA,NA,"73","atBat","Flyout","field_out","Isaac Paredes flies out to left fielder Andrew Benintendi.",0,3,3,73,"bottom",10,"2023-04-22T22:56:46.871Z","2023-04-22T22:57:17.557Z",TRUE,FALSE,FALSE,TRUE,0,0,1,1,670623,"Isaac Paredes","/api/v1/people/670623","R","Right",669424,"Jimmy Lambert","/api/v1/people/669424","R","Right","vs_RHP","vs_RHB","RISP",NA,"Tampa Bay Rays",1,"Major League Baseball",NA,NA,103,"American League","Chicago White Sox",1,"Major League Baseball",NA,NA,103,"American League","Tampa Bay Rays","Chicago White Sox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
