"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
718541,"2023-04-18",4,"2023-04-18T22:07:36.851Z","2023-04-18T22:07:42.289Z",TRUE,"pitch","278750e1-e029-4914-b389-aa01fb6d894d",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.34,1.59,NA,144.93,182.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Jose Ramirez strikes out swinging.",0,0,1,60,"top",9,"2023-04-18T22:06:16.825Z","2023-04-18T22:07:42.289Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608070,"José Ramírez","/api/v1/people/608070","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","true",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.4,83.2,7,0.92,0.4133,7.1729,30.3675,-26.6912,-9.171,3.0918,-0.7328,2.0889,6.659,-132.8722,-3.2686,-2.0888,50.0057,5.2898,-16.2842,28.8,7.2,24,1605,248,NA,NA,NA,NA,NA,NA,TRUE,-28,5,15,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",3,"2023-04-18T22:07:16.609Z","2023-04-18T22:07:23.141Z",TRUE,"pitch","0c8c7706-da3b-40fc-bc27-917c37ed974f",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.34,1.59,NA,155.19,158.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Jose Ramirez strikes out swinging.",0,0,1,60,"top",9,"2023-04-18T22:06:16.825Z","2023-04-18T22:07:42.289Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608070,"José Ramírez","/api/v1/people/608070","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.9,88.4,11,0.91,0.3889,6.9808,33.0728,-26.7622,-10.7244,2.6934,-1.0019,2.9806,6.3204,-141.0378,-2.0881,-1.8826,50.0017,5.4624,-21.5318,36,7.2,24,2171,227,NA,NA,NA,NA,NA,NA,FALSE,-24.6,4.7,18.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",2,"2023-04-18T22:07:01.742Z","2023-04-18T22:07:07.025Z",TRUE,"pitch","d7645ed4-c03e-4d79-bff1-d74232a8d3a2",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.3667,1.5905,NA,183.42,184.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Jose Ramirez strikes out swinging.",0,0,1,60,"top",9,"2023-04-18T22:06:16.825Z","2023-04-18T22:07:42.289Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608070,"José Ramírez","/api/v1/people/608070","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.5,89.6,13,0.91,0.3857,6.8448,31.6953,-24.1271,-10.8721,3.9384,-1.7425,2.0115,4.2559,-141.8874,-5.4074,-1.847,50.0065,5.4744,-22.2276,39.6,6,24,2102,226,NA,NA,NA,NA,NA,NA,FALSE,-22.4,6.2,18.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",1,"2023-04-18T22:06:44.345Z","2023-04-18T22:06:51.007Z",TRUE,"pitch","f5702af5-0449-4f0a-ae7a-998257b236a2",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3405,1.6166,NA,161.67,197.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Jose Ramirez strikes out swinging.",0,0,1,60,"top",9,"2023-04-18T22:06:16.825Z","2023-04-18T22:07:42.289Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608070,"José Ramírez","/api/v1/people/608070","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.7,84.3,13,2,0.4099,7.0583,27.9731,-20.484,-6.4402,6.4569,-1.1719,1.5408,4.3819,-133.4944,-5.8228,-1.9956,50.0017,5.2188,-11.656,26.4,6,24,1736,252,NA,NA,NA,NA,NA,NA,FALSE,-21.7,10.7,10.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",0,"2023-04-18T22:06:29.649Z","2023-04-18T22:06:34.734Z",TRUE,"pitch","ad12b531-a6ab-4646-ba6c-a497c980aa9b",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3929,1.5382,NA,122.69,189.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60","atBat","Strikeout","strikeout","Jose Ramirez strikes out swinging.",0,0,1,60,"top",9,"2023-04-18T22:06:16.825Z","2023-04-18T22:07:42.289Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,608070,"José Ramírez","/api/v1/people/608070","L","Left",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_LHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",91.6,84.6,8,0.79,0.4096,6.983,26.2186,-25.2786,-8.1915,3.7993,-0.1493,1.8336,7.5428,-133.2753,-4.291,-1.9396,50.0035,5.2705,-14.87,27.6,6,24,1593,243,NA,NA,NA,NA,NA,NA,FALSE,-26.2,6.2,13.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",5,"2023-04-18T22:05:56.046Z","2023-04-18T22:06:04.185Z",TRUE,"pitch","b8fe3c8f-f9fa-4552-a47f-e1add8ccbb46",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.34,1.55,NA,108.16,179.92,"ground_ball","medium","4",154.75,153.69,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Groundout","field_out","Myles Straw grounds out, second baseman Jonathan Schoop to first baseman Spencer Torkelson.",0,0,1,59,"top",9,"2023-04-18T22:04:36.444Z","2023-04-18T22:06:04.185Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,664702,"Myles Straw","/api/v1/people/664702","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.1,88.8,5,0.91,0.388,6.9441,32.1585,-23.3345,-10.281,4.3829,0.2318,2.1801,8.9102,-141.1565,-4.8562,-1.63,50.0059,5.4255,-20.749,37.2,6,24,2189,231,89.8,-19,6,NA,NA,NA,TRUE,-22,7.1,16.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",3,"2023-04-18T22:05:25.947Z","2023-04-18T22:05:30.050Z",TRUE,"pitch","9c2bba20-d5c7-44e2-99ea-8462b6a1e55d",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,1,NA,NA,3.3405,1.4982,NA,97.93,198.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Groundout","field_out","Myles Straw grounds out, second baseman Jonathan Schoop to first baseman Spencer Torkelson.",0,0,1,59,"top",9,"2023-04-18T22:04:36.444Z","2023-04-18T22:06:04.185Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,664702,"Myles Straw","/api/v1/people/664702","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,88.5,9,0.86,0.39,7.0564,32.2088,-21.6257,-9.7473,5.2808,0.5003,1.5037,9.3942,-140.5202,-6.911,-1.6217,50.0029,5.4027,-19.4694,37.2,6,24,2241,228,NA,NA,NA,NA,NA,NA,FALSE,-21.1,8.3,15.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",2,"2023-04-18T22:05:09.753Z","2023-04-18T22:05:18.640Z",TRUE,"pitch","1d0259f4-970e-469f-9c49-54d30eccf0b4",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.3667,1.5505,NA,79.24,166.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Groundout","field_out","Myles Straw grounds out, second baseman Jonathan Schoop to first baseman Spencer Torkelson.",0,0,1,59,"top",9,"2023-04-18T22:04:36.444Z","2023-04-18T22:06:04.185Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,664702,"Myles Straw","/api/v1/people/664702","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.6,89,12,0.91,0.3867,6.6734,33.068,-23.1821,-10.1059,4.4285,0.9906,2.6675,10.6881,-141.753,-3.7514,-1.5197,50.0031,5.4919,-20.5218,37.2,6,24,2161,232,NA,NA,NA,NA,NA,NA,FALSE,-21.5,7.4,16.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",1,"2023-04-18T22:04:52.957Z","2023-04-18T22:04:59.881Z",TRUE,"pitch","37ac0855-c143-447d-a07c-db49cc0e5375",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.2887,1.6554,NA,91.45,198.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Groundout","field_out","Myles Straw grounds out, second baseman Jonathan Schoop to first baseman Spencer Torkelson.",0,0,1,59,"top",9,"2023-04-18T22:04:36.444Z","2023-04-18T22:06:04.185Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,664702,"Myles Straw","/api/v1/people/664702","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.1,82.4,14,0.9,0.4217,6.9089,26.4064,-31.4909,1.7516,0.3976,0.6703,1.4812,5.3593,-129.7314,-4.5385,-1.6473,50.0015,5.6457,2.9932,7.2,7.2,24,2179,157,NA,NA,NA,NA,NA,NA,FALSE,-34.4,0,-4.3,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
718541,"2023-04-18",0,"2023-04-18T22:04:37.723Z","2023-04-18T22:04:43.205Z",TRUE,"pitch","f95539d0-8ad8-40c0-ab3a-7b7f3d832acf",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3144,1.5244,NA,139.34,192.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59","atBat","Groundout","field_out","Myles Straw grounds out, second baseman Jonathan Schoop to first baseman Spencer Torkelson.",0,0,1,59,"top",9,"2023-04-18T22:04:36.444Z","2023-04-18T22:06:04.185Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,664702,"Myles Straw","/api/v1/people/664702","R","Right",671345,"Jason Foley","/api/v1/people/671345","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians",1,"Major League Baseball",NA,NA,103,"American League","Cleveland Guardians","Detroit Tigers",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.9,88.5,7,0.9,0.3892,6.9851,32.7846,-24.7439,-9.7732,3.7115,-0.586,1.7087,7.2009,-140.8573,-5.5482,-1.9092,50.0061,5.3096,-19.5905,34.8,6,24,2141,232,NA,NA,NA,NA,NA,NA,FALSE,-23.5,5.8,16.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
