"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
718599,"2023-04-12",3,"2023-04-13T01:27:25.491Z","2023-04-13T01:27:29.193Z",TRUE,"pitch","a91424d9-40b8-406e-a2cf-78fd56cca28e",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,2,NA,NA,3.23,1.53,NA,89.91,192.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Austin Hays strikes out swinging.",0,8,4,79,"bottom",9,"2023-04-13T01:26:19.041Z","2023-04-13T01:27:29.193Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669720,"Austin Hays","/api/v1/people/669720","R","Right",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85.8,79.2,9,0.9,0.438,6.2006,24.2541,-31.0251,1.0752,0.7227,0.7107,1.7159,4.5847,-124.8791,-2.9542,-1.2857,50.0006,5.4563,1.7042,4.8,8.4,24,2174,82,NA,NA,NA,NA,NA,NA,TRUE,-36.1,0.8,-3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",2,"2023-04-13T01:27:09.826Z","2023-04-13T01:27:12.826Z",TRUE,"pitch","53da8cec-394c-4aa7-90b2-8f4eff29269f",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.3052,1.573,NA,63.36,213.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Austin Hays strikes out swinging.",0,8,4,79,"bottom",9,"2023-04-13T01:26:19.041Z","2023-04-13T01:27:29.193Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669720,"Austin Hays","/api/v1/people/669720","R","Right",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,78.5,14,0.9,0.4429,6.3827,24.3397,-30.3335,1.0988,1.1874,1.4072,0.954,6.1748,-123.6199,-4.6676,-1.2644,50.004,5.4094,1.7013,4.8,8.4,24,2109,86,NA,NA,NA,NA,NA,NA,FALSE,-36.6,1.3,-3.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",1,"2023-04-13T01:26:47.380Z","2023-04-13T01:26:50.380Z",TRUE,"pitch","a33f1586-f31a-4fd9-a5ee-288ec4c7af98",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.23,1.53,NA,98.12,182.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Austin Hays strikes out swinging.",0,8,4,79,"bottom",9,"2023-04-13T01:26:19.041Z","2023-04-13T01:27:29.193Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669720,"Austin Hays","/api/v1/people/669720","R","Right",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.8,77.8,6,0.91,0.444,6.1907,25.309,-29.5437,2.3846,1.7066,0.4952,2.0973,3.8967,-123.5044,-2.0609,-1.4146,50.0018,5.4348,3.6714,8.4,8.4,24,2207,98,NA,NA,NA,NA,NA,NA,FALSE,-35.2,2.9,-5.3,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",0,"2023-04-13T01:26:32.611Z","2023-04-13T01:26:35.849Z",TRUE,"pitch","c7b7e1b2-3356-40f4-8791-055ecec5a054",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.2584,1.5496,NA,96.26,175.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Strikeout","strikeout","Austin Hays strikes out swinging.",0,8,4,79,"bottom",9,"2023-04-13T01:26:19.041Z","2023-04-13T01:27:29.193Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,669720,"Austin Hays","/api/v1/people/669720","R","Right",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.9,77.4,6,0.91,0.4447,6.1429,26.7802,-29.5067,0.4695,1.7427,0.5441,2.3534,4.7247,-123.5952,-1.551,-1.4609,50.0036,5.4888,0.7198,3.6,8.4,24,2157,110,NA,NA,NA,NA,NA,NA,FALSE,-35.2,3,-2,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",3,"2023-04-13T01:25:56.830Z","2023-04-13T01:26:04.627Z",TRUE,"pitch","e6006c36-fdf2-4d07-b55c-6c4ebc91affb",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.29,1.57,NA,155.25,183.33,"line_drive","medium","7",55.62,82.1,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Cedric Mullins lines out to left fielder Tony Kemp.",0,8,4,78,"bottom",9,"2023-04-13T01:24:57.701Z","2023-04-13T01:26:04.627Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,656775,"Cedric Mullins","/api/v1/people/656775","L","Left",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.6,77.4,13,0.91,0.4453,5.9904,25.7552,-29.6433,2.6721,1.6524,-1.0035,2.0537,1.0366,-123.2652,-1.8903,-1.7773,50.0026,5.3466,4.0889,8.4,8.4,24,2248,90,97.3,20,338,NA,NA,NA,TRUE,-35.5,2.8,-5,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",2,"2023-04-13T01:25:40.946Z","2023-04-13T01:25:44.874Z",TRUE,"pitch","330de0ea-bfc9-40fb-bac7-654181f12520",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.3052,1.5964,NA,97.54,137.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Cedric Mullins lines out to left fielder Tony Kemp.",0,8,4,78,"bottom",9,"2023-04-13T01:24:57.701Z","2023-04-13T01:26:04.627Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,656775,"Cedric Mullins","/api/v1/people/656775","L","Left",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.8,88.5,12,0.9,0.3889,6.042,31.6139,-22.9778,-9.8026,4.5753,0.5105,3.7401,8.6188,-140.7784,-0.9734,-1.3154,50.002,5.5762,-19.6978,37.2,6,24,2091,231,NA,NA,NA,NA,NA,NA,FALSE,-20.9,8.3,16,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",1,"2023-04-13T01:25:20.044Z","2023-04-13T01:25:23.486Z",TRUE,"pitch","cf2c2635-7f53-41c0-9658-3f5abe52ab37",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.29,1.57,NA,136.3,174.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Cedric Mullins lines out to left fielder Tony Kemp.",0,8,4,78,"bottom",9,"2023-04-13T01:24:57.701Z","2023-04-13T01:26:04.627Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,656775,"Cedric Mullins","/api/v1/people/656775","L","Left",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",89.2,81.7,4,2,0.4221,6.1729,27.2266,-23.5591,-9.1759,5.0541,-0.5063,2.3802,5.448,-129.7774,-3.3793,-1.4409,50.0055,5.4943,-15.65,31.2,7.2,24,1677,231,NA,NA,NA,NA,NA,NA,FALSE,-25.8,8.6,15.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",0,"2023-04-13T01:25:05.508Z","2023-04-13T01:25:10.665Z",TRUE,"pitch","13885daf-ddd6-484f-9012-85a304a2da13",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.3052,1.5496,NA,116.45,176.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Lineout","field_out","Cedric Mullins lines out to left fielder Tony Kemp.",0,8,4,78,"bottom",9,"2023-04-13T01:24:57.701Z","2023-04-13T01:26:04.627Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,656775,"Cedric Mullins","/api/v1/people/656775","L","Left",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.2,77.3,5,0.9,0.447,6.0048,24.507,-29.4764,1.2935,1.7785,0.0144,2.3146,3.4228,-122.6009,-1.4312,-1.5686,50.006,5.4244,1.9669,4.8,8.4,24,2263,95,NA,NA,NA,NA,NA,NA,FALSE,-35.4,3.1,-3.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",4,"2023-04-13T01:24:31.127Z","2023-04-13T01:24:42.378Z",TRUE,"pitch","118f7a11-b758-486d-a9c1-e50199b559e3",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,1,0,NA,NA,3.05,1.45,NA,119.94,179.02,"fly_ball","medium","8",151.12,60.69,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Adam Frazier flies out to center fielder Esteury Ruiz.",0,8,4,77,"bottom",9,"2023-04-13T01:23:17.303Z","2023-04-13T01:24:42.378Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,624428,"Adam Frazier","/api/v1/people/624428","L","Left",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",94.8,86.5,5,0.9,0.3979,6.2886,31.4227,-21.6305,-10.6745,5.5017,-0.0772,2.2135,6.7684,-137.7888,-4.8952,-1.1821,50.0058,5.4803,-20.4711,39.6,6,24,2207,228,97.2,38,350,NA,NA,NA,TRUE,-21.5,9.1,17.9,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718599,"2023-04-12",3,"2023-04-13T01:24:14.722Z","2023-04-13T01:24:18.693Z",TRUE,"pitch","f773771e-9880-4781-8128-6318f2a618e7",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,1,0,NA,NA,2.9542,1.3624,NA,84.42,175.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Flyout","field_out","Adam Frazier flies out to center fielder Esteury Ruiz.",0,8,4,77,"bottom",9,"2023-04-13T01:23:17.303Z","2023-04-13T01:24:42.378Z",TRUE,FALSE,FALSE,TRUE,0,3,1,1,624428,"Adam Frazier","/api/v1/people/624428","L","Left",663385,"Chad Smith","/api/v1/people/663385","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.9,85.6,12,0.9,0.4022,6.2181,30.8028,-22.2364,-11.4951,5.2954,0.8548,2.3388,9.3786,-136.3426,-4.2808,-1.1412,50.0033,5.4694,-21.5786,39.6,6,24,2217,223,NA,NA,NA,NA,NA,NA,FALSE,-22.4,8.8,18.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
