"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
718688,"2023-04-07",8,"2023-04-07T22:17:10.759Z","2023-04-07T22:17:20.192Z",TRUE,"pitch","7461588e-5ecf-452f-a8c5-f000f5093144",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,2,NA,NA,3.69,1.74,NA,157.1,151.49,"fly_ball","medium","7",77.97,134.87,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.6,90.1,11,2,0.382,6.5905,33.5227,-4.9533,-4.6222,13.0735,-1.052,3.233,-0.2023,-143.4568,-8.8622,-0.3802,50.0016,6.6727,-9.622,54,2.4,24,2371,188,85.5,58,203,NA,NA,NA,TRUE,-6.1,22.1,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",7,"2023-04-07T22:16:40.768Z","2023-04-07T22:16:44.702Z",TRUE,"pitch","5b860989-01a7-4f4a-a252-539c0acbfbfc",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.69,1.74,NA,101.79,162.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.9,91.4,6,2,0.3771,6.6468,33.5416,-5.0163,-5.3121,12.7037,0.3989,2.8247,3.8333,-145.1886,-10.198,-0.2473,50.0052,6.6857,-11.3586,55.2,2.4,24,2313,184,NA,NA,NA,NA,NA,NA,FALSE,-6.2,21.1,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",6,"2023-04-07T22:16:18.646Z","2023-04-07T22:16:21.935Z",TRUE,"pitch","d1c7cbb9-e22b-4631-adcf-2f695539be11",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,2,NA,NA,3.5553,1.6822,NA,138.13,115.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",100.7,91.9,11,2,0.3738,6.6363,34.9548,-7.4024,-4.2018,11.3904,-0.5544,4.5616,1.1143,-146.5986,-5.2946,-0.3938,50.0007,6.8339,-9.1354,45.6,2.4,24,2475,190,NA,NA,NA,NA,NA,NA,FALSE,-7.2,19.8,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",4,"2023-04-07T22:15:45.186Z","2023-04-07T22:15:49.313Z",TRUE,"pitch","6fdbafd2-9a39-43db-95ad-0f6d207828eb",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.4617,1.6588,NA,128.68,279.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.2,82.7,13,0.9,0.4239,6.7504,25.873,-21.3602,-3.4051,6.3934,-0.3063,-1.5224,2.0908,-129.0162,-15.9351,-0.6832,50.0055,6.3654,-5.7634,12,6,24,1032,236,NA,NA,NA,NA,NA,NA,FALSE,-26.3,8.4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",2,"2023-04-07T22:15:14.624Z","2023-04-07T22:15:20.639Z",TRUE,"pitch","ec7728ba-aa6d-4f50-ad4e-784901e76c5f",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,2,NA,NA,3.5553,1.6822,NA,164.02,230.33,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89,82,13,0.9,0.424,6.6162,26.9862,-22.2231,-3.1566,5.8878,-1.2336,0.313,-0.1728,-129.2041,-11.35,-0.7557,50.0038,6.4715,-5.3355,12,6,24,1282,217,NA,NA,NA,NA,NA,NA,FALSE,-26.4,8.4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",1,"2023-04-07T22:14:52.814Z","2023-04-07T22:14:56.426Z",TRUE,"pitch","cc6a4c28-f16c-45ae-941a-188112a501fe",2,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",0,2,2,NA,NA,3.69,1.74,NA,116.62,214.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.7,82.4,14,0.9,0.421,6.7477,28.096,-23.1287,-2.4094,5.2799,0.01,0.9039,2.2663,-130.2539,-10.0337,-0.5595,50.0048,6.5639,-4.1288,8.4,6,24,964,229,NA,NA,NA,NA,NA,NA,FALSE,-26.8,7.4,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",0,"2023-04-07T22:14:35.082Z","2023-04-07T22:14:38.600Z",TRUE,"pitch","78548518-6ca1-47a3-bb53-186350960dcb",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.6724,1.7382,NA,109.47,152.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.9,90.6,2,2,0.3784,6.5967,36.229,-3.4141,-3.5961,13.5719,0.1975,3.2005,2.1691,-145.1622,-9.3794,-0.0949,50.005,6.6925,-7.6211,50.4,1.2,24,2489,182,NA,NA,NA,NA,NA,NA,FALSE,-4.9,22.7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",3,"2023-04-07T22:15:28.896Z","2023-04-07T22:15:45.186Z",FALSE,"action",NA,NA,"Aaron Judge steals (2) 2nd base.","Stolen Base 2B",6,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,592450,"/api/v1/people/592450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ec7728ba-aa6d-4f50-ad4e-784901e76c5f","stolen_base_2b",NA,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",5,"2023-04-07T22:15:59.380Z","2023-04-07T22:16:18.646Z",FALSE,"action",NA,NA,"Wild pitch by pitcher Felix Bautista. Aaron Judge to 3rd.","Wild Pitch",6,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,592450,"/api/v1/people/592450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6fdbafd2-9a39-43db-95ad-0f6d207828eb","wild_pitch",NA,NA,NA,NA,NA,NA,"79","atBat","Flyout","field_out","Anthony Rizzo flies out to left fielder Austin Hays.",0,6,7,79,"top",9,"2023-04-07T22:14:18.964Z","2023-04-07T22:17:20.192Z",TRUE,FALSE,FALSE,TRUE,0,3,2,3,519203,"Anthony Rizzo","/api/v1/people/519203","L","Left",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
718688,"2023-04-07",3,"2023-04-07T22:14:02.391Z","2023-04-07T22:14:06.399Z",TRUE,"pitch","4bd2f8e5-50a1-4f7f-88c6-b32847444c09",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",4,0,2,NA,NA,3.6958,1.7291,NA,74.01,222.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Walk","walk","Aaron Judge walks.",0,6,7,78,"top",9,"2023-04-07T22:12:48.393Z","2023-04-07T22:14:06.399Z",TRUE,FALSE,FALSE,FALSE,0,4,0,2,592450,"Aaron Judge","/api/v1/people/592450","R","Right",642585,"Félix Bautista","/api/v1/people/642585","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Baltimore Orioles","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",86.8,79.8,14,0.9,0.4353,6.7399,25.6899,-19.283,-2.6645,8.0385,1.1279,0.5941,5.0354,-125.8648,-11.0378,-0.553,50.0036,6.5999,-4.2733,8.4,6,24,994,216,NA,NA,NA,NA,NA,NA,FALSE,-24.4,12.2,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,592450,"Aaron Judge","/api/v1/people/592450",NA,NA,NA,NA,NA,NA
