"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
745276,"2024-03-30",5,"2024-03-30T04:04:47.955Z","2024-03-30T04:04:50.974Z",TRUE,"pitch","b282a611-bdf6-48ad-9939-93a5c63eb879",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.35,1.63,NA,111.31,189.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Pablo Reyes strikes out swinging.",0,0,1,63,"top",9,"2024-03-30T04:03:25.673Z","2024-03-30T04:04:50.974Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99,90.9,8,0.9,0.3806,7.039,31.8995,-32.4352,-10.9949,-0.1233,0.1492,1.8158,12.1821,-143.6729,-2.6718,-2.7084,50.0041,4.7645,-23.0905,32.4,7.2,24,1898,235,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,-28.6,-0.6,17.6,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",4,"2024-03-30T04:04:32.051Z","2024-03-30T04:04:35.077Z",TRUE,"pitch","d151c632-f4cb-4ef4-a261-83290a2e8cf0",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.3442,1.6412,NA,123.34,124.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Pablo Reyes strikes out swinging.",0,0,1,63,"top",9,"2024-03-30T04:03:25.673Z","2024-03-30T04:04:50.974Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.1,91,11,0.9,0.3789,6.4479,30.8713,-21.6777,-7.2737,4.9543,-0.1663,4.2229,9.7123,-144.0843,1.1325,-2.6228,50.0071,5.1564,-15.4248,32.4,4.8,24,2006,245,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-18.4,9.4,11.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",2,"2024-03-30T04:04:09.652Z","2024-03-30T04:04:13.585Z",TRUE,"pitch","5a01fba5-e786-4a80-afe2-f4c87acb04cd",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,2,NA,NA,3.3441,1.5877,NA,101.34,193.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Pablo Reyes strikes out swinging.",0,0,1,63,"top",9,"2024-03-30T04:03:25.673Z","2024-03-30T04:04:50.974Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.2,91.4,9,0.9,0.3793,6.996,30.3046,-29.2909,-12.4483,1.3636,0.4109,1.6939,13.539,-143.8745,-3.7792,-2.7165,50.0063,4.8198,-26.361,38.4,7.2,24,1946,119,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-25.9,1.9,20.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",1,"2024-03-30T04:03:51.612Z","2024-03-30T04:03:54.758Z",TRUE,"pitch","2ff7e92c-4356-4e17-9303-99f5df091714",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,2,NA,NA,3.35,1.63,NA,129.74,196.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Pablo Reyes strikes out swinging.",0,0,1,63,"top",9,"2024-03-30T04:03:25.673Z","2024-03-30T04:04:50.974Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.8,90.2,7,0.9,0.3841,6.5816,29.5816,-27.3359,-12.0677,2.3459,-0.3342,1.5692,10.4043,-142.0884,-4.5335,-2.4579,50.0071,4.9021,-24.9227,38.4,7.2,24,1978,238,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-25,3.6,20,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",0,"2024-03-30T04:03:37.932Z","2024-03-30T04:03:41.358Z",TRUE,"pitch","8f5c1e1f-2156-4be5-b2c2-45da8257291a",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4797,1.6918,NA,170.94,197.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Pablo Reyes strikes out swinging.",0,0,1,63,"top",9,"2024-03-30T04:03:25.673Z","2024-03-30T04:04:50.974Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.6,90.7,13,0.9,0.3811,6.8163,31.4935,-28.9885,-10.9621,1.5226,-1.4151,1.5372,8.257,-143.41,-4.0404,-2.8996,50.0044,4.7613,-22.9584,36,7.2,24,1950,240,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-25.9,2.2,18.4,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",3,"2024-03-30T04:04:24.310Z","2024-03-30T04:04:32.051Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,622569,"/api/v1/people/622569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"63","atBat","Strikeout","strikeout","Pablo Reyes strikes out swinging.",0,0,1,63,"top",9,"2024-03-30T04:03:25.673Z","2024-03-30T04:04:50.974Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622569,"Pablo Reyes","/api/v1/people/622569","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",3,"2024-03-30T04:03:10.454Z","2024-03-30T04:03:13.454Z",TRUE,"pitch","042784cf-45d8-4e6b-bf5b-52b24f40c83b",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,1,NA,NA,3.29,1.54,NA,130.83,176.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,1,62,"top",9,"2024-03-30T04:02:17.750Z","2024-03-30T04:03:13.454Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.1,91.2,4,0.9,0.3793,6.7392,30.86,-28.4367,-13.9282,1.7667,-0.3629,2.3173,11.8582,-143.9705,-2.1158,-2.7088,50.004,4.8073,-29.4808,43.2,7.2,24,1971,242,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,-24.8,3,23.2,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",1,"2024-03-30T04:02:45.908Z","2024-03-30T04:02:48.908Z",TRUE,"pitch","b31ebf6c-eb00-4660-8329-f70b2f8a7089",2,"Foul Tip",NA,NA,NA,NA,FALSE,"T","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"T","Foul Tip",0,2,1,NA,NA,3.29,1.54,NA,138.6,183.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,1,62,"top",9,"2024-03-30T04:02:17.750Z","2024-03-30T04:03:13.454Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.6,90.5,7,0.9,0.3816,6.5583,31.629,-26.2207,-13.097,2.8499,-0.5667,2.0549,10.5625,-143.2771,-3.3203,-2.5907,50.0018,4.8585,-27.3577,43.2,7.2,24,1979,240,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-23.4,4.7,21.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",0,"2024-03-30T04:02:32.412Z","2024-03-30T04:02:35.412Z",TRUE,"pitch","1f71d3ad-d7c2-488c-b01c-cae17488652b",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.29,1.54,NA,131.33,187.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,1,62,"top",9,"2024-03-30T04:02:17.750Z","2024-03-30T04:03:13.454Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.8,90.7,7,0.9,0.381,6.8318,31.7123,-26.8194,-13.3477,2.5542,-0.3761,1.9087,11.7355,-143.4878,-3.7129,-2.7752,50.0016,4.8812,-27.9643,43.2,7.2,24,2061,240,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,-24,4.1,22,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745276,"2024-03-30",2,"2024-03-30T04:02:57.442Z","2024-03-30T04:03:10.454Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",0,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,2,1,678882,"/api/v1/people/678882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"62","atBat","Strikeout","strikeout","Ceddanne Rafaela strikes out swinging.",0,0,1,62,"top",9,"2024-03-30T04:02:17.750Z","2024-03-30T04:03:13.454Z",TRUE,FALSE,FALSE,TRUE,14,0,3,2,678882,"Ceddanne Rafaela","/api/v1/people/678882","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox",1,"Major League Baseball",NA,NA,103,"American League","Boston Red Sox","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
