"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745341,"2024-05-16",3,"2024-05-16T04:08:16.232Z","2024-05-16T04:08:23.741Z",TRUE,"pitch","6488a002-2832-4c91-a14e-ecf82c21bc46",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.67,1.82,NA,110.8,184.74,"ground_ball","medium","4",149.63,147.83,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Freddie Freeman grounds out, second baseman Thairo Estrada to first baseman LaMonte Wade Jr.",0,1,4,72,"top",9,"2024-05-16T04:07:10.436Z","2024-05-16T04:08:23.741Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,518692,"Freddie Freeman","/api/v1/people/518692","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",98.7,91.3,8,0.9,0.3795,6.3264,30.0822,-19.3696,-2.8451,6.0541,0.1626,2.0014,4.8615,-143.7447,-6.5029,-1.1729,50.0022,5.4756,-6.0164,13.2,3.6,24,2336,219,96.7,-7,15,NA,NA,NA,TRUE,-17.9,10,4.3,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745341,"2024-05-16",2,"2024-05-16T04:07:55.673Z","2024-05-16T04:07:59.243Z",TRUE,"pitch","6cf6e6e3-d620-4bef-a45b-5f136b181eae",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.7899,1.8384,NA,169.31,173.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Freddie Freeman grounds out, second baseman Thairo Estrada to first baseman LaMonte Wade Jr.",0,1,4,72,"top",9,"2024-05-16T04:07:10.436Z","2024-05-16T04:08:23.741Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,518692,"Freddie Freeman","/api/v1/people/518692","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",90,83.2,13,0.89,0.4165,6.3208,25.9143,-30.4033,1.805,1.008,-1.3723,2.4187,-0.4921,-131.1639,-2.7848,-1.4176,50.0032,5.745,3.167,6,7.2,24,2419,73,NA,NA,NA,NA,NA,NA,FALSE,-32,1.4,-3.1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745341,"2024-05-16",1,"2024-05-16T04:07:37.120Z","2024-05-16T04:07:40.612Z",TRUE,"pitch","b8c1f00a-13cc-4bd4-9477-edb3fe8cdbac",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.7588,1.7883,NA,174.37,160.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Freddie Freeman grounds out, second baseman Thairo Estrada to first baseman LaMonte Wade Jr.",0,1,4,72,"top",9,"2024-05-16T04:07:10.436Z","2024-05-16T04:08:23.741Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,518692,"Freddie Freeman","/api/v1/people/518692","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.5,91.7,11,0.91,0.3789,6.5377,28.1407,-31.4349,-6.669,0.3496,-1.5051,2.8947,2.2805,-143.6699,-2.0316,-1.4348,50.0059,5.5335,-14.1732,22.8,6,24,2327,229,NA,NA,NA,NA,NA,NA,FALSE,-27.2,0.5,11.8,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745341,"2024-05-16",0,"2024-05-16T04:07:16.581Z","2024-05-16T04:07:20.481Z",TRUE,"pitch","99b19c4b-22c5-4761-b515-1074cd6367f3",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.67,1.82,NA,108.67,149.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Groundout","field_out","Freddie Freeman grounds out, second baseman Thairo Estrada to first baseman LaMonte Wade Jr.",0,1,4,72,"top",9,"2024-05-16T04:07:10.436Z","2024-05-16T04:08:23.741Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,518692,"Freddie Freeman","/api/v1/people/518692","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","Empty",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",100.9,92.8,2,0.9,0.3719,6.5436,32.4104,-18.2389,-4.5524,6.3334,0.2185,3.3093,6.6122,-146.86,-3.0952,-1.4631,50.0025,5.4519,-10.0167,24,3.6,24,2472,219,NA,NA,NA,NA,NA,NA,FALSE,-15.6,11,7.1,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745341,"2024-05-16",4,"2024-05-16T04:06:32.545Z","2024-05-16T04:06:42.090Z",TRUE,"pitch","f83cf986-2f2b-464d-bd6d-1e8d6d9108ca",5,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",2,2,2,NA,NA,3.57,1.65,NA,139.2,185.67,"line_drive","medium","7",66.66,115.27,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Shohei Ohtani singles on a line drive to left fielder Heliot Ramos. Mookie Betts to 2nd.",0,1,4,71,"top",9,"2024-05-16T04:05:11.606Z","2024-05-16T04:06:42.090Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","true",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",101,92.7,7,0.9,0.3722,6.3785,34.086,-18.1388,-3.918,6.3951,-0.5825,1.967,3.7216,-147.0411,-7.0917,-1.354,50.0028,5.4817,-8.5999,21.6,3.6,24,2360,225,95.7,13,257,NA,NA,NA,FALSE,-16.3,10.4,6.4,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,660271,"Shohei Ohtani","/api/v1/people/660271",605141,"Mookie Betts","/api/v1/people/605141",NA,NA,NA
745341,"2024-05-16",3,"2024-05-16T04:06:13.734Z","2024-05-16T04:06:17.911Z",TRUE,"pitch","88f89a15-cfc6-4cc0-ab56-c314d5c581d6",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,2,2,NA,NA,3.6522,1.6705,NA,140.13,178.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Shohei Ohtani singles on a line drive to left fielder Heliot Ramos. Mookie Betts to 2nd.",0,1,4,71,"top",9,"2024-05-16T04:05:11.606Z","2024-05-16T04:06:42.090Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",100.3,92.3,7,0.9,0.3743,6.3492,32.372,-18.8149,-5.5715,6.152,-0.6069,2.218,4.4021,-145.9762,-5.9907,-1.4059,50.0034,5.4184,-12.099,28.8,4.8,24,2412,224,NA,NA,NA,NA,NA,NA,FALSE,-16.8,10.2,9.2,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,660271,"Shohei Ohtani","/api/v1/people/660271",NA,NA,NA,NA,NA,NA
745341,"2024-05-16",2,"2024-05-16T04:05:55.253Z","2024-05-16T04:05:59.251Z",TRUE,"pitch","1086a003-dcf4-428a-b9b2-a20ce34f369e",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.7549,1.6701,NA,154.41,197.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Shohei Ohtani singles on a line drive to left fielder Heliot Ramos. Mookie Betts to 2nd.",0,1,4,71,"top",9,"2024-05-16T04:05:11.606Z","2024-05-16T04:06:42.090Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.7,83.7,13,0.9,0.4168,6.2863,24.0618,-33.8256,2.8687,-0.9414,-0.9813,1.5224,0.3406,-130.7508,-4.0059,-1.4861,50.0027,5.5756,5.0341,8.4,8.4,24,2384,69,NA,NA,NA,NA,NA,NA,FALSE,-35.8,-2.3,-5.3,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,660271,"Shohei Ohtani","/api/v1/people/660271",NA,NA,NA,NA,NA,NA
745341,"2024-05-16",1,"2024-05-16T04:05:39.201Z","2024-05-16T04:05:42.634Z",TRUE,"pitch","c3fce148-5d1a-4198-be50-67ca05524fbf",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.6876,1.7206,NA,156.03,138.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Shohei Ohtani singles on a line drive to left fielder Heliot Ramos. Mookie Betts to 2nd.",0,1,4,71,"top",9,"2024-05-16T04:05:11.606Z","2024-05-16T04:06:42.090Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99,91,11,0.9,0.3789,6.3409,31.7358,-24.7112,-6.4335,3.5227,-1.0238,3.7035,3.7578,-144.2423,-0.7693,-1.5037,50.0036,5.4894,-13.6356,27.6,4.8,24,2322,224,NA,NA,NA,NA,NA,NA,FALSE,-21.2,6.4,10.9,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,660271,"Shohei Ohtani","/api/v1/people/660271",NA,NA,NA,NA,NA,NA
745341,"2024-05-16",0,"2024-05-16T04:05:22.407Z","2024-05-16T04:05:26.847Z",TRUE,"pitch","bb1de4f1-d53b-4c5c-9828-84df3a8c7bde",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.6102,1.6143,NA,133.17,143.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Single","single","Shohei Ohtani singles on a line drive to left fielder Heliot Ramos. Mookie Betts to 2nd.",0,1,4,71,"top",9,"2024-05-16T04:05:11.606Z","2024-05-16T04:06:42.090Z",TRUE,FALSE,FALSE,FALSE,33,2,2,2,660271,"Shohei Ohtani","/api/v1/people/660271","L","Left",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_LHB","RISP",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","false",NA,"rgba(152, 0, 101, 1.0)","FC","Cutter",99.5,91.6,1,0.91,0.3766,6.4325,31.5738,-21.3039,-2.6359,5.0676,-0.4242,3.5142,4.1868,-145.0187,-2.1118,-1.5393,50.0035,5.5412,-5.6558,12,4.8,24,2359,216,NA,NA,NA,NA,NA,NA,FALSE,-18.4,9,4,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,660271,"Shohei Ohtani","/api/v1/people/660271",NA,NA,NA,NA,NA,NA
745341,"2024-05-16",6,"2024-05-16T04:04:54.964Z","2024-05-16T04:04:59.403Z",TRUE,"pitch","46ab98cf-5b61-4cb9-b85a-b3eaa4f2b4a2",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.2562,1.4851,NA,163,148.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Walk","walk","Mookie Betts walks.",0,1,4,70,"top",9,"2024-05-16T04:02:49.051Z","2024-05-16T04:04:59.403Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,605141,"Mookie Betts","/api/v1/people/605141","R","Right",666808,"Camilo Doval","/api/v1/people/666808","R","Right","vs_RHP","vs_RHB","Men_On",NA,"San Francisco Giants",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Dodgers","San Francisco Giants","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",97.7,89.9,11,0.89,0.3839,6.391,30.5521,-24.8028,-5.4266,3.5703,-1.2067,3.3487,3.0288,-142.2952,-1.5345,-1.576,50.0022,5.4559,-11.2043,22.8,4.8,24,2332,215,NA,NA,NA,NA,NA,NA,FALSE,-22.1,6.4,9.2,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,605141,"Mookie Betts","/api/v1/people/605141",NA,NA,NA,NA,NA,NA
