"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
745586,"2024-05-07",8,"2024-05-08T01:17:41.024Z","2024-05-08T01:17:49.468Z",TRUE,"pitch","950e1fbc-5d32-40e2-9801-9ffbd608cb12",7,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.25,1.63,NA,140.31,186.37,"ground_ball","medium","4",144.47,149.66,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.7,85.7,7,0.92,0.4045,6.5129,27.0967,-22.4419,0.9651,5.2299,-0.6115,1.9413,1.7838,-134.9964,-5.1801,-1.4042,50.0046,5.4474,1.7958,4.8,4.8,24,2522,204,102.2,-5,19,NA,NA,NA,TRUE,-22.9,8.6,-2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",7,"2024-05-08T01:17:16.121Z","2024-05-08T01:17:19.908Z",TRUE,"pitch","2b1307a8-9adf-4794-a365-a781c838ffe7",6,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,2,1,NA,NA,3.3245,1.6377,NA,129.72,221.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",84.1,77.3,13,2,0.4485,6.1991,25.3399,-30.7071,6.5509,0.9688,-0.3338,0.6333,1.2848,-122.3668,-4.8522,-1.717,50.0008,5.2887,9.8798,18,8.4,24,2693,78,NA,NA,NA,NA,NA,NA,FALSE,-38,0.8,-12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",5,"2024-05-08T01:16:39.834Z","2024-05-08T01:16:43.480Z",TRUE,"pitch","fb0a999d-5b2d-4173-a30a-18c52aa79f00",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,1,NA,NA,3.3398,1.6402,NA,192.92,144.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.4,85.1,11,0.91,0.4056,6.3618,27.5101,-24.2165,0.761,4.3042,-1.9917,3.4786,-0.72,-134.7011,-0.9191,-1.8206,50.0054,5.5266,1.4076,2.4,4.8,24,2647,207,NA,NA,NA,NA,NA,NA,FALSE,-24,7.8,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",4,"2024-05-08T01:16:14.608Z","2024-05-08T01:16:18.465Z",TRUE,"pitch","d4619e2c-fbe7-4471-90fb-66f169d416a1",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.25,1.63,NA,88.17,200.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",80,73.2,14,0.88,0.4738,6.3459,25.1904,-41.3275,7.8242,-6.7879,0.7562,1.433,2.6832,-116.352,-1.0829,-1.4338,50.004,5.8786,10.5499,14.4,13.2,24,2824,43,NA,NA,NA,NA,NA,NA,FALSE,-55.6,-12.2,-14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",3,"2024-05-08T01:15:50.427Z","2024-05-08T01:15:56.162Z",TRUE,"pitch","fc058997-aa39-42d5-8678-4e47a0b3d5d2",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,1,NA,NA,3.25,1.63,NA,87.19,169.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",85.2,77.7,6,2,0.4432,6.5935,27.2134,-26.3903,7.0441,3.7513,0.7821,2.5815,3.7581,-124.0806,-1.5125,-1.6724,50.0048,5.4196,10.8724,24,7.2,24,2817,77,NA,NA,NA,NA,NA,NA,FALSE,-31.3,6.6,-13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",2,"2024-05-08T01:15:29.795Z","2024-05-08T01:15:32.981Z",TRUE,"pitch","46558141-6344-4484-b229-e8f7ec6ea36d",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.3508,1.6348,NA,112.15,191.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.5,76.2,8,2,0.4527,6.0392,26.538,-27.1491,9.3981,3.3985,0.1271,1.7557,1.6386,-121.5685,-3.4275,-1.7776,50.0029,5.5719,13.895,26.4,8.4,24,2701,75,NA,NA,NA,NA,NA,NA,FALSE,-34.1,5.5,-17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",1,"2024-05-08T01:15:05.487Z","2024-05-08T01:15:10.958Z",TRUE,"pitch","e7c1b2f3-49c1-482c-88c5-d6f4572c8025",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,1,NA,NA,3.25,1.63,NA,123.76,169.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.1,84.6,5,0.91,0.4081,6.4873,28.4027,-21.4686,-0.5466,5.8626,-0.1772,2.5575,3.3586,-134.1127,-3.8987,-1.3736,50.0022,5.5572,-0.9987,1.2,4.8,24,2438,211,NA,NA,NA,NA,NA,NA,FALSE,-22.1,10,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",0,"2024-05-08T01:14:32.884Z","2024-05-08T01:15:05.487Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Daniel Vogelbach replaces Danny Jansen.","Offensive Substitution",1,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,596129,"/api/v1/people/596129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","601","71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,643376,"/api/v1/people/643376",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",6,"2024-05-08T01:16:57.557Z","2024-05-08T01:17:16.121Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",1,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,1,596129,"/api/v1/people/596129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"71","atBat","Grounded Into DP","grounded_into_double_play","Daniel Vogelbach grounds into a double play, second baseman Bryson Stott to shortstop Edmundo Sosa to first baseman Bryce Harper. Davis Schneider out at 2nd. Daniel Vogelbach out at 1st.",0,1,10,71,"top",9,"2024-05-08T01:15:03.145Z","2024-05-08T01:17:49.468Z",TRUE,FALSE,FALSE,TRUE,24,2,2,3,596129,"Daniel Vogelbach","/api/v1/people/596129","L","Left",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_LHB","Empty",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745586,"2024-05-07",6,"2024-05-08T01:14:19.858Z","2024-05-08T01:14:24.036Z",TRUE,"pitch","80379318-d66b-4508-8c70-cb3bd996ad1d",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,1,NA,NA,3.2231,1.5763,NA,161.35,177.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Walk","walk","Davis Schneider walks.",0,1,10,70,"top",9,"2024-05-08T01:12:15.694Z","2024-05-08T01:14:24.036Z",TRUE,FALSE,FALSE,FALSE,0,4,2,1,676914,"Davis Schneider","/api/v1/people/676914","R","Right",605513,"Spencer Turnbull","/api/v1/people/605513","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Toronto Blue Jays",1,"Major League Baseball",NA,NA,103,"American League","Toronto Blue Jays","Philadelphia Phillies","true",NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",83.4,76.8,13,2,0.4503,6.2198,23.1045,-25.2478,7.4604,4.6183,-1.1636,2.2852,-0.725,-121.4997,-2.3069,-1.8315,50.0023,5.434,11.1886,22.8,7.2,24,2589,81,NA,NA,NA,NA,NA,NA,FALSE,-31.1,8,-13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,676914,"Davis Schneider","/api/v1/people/676914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
