"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
745668,"2024-05-07",2,"2024-05-07T22:44:10.790Z","2024-05-07T22:44:18.376Z",TRUE,"pitch","3a7eeb7e-2c68-4178-b859-2f0372bb6b6b",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.43,1.62,NA,120.39,199.72,"fly_ball","medium","7",70.29,90.42,NA,NA,NA,NA,NA,NA,NA,NA,"99","atBat","Flyout","field_out","Abraham Toro flies out to left fielder Ezequiel Duran.",0,15,8,99,"bottom",9,"2024-05-07T22:43:29.054Z","2024-05-07T22:44:18.376Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,647351,"Abraham Toro","/api/v1/people/647351","L","Left",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",87.8,80.9,13,0.76,0.4283,6.8351,24.8892,-26.6178,-10.1311,3.3515,-0.089,1.4466,7.9046,-127.6066,-4.2898,-1.902,50.0049,5.2331,-16.8032,28.8,7.2,24,1495,236,92.8,26,304,NA,NA,NA,TRUE,-30.1,5.4,16.7,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745668,"2024-05-07",1,"2024-05-07T22:43:55.142Z","2024-05-07T22:43:59.718Z",TRUE,"pitch","21a2ec4d-c474-47e1-9493-3a25caf20546",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.3753,1.6863,NA,130.53,133.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99","atBat","Flyout","field_out","Abraham Toro flies out to left fielder Ezequiel Duran.",0,15,8,99,"bottom",9,"2024-05-07T22:43:29.054Z","2024-05-07T22:44:18.376Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,647351,"Abraham Toro","/api/v1/people/647351","L","Left",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.6,79.9,11,0.86,0.4301,6.6581,27.4683,-26.6891,0.9844,3.3472,-0.3548,3.9046,3.5944,-127.5849,1.0996,-1.9128,50.0057,5.5791,1.6149,4.8,6,24,2580,143,NA,NA,NA,NA,NA,NA,FALSE,-29.2,6.6,-2.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745668,"2024-05-07",0,"2024-05-07T22:43:43.297Z","2024-05-07T22:43:47.749Z",TRUE,"pitch","561be700-fd7f-4ad5-82c3-ca42bd147fd8",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.3374,1.6487,NA,134.92,154.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99","atBat","Flyout","field_out","Abraham Toro flies out to left fielder Ezequiel Duran.",0,15,8,99,"bottom",9,"2024-05-07T22:43:29.054Z","2024-05-07T22:44:18.376Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,647351,"Abraham Toro","/api/v1/people/647351","L","Left",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_LHB","Empty",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",87.1,80,1,0.88,0.4317,6.8346,25.0371,-27.9915,-9.6466,2.5623,-0.4701,3.1092,6.5766,-126.7075,-0.1479,-1.8414,50.0026,5.3984,-15.7405,27.6,8.4,24,1665,235,NA,NA,NA,NA,NA,NA,FALSE,-31.1,4.8,16.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745668,"2024-05-07",2,"2024-05-07T22:43:12.515Z","2024-05-07T22:43:20.305Z",TRUE,"pitch","9d1d5372-2810-40f1-9f5f-7bc133c742fc",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,2,1,NA,NA,3.467,1.589,NA,126.42,171.49,"fly_ball","medium","8",124.99,89.37,NA,NA,NA,NA,NA,NA,NA,NA,"98","atBat","Flyout","field_out","Brett Harris flies out to center fielder Leody Taveras.",0,15,8,98,"bottom",9,"2024-05-07T22:42:22.886Z","2024-05-07T22:43:20.305Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,695391,"Brett Harris","/api/v1/people/695391","R","Right",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.5,5,0.91,0.3939,7.0656,30.2184,-12.4591,-5.2611,10.0588,-0.2471,2.4923,4.626,-138.9037,-6.1044,-1.248,50.0027,5.5419,-10.3122,33.6,3.6,24,2396,206,80.3,39,276,NA,NA,NA,TRUE,-12.7,17.2,8.6,NA,NA,NA,NA,NA,NA,TRUE,FALSE,680474,"Max Schuemann","/api/v1/people/680474",NA,NA,NA,NA,NA,NA
745668,"2024-05-07",1,"2024-05-07T22:42:55.690Z","2024-05-07T22:42:59.875Z",TRUE,"pitch","d700e9bc-701b-438a-bed5-6473357d277d",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,2,1,NA,NA,3.3473,1.5187,NA,133.23,165.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","atBat","Flyout","field_out","Brett Harris flies out to center fielder Leody Taveras.",0,15,8,98,"bottom",9,"2024-05-07T22:42:22.886Z","2024-05-07T22:43:20.305Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,695391,"Brett Harris","/api/v1/people/695391","R","Right",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.5,82.4,4,0.89,0.4193,6.8335,26.1653,-24.0617,1.3773,4.6886,-0.4257,2.7021,3.0901,-130.3772,-2.5433,-1.8029,50.0018,5.4968,2.382,7.2,6,24,2533,167,NA,NA,NA,NA,NA,NA,FALSE,-25.8,8.2,-3.1,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745668,"2024-05-07",0,"2024-05-07T22:42:42.006Z","2024-05-07T22:42:46.316Z",TRUE,"pitch","70444ab3-ff10-4596-9063-e1c4aa3d7021",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.2913,1.4908,NA,114.42,189.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98","atBat","Flyout","field_out","Brett Harris flies out to center fielder Leody Taveras.",0,15,8,98,"bottom",9,"2024-05-07T22:42:22.886Z","2024-05-07T22:43:20.305Z",TRUE,FALSE,FALSE,TRUE,0,0,2,2,695391,"Brett Harris","/api/v1/people/695391","R","Right",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.4,83,8,0.76,0.4187,6.8057,24.064,-23.0803,-1.3874,5.2287,0.0677,1.8343,5.4923,-130.181,-4.5298,-1.8775,50.0009,5.3164,-2.4126,3.6,6,24,2430,204,NA,NA,NA,NA,NA,NA,FALSE,-25.1,8.8,1.4,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745668,"2024-05-07",5,"2024-05-07T22:42:12.195Z","2024-05-07T22:42:16.791Z",TRUE,"pitch","c4b72a9a-81e7-4440-99d4-d52162575e18",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,1,1,NA,NA,3.2913,1.6025,NA,144.98,126.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97","atBat","Walk","walk","Max Schuemann walks.",0,15,8,97,"bottom",9,"2024-05-07T22:40:33.526Z","2024-05-07T22:42:16.791Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,680474,"Max Schuemann","/api/v1/people/680474","R","Right",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,85.1,11,0.91,0.4001,6.8692,35.111,-12.1298,-5.8036,10.5994,-0.734,4.1624,4.7325,-137.7492,-1.2518,-1.7339,50.0061,5.4568,-10.9789,38.4,3.6,24,2473,216,NA,NA,NA,NA,NA,NA,FALSE,-11.9,19.1,9.4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,680474,"Max Schuemann","/api/v1/people/680474",NA,NA,NA,NA,NA,NA
745668,"2024-05-07",3,"2024-05-07T22:41:38.618Z","2024-05-07T22:41:42.236Z",TRUE,"pitch","63099771-2af7-47b4-aa76-93f54d7c057a",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,1,1,NA,NA,3.2913,1.5466,NA,155.86,106.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97","atBat","Walk","walk","Max Schuemann walks.",0,15,8,97,"bottom",9,"2024-05-07T22:40:33.526Z","2024-05-07T22:42:16.791Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,680474,"Max Schuemann","/api/v1/people/680474","R","Right",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.6,87,11,0.92,0.3938,6.8823,32.0762,-14.9309,-4.699,8.8102,-1.0196,4.8894,3.7162,-139.2275,0.9779,-1.763,50.006,5.5236,-9.201,30,3.6,24,2495,209,NA,NA,NA,NA,NA,NA,FALSE,-13.6,16.3,7.7,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745668,"2024-05-07",2,"2024-05-07T22:41:23.125Z","2024-05-07T22:41:27.843Z",TRUE,"pitch","a411ab83-35a5-4e8a-bfc0-a5ae3e49bb6a",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,1,1,NA,NA,3.2634,1.5466,NA,136.8,157.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97","atBat","Walk","walk","Max Schuemann walks.",0,15,8,97,"bottom",9,"2024-05-07T22:40:33.526Z","2024-05-07T22:42:16.791Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,680474,"Max Schuemann","/api/v1/people/680474","R","Right",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.4,87.8,1,0.92,0.3911,6.9114,32.73,-11.2114,-4.8697,10.5581,-0.5194,3.0207,4.9668,-140.251,-4.5037,-1.6835,50.0034,5.383,-9.6691,34.8,3.6,24,2447,207,NA,NA,NA,NA,NA,NA,FALSE,-11.2,18.4,7.8,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745668,"2024-05-07",1,"2024-05-07T22:41:07.650Z","2024-05-07T22:41:12.375Z",TRUE,"pitch","650c8aba-7f9b-4b7f-8b21-9d30e24d3b35",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,1,NA,NA,3.2634,1.5746,NA,65.62,229.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97","atBat","Walk","walk","Max Schuemann walks.",0,15,8,97,"bottom",9,"2024-05-07T22:40:33.526Z","2024-05-07T22:42:16.791Z",TRUE,FALSE,FALSE,FALSE,0,4,1,1,680474,"Max Schuemann","/api/v1/people/680474","R","Right",668390,"Cole Winn","/api/v1/people/668390","R","Right","vs_RHP","vs_RHB","Men_On",NA,"Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Texas Rangers",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",88.1,81.8,14,0.64,0.4263,6.9566,23.2964,-26.3949,-10.4135,3.4487,1.3479,0.3537,10.6877,-127.8712,-7.0514,-1.5085,50.0034,5.1824,-17.4599,30,7.2,24,1641,230,NA,NA,NA,NA,NA,NA,FALSE,-30.1,4.9,16.8,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
