"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
745746,"2024-05-20",5,"2024-05-21T01:44:01.812Z","2024-05-21T01:44:10.043Z",TRUE,"pitch","91b092f3-c763-475f-b632-ba08a19b5553",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.6,1.56,NA,135.63,192.33,"ground_ball","medium","4",146.69,158.53,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Alex Verdugo grounds out, second baseman Dylan Moore to first baseman Ty France.",0,5,4,76,"bottom",9,"2024-05-21T01:42:23.236Z","2024-05-21T01:44:10.043Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.5,90.4,7,0.97,0.3777,6.9951,40.2616,-13.3005,-7.2325,8.8995,-0.4887,1.7204,5.7328,-146.0383,-7.4211,-1.5559,50.0004,5.1267,-15.3341,42,3.6,24,2251,222,82.9,-31,3,NA,NA,NA,TRUE,-13.1,14.5,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",4,"2024-05-21T01:43:39.028Z","2024-05-21T01:43:42.926Z",TRUE,"pitch","c1f9b34a-487a-4827-8502-d3168e8ff035",4,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,2,2,NA,NA,3.6,1.56,NA,80.2,203.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Alex Verdugo grounds out, second baseman Dylan Moore to first baseman Ty France.",0,5,4,76,"bottom",9,"2024-05-21T01:42:23.236Z","2024-05-21T01:44:10.043Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",89.6,82.6,14,0.9,0.4199,6.9743,26.9955,-28.9586,2.0555,1.8631,0.9653,1.2974,6.2262,-130.3526,-4.2224,-1.7195,50.0006,5.1206,3.5416,8.4,7.2,24,2167,154,NA,NA,NA,NA,NA,NA,FALSE,-31.3,2.6,-5,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",3,"2024-05-21T01:43:20.473Z","2024-05-21T01:43:25.078Z",TRUE,"pitch","34e0bd7f-4a79-4b8d-99a2-bda7d973d77d",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.5559,1.5512,NA,130.39,212.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Alex Verdugo grounds out, second baseman Dylan Moore to first baseman Ty France.",0,5,4,76,"bottom",9,"2024-05-21T01:42:23.236Z","2024-05-21T01:44:10.043Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",99.2,90.4,13,2,0.3811,6.8395,35.2707,-23.8608,-10.9765,3.9774,-0.3514,0.9841,8.0795,-144.059,-7.2214,-1.7746,50.0005,5.0113,-22.9345,39.6,6,24,2112,233,NA,NA,NA,NA,NA,NA,FALSE,-22.2,5.8,18.1,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",2,"2024-05-21T01:42:58.919Z","2024-05-21T01:43:04.064Z",TRUE,"pitch","099fd44f-e583-4e94-85c6-98cb9f84744e",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.6088,1.5512,NA,146.65,208.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Alex Verdugo grounds out, second baseman Dylan Moore to first baseman Ty France.",0,5,4,76,"bottom",9,"2024-05-21T01:42:23.236Z","2024-05-21T01:44:10.043Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",98.7,90,13,2,0.3826,6.8442,34.6905,-24.4135,-9.9063,3.7402,-0.7778,1.1193,6.62,-143.4422,-6.668,-1.8344,50.0018,5.0072,-20.5414,36,6,24,1950,229,NA,NA,NA,NA,NA,NA,FALSE,-22.7,5.5,16.6,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",1,"2024-05-21T01:42:37.007Z","2024-05-21T01:42:40.794Z",TRUE,"pitch","90ac7fca-2a28-4a61-a577-de01e6c163c9",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.6,1.56,NA,114.56,172.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Alex Verdugo grounds out, second baseman Dylan Moore to first baseman Ty France.",0,5,4,76,"bottom",9,"2024-05-21T01:42:23.236Z","2024-05-21T01:44:10.043Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.4,91,5,0.97,0.3766,6.5415,36.7756,-9.0506,-5.9645,10.8169,0.064,2.4473,6.7408,-145.8584,-6.7413,-1.5107,50.0054,5.3454,-12.7543,45.6,2.4,24,2227,223,NA,NA,NA,NA,NA,NA,FALSE,-9.1,18.2,9.4,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",0,"2024-05-21T01:42:23.236Z","2024-05-21T01:42:28.236Z",FALSE,"stepoff","f40f9f2b-3e25-4ac6-898e-b84309c2809c",NA,"Pitcher Step Off",NA,NA,NA,NA,FALSE,"PSO",NA,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Alex Verdugo grounds out, second baseman Dylan Moore to first baseman Ty France.",0,5,4,76,"bottom",9,"2024-05-21T01:42:23.236Z","2024-05-21T01:44:10.043Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,657077,"Alex Verdugo","/api/v1/people/657077","L","Left",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",4,"2024-05-21T01:41:55.380Z","2024-05-21T01:41:59.287Z",TRUE,"pitch","d8af6a02-0af7-43e4-869d-0eff51754a5b",4,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,3,1,NA,NA,4.0711,1.8389,NA,87.44,168.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Aaron Judge called out on strikes.",0,5,4,75,"bottom",9,"2024-05-21T01:40:45.364Z","2024-05-21T01:41:59.287Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,592450,"Aaron Judge","/api/v1/people/592450","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.8,91.6,6,0.97,0.3747,7.0697,35.9864,-12.5461,-7.5001,9.079,0.7754,2.5877,9.3194,-146.434,-5.6215,-1.4805,50.0058,5.2893,-16.2202,45.6,3.6,24,2377,223,NA,NA,NA,NA,NA,NA,TRUE,-11.8,15.4,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,665742,"Juan Soto","/api/v1/people/665742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",2,"2024-05-21T01:41:29.730Z","2024-05-21T01:41:33.089Z",TRUE,"pitch","92d9d153-640f-4c77-b64d-ef735cc7cdc8",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,4.08,1.83,NA,115.17,185.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Aaron Judge called out on strikes.",0,5,4,75,"bottom",9,"2024-05-21T01:40:45.364Z","2024-05-21T01:41:59.287Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,592450,"Aaron Judge","/api/v1/people/592450","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.4,81.2,8,0.91,0.4281,6.8569,23.7222,-34.8622,3.4164,-1.6163,0.0479,1.9786,3.5219,-127.4486,-1.3408,-1.7908,50.0042,5.2398,5.6766,9.6,8.4,24,2258,102,NA,NA,NA,NA,NA,NA,FALSE,-38.4,-3,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",1,"2024-05-21T01:41:11.206Z","2024-05-21T01:41:14.274Z",TRUE,"pitch","72a9d5c5-1904-423b-a988-5cd469bcfa0c",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,4.08,1.83,NA,95.68,190.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Aaron Judge called out on strikes.",0,5,4,75,"bottom",9,"2024-05-21T01:40:45.364Z","2024-05-21T01:41:59.287Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,592450,"Aaron Judge","/api/v1/people/592450","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.6,82.4,9,0.92,0.4224,6.8648,23.6454,-30.269,3.3585,1.1201,0.5594,1.7947,4.8158,-129.035,-2.8251,-1.7587,50.0063,5.2057,5.7367,12,7.2,24,2247,127,NA,NA,NA,NA,NA,NA,FALSE,-32.8,1.7,-7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
745746,"2024-05-20",0,"2024-05-21T01:40:54.602Z","2024-05-21T01:40:59.503Z",TRUE,"pitch","2b95434e-ee61-4774-a8b3-b055760f2183",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,4.0712,1.8388,NA,65.62,212.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Aaron Judge called out on strikes.",0,5,4,75,"bottom",9,"2024-05-21T01:40:45.364Z","2024-05-21T01:41:59.287Z",TRUE,FALSE,FALSE,TRUE,14,1,3,2,592450,"Aaron Judge","/api/v1/people/592450","R","Right",662253,"Andrés Muñoz","/api/v1/people/662253","R","Right","vs_RHP","vs_RHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Seattle Mariners",1,"Major League Baseball",NA,NA,103,"American League","New York Yankees","Seattle Mariners",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",88.7,81.9,14,0.9,0.4242,6.9651,26.1324,-29.714,1.8228,1.4607,1.3479,0.9704,7.468,-128.9895,-4.7068,-1.8187,50.0064,5.1025,3.0808,8.4,7.2,24,2227,126,NA,NA,NA,NA,NA,NA,FALSE,-32.9,1.8,-4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
