"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745752,"2024-05-07",6,"2024-05-08T01:53:24.900Z","2024-05-08T01:53:33.304Z",TRUE,"pitch","6b35ada6-495c-4fe6-afee-774050b7a2e1",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,2,NA,NA,3.31,1.54,NA,139.83,166.3,"ground_ball","medium","6",114.6,159.09,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Jake Meyers grounds out, shortstop Oswaldo Cabrera to first baseman Anthony Rizzo.",0,3,10,79,"top",9,"2024-05-08T01:51:47.857Z","2024-05-08T01:53:33.304Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,676694,"Jake Meyers","/api/v1/people/676694","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,86.5,4,2,0.3992,6.4503,28.8278,-18.3719,-7.2228,7.2319,-0.599,2.6844,10.2156,-136.9479,-3.4359,-3.4306,50.0044,5.2041,-13.7893,31.2,4.8,24,2356,231,93.7,-14,12,NA,NA,NA,TRUE,-18.2,12.6,11,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745752,"2024-05-07",4,"2024-05-08T01:53:05.431Z","2024-05-08T01:53:12.605Z",TRUE,"pitch","3751a4e1-f644-4f78-95e5-06b4ad574d9d",4,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",2,2,2,NA,NA,3.3795,1.505,NA,81.21,231.53,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Jake Meyers grounds out, shortstop Oswaldo Cabrera to first baseman Anthony Rizzo.",0,3,10,79,"top",9,"2024-05-08T01:51:47.857Z","2024-05-08T01:53:33.304Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,676694,"Jake Meyers","/api/v1/people/676694","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.6,77.7,14,0.91,0.4476,6.5351,26.424,-37.753,0.2992,-3.6832,0.9391,0.2687,10.2703,-122.8025,-3.8763,-3.3528,50.0056,5.1105,0.4516,3.6,10.8,24,2414,45,NA,NA,NA,NA,NA,NA,FALSE,-46.1,-7.4,-3.1,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745752,"2024-05-07",2,"2024-05-08T01:52:31.996Z","2024-05-08T01:52:35.925Z",TRUE,"pitch","f7b14d5d-8ed9-4125-8eeb-0042041bbd91",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,2,NA,NA,3.31,1.54,NA,156,163.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Jake Meyers grounds out, shortstop Oswaldo Cabrera to first baseman Anthony Rizzo.",0,3,10,79,"top",9,"2024-05-08T01:51:47.857Z","2024-05-08T01:53:33.304Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,676694,"Jake Meyers","/api/v1/people/676694","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",82.9,76.5,11,0.88,0.4532,6.4243,22.2541,-33.3389,0.7334,-0.7858,-1.023,2.8049,5.6961,-120.6039,1.0483,-3.5054,50.0032,5.2927,1.0856,3.6,9.6,24,2338,62,NA,NA,NA,NA,NA,NA,FALSE,-40.6,-1,-2.6,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745752,"2024-05-07",1,"2024-05-08T01:52:17.411Z","2024-05-08T01:52:22.719Z",TRUE,"pitch","8c5188bd-3d6b-4517-b664-ab224a7252a3",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,2,NA,NA,3.3821,1.5609,NA,96.28,172.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Jake Meyers grounds out, shortstop Oswaldo Cabrera to first baseman Anthony Rizzo.",0,3,10,79,"top",9,"2024-05-08T01:51:47.857Z","2024-05-08T01:53:33.304Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,676694,"Jake Meyers","/api/v1/people/676694","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.8,77.4,6,0.89,0.4491,6.394,22.81,-33.6168,-0.29,-0.9617,0.5437,2.47,9.8178,-121.7477,0.2053,-3.4949,50.0002,5.2825,-0.4402,2.4,9.6,24,2335,56,NA,NA,NA,NA,NA,NA,FALSE,-40.3,-1.4,-1.7,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745752,"2024-05-07",0,"2024-05-08T01:52:03.062Z","2024-05-08T01:52:08.731Z",TRUE,"pitch","b468ffb1-5a3e-451e-b8e9-ff8718ac90a7",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.4042,1.6097,NA,87.76,194.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Jake Meyers grounds out, shortstop Oswaldo Cabrera to first baseman Anthony Rizzo.",0,3,10,79,"top",9,"2024-05-08T01:51:47.857Z","2024-05-08T01:53:33.304Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,676694,"Jake Meyers","/api/v1/people/676694","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.7,77.9,9,0.9,0.4461,6.4834,24.9487,-35.3138,-0.3947,-2.0593,0.7671,1.6384,10.4137,-122.8971,-1.403,-3.4785,50.0028,5.2234,-0.6044,2.4,9.6,24,2284,46,NA,NA,NA,NA,NA,NA,FALSE,-42.2,-3.8,-1.8,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745752,"2024-05-07",3,"2024-05-08T01:52:51.554Z","2024-05-08T01:53:05.431Z",FALSE,"action",NA,NA,"Batter Timeout.","Batter Timeout",3,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,1,2,2,676694,"/api/v1/people/676694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"batter_timeout",NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Jake Meyers grounds out, shortstop Oswaldo Cabrera to first baseman Anthony Rizzo.",0,3,10,79,"top",9,"2024-05-08T01:51:47.857Z","2024-05-08T01:53:33.304Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,676694,"Jake Meyers","/api/v1/people/676694","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745752,"2024-05-07",5,"2024-05-08T01:53:14.961Z","2024-05-08T01:53:24.900Z",FALSE,"action",NA,NA,"Trey Cabbage advances to 2nd on defensive indifference.","Defensive Indiff",3,10,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,2,2,663550,"/api/v1/people/663550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3751a4e1-f644-4f78-95e5-06b4ad574d9d","defensive_indiff",NA,NA,NA,NA,NA,NA,"79","atBat","Groundout","field_out","Jake Meyers grounds out, shortstop Oswaldo Cabrera to first baseman Anthony Rizzo.",0,3,10,79,"top",9,"2024-05-08T01:51:47.857Z","2024-05-08T01:53:33.304Z",TRUE,FALSE,FALSE,TRUE,0,2,2,3,676694,"Jake Meyers","/api/v1/people/676694","R","Right",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_RHB","Empty",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745752,"2024-05-07",0,"2024-05-08T01:51:28.248Z","2024-05-08T01:51:41.311Z",TRUE,"pitch","c8f769fb-2e92-41de-932a-30cc6fa91a8b",1,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,0,2,NA,NA,3.4,1.57,NA,120.72,178.59,"ground_ball","medium","9",135.21,145.76,NA,NA,NA,NA,NA,NA,NA,NA,"78","atBat","Single","single","Trey Cabbage singles on a ground ball to right fielder Jahmai Jones. Jon Singleton scores. Victor Caratini scores.",2,3,10,78,"top",9,"2024-05-08T01:51:11.426Z","2024-05-08T01:51:41.311Z",TRUE,TRUE,FALSE,FALSE,33,0,0,2,663550,"Trey Cabbage","/api/v1/people/663550","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","Men_On",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.8,86.8,5,2,0.3977,6.3697,29.659,-21.2182,-9.0655,5.6991,-0.0977,2.2294,12.2257,-137.5527,-3.9569,-3.4159,50.0011,5.1197,-17.4228,33.6,6,24,2425,240,103.1,-16,7,NA,NA,NA,FALSE,-20.9,9.6,13.9,NA,NA,NA,NA,NA,NA,FALSE,TRUE,663550,"Trey Cabbage","/api/v1/people/663550",NA,NA,NA,NA,NA,NA
745752,"2024-05-07",6,"2024-05-08T01:50:43.511Z","2024-05-08T01:50:56.250Z",TRUE,"pitch","2bf5eee9-9ab2-4262-ac5e-a0116a7089ad",6,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",3,2,2,NA,NA,3.4,1.57,NA,156.64,162.28,"ground_ball","medium","5",106.12,163.34,NA,NA,TRUE,NA,NA,NA,NA,NA,"77","atBat","Field Error","field_error","Victor Caratini reaches on a throwing error by third baseman Jon Berti. Jon Singleton to 3rd. Victor Caratini to 2nd.",0,1,10,77,"top",9,"2024-05-08T01:48:50.852Z","2024-05-08T01:50:56.250Z",TRUE,FALSE,FALSE,FALSE,0,3,2,2,605170,"Victor Caratini","/api/v1/people/605170","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.6,85.4,11,2,0.4007,6.337,33.4936,-19.838,-9.3941,6.5325,-1.0401,2.8332,9.7675,-137.2788,-2.4602,-3.4425,50.0001,5.108,-17.7318,37.2,6,24,2373,237,101.3,3,112,NA,NA,NA,FALSE,-19.6,11.4,14.6,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,605170,"Victor Caratini","/api/v1/people/605170",572138,"Jon Singleton","/api/v1/people/572138"
745752,"2024-05-07",5,"2024-05-08T01:50:25.351Z","2024-05-08T01:50:29.753Z",TRUE,"pitch","e5e4ff9a-2562-4b47-95f6-3808319ba7ad",5,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.4,1.57,NA,138.06,165.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Field Error","field_error","Victor Caratini reaches on a throwing error by third baseman Jon Berti. Jon Singleton to 3rd. Victor Caratini to 2nd.",0,1,10,77,"top",9,"2024-05-08T01:48:50.852Z","2024-05-08T01:50:56.250Z",TRUE,FALSE,FALSE,FALSE,0,3,2,2,605170,"Victor Caratini","/api/v1/people/605170","L","Left",543859,"Michael Tonkin","/api/v1/people/543859","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Yankees",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros",1,"Major League Baseball",NA,NA,103,"American League","Houston Astros","New York Yankees",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,85,4,2,0.4052,6.2267,29.042,-18.7877,-8.2736,7.2304,-0.5525,2.7224,10.3226,-135.1143,-2.8515,-3.345,50.0051,5.1096,-15.3228,33.6,4.8,24,2418,233,NA,NA,NA,NA,NA,NA,FALSE,-19,12.7,12.8,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
