"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
745821,"2024-05-14",0,"2024-05-14T19:59:56.193Z","2024-05-14T20:00:06.043Z",TRUE,"pitch","f217deb4-ccf5-4f5e-9a3a-a311da7a9664",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.42,1.56,NA,85.19,169.61,"fly_ball","medium","8",123.73,95.6,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Flyout","field_out","Francisco Lindor flies out to center fielder Johan Rojas.",0,4,0,71,"bottom",9,"2024-05-14T19:59:03.676Z","2024-05-14T20:00:06.043Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,596019,"Francisco Lindor","/api/v1/people/596019","L","Left",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_LHB","Empty",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.3,84.8,12,0.91,0.4049,7.3208,30.842,-16.0726,-7.4446,8.6922,0.8344,2.562,9.2975,-135.5237,-3.0684,-1.6806,50.0002,4.8378,-13.7861,34.8,4.8,24,2368,222,78.7,44,261,NA,NA,NA,TRUE,-16.4,15.2,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745821,"2024-05-14",3,"2024-05-14T19:58:52.913Z","2024-05-14T19:59:02.103Z",TRUE,"pitch","be198bd2-ffec-4c00-8be6-1d59752df664",4,"In play, no out",NA,NA,NA,NA,FALSE,"D","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"D","In play, no out",1,2,2,NA,NA,3.54,1.57,NA,108.25,194.9,"line_drive","hard","7",78.19,96.81,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Starling Marte singles on a sharp line drive to left fielder Brandon Marsh. Jeff McNeil to 3rd.",0,4,0,70,"bottom",9,"2024-05-14T19:57:23.289Z","2024-05-14T19:59:02.103Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,516782,"Starling Marte","/api/v1/people/516782","R","Right",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","true",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",79.1,72.5,8,0.91,0.4779,7.085,23.5269,-40.4537,8.6255,-6.2378,0.2295,1.6253,1.9608,-115.087,0.8852,-1.7561,50.0038,5.1878,11.445,16.8,13.2,24,2629,53,103.2,14,235,NA,NA,NA,FALSE,-54.8,-10.7,-16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,516782,"Starling Marte","/api/v1/people/516782",NA,NA,NA,643446,"Jeff McNeil","/api/v1/people/643446"
745821,"2024-05-14",2,"2024-05-14T19:58:30.767Z","2024-05-14T19:58:36.216Z",TRUE,"pitch","ff8c6102-bcc3-4a49-9d45-c8b23e276673",3,"Ball In Dirt",NA,NA,NA,NA,FALSE,"*B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"*B","Ball In Dirt",1,2,2,NA,NA,3.54,1.57,NA,44.09,228.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Starling Marte singles on a sharp line drive to left fielder Brandon Marsh. Jeff McNeil to 3rd.",0,4,0,70,"bottom",9,"2024-05-14T19:57:23.289Z","2024-05-14T19:59:02.103Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,516782,"Starling Marte","/api/v1/people/516782","R","Right",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",81,74.2,14,0.9,0.4679,6.6534,25.6041,-40.7905,6.2117,-6.2312,1.9126,0.3848,6.2248,-117.7741,-1.7167,-1.5869,50.0021,4.9497,8.59,13.2,12,24,2651,54,NA,NA,NA,NA,NA,NA,FALSE,-53.6,-11.4,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745821,"2024-05-14",1,"2024-05-14T19:58:04.387Z","2024-05-14T19:58:08.294Z",TRUE,"pitch","9b49bfbb-ad36-4b6b-aa76-30626854f09f",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.54,1.57,NA,119.71,203.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Starling Marte singles on a sharp line drive to left fielder Brandon Marsh. Jeff McNeil to 3rd.",0,4,0,70,"bottom",9,"2024-05-14T19:57:23.289Z","2024-05-14T19:59:02.103Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,516782,"Starling Marte","/api/v1/people/516782","R","Right",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",79.8,72.8,13,0.9,0.4746,7.0242,25.096,-40.3447,7.2562,-6.0855,-0.0712,1.3009,1.7478,-116.1416,0.4131,-1.7787,50.0005,5.0098,9.7477,14.4,12,24,2564,58,NA,NA,NA,NA,NA,NA,FALSE,-54,-10.6,-13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745821,"2024-05-14",0,"2024-05-14T19:57:47.673Z","2024-05-14T19:57:51.504Z",TRUE,"pitch","c2dccdee-7b50-4b97-9cbf-cb1cab765f1b",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.54,1.57,NA,99.98,197.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Single","single","Starling Marte singles on a sharp line drive to left fielder Brandon Marsh. Jeff McNeil to 3rd.",0,4,0,70,"bottom",9,"2024-05-14T19:57:23.289Z","2024-05-14T19:59:02.103Z",TRUE,FALSE,FALSE,FALSE,33,1,2,2,516782,"Starling Marte","/api/v1/people/516782","R","Right",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_RHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.8,83.2,9,0.9,0.4125,7.4325,31.4837,-26.289,-11.0489,3.3067,0.4465,1.5233,8.9943,-133.3139,-3.5204,-1.5532,50.005,4.7813,-19.6806,33.6,7.2,24,2138,225,NA,NA,NA,NA,NA,NA,FALSE,-27.5,5.3,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745821,"2024-05-14",4,"2024-05-14T19:57:10.601Z","2024-05-14T19:57:18.050Z",TRUE,"pitch","ab6c6228-d988-4d03-8279-0847bdc8e770",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.59,1.69,NA,143.01,167.88,"ground_ball","medium","5",98.12,160.56,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Brandon Nimmo grounds out, third baseman Whit Merrifield to first baseman Alec Bohm.",0,4,0,69,"bottom",9,"2024-05-14T19:55:16.254Z","2024-05-14T19:57:18.050Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.8,85.2,4,0.91,0.4023,7.0739,31.8003,-16.8832,-6.4516,8.16,-0.6824,2.626,5.307,-136.4672,-2.663,-1.8201,50.0049,4.7862,-12.0934,32.4,4.8,24,2327,221,85.8,-21,7,NA,NA,NA,TRUE,-16.9,14.4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,643446,"Jeff McNeil","/api/v1/people/643446",NA,NA,NA
745821,"2024-05-14",3,"2024-05-14T19:56:49.884Z","2024-05-14T19:56:53.434Z",TRUE,"pitch","9a37d3e8-4adf-4a26-9981-7ce705437079",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.5924,1.7952,NA,86.29,130.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Brandon Nimmo grounds out, third baseman Whit Merrifield to first baseman Alec Bohm.",0,4,0,69,"bottom",9,"2024-05-14T19:55:16.254Z","2024-05-14T19:57:18.050Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93,83.9,12,0.91,0.4072,7.2481,32.5626,-18.437,-7.6353,7.5202,0.8057,4.0226,8.8663,-135.0953,0.9622,-1.5446,50.0062,4.9684,-13.9553,33.6,4.8,24,2323,225,NA,NA,NA,NA,NA,NA,FALSE,-18,14,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745821,"2024-05-14",2,"2024-05-14T19:56:28.389Z","2024-05-14T19:56:32.412Z",TRUE,"pitch","b7d7f2ba-d9f7-4d82-9332-6a4d64fc3152",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.59,1.69,NA,107.69,157.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Brandon Nimmo grounds out, third baseman Whit Merrifield to first baseman Alec Bohm.",0,4,0,69,"bottom",9,"2024-05-14T19:55:16.254Z","2024-05-14T19:57:18.050Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.5,83.7,2,0.91,0.4091,7.5285,31.5547,-24.053,-10.2105,4.4815,0.2442,3.0248,8.4337,-134.3499,-0.5174,-1.623,50.0003,4.943,-18.4947,34.8,6,24,2312,224,NA,NA,NA,NA,NA,NA,FALSE,-24.1,8.2,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745821,"2024-05-14",1,"2024-05-14T19:56:10.170Z","2024-05-14T19:56:14.290Z",TRUE,"pitch","881b9e30-aa59-463e-9efd-8c9abd337e5d",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.5512,1.6747,NA,64.95,177.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Brandon Nimmo grounds out, third baseman Whit Merrifield to first baseman Alec Bohm.",0,4,0,69,"bottom",9,"2024-05-14T19:55:16.254Z","2024-05-14T19:57:18.050Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.8,84,14,0.91,0.4083,7.4014,31.651,-23.4704,-11.0428,4.7831,1.3654,2.2631,11.5154,-134.6209,-2.449,-1.5512,50.0001,4.8617,-20.0852,36,7.2,24,2325,227,NA,NA,NA,NA,NA,NA,FALSE,-23.9,8.3,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
745821,"2024-05-14",0,"2024-05-14T19:55:49.799Z","2024-05-14T19:56:06.421Z",TRUE,"pitch","d561cf47-e8e2-4629-b8ae-1e8bda41c610",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,1,NA,NA,3.59,1.69,NA,156.52,180.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Groundout","field_out","Brandon Nimmo grounds out, third baseman Whit Merrifield to first baseman Alec Bohm.",0,4,0,69,"bottom",9,"2024-05-14T19:55:16.254Z","2024-05-14T19:57:18.050Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,607043,"Brandon Nimmo","/api/v1/people/607043","L","Left",605400,"Aaron Nola","/api/v1/people/605400","R","Right","vs_RHP","vs_LHB","RISP",NA,"New York Mets",1,"Major League Baseball",NA,NA,104,"National League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","New York Mets","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.9,83.7,13,0.88,0.4104,7.2614,30.414,-23.9819,-9.6495,4.5462,-1.0367,2.1448,5.4146,-133.7576,-2.3061,-1.8399,50.0004,4.7481,-17.3809,33.6,7.2,24,2181,225,NA,NA,NA,NA,NA,NA,FALSE,-24.6,7.9,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
