"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
746087,"2024-03-30",3,"2024-03-30T22:49:45.122Z","2024-03-30T22:49:53.147Z",TRUE,"pitch","dfdda763-533f-48a3-a048-25e814a74452",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.4,1.72,NA,105.9,157.57,"ground_ball","medium","4",145.39,153.89,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Avisaíl García grounds out, second baseman Jared Triolo to first baseman Rowdy Tellez.",0,9,3,82,"bottom",9,"2024-03-30T22:48:30.241Z","2024-03-30T22:49:53.147Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,541645,"Avisaíl García","/api/v1/people/541645","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.2,87.1,3,0.9,0.3934,7.3304,34.272,-10.7954,-5.4012,10.913,0.2913,3.0078,7.2937,-139.7457,-5.789,-1.6623,50.0035,5.8293,-10.5825,36,3.6,24,2548,211,96.7,7,127,NA,NA,NA,TRUE,-11.3,18.6,8.2,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",2,"2024-03-30T22:49:23.392Z","2024-03-30T22:49:28.648Z",TRUE,"pitch","1c6fc2ae-a1fb-44f2-af16-d30aa3f472c7",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",2,1,2,NA,NA,3.4,1.72,NA,97.66,155.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Avisaíl García grounds out, second baseman Jared Triolo to first baseman Rowdy Tellez.",0,9,3,82,"bottom",9,"2024-03-30T22:48:30.241Z","2024-03-30T22:49:53.147Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,541645,"Avisaíl García","/api/v1/people/541645","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.3,3,0.9,0.392,6.5161,34.5732,-10.416,-6.5465,11.0324,0.5073,3.0697,7.8315,-140.2298,-5.9158,-1.484,50.003,5.9003,-12.9121,43.2,3.6,24,2622,203,NA,NA,NA,NA,NA,NA,FALSE,-10.9,18.7,10.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",1,"2024-03-30T22:49:06.263Z","2024-03-30T22:49:13.286Z",TRUE,"pitch","b752bc57-1fd5-49df-aba6-7dd35964ca62",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,0,2,NA,NA,3.5837,1.7155,NA,77.01,183.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Avisaíl García grounds out, second baseman Jared Triolo to first baseman Rowdy Tellez.",0,9,3,82,"bottom",9,"2024-03-30T22:48:30.241Z","2024-03-30T22:49:53.147Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,541645,"Avisaíl García","/api/v1/people/541645","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97,88.2,14,0.9,0.3898,7.2863,33.5408,-9.9627,-5.9348,11.1207,1.049,2.0462,8.9125,-140.7979,-8.6604,-1.3941,50.0017,5.8163,-11.8529,39.6,3.6,24,2608,203,NA,NA,NA,NA,NA,NA,FALSE,-10.9,18.4,8.8,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",0,"2024-03-30T22:48:50.095Z","2024-03-30T22:48:56.153Z",TRUE,"pitch","9717a8ae-357c-4255-91be-abb39de4f9ff",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,2,NA,NA,3.5143,1.7176,NA,114.59,126.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82","atBat","Groundout","field_out","Avisaíl García grounds out, second baseman Jared Triolo to first baseman Rowdy Tellez.",0,9,3,82,"bottom",9,"2024-03-30T22:48:30.241Z","2024-03-30T22:49:53.147Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,541645,"Avisaíl García","/api/v1/people/541645","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.2,88.4,12,0.91,0.3879,7.3374,33.4245,-11.5802,-5.1329,10.2085,0.0633,4.155,6.4347,-141.4194,-2.9472,-1.5788,50.0043,5.9576,-10.3571,36,3.6,24,2590,209,NA,NA,NA,NA,NA,NA,FALSE,-11,18,7.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",4,"2024-03-30T22:48:21.182Z","2024-03-30T22:48:27.181Z",TRUE,"pitch","3301e695-b8ad-434d-9088-4bc89372a64c",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,1,NA,NA,3.36,1.48,NA,112.86,223.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Tim Anderson strikes out swinging.",0,9,3,81,"bottom",9,"2024-03-30T22:46:55.507Z","2024-03-30T22:48:27.181Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,641313,"Tim Anderson","/api/v1/people/641313","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",93.9,86.4,14,0.9,0.4015,7.2557,29.3237,-26.1172,-8.3963,3.2137,0.1087,0.5632,7.8944,-136.2846,-8.6426,-1.7315,50.0039,5.5731,-15.8308,27.6,7.2,24,1812,215,NA,NA,NA,NA,NA,NA,TRUE,-27,4.2,13.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",3,"2024-03-30T22:48:02.362Z","2024-03-30T22:48:06.908Z",TRUE,"pitch","4c899cf7-96c8-4517-9417-ac6e31d8298d",4,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,2,1,NA,NA,3.36,1.48,NA,121.37,138.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Tim Anderson strikes out swinging.",0,9,3,81,"bottom",9,"2024-03-30T22:46:55.507Z","2024-03-30T22:48:27.181Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,641313,"Tim Anderson","/api/v1/people/641313","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.5,87.6,11,0.91,0.3913,6.3326,33.4511,-9.8942,-4.33,11.2411,-0.1146,3.7297,5.7885,-140.295,-4.3214,-1.6476,50.0018,5.9417,-8.5817,33.6,2.4,24,2474,209,NA,NA,NA,NA,NA,NA,FALSE,-10,19.6,6.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",2,"2024-03-30T22:47:41.417Z","2024-03-30T22:47:48.462Z",TRUE,"pitch","065929ed-b2b0-4fdd-85ee-146225014d48",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.5197,1.4775,NA,115.47,140.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Tim Anderson strikes out swinging.",0,9,3,81,"bottom",9,"2024-03-30T22:46:55.507Z","2024-03-30T22:48:27.181Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,641313,"Tim Anderson","/api/v1/people/641313","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",98.1,89.1,2,0.92,0.3847,7.4373,34.5975,-9.017,-5.1771,11.2967,0.0401,3.6388,6.7584,-142.687,-4.6748,-1.6931,50.0042,5.8733,-10.6143,42,2.4,24,2628,208,NA,NA,NA,NA,NA,NA,FALSE,-9,19.6,7.9,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",1,"2024-03-30T22:47:22.465Z","2024-03-30T22:47:26.712Z",TRUE,"pitch","89934651-9ad5-477e-83b5-573b3eb925d6",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,1,1,NA,NA,3.36,1.48,NA,102.49,176.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Tim Anderson strikes out swinging.",0,9,3,81,"bottom",9,"2024-03-30T22:46:55.507Z","2024-03-30T22:48:27.181Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,641313,"Tim Anderson","/api/v1/people/641313","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",96.6,88.2,6,0.9,0.3904,7.1887,31.7891,-9.0816,-5.899,11.585,0.3807,2.3219,7.5599,-140.304,-7.9139,-1.5824,50.0017,5.7711,-11.7582,43.2,3.6,24,2539,208,NA,NA,NA,NA,NA,NA,FALSE,-10,19.4,9.1,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",0,"2024-03-30T22:47:07.925Z","2024-03-30T22:47:14.957Z",TRUE,"pitch","6dd1a6f7-4341-400c-9158-4844b46020e8",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.5487,1.4775,NA,80.85,199.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"81","atBat","Strikeout","strikeout","Tim Anderson strikes out swinging.",0,9,3,81,"bottom",9,"2024-03-30T22:46:55.507Z","2024-03-30T22:48:27.181Z",TRUE,FALSE,FALSE,TRUE,14,2,3,2,641313,"Tim Anderson","/api/v1/people/641313","R","Right",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_RHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",77.5,71.5,14,0.9,0.4871,7.0481,21.9312,-41.2266,4.5839,-7.0812,0.9484,1.4615,4.6523,-112.762,-0.529,-1.7429,50.0043,5.8853,5.8582,9.6,13.2,24,2519,43,NA,NA,NA,NA,NA,NA,FALSE,-58.4,-12.6,-9.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746087,"2024-03-30",5,"2024-03-30T22:46:35.498Z","2024-03-30T22:46:44.014Z",TRUE,"pitch","1c0b80cf-3fcd-45ac-9ebe-41338ed638fc",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,0,NA,NA,3.55,1.68,NA,137.55,195.94,"ground_ball","medium","6",116.91,148.44,NA,NA,NA,NA,NA,NA,NA,NA,"80","atBat","Groundout","field_out","Jesús Sánchez grounds out, shortstop Oneil Cruz to first baseman Rowdy Tellez.",0,9,3,80,"bottom",9,"2024-03-30T22:45:25.081Z","2024-03-30T22:46:44.014Z",TRUE,FALSE,FALSE,TRUE,0,1,2,1,660821,"Jesús Sánchez","/api/v1/people/660821","L","Left",670280,"David Bednar","/api/v1/people/670280","R","Right","vs_RHP","vs_LHB","Empty",NA,"Miami Marlins",1,"Major League Baseball",NA,NA,104,"National League","Pittsburgh Pirates",1,"Major League Baseball",NA,NA,104,"National League","Miami Marlins","Pittsburgh Pirates",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",93.5,86.2,7,2,0.4018,7.3134,28.1564,-21.4161,-8.1491,5.708,-0.5392,1.5868,6.0962,-136.0251,-6.992,-1.7439,50.0064,5.6618,-15.3661,32.4,6,24,1792,214,88.1,-20,5,NA,NA,NA,TRUE,-22.1,9.1,13.6,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
