"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isSubstitution","isBaseRunningPlay","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link"
746239,"2024-05-01",2,"2024-05-01T04:26:03.966Z","2024-05-01T04:26:11.115Z",TRUE,"pitch","aa5b74f9-e105-436d-9d60-2220bb88c120",3,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,1,2,NA,NA,3.44,1.67,NA,129.56,160.93,"line_drive","medium","9",185.59,88.95,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Lineout","field_out","Nolan Schanuel lines out to right fielder Nick Castellanos.",0,7,5,76,"bottom",9,"2024-05-01T04:25:14.583Z","2024-05-01T04:26:11.115Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,694384,"Nolan Schanuel","/api/v1/people/694384","L","Left",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies","true",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.7,81.7,4,0.89,0.4212,6.7347,29.3203,-28.6417,-8.4084,2.0698,-0.3296,2.8834,8.0874,-130.3959,-2.4667,-2.39,50.0049,6.019,-14.3739,24,7.2,24,1761,236,89.4,24,311,NA,NA,NA,TRUE,-30.8,3.4,13.3,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",1,"2024-05-01T04:25:47.906Z","2024-05-01T04:25:51.484Z",TRUE,"pitch","574d14b7-218c-40ba-817a-782e9e42f6b4",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.5295,1.7269,NA,187.44,171.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Lineout","field_out","Nolan Schanuel lines out to right fielder Nick Castellanos.",0,7,5,76,"bottom",9,"2024-05-01T04:25:14.583Z","2024-05-01T04:26:11.115Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,694384,"Nolan Schanuel","/api/v1/people/694384","L","Left",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.7,85.4,13,0.91,0.4004,6.2752,35.1177,-14.8152,-8.1378,9.1927,-1.848,2.4786,4.3173,-137.6562,-6.6992,-2.3929,50.003,5.9769,-15.3679,40.8,4.8,24,2562,219,NA,NA,NA,NA,NA,NA,FALSE,-15.8,15.1,13.6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",0,"2024-05-01T04:25:30.773Z","2024-05-01T04:25:35.472Z",TRUE,"pitch","8e928a17-0b1c-44ea-be12-deece0ef8aac",1,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,1,2,NA,NA,3.44,1.67,NA,125.42,177.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Lineout","field_out","Nolan Schanuel lines out to right fielder Nick Castellanos.",0,7,5,76,"bottom",9,"2024-05-01T04:25:14.583Z","2024-05-01T04:26:11.115Z",TRUE,FALSE,FALSE,TRUE,0,1,1,3,694384,"Nolan Schanuel","/api/v1/people/694384","L","Left",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",97.6,87.9,5,0.62,0.3892,6.5172,36.182,-7.195,-8.9773,12.4898,-0.2208,2.2641,9.1261,-141.4475,-8.7649,-2.3431,50.0035,5.8866,-17.9553,58.8,3.6,24,2627,220,NA,NA,NA,NA,NA,NA,FALSE,-8.6,20.6,14,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",4,"2024-05-01T04:24:57.224Z","2024-05-01T04:25:05.089Z",TRUE,"pitch","9196ad9f-bdde-4f33-a3f4-fc75df81532e",5,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,2,1,NA,NA,3.48,1.61,NA,94.86,176.32,"ground_ball","medium","5",87.13,152.58,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Zach Neto grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",0,7,5,75,"bottom",9,"2024-05-01T04:23:17.590Z","2024-05-01T04:25:05.089Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.5,80,6,0.89,0.4321,6.3816,28.1547,-33.7675,0.7956,-0.9766,0.5809,2.3134,7.0747,-127.1667,-2.8003,-2.3506,50.0053,6.1307,1.2925,4.8,8.4,24,2675,53,87.5,-20,8,NA,NA,NA,TRUE,-38.3,-2.2,-3.2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",3,"2024-05-01T04:24:36.701Z","2024-05-01T04:24:41.359Z",TRUE,"pitch","70f80469-703b-47fa-993b-67837d49e8d7",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,1,NA,NA,3.3,1.6466,NA,158.33,107.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Zach Neto grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",0,7,5,75,"bottom",9,"2024-05-01T04:23:17.590Z","2024-05-01T04:25:05.089Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",89.7,81.5,11,0.88,0.4207,6.3917,29.1548,-28.5927,-6.8362,2.0884,-1.0842,4.8606,5.5664,-130.5183,2.1756,-2.3633,50.0015,6.179,-11.7162,20.4,7.2,24,1767,234,NA,NA,NA,NA,NA,NA,FALSE,-29.6,4.6,11,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",2,"2024-05-01T04:24:11.279Z","2024-05-01T04:24:14.877Z",TRUE,"pitch","f3536d7c-2681-48f4-b80c-c440f95051e4",3,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",1,2,1,NA,NA,3.48,1.61,NA,134.77,180.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Zach Neto grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",0,7,5,75,"bottom",9,"2024-05-01T04:23:17.590Z","2024-05-01T04:25:05.089Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.7,79.7,7,0.9,0.4349,6.2778,26.6065,-38.3921,1.1455,-3.8781,-0.4661,2.1559,4.5524,-126.1415,-2.0455,-2.4458,50.0015,6.0843,1.837,3.6,9.6,24,2718,57,NA,NA,NA,NA,NA,NA,FALSE,-43.8,-7.2,-3.1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",1,"2024-05-01T04:23:51.624Z","2024-05-01T04:23:54.731Z",TRUE,"pitch","a0cb1ceb-2179-4fee-8e56-78d1db0deee2",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,1,NA,NA,3.5249,1.603,NA,80.53,230.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Zach Neto grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",0,7,5,75,"bottom",9,"2024-05-01T04:23:17.590Z","2024-05-01T04:25:05.089Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",96.2,87.8,14,2,0.394,6.6593,31.9362,-13.7052,-7.9158,9.4389,0.9567,0.2991,11.6028,-139.1553,-12.2019,-2.2431,50.0002,5.6549,-15.4848,38.4,4.8,24,2471,219,NA,NA,NA,NA,NA,NA,FALSE,-15.5,14.5,11.9,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",0,"2024-05-01T04:23:35.835Z","2024-05-01T04:23:39.746Z",TRUE,"pitch","5c1fcc57-2cc3-44b5-a11f-f98c3501b904",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.4445,1.4929,NA,105.6,173.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Groundout","field_out","Zach Neto grounds out, third baseman Alec Bohm to first baseman Bryce Harper.",0,7,5,75,"bottom",9,"2024-05-01T04:23:17.590Z","2024-05-01T04:25:05.089Z",TRUE,FALSE,FALSE,TRUE,0,2,2,2,687263,"Zach Neto","/api/v1/people/687263","R","Right",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_RHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87,79.4,6,0.89,0.4349,6.3824,28.3169,-37.3507,0.17,-3.2303,0.299,2.4319,6.958,-126.4629,-1.6285,-2.5223,50.0034,6.1096,0.271,2.4,9.6,24,2774,65,NA,NA,NA,NA,NA,NA,FALSE,-42.5,-6,-2,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",5,"2024-05-01T04:23:06.711Z","2024-05-01T04:23:11.267Z",TRUE,"pitch","b119e154-8c21-4e1f-86a2-2fe75c388756",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,3,0,NA,NA,3.42,1.58,NA,87.42,192.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Mickey Moniak strikes out swinging.",0,7,5,74,"bottom",9,"2024-05-01T04:21:52.199Z","2024-05-01T04:23:11.267Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,666160,"Mickey Moniak","/api/v1/people/666160","L","Left",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies",NA,NA,"rgba(119, 0, 152, 1.0)","FS","Splitter",90.7,82.7,9,0.91,0.4176,6.2913,29.6241,-30.6964,-9.836,0.851,0.776,1.7257,11.2135,-131.4896,-4.7216,-2.2795,50.0032,5.84,-17.1084,25.2,8.4,24,1704,243,NA,NA,NA,NA,NA,NA,TRUE,-33.1,0.6,15.1,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746239,"2024-05-01",4,"2024-05-01T04:22:46.843Z","2024-05-01T04:22:50.767Z",TRUE,"pitch","02d1fe19-b54c-40e0-85b7-89bfbdfd66cd",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,0,NA,NA,3.4265,1.4749,NA,121.64,215.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Mickey Moniak strikes out swinging.",0,7,5,74,"bottom",9,"2024-05-01T04:21:52.199Z","2024-05-01T04:23:11.267Z",TRUE,FALSE,FALSE,TRUE,14,1,3,1,666160,"Mickey Moniak","/api/v1/people/666160","L","Left",656546,"Jeff Hoffman","/api/v1/people/656546","R","Right","vs_RHP","vs_LHB","Empty",NA,"Los Angeles Angels",1,"Major League Baseball",NA,NA,103,"American League","Philadelphia Phillies",1,"Major League Baseball",NA,NA,104,"National League","Los Angeles Angels","Philadelphia Phillies",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.5,79.1,13,0.9,0.4378,6.3115,28.3508,-32.2699,2.6457,-0.0597,-0.1218,0.8749,4.8405,-125.6905,-6.0066,-2.4255,50.003,5.9549,4.1819,8.4,8.4,24,2784,47,NA,NA,NA,NA,NA,NA,FALSE,-38.4,-1.4,-6,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
