"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isBaseRunningPlay","details.disengagementNum","isSubstitution","result.isOut","about.isTopInning","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link"
746307,"2024-05-20",3,"2024-05-21T02:21:16.773Z","2024-05-21T02:21:20.939Z",TRUE,"pitch","af9bdcdb-fad0-4b69-9461-fc531bdcb8ec",4,"Swinging Strike (Blocked)",NA,NA,NA,NA,FALSE,"W","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"W","Swinging Strike (Blocked)",1,3,2,NA,NA,3.34,1.51,NA,94.26,242.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jake Rogers strikes out swinging.",0,3,8,74,"top",9,"2024-05-21T02:20:19.589Z","2024-05-21T02:21:20.939Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,668670,"Jake Rogers","/api/v1/people/668670","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals","true",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",80.2,74.2,14,2,0.4713,6.6856,23.8262,-39.5916,7.5147,-5.4363,0.5967,-0.1516,2.8964,-116.6352,-4.8128,-1.6408,50.0023,5.7092,10.2566,14.4,12,24,3306,52,NA,NA,NA,NA,NA,NA,TRUE,-53.6,-10.8,-14.4,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",2,"2024-05-21T02:20:58.275Z","2024-05-21T02:21:02.104Z",TRUE,"pitch","e61aa77f-96bf-4d19-9472-aea23c190428",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.392,1.6117,NA,86.86,266.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jake Rogers strikes out swinging.",0,3,8,74,"top",9,"2024-05-21T02:20:19.589Z","2024-05-21T02:21:20.939Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,668670,"Jake Rogers","/api/v1/people/668670","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals","false",NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",79.3,73.1,14,2,0.4785,6.6961,24.7805,-39.3139,7.6005,-5.3987,0.7906,-1.0296,3.3026,-115.2117,-6.2681,-1.6565,50.0047,5.5998,10.0456,14.4,13.2,24,3298,49,NA,NA,NA,NA,NA,NA,FALSE,-55.4,-11.3,-14.6,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",1,"2024-05-21T02:20:39.841Z","2024-05-21T02:20:46.916Z",TRUE,"pitch","a66769ea-b864-4a6f-b9e8-6f310f9c5c85",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.34,1.51,NA,115.8,162.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jake Rogers strikes out swinging.",0,3,8,74,"top",9,"2024-05-21T02:20:19.589Z","2024-05-21T02:21:20.939Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,668670,"Jake Rogers","/api/v1/people/668670","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",83.8,78,2,2,0.4464,6.4392,21.1335,-31.6559,4.4876,0.3439,0.0315,2.8133,2.9228,-122.103,-0.6142,-1.7591,50.006,5.7616,6.8651,13.2,8.4,24,3065,83,NA,NA,NA,NA,NA,NA,FALSE,-37.8,0.7,-8.8,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",0,"2024-05-21T02:20:25.625Z","2024-05-21T02:20:29.698Z",TRUE,"pitch","ff19b822-6b70-46a3-af4d-2899aca55f00",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.4467,1.5705,NA,122.22,150.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","atBat","Strikeout","strikeout","Jake Rogers strikes out swinging.",0,3,8,74,"top",9,"2024-05-21T02:20:19.589Z","2024-05-21T02:21:20.939Z",TRUE,FALSE,FALSE,TRUE,14,1,3,3,668670,"Jake Rogers","/api/v1/people/668670","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.6,85,2,0.93,0.4058,6.5084,28.4159,-26.1658,-7.9936,3.254,-0.1371,3.2617,6.7284,-134.8167,-1.777,-1.6226,50.0031,5.7703,-14.7628,26.4,6,24,2501,208,NA,NA,NA,NA,NA,NA,FALSE,-26,5.8,13.1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",1,"2024-05-21T02:19:51.739Z","2024-05-21T02:19:59.358Z",TRUE,"pitch","bdec6ce4-0547-4e78-a5d2-e3facdcc5478",2,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,1,1,NA,NA,3.57,1.66,NA,91,190.79,"ground_ball","medium","6",115.52,142.46,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Javier Báez grounds out, shortstop Bobby Witt Jr. to first baseman Vinnie Pasquantino.",0,3,8,73,"top",9,"2024-05-21T02:19:35.252Z","2024-05-21T02:19:59.358Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,595879,"Javier Báez","/api/v1/people/595879","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.4,78.4,9,2,0.4445,6.5608,22.6674,-32.6991,2.7678,-0.3384,0.6821,1.7774,4.9448,-122.8781,-2.8498,-1.7102,50.0036,5.7097,4.2643,8.4,8.4,24,2880,81,99.4,-18,6,NA,NA,NA,TRUE,-39.1,-1,-6.1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",0,"2024-05-21T02:19:37.744Z","2024-05-21T02:19:42.012Z",TRUE,"pitch","8c4c99a7-d447-4303-8d1e-99f898868819",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,1,NA,NA,3.7345,1.7101,NA,81.66,192.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73","atBat","Groundout","field_out","Javier Báez grounds out, shortstop Bobby Witt Jr. to first baseman Vinnie Pasquantino.",0,3,8,73,"top",9,"2024-05-21T02:19:35.252Z","2024-05-21T02:19:59.358Z",TRUE,FALSE,FALSE,TRUE,0,0,1,2,595879,"Javier Báez","/api/v1/people/595879","R","Right",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.8,85.5,14,0.93,0.4051,6.7437,27.1162,-13.6166,-2.7147,10.0037,0.9271,1.7091,7.5493,-134.8053,-7.7214,-1.5472,50.0037,5.5559,-5.0371,13.2,3.6,24,2570,207,NA,NA,NA,NA,NA,NA,FALSE,-14.9,16.8,3.5,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",8,"2024-05-21T02:19:06.860Z","2024-05-21T02:19:16.890Z",TRUE,"pitch","7305d741-ac72-4741-a418-ac1b92c35a1b",8,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",3,2,0,NA,NA,3.41,1.64,NA,144.91,178.96,"line_drive","medium","7",58.95,82.84,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Lineout","field_out","Colt Keith lines out to left fielder MJ Melendez.",0,3,8,72,"top",9,"2024-05-21T02:16:48.715Z","2024-05-21T02:19:16.890Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,690993,"Colt Keith","/api/v1/people/690993","L","Left",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",84.5,78.8,4,2,0.4423,6.515,21.2074,-33.5669,2.5099,-0.8976,-0.7322,2.2156,1.8213,-123.1837,-1.8523,-1.8035,50.0009,5.7775,3.9109,7.2,8.4,24,2852,81,93.1,23,333,NA,NA,NA,TRUE,-39.5,-1.8,-4.9,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",7,"2024-05-21T02:18:42.368Z","2024-05-21T02:18:46.271Z",TRUE,"pitch","c7814e6e-592c-415f-a803-625626be7b5e",7,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.41,1.64,NA,131.84,142.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Lineout","field_out","Colt Keith lines out to left fielder MJ Melendez.",0,3,8,72,"top",9,"2024-05-21T02:16:48.715Z","2024-05-21T02:19:16.890Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,690993,"Colt Keith","/api/v1/people/690993","L","Left",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",91.9,84.9,11,0.92,0.4072,6.5985,25.842,-16.2615,-2.3208,8.6634,-0.3894,3.5568,3.9484,-133.9132,-2.9009,-1.5739,50.003,5.8014,-4.2633,12,3.6,24,2551,214,NA,NA,NA,NA,NA,NA,FALSE,-16.7,15.4,3.5,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",6,"2024-05-21T02:18:18.202Z","2024-05-21T02:18:21.931Z",TRUE,"pitch","db037941-a9ae-454c-994f-db6a57f22830",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,0,NA,NA,3.41,1.64,NA,79.61,191.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Lineout","field_out","Colt Keith lines out to left fielder MJ Melendez.",0,3,8,72,"top",9,"2024-05-21T02:16:48.715Z","2024-05-21T02:19:16.890Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,690993,"Colt Keith","/api/v1/people/690993","L","Left",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals",NA,NA,"rgba(0, 34, 255, 1.0)","CU","Curveball",78.3,71.9,14,2,0.4828,6.5666,23.1355,-38.6112,8.8989,-4.9465,0.9809,1.7538,3.0475,-113.9419,-0.8558,-1.5345,50.0051,5.9873,11.5705,16.8,13.2,24,3164,47,NA,NA,NA,NA,NA,NA,FALSE,-53.9,-8.9,-16.9,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746307,"2024-05-20",4,"2024-05-21T02:17:56.503Z","2024-05-21T02:18:02.668Z",TRUE,"pitch","7aa5c921-5424-45eb-8925-74c3a944750f",5,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",3,2,0,NA,NA,3.5241,1.7789,NA,95.96,186.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72","atBat","Lineout","field_out","Colt Keith lines out to left fielder MJ Melendez.",0,3,8,72,"top",9,"2024-05-21T02:16:48.715Z","2024-05-21T02:19:16.890Z",TRUE,FALSE,FALSE,TRUE,0,3,2,1,690993,"Colt Keith","/api/v1/people/690993","L","Left",608717,"Chris Stratton","/api/v1/people/608717","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Detroit Tigers","Kansas City Royals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.3,85.3,9,0.92,0.4065,6.7386,26.175,-15.5004,-2.7976,9.0464,0.552,1.9183,6.8433,-134.1987,-6.6891,-1.6558,50.0019,5.5266,-5.1563,13.2,3.6,24,2573,216,NA,NA,NA,NA,NA,NA,FALSE,-16.6,15.2,3.7,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
