"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","details.disengagementNum","isSubstitution","base","replacedPlayer.id","replacedPlayer.link","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
746318,"2024-05-03",3,"2024-05-04T02:04:23.148Z","2024-05-04T02:04:31.006Z",TRUE,"pitch","fc02a350-d17e-46eb-a168-2218d83b864a",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,2,NA,NA,3.29,1.53,NA,132.44,189.1,"ground_ball","medium","6",106.54,150.27,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Andrew Knizner grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",0,1,7,71,"top",9,"2024-05-04T02:03:24.510Z","2024-05-04T02:04:31.006Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,668800,"Andrew Knizner","/api/v1/people/668800","R","Right",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.8,88.4,7,0.86,0.3916,6.8405,28.9862,-19.115,-7.4854,6.5779,-0.4051,1.8399,4.3122,-139.4318,-6.5859,-0.9927,50.0017,5.4775,-14.8562,34.8,4.8,24,2087,204,99.8,-14,9,NA,NA,NA,TRUE,-18.7,10.8,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",2,"2024-05-04T02:04:05.614Z","2024-05-04T02:04:08.614Z",TRUE,"pitch","709e965f-108e-48cc-821c-1c7d2ca34975",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,2,NA,NA,3.2014,1.5629,NA,46.43,227.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Andrew Knizner grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",0,1,7,71,"top",9,"2024-05-04T02:03:24.510Z","2024-05-04T02:04:31.006Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,668800,"Andrew Knizner","/api/v1/people/668800","R","Right",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals","false",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",87.6,80.8,14,0.9,0.4305,6.7294,26.4973,-28.542,1.9848,2.2157,1.8514,0.4321,6.5254,-127.3165,-6.8515,-1.0042,50.0021,5.4213,3.2534,8.4,7.2,24,2775,93,NA,NA,NA,NA,NA,NA,FALSE,-33.1,2.6,-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",1,"2024-05-04T02:03:50.003Z","2024-05-04T02:03:53.003Z",TRUE,"pitch","d10f88e6-4a1e-4421-b30c-5bc42da83a39",2,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,1,2,NA,NA,3.2198,1.5233,NA,58.62,200.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Andrew Knizner grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",0,1,7,71,"top",9,"2024-05-04T02:03:24.510Z","2024-05-04T02:04:31.006Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,668800,"Andrew Knizner","/api/v1/people/668800","R","Right",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.9,88.2,14,0.87,0.3924,6.7936,29.5154,-14.1965,-7.7446,9.1024,1.5315,1.4147,9.0627,-139.2483,-8.4508,-0.7499,50.0055,5.4159,-15.3022,39.6,4.8,24,2180,208,NA,NA,NA,NA,NA,NA,FALSE,-14.8,15,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",0,"2024-05-04T02:03:33.750Z","2024-05-04T02:03:37.947Z",TRUE,"pitch","744af1fc-f678-4268-8064-60fd5fb80898",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.1898,1.4883,NA,130.39,197.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","atBat","Groundout","field_out","Andrew Knizner grounds out, shortstop Bobby Witt Jr. to first baseman Salvador Perez.",0,1,7,71,"top",9,"2024-05-04T02:03:24.510Z","2024-05-04T02:04:31.006Z",TRUE,FALSE,FALSE,TRUE,0,2,1,3,668800,"Andrew Knizner","/api/v1/people/668800","R","Right",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_RHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",95.6,87.7,7,0.88,0.3937,6.8083,30.6308,-15.9623,-8.4506,8.2675,-0.3514,1.5415,4.0907,-139.0339,-7.8807,-0.7423,50.0047,5.4682,-16.5767,42,4.8,24,2115,205,NA,NA,NA,NA,NA,NA,FALSE,-16.3,13.6,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",3,"2024-05-04T02:02:58.285Z","2024-05-04T02:03:05.389Z",TRUE,"pitch","29cb1f75-6121-4e17-bf6b-d75fa22ab073",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",2,1,1,NA,NA,3.55,1.71,NA,99.09,183.91,"ground_ball","medium","3",163.05,158.96,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Travis Jankowski grounds out, first baseman Salvador Perez to pitcher Colin Selby.",0,1,7,70,"top",9,"2024-05-04T02:02:01.089Z","2024-05-04T02:03:05.389Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.3,88.2,9,2,0.393,6.6914,27.5861,-16.718,-4.4584,7.8329,0.47,2.0322,5.4052,-138.7591,-6.4307,-0.9131,50.0015,5.4711,-8.7969,22.8,3.6,24,2107,199,101,-13,10,NA,NA,NA,TRUE,-16.6,13.2,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",2,"2024-05-04T02:02:41.999Z","2024-05-04T02:02:45.179Z",TRUE,"pitch","4c37444a-fae1-4d9e-be19-70d0c7ccd467",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,1,1,NA,NA,3.2708,1.715,NA,65.29,213.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Travis Jankowski grounds out, first baseman Salvador Perez to pitcher Colin Selby.",0,1,7,70,"top",9,"2024-05-04T02:02:01.089Z","2024-05-04T02:03:05.389Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals","false",NA,"rgba(153, 171, 0, 1.0)","KC","Knuckle Curve",82.3,76.1,14,2,0.4582,6.7861,24.1252,-42.4174,4.7176,-7.0909,1.3566,0.9276,4.2955,-119.7526,-2.3652,-1.0761,50.0012,5.7392,6.8176,9.6,12,24,2604,22,NA,NA,NA,NA,NA,NA,FALSE,-53.6,-13.1,-9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",1,"2024-05-04T02:02:27.004Z","2024-05-04T02:02:31.854Z",TRUE,"pitch","9b887910-0c0d-4869-b9b3-bfccdfdc6731",2,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,1,1,NA,NA,3.3261,1.6183,NA,103.21,196.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Travis Jankowski grounds out, first baseman Salvador Perez to pitcher Colin Selby.",0,1,7,70,"top",9,"2024-05-04T02:02:01.089Z","2024-05-04T02:03:05.389Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.5,86.7,9,2,0.3983,6.7585,29.7528,-14.6803,-4.848,9.1273,0.3618,1.5506,5.9982,-137.4039,-8.0269,-1.2171,50.0047,5.5024,-9.294,26.4,3.6,24,2027,200,NA,NA,NA,NA,NA,NA,FALSE,-15.6,15,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",0,"2024-05-04T02:02:09.125Z","2024-05-04T02:02:13.652Z",TRUE,"pitch","0b203969-074a-4fde-9e08-356a719dcdcb",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.2916,1.6069,NA,141.81,119.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70","atBat","Groundout","field_out","Travis Jankowski grounds out, first baseman Salvador Perez to pitcher Colin Selby.",0,1,7,70,"top",9,"2024-05-04T02:02:01.089Z","2024-05-04T02:03:05.389Z",TRUE,FALSE,FALSE,TRUE,0,2,1,2,608671,"Travis Jankowski","/api/v1/people/608671","L","Left",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.2,86.6,11,2,0.3956,6.6913,32.327,-13.7121,-3.086,9.5214,-0.6509,4.4336,2.3414,-138.6953,-0.8678,-1.1069,50.0067,5.6691,-5.9864,21.6,3.6,24,2157,204,NA,NA,NA,NA,NA,NA,FALSE,-13,17.3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",1,"2024-05-04T02:01:38.215Z","2024-05-04T02:01:47.973Z",TRUE,"pitch","e8aec256-00b6-43c0-b1a3-81366c5733da",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.13,1.47,NA,115.42,165.1,"popup","medium","6",110.44,133.73,NA,NA,NA,NA,NA,NA,NA,NA,"69","atBat","Pop Out","field_out","Josh Smith pops out to shortstop Bobby Witt Jr.",0,1,7,69,"top",9,"2024-05-04T02:01:36.112Z","2024-05-04T02:01:47.973Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,669701,"Josh Smith","/api/v1/people/669701","L","Left",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",95.5,87.3,2,2,0.3942,6.7902,31.2961,-10.8817,-2.0918,10.8898,0.0414,2.7289,3.9724,-138.9763,-5.947,-1.135,50.0007,5.6199,-4.0896,14.4,2.4,24,2346,197,85.6,62,173,NA,NA,NA,TRUE,-11.3,18.7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
746318,"2024-05-03",0,"2024-05-04T01:59:52.725Z","2024-05-04T02:01:38.215Z",FALSE,"action",NA,NA,"Pitching Change: Colin Selby replaces Angel Zerpa.","Pitching Substitution",1,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,681882,"/api/v1/people/681882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"69","atBat","Pop Out","field_out","Josh Smith pops out to shortstop Bobby Witt Jr.",0,1,7,69,"top",9,"2024-05-04T02:01:36.112Z","2024-05-04T02:01:47.973Z",TRUE,FALSE,FALSE,TRUE,0,0,0,1,669701,"Josh Smith","/api/v1/people/669701","L","Left",681882,"Colin Selby","/api/v1/people/681882","R","Right","vs_RHP","vs_LHB","Empty",NA,"Kansas City Royals",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers",1,"Major League Baseball",NA,NA,103,"American League","Texas Rangers","Kansas City Royals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
