"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","isSubstitution","replacedPlayer.id","replacedPlayer.link","details.disengagementNum","isBaseRunningPlay","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned","reviewDetails.inProgress","reviewDetails.reviewType","reviewDetails.challengeTeamId"
746491,"2024-04-12",4,"2024-04-13T02:32:25.253Z","2024-04-13T02:32:28.608Z",TRUE,"pitch","3ec53feb-c169-4a26-a0b3-f21fc9aeb66c",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",2,3,2,NA,NA,3.45,1.67,NA,93.19,186.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Manuel Margot strikes out swinging.",0,2,8,77,"top",9,"2024-04-13T02:31:16.701Z","2024-04-13T02:32:28.608Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",85,78.8,9,0.9,0.4414,6.1343,22.9263,-32.5954,0.5541,-0.2718,0.6245,1.929,7.2083,-123.7346,-1.8419,-2.389,50.0008,5.3945,0.8653,3.6,8.4,24,2101,6,NA,NA,NA,NA,NA,NA,TRUE,-38.3,-0.7,-2.5,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",3,"2024-04-13T02:32:09.932Z","2024-04-13T02:32:13.312Z",TRUE,"pitch","ffe6e1f8-d369-47d1-8e5f-cb59bb1f26fc",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,2,NA,NA,3.6231,1.7849,NA,80,201.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Manuel Margot strikes out swinging.",0,2,8,77,"top",9,"2024-04-13T02:31:16.701Z","2024-04-13T02:32:28.608Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.4,84.7,14,0.88,0.4084,6.266,28.3296,-21.6735,-10.0264,5.7653,0.9708,1.3702,11.5025,-133.9828,-6.3862,-2.0707,50.0064,5.3284,-18.2748,34.8,6,24,1886,226,NA,NA,NA,NA,NA,NA,FALSE,-23,9.2,15.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",2,"2024-04-13T02:31:55.504Z","2024-04-13T02:31:59.108Z",TRUE,"pitch","4ef8272a-1641-4d2c-a61d-9b4970d3131c",3,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,2,2,NA,NA,3.6234,1.7476,NA,64.27,157.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Manuel Margot strikes out swinging.",0,2,8,77,"top",9,"2024-04-13T02:31:16.701Z","2024-04-13T02:32:28.608Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",92.7,84.4,12,0.87,0.4075,6.1977,29.8559,-17.0715,-5.5539,8.2593,1.3834,2.9963,10.5561,-134.5347,-3.4313,-1.8739,50.0025,5.502,-10.1563,24,4.8,24,1989,222,NA,NA,NA,NA,NA,NA,FALSE,-17.6,14.4,7.7,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",1,"2024-04-13T02:31:33.673Z","2024-04-13T02:31:37.492Z",TRUE,"pitch","f7d6c1ce-a5e5-4b20-831f-f0a5b3297dd3",2,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",0,2,2,NA,NA,3.45,1.67,NA,136.03,171.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Manuel Margot strikes out swinging.",0,2,8,77,"top",9,"2024-04-13T02:31:16.701Z","2024-04-13T02:32:28.608Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93.1,85,4,0.95,0.4049,6.1784,30.1228,-23.8167,-10.2224,4.5121,-0.4992,2.4841,8.1122,-135.3942,-3.311,-2.2091,50.0048,5.3935,-18.9426,34.8,6,24,1924,226,NA,NA,NA,NA,NA,NA,FALSE,-24,7.7,16.8,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",0,"2024-04-13T02:31:20.131Z","2024-04-13T02:31:24.348Z",TRUE,"pitch","b76d60bc-a9fd-40ed-ba10-600a39e02b94",1,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",0,1,2,NA,NA,3.7072,1.7778,NA,132.69,171.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Manuel Margot strikes out swinging.",0,2,8,77,"top",9,"2024-04-13T02:31:16.701Z","2024-04-13T02:32:28.608Z",TRUE,FALSE,FALSE,TRUE,14,2,3,3,622534,"Manuel Margot","/api/v1/people/622534","R","Right",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_RHB","Empty",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.7,84.5,4,0.76,0.407,6.274,30.3287,-22.7784,-9.9264,5.1265,-0.4115,2.484,8.2374,-134.7668,-3.5072,-2.2238,50.0016,5.4183,-18.1883,34.8,6,24,1966,222,NA,NA,NA,NA,NA,NA,FALSE,-23.3,8.6,16.1,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",1,"2024-04-13T02:30:43.975Z","2024-04-13T02:30:53.747Z",TRUE,"pitch","e8a1f5a0-8636-456e-9f6e-25118970f2ca",2,"In play, run(s)",NA,NA,NA,NA,FALSE,"E","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"E","In play, run(s)",0,1,2,NA,NA,3.3401,1.6706,NA,101.73,179.27,"line_drive","hard","8",102.69,74.37,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Single","single","Edouard Julien singles on a sharp line drive to center fielder Parker Meadows. Kyle Farmer scores. Carlos Santana to 2nd.",1,2,8,76,"top",9,"2024-04-13T02:30:14.859Z","2024-04-13T02:30:53.747Z",TRUE,TRUE,FALSE,FALSE,33,0,1,2,666397,"Edouard Julien","/api/v1/people/666397","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","true",NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.3,78.5,6,0.9,0.4387,6.3006,28.6905,-34.9669,0.8856,-1.7776,0.4007,2.2041,6.5466,-125.5218,-0.8688,-2.3713,50.0016,5.4371,1.3919,4.8,9.6,24,2245,8,102,15,269,NA,NA,NA,FALSE,-40.3,-3.1,-3.4,NA,NA,NA,NA,NA,FALSE,TRUE,666397,"Edouard Julien","/api/v1/people/666397",467793,"Carlos Santana","/api/v1/people/467793",NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",0,"2024-04-13T02:30:28.905Z","2024-04-13T02:30:32.764Z",TRUE,"pitch","397f9550-3e69-453d-9b9a-fb22e0322a2c",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.31,1.64,NA,148.14,156.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Single","single","Edouard Julien singles on a sharp line drive to center fielder Parker Meadows. Kyle Farmer scores. Carlos Santana to 2nd.",1,2,8,76,"top",9,"2024-04-13T02:30:14.859Z","2024-04-13T02:30:53.747Z",TRUE,TRUE,FALSE,FALSE,33,0,1,2,666397,"Edouard Julien","/api/v1/people/666397","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.3,85,1,0.9,0.4019,6.2003,34.635,-16.2832,-7.5508,8.4787,-0.817,3.055,6.0824,-137.1042,-3.5284,-2.1001,50.0062,5.4927,-14.1583,36,4.8,24,2089,220,NA,NA,NA,NA,NA,NA,FALSE,-16.6,14.6,12.1,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",6,"2024-04-13T02:30:03.477Z","2024-04-13T02:30:06.968Z",TRUE,"pitch","56fa386c-b4bd-4da8-8b98-cff2fd14d935",7,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,2,NA,NA,3.5058,1.7683,NA,123.41,206.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Walk","walk","Carlos Santana walks.",0,1,8,75,"top",9,"2024-04-13T02:28:14.017Z","2024-04-13T02:30:06.968Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,467793,"Carlos Santana","/api/v1/people/467793","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.6,85,13,0.9,0.4045,6.2286,32.0035,-14.8734,-7.469,9.3363,-0.1681,1.1875,7.6521,-135.8182,-8.1897,-2.0627,50.0029,5.2937,-13.8409,36,4.8,24,2070,216,NA,NA,NA,NA,NA,NA,FALSE,-16.4,15.1,11.8,NA,NA,NA,NA,NA,FALSE,TRUE,467793,"Carlos Santana","/api/v1/people/467793",571657,"Kyle Farmer","/api/v1/people/571657",NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",5,"2024-04-13T02:29:35.921Z","2024-04-13T02:29:41.851Z",TRUE,"pitch","5a5bc343-56af-4bbb-bdb2-d2fb27423ac0",6,"Foul",NA,NA,NA,NA,FALSE,"F","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"F","Foul",3,2,2,NA,NA,3.37,1.62,NA,120.96,155.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Walk","walk","Carlos Santana walks.",0,1,8,75,"top",9,"2024-04-13T02:28:14.017Z","2024-04-13T02:30:06.968Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,467793,"Carlos Santana","/api/v1/people/467793","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",93.3,84.7,2,0.89,0.4049,6.1547,31.2216,-15.2324,-7.6321,9.1559,-0.1038,3.0828,7.8992,-135.5696,-3.5769,-2.0717,50.0056,5.4909,-14.1276,37.2,4.8,24,2134,223,NA,NA,NA,NA,NA,NA,FALSE,-15.7,16,12,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
746491,"2024-04-12",4,"2024-04-13T02:29:17.067Z","2024-04-13T02:29:20.580Z",TRUE,"pitch","d2c09c4d-07d3-489f-9463-1511783b9bbc",5,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",3,2,2,NA,NA,3.37,1.62,NA,161.36,164.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Walk","walk","Carlos Santana walks.",0,1,8,75,"top",9,"2024-04-13T02:28:14.017Z","2024-04-13T02:30:06.968Z",TRUE,FALSE,FALSE,FALSE,0,4,2,2,467793,"Carlos Santana","/api/v1/people/467793","L","Left",676684,"Will Vest","/api/v1/people/676684","R","Right","vs_RHP","vs_LHB","RISP",NA,"Detroit Tigers",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins",1,"Major League Baseball",NA,NA,103,"American League","Minnesota Twins","Detroit Tigers","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",94.1,85.9,11,0.91,0.4004,6.122,30.3591,-13.1441,-7.3831,10.0395,-1.1638,2.7683,5.6826,-136.8338,-4.753,-2.3089,50.0009,5.4293,-13.9909,42,3.6,24,2107,222,NA,NA,NA,NA,NA,NA,FALSE,-13.6,17.4,12.1,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
