"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.disengagementNum","isBaseRunningPlay","isSubstitution","replacedPlayer.id","replacedPlayer.link","reviewDetails.isOverturned.x","reviewDetails.inProgress.x","reviewDetails.reviewType.x","reviewDetails.challengeTeamId.x","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","base","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link","reviewDetails.isOverturned.y","reviewDetails.inProgress.y","reviewDetails.reviewType.y","reviewDetails.challengeTeamId.y"
747050,"2024-04-26",2,"2024-04-27T02:04:59.987Z","2024-04-27T02:05:04.131Z",TRUE,"pitch","10956ecc-4daf-49ba-8592-6199b306e5a8",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,3,2,NA,NA,3.73,1.75,NA,98.22,153.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Gunnar Henderson strikes out swinging.",0,3,2,77,"bottom",10,"2024-04-27T02:04:05.188Z","2024-04-27T02:05:04.131Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683002,"Gunnar Henderson","/api/v1/people/683002","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","true",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.8,92.2,3,0.95,0.3717,6.7419,37.7934,-8.3136,-5.4155,10.8709,0.4926,3.152,9.1954,-147.7957,-7.0438,-1.9666,50.0021,6.0654,-11.8865,43.2,2.4,24,2664,217,NA,NA,NA,NA,NA,NA,TRUE,-8.4,18.2,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747050,"2024-04-26",1,"2024-04-27T02:04:39.407Z","2024-04-27T02:04:44.935Z",TRUE,"pitch","2cbb3baf-f2eb-4013-ae45-5655a49ce579",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,2,2,NA,NA,3.73,1.75,NA,118.13,128.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Gunnar Henderson strikes out swinging.",0,3,2,77,"bottom",10,"2024-04-27T02:04:05.188Z","2024-04-27T02:05:04.131Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683002,"Gunnar Henderson","/api/v1/people/683002","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.4,91.9,11,0.95,0.3726,6.6114,37.578,-10.0646,-6.2397,10.124,-0.0295,4.0838,8.0252,-147.4183,-4.0936,-1.9864,50.005,6.0931,-13.6298,46.8,2.4,24,2680,221,NA,NA,NA,NA,NA,NA,FALSE,-9.2,17.6,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747050,"2024-04-26",0,"2024-04-27T02:04:23.025Z","2024-04-27T02:04:26.254Z",TRUE,"pitch","b33ce702-f2c6-4053-97c0-93fbb79b6046",1,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",0,1,2,NA,NA,3.73,1.75,NA,115.61,176.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77","atBat","Strikeout","strikeout","Gunnar Henderson strikes out swinging.",0,3,2,77,"bottom",10,"2024-04-27T02:04:05.188Z","2024-04-27T02:05:04.131Z",TRUE,FALSE,FALSE,TRUE,14,0,3,3,683002,"Gunnar Henderson","/api/v1/people/683002","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics","false",NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",99.9,90.8,8,0.94,0.3784,6.7105,35.364,-11.2717,-7.5686,9.8609,0.0365,2.2898,8.9607,-144.995,-8.337,-2.1174,50.0024,5.8985,-16.0418,46.8,3.6,24,2631,217,NA,NA,NA,NA,NA,NA,FALSE,-11.4,16.2,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747050,"2024-04-26",5,"2024-04-27T02:03:45.302Z","2024-04-27T02:03:53.724Z",TRUE,"pitch","1ff2c0fc-232d-4bd4-b2a9-7a9904578c15",4,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",1,2,1,NA,NA,3.82,1.75,NA,77.31,166.46,"ground_ball","medium","4",139.29,164.35,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Heston Kjerstad grounds out, second baseman Darell Hernaiz to first baseman Ryan Noda. Jordan Westburg to 3rd.",0,3,2,76,"bottom",10,"2024-04-27T02:02:47.000Z","2024-04-27T02:03:53.724Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,677008,"Heston Kjerstad","/api/v1/people/677008","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",102.4,94.3,14,0.95,0.3672,6.7138,32.2286,-11.1376,-7.055,9.3157,1.0412,2.6787,11.3639,-148.5832,-7.8585,-1.8987,50.0053,5.9885,-15.9364,46.8,3.6,24,2576,218,54,-10,13,NA,NA,NA,TRUE,-10.4,15.6,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,676059,"Jordan Westburg","/api/v1/people/676059",NA,NA,NA,NA
747050,"2024-04-26",4,"2024-04-27T02:03:26.083Z","2024-04-27T02:03:29.083Z",TRUE,"pitch","b5d7b83d-23d4-4030-bfc4-96afc53fd423",3,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,2,1,NA,NA,3.82,1.75,NA,130.75,130.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Heston Kjerstad grounds out, second baseman Darell Hernaiz to first baseman Ryan Noda. Jordan Westburg to 3rd.",0,3,2,76,"bottom",10,"2024-04-27T02:02:47.000Z","2024-04-27T02:03:53.724Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,677008,"Heston Kjerstad","/api/v1/people/677008","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",102.1,93.5,11,0.95,0.3682,6.7113,34.1962,-12.9917,-6.6727,8.5507,-0.3607,3.9974,7.5553,-148.5106,-4.0725,-2.0657,50.0001,6.1372,-14.965,43.2,3.6,24,2695,213,NA,NA,NA,NA,NA,NA,FALSE,-11.3,14.9,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747050,"2024-04-26",3,"2024-04-27T02:03:05.592Z","2024-04-27T02:03:08.592Z",TRUE,"pitch","db018951-9618-4a32-a441-5228e7834228",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,1,NA,NA,3.82,1.75,NA,114.69,139.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Heston Kjerstad grounds out, second baseman Darell Hernaiz to first baseman Ryan Noda. Jordan Westburg to 3rd.",0,3,2,76,"bottom",10,"2024-04-27T02:02:47.000Z","2024-04-27T02:03:53.724Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,677008,"Heston Kjerstad","/api/v1/people/677008","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",101.2,92.5,2,0.95,0.372,6.6762,34.1251,-11.5572,-6.4273,9.3847,0.0605,3.6834,8.6372,-147.1027,-5.0351,-2.0754,50.0005,6.0993,-14.1176,43.2,3.6,24,2696,217,NA,NA,NA,NA,NA,NA,FALSE,-10.6,16.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747050,"2024-04-26",2,"2024-04-27T02:02:49.429Z","2024-04-27T02:02:53.318Z",TRUE,"pitch","61f2daf1-4df1-42d0-a94f-76350594ad72",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,1,NA,NA,3.9981,1.9252,NA,76.6,172.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Heston Kjerstad grounds out, second baseman Darell Hernaiz to first baseman Ryan Noda. Jordan Westburg to 3rd.",0,3,2,76,"bottom",10,"2024-04-27T02:02:47.000Z","2024-04-27T02:03:53.724Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,677008,"Heston Kjerstad","/api/v1/people/677008","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics",NA,NA,"rgba(188, 0, 33, 1.0)","FF","Four-Seam Fastball",100.9,92.5,14,0.94,0.3735,6.5269,33.0421,-10.4573,-6.1699,9.9581,1.0599,2.4394,10.9526,-146.3986,-8.362,-1.9202,50.0063,5.9509,-13.4603,42,3.6,24,2525,220,NA,NA,NA,NA,NA,NA,FALSE,-10.3,16.6,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747050,"2024-04-26",0,"2024-04-27T02:02:12.777Z","2024-04-27T02:02:20.276Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Heston Kjerstad replaces Ramón Urías.","Offensive Substitution",3,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,677008,"/api/v1/people/677008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","901","76","atBat","Groundout","field_out","Heston Kjerstad grounds out, second baseman Darell Hernaiz to first baseman Ryan Noda. Jordan Westburg to 3rd.",0,3,2,76,"bottom",10,"2024-04-27T02:02:47.000Z","2024-04-27T02:03:53.724Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,677008,"Heston Kjerstad","/api/v1/people/677008","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,602104,"/api/v1/people/602104",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747050,"2024-04-26",1,"2024-04-27T02:02:20.276Z","2024-04-27T02:02:49.429Z",FALSE,"action",NA,NA,"Mound Visit.","Mound Visit",3,2,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mound_visit",NA,NA,NA,NA,NA,NA,"76","atBat","Groundout","field_out","Heston Kjerstad grounds out, second baseman Darell Hernaiz to first baseman Ryan Noda. Jordan Westburg to 3rd.",0,3,2,76,"bottom",10,"2024-04-27T02:02:47.000Z","2024-04-27T02:03:53.724Z",TRUE,FALSE,FALSE,TRUE,0,1,2,2,677008,"Heston Kjerstad","/api/v1/people/677008","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
747050,"2024-04-26",10,"2024-04-27T02:01:52.413Z","2024-04-27T02:01:56.322Z",TRUE,"pitch","31a9fb42-0de3-4b9c-8275-6e3667a7be42",6,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",2,3,0,NA,NA,3.3942,1.6234,NA,122.79,156.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75","atBat","Strikeout","strikeout","Colton Cowser called out on strikes.",0,3,2,75,"bottom",10,"2024-04-27T01:59:54.619Z","2024-04-27T02:01:56.322Z",TRUE,FALSE,FALSE,TRUE,14,2,3,1,681297,"Colton Cowser","/api/v1/people/681297","L","Left",695243,"Mason Miller","/api/v1/people/695243","R","Right","vs_RHP","vs_LHB","RISP",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Baltimore Orioles","Oakland Athletics",NA,NA,"rgba(0, 0, 254, 1.0)","SL","Slider",86.9,80.3,2,0.88,0.432,6.7192,24.9945,-36.5811,5.1761,-2.7001,-0.1519,3.0303,3.6098,-126.6066,-0.1802,-2.2671,50.0058,6.0213,8.4342,14.4,9.6,24,2238,48,NA,NA,NA,NA,NA,NA,TRUE,-40.8,-4.7,-10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,676059,"Jordan Westburg","/api/v1/people/676059",NA,NA,NA,NA,NA,NA,NA
