"game_pk","game_date","index","startTime","endTime","isPitch","type","playId","pitchNumber","details.description","details.event","details.awayScore","details.homeScore","details.isScoringPlay","details.hasReview","details.code","details.ballColor","details.isInPlay","details.isStrike","details.isBall","details.call.code","details.call.description","count.balls.start","count.strikes.start","count.outs.start","player.id","player.link","pitchData.strikeZoneTop","pitchData.strikeZoneBottom","details.fromCatcher","pitchData.coordinates.x","pitchData.coordinates.y","hitData.trajectory","hitData.hardness","hitData.location","hitData.coordinates.coordX","hitData.coordinates.coordY","actionPlayId","details.eventType","details.runnerGoing","position.code","position.name","position.type","position.abbreviation","battingOrder","atBatIndex","result.type","result.event","result.eventType","result.description","result.rbi","result.awayScore","result.homeScore","about.atBatIndex","about.halfInning","about.inning","about.startTime","about.endTime","about.isComplete","about.isScoringPlay","about.hasReview","about.hasOut","about.captivatingIndex","count.balls.end","count.strikes.end","count.outs.end","matchup.batter.id","matchup.batter.fullName","matchup.batter.link","matchup.batSide.code","matchup.batSide.description","matchup.pitcher.id","matchup.pitcher.fullName","matchup.pitcher.link","matchup.pitchHand.code","matchup.pitchHand.description","matchup.splits.batter","matchup.splits.pitcher","matchup.splits.menOnBase","batted.ball.result","home_team","home_level_id","home_level_name","home_parentOrg_id","home_parentOrg_name","home_league_id","home_league_name","away_team","away_level_id","away_level_name","away_parentOrg_id","away_parentOrg_name","away_league_id","away_league_name","batting_team","fielding_team","last.pitch.of.ab","pfxId","details.trailColor","details.type.code","details.type.description","pitchData.startSpeed","pitchData.endSpeed","pitchData.zone","pitchData.typeConfidence","pitchData.plateTime","pitchData.extension","pitchData.coordinates.aY","pitchData.coordinates.aZ","pitchData.coordinates.pfxX","pitchData.coordinates.pfxZ","pitchData.coordinates.pX","pitchData.coordinates.pZ","pitchData.coordinates.vX0","pitchData.coordinates.vY0","pitchData.coordinates.vZ0","pitchData.coordinates.x0","pitchData.coordinates.y0","pitchData.coordinates.z0","pitchData.coordinates.aX","pitchData.breaks.breakAngle","pitchData.breaks.breakLength","pitchData.breaks.breakY","pitchData.breaks.spinRate","pitchData.breaks.spinDirection","hitData.launchSpeed","hitData.launchAngle","hitData.totalDistance","injuryType","umpire.id","umpire.link","details.isOut","pitchData.breaks.breakVertical","pitchData.breaks.breakVerticalInduced","pitchData.breaks.breakHorizontal","details.violation.type","details.violation.description","details.violation.player.id","details.violation.player.fullName","isBaseRunningPlay","details.disengagementNum","isSubstitution","replacedPlayer.id","replacedPlayer.link","result.isOut","about.isTopInning","matchup.postOnFirst.id","matchup.postOnFirst.fullName","matchup.postOnFirst.link","matchup.postOnSecond.id","matchup.postOnSecond.fullName","matchup.postOnSecond.link","matchup.postOnThird.id","matchup.postOnThird.fullName","matchup.postOnThird.link"
747052,"2024-04-27",1,"2024-04-27T22:16:33.975Z","2024-04-27T22:16:41.688Z",TRUE,"pitch","bac40aaa-5f51-4b0c-bec5-5f608d326f7c",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,2,NA,NA,3.38,1.61,NA,143.54,172.65,"ground_ball","medium","4",151.18,161.25,NA,NA,NA,NA,NA,NA,NA,NA,"65","atBat","Groundout","field_out","Ryan Noda grounds out, second baseman Jorge Mateo to first baseman Ryan Mountcastle.",0,0,7,65,"top",9,"2024-04-27T22:16:31.583Z","2024-04-27T22:16:41.688Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,676116,"Ryan Noda","/api/v1/people/676116","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92.3,83.8,4,0.91,0.4097,6.7227,31.9622,-27.7087,-9.8107,2.4747,-0.6963,2.4494,5.6464,-134.2447,-2.6137,-1.5641,50.0053,5.4303,-17.7173,30,7.2,24,1939,230,76.3,6,78,NA,NA,NA,TRUE,-28.3,4.1,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747052,"2024-04-27",0,"2024-04-27T22:16:31.480Z","2024-04-27T22:16:33.975Z",FALSE,"action",NA,NA,"Offensive Substitution: Pinch-hitter Ryan Noda replaces Abraham Toro.","Offensive Substitution",0,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,2,676116,"/api/v1/people/676116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"offensive_substitution",NA,"11","Pinch Hitter","Hitter","PH","501","65","atBat","Groundout","field_out","Ryan Noda grounds out, second baseman Jorge Mateo to first baseman Ryan Mountcastle.",0,0,7,65,"top",9,"2024-04-27T22:16:31.583Z","2024-04-27T22:16:41.688Z",TRUE,FALSE,FALSE,TRUE,0,0,0,3,676116,"Ryan Noda","/api/v1/people/676116","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,647351,"/api/v1/people/647351",TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747052,"2024-04-27",0,"2024-04-27T22:15:58.633Z","2024-04-27T22:16:06.873Z",TRUE,"pitch","424a37bd-9690-49e4-8015-395f7ad68733",1,"In play, out(s)",NA,NA,NA,NA,FALSE,"X","rgba(26, 86, 190, 1.0)",TRUE,FALSE,FALSE,"X","In play, out(s)",0,0,0,NA,NA,3.3,1.47,NA,103.52,194.27,"ground_ball","medium","6",107.52,156.17,NA,NA,NA,NA,NA,NA,NA,NA,"64","atBat","Grounded Into DP","grounded_into_double_play","Shea Langeliers grounds into a double play, shortstop Gunnar Henderson to second baseman Jorge Mateo to first baseman Ryan Mountcastle. Seth Brown out at 2nd. Shea Langeliers out at 1st.",0,0,7,64,"top",9,"2024-04-27T22:15:55.307Z","2024-04-27T22:16:06.873Z",TRUE,FALSE,FALSE,TRUE,24,0,0,2,669127,"Shea Langeliers","/api/v1/people/669127","R","Right",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_RHB","Empty",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles","true",NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",90.8,82,9,0.89,0.4182,6.6531,31.7339,-23.8711,-11.9223,4.7955,0.3536,1.6486,9.4328,-131.6972,-4.9029,-1.7514,50.0026,5.3329,-20.6403,36,7.2,24,1959,226,84.3,-4,22,NA,NA,NA,TRUE,-26.2,7.6,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747052,"2024-04-27",7,"2024-04-27T22:15:31.369Z","2024-04-27T22:15:35.054Z",TRUE,"pitch","a3655ad5-c265-493b-8721-6fb081f1a2f9",6,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",4,2,0,NA,NA,3.4941,1.6647,NA,72.62,178.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Walk","walk","Seth Brown walks.",0,0,7,63,"top",9,"2024-04-27T22:14:23.163Z","2024-04-27T22:15:35.054Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,664913,"Seth Brown","/api/v1/people/664913","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",91.8,83.4,14,0.9,0.4122,6.8134,30.7899,-29.9795,-9.1158,1.2316,1.1643,2.2412,10.02,-133.2896,-2.3716,-1.4736,50.006,5.3249,-16.2749,25.2,7.2,24,1995,227,NA,NA,NA,NA,NA,NA,FALSE,-31,1.9,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,664913,"Seth Brown","/api/v1/people/664913",NA,NA,NA,NA,NA,NA
747052,"2024-04-27",6,"2024-04-27T22:15:17.047Z","2024-04-27T22:15:20.047Z",TRUE,"pitch","264d773f-af54-4940-b6d6-06251e8e17f6",5,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",3,2,0,NA,NA,3.3635,1.6244,NA,216.27,131.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Walk","walk","Seth Brown walks.",0,0,7,63,"top",9,"2024-04-27T22:14:23.163Z","2024-04-27T22:15:35.054Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,664913,"Seth Brown","/api/v1/people/664913","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",78.1,70.5,11,0.94,0.4854,6.4795,24.1794,-31.2583,-9.658,0.7107,-2.6042,3.9899,1.2297,-113.5927,3.6637,-1.9056,50.0012,5.4975,-12.4002,21.6,10.8,24,1696,258,NA,NA,NA,NA,NA,NA,FALSE,-42.7,2.8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747052,"2024-04-27",5,"2024-04-27T22:15:04.121Z","2024-04-27T22:15:07.322Z",TRUE,"pitch","38878fd2-c8f4-4df0-934f-2c20c495d16f",4,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",2,2,0,NA,NA,3.4185,1.6616,NA,94.06,214.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Walk","walk","Seth Brown walks.",0,0,7,63,"top",9,"2024-04-27T22:14:23.163Z","2024-04-27T22:15:35.054Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,664913,"Seth Brown","/api/v1/people/664913","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,"rgba(50, 50, 50, 1.0)","ST","Sweeper",79.4,72.8,14,0.91,0.4751,6.6069,22.5408,-23.973,5.2205,6.0995,0.6017,0.8858,4.7231,-115.5049,-3.5779,-2.1516,50.0013,4.7731,7.0169,18,8.4,24,2403,86,NA,NA,NA,NA,NA,NA,FALSE,-33.2,10.4,-10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747052,"2024-04-27",4,"2024-04-27T22:14:50.256Z","2024-04-27T22:14:53.599Z",TRUE,"pitch","979201ac-3e7f-4d85-827c-bb3adf5a4f04",3,"Called Strike",NA,NA,NA,NA,FALSE,"C","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"C","Called Strike",1,2,0,NA,NA,3.4183,1.5773,NA,101.5,192.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Walk","walk","Seth Brown walks.",0,0,7,63,"top",9,"2024-04-27T22:14:23.163Z","2024-04-27T22:15:35.054Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,664913,"Seth Brown","/api/v1/people/664913","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",92,83.7,9,0.9,0.4113,6.7297,30.7524,-26.3897,-9.8823,3.2274,0.4066,1.711,8.7648,-133.5599,-4.2544,-1.6455,50.0058,5.2394,-17.7252,30,7.2,24,1964,223,NA,NA,NA,NA,NA,NA,FALSE,-27.6,5,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747052,"2024-04-27",3,"2024-04-27T22:14:37.513Z","2024-04-27T22:14:40.513Z",TRUE,"pitch","a72facbb-8dc5-46c4-a984-63c3823ef2bb",2,"Swinging Strike",NA,NA,NA,NA,FALSE,"S","rgba(170, 21, 11, 1.0)",FALSE,TRUE,FALSE,"S","Swinging Strike",1,1,0,NA,NA,3.42,1.66,NA,160.26,187.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Walk","walk","Seth Brown walks.",0,0,7,63,"top",9,"2024-04-27T22:14:23.163Z","2024-04-27T22:15:35.054Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,664913,"Seth Brown","/api/v1/people/664913","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,"rgba(0, 85, 254, 1.0)","CH","Changeup",82,74.6,13,0.91,0.4611,6.4996,25.2808,-30.2043,-10.0433,1.3824,-1.135,1.9009,4.9224,-119.2812,-1.0002,-1.9325,50.0025,5.0758,-14.3141,24,9.6,24,1735,248,NA,NA,NA,NA,NA,NA,FALSE,-38.5,2.5,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747052,"2024-04-27",2,"2024-04-27T22:14:25.565Z","2024-04-27T22:14:29.096Z",TRUE,"pitch","53bc6e03-40ed-480f-a2a3-7324c04e679e",1,"Ball",NA,NA,NA,NA,FALSE,"B","rgba(39, 161, 39, 1.0)",FALSE,FALSE,TRUE,"B","Ball",1,0,0,NA,NA,3.4628,1.6628,NA,82.44,160.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"63","atBat","Walk","walk","Seth Brown walks.",0,0,7,63,"top",9,"2024-04-27T22:14:23.163Z","2024-04-27T22:15:35.054Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,664913,"Seth Brown","/api/v1/people/664913","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,"rgba(50, 0, 221, 1.0)","SI","Sinker",93,85.1,12,0.91,0.4053,6.6336,28.926,-26.182,-9.8809,3.2364,0.9067,2.9064,9.9653,-135.0488,-1.6155,-1.5443,50.0018,5.3509,-18.2834,31.2,7.2,24,1968,223,NA,NA,NA,NA,NA,NA,FALSE,-26,5.8,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
747052,"2024-04-27",0,"2024-04-27T22:13:53.020Z","2024-04-27T22:14:23.302Z",FALSE,"action",NA,NA,"Pitching Change: Dillon Tate replaces Mike Baumann.","Pitching Substitution",0,7,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,0,0,622253,"/api/v1/people/622253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pitching_substitution",NA,"1","Pitcher","Pitcher","P",NA,"63","atBat","Walk","walk","Seth Brown walks.",0,0,7,63,"top",9,"2024-04-27T22:14:23.163Z","2024-04-27T22:15:35.054Z",TRUE,FALSE,FALSE,FALSE,0,4,2,0,664913,"Seth Brown","/api/v1/people/664913","L","Left",622253,"Dillon Tate","/api/v1/people/622253","R","Right","vs_RHP","vs_LHB","Men_On",NA,"Baltimore Orioles",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics",1,"Major League Baseball",NA,NA,103,"American League","Oakland Athletics","Baltimore Orioles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
